LOWERTRACED_MAX_SINGLE_VSM_MEDIAN.csv,Associated
0.16815,NO
0.1639,NO
0.1481,NO
0.23585,NO
0.1612,NO
0.1362,NO
0.16075,NO
0.16525,NO
0.17535,NO
0.6234500000000001,YES
0.1217,NO
0.669,YES
0.3064,NO
0.2966,NO
0.2962,NO
0.1884,NO
0.16295,NO
0.18675,NO
0.165,NO
0.24025000000000002,NO
0.185,NO
0.53895,YES
0.5402,YES
0.5834,YES
0.62,YES
0.16954999999999998,NO
0.5358,YES
0.15115,NO
0.5536,YES
0.6222,YES
0.36845,NO
0.2609,NO
0.23935,NO
0.25595,NO
0.69735,YES
0.54785,YES
0.26855,NO
0.2061,NO
0.2494,NO
0.2062,NO
0.299,NO
0.28545,NO
0.2867,NO
0.64055,YES
0.22025,NO
0.5563,YES
0.199,NO
0.66995,YES
0.20255,NO
0.21389999999999998,NO
0.19174999999999998,NO
0.21505,NO
0.1934,NO
0.2955,NO
0.20925,NO
0.25075000000000003,NO
0.15230000000000002,NO
0.18470000000000003,NO
0.2197,NO
0.29705,NO
0.2294,NO
0.23645,NO
0.18125000000000002,NO
0.13345,NO
0.2625,NO
0.7287,YES
0.2333,NO
0.60075,YES
0.1987,NO
0.2046,NO
0.203,NO
0.20395000000000002,NO
0.23045,NO
0.1714,NO
0.25115,NO
0.19575,NO
0.2639,NO
0.72325,YES
0.7126,YES
0.68265,YES
0.58855,YES
0.2361,NO
0.59635,YES
0.2157,NO
0.56515,YES
0.5907,YES
0.50805,NO
0.42335,NO
0.41559999999999997,NO
0.4123,NO
0.6717500000000001,YES
0.56215,YES
0.4268,NO
0.34809999999999997,NO
0.40845,NO
0.34485,NO
0.48325,NO
0.4732,NO
0.47255,NO
0.59615,YES
0.3866,NO
0.54105,YES
0.3558,NO
0.65405,YES
0.36055,NO
0.36305,NO
0.346,NO
0.3595,NO
0.35314999999999996,NO
0.4503,NO
0.36805,NO
0.40665,NO
0.11935000000000001,NO
0.09535,NO
0.4375,YES
0.6674,YES
0.64685,YES
0.4388,YES
0.12445,NO
0.08965000000000001,NO
0.47245000000000004,YES
0.1564,NO
0.43355,YES
0.1588,NO
0.29775,NO
0.2862,NO
0.2862,NO
0.11175,NO
0.6159,YES
0.11095,NO
0.68045,YES
0.154,NO
0.6275,YES
0.11275,NO
0.1205,NO
0.15860000000000002,NO
0.11135,NO
0.45305,YES
0.13485,NO
0.43445,YES
0.21315,NO
0.17254999999999998,NO
0.3056,NO
0.33594999999999997,NO
0.30569999999999997,NO
0.2919,NO
0.22014999999999998,NO
0.1972,NO
0.27975,NO
0.7014,YES
0.2857,NO
0.6452,YES
0.2256,NO
0.21405000000000002,NO
0.2107,NO
0.16294999999999998,NO
0.2803,NO
0.1633,NO
0.26095,NO
0.2369,NO
0.2715,NO
0.69485,YES
0.6806,YES
0.6395500000000001,YES
0.6447,YES
0.31815,NO
0.58765,YES
0.2558,NO
0.10895,NO
0.0984,NO
0.46675,YES
0.68235,YES
0.6265499999999999,YES
0.47985,YES
0.10395,NO
0.08990000000000001,NO
0.5167,YES
0.47829999999999995,NO
0.4663,YES
0.42135,NO
0.33275,NO
0.3487,NO
0.3389,NO
0.13235000000000002,NO
0.61225,YES
0.13019999999999998,NO
0.63115,YES
0.13069999999999998,NO
0.62775,YES
0.45085,NO
0.4587,NO
0.4598,NO
0.39999999999999997,NO
0.48635,YES
0.4042,NO
0.4796,YES
0.18735,NO
0.15385,NO
0.33545,NO
0.3114,NO
0.29375,NO
0.31625000000000003,NO
0.19924999999999998,NO
0.1934,NO
0.31635,NO
0.59945,YES
0.31865,NO
0.62235,YES
0.34625,NO
0.3221,NO
0.32195,NO
0.14325,NO
0.26890000000000003,NO
0.1446,NO
0.27205,NO
0.2294,NO
0.26585000000000003,NO
0.59395,YES
0.57225,YES
0.59505,YES
0.6554,YES
0.33665,NO
0.58285,YES
0.28295000000000003,NO
0.1387,NO
0.1582,NO
0.31675,NO
0.31705,NO
0.2905,NO
0.3087,NO
0.1582,NO
0.1396,NO
0.31465,NO
0.6714,YES
0.32194999999999996,NO
0.5868,YES
0.11315,NO
0.08335000000000001,NO
0.07894999999999999,NO
0.19324999999999998,NO
0.28505,NO
0.174,NO
0.37370000000000003,NO
0.1567,NO
0.35965,NO
0.7021,YES
0.6648000000000001,YES
0.74705,YES
0.58915,YES
0.30125,NO
0.63365,YES
0.29105,NO
0.1766,NO
0.1431,NO
0.3183,NO
0.33775,NO
0.323,NO
0.3118,NO
0.18885000000000002,NO
0.16485,NO
0.30820000000000003,NO
0.6789499999999999,YES
0.31205,NO
0.60415,YES
0.2559,NO
0.24535,NO
0.24365,NO
0.12955,NO
0.2914,NO
0.13040000000000002,NO
0.281,NO
0.20025,NO
0.29065,NO
0.7019,YES
0.6747,YES
0.63995,YES
0.63375,YES
0.33095,NO
0.60015,YES
0.27905,NO
0.12695,NO
0.1263,NO
0.20900000000000002,NO
0.31105000000000005,NO
0.2381,NO
0.19775,NO
0.12085,NO
0.1172,NO
0.22605,NO
0.71985,YES
0.18535,NO
0.61735,YES
0.2482,NO
0.24470000000000003,NO
0.24455,NO
0.13305,NO
0.2185,NO
0.1318,NO
0.21550000000000002,NO
0.1757,NO
0.24265,NO
0.6686,YES
0.66515,YES
0.657,YES
0.56285,YES
0.22375,NO
0.5564,YES
0.20450000000000002,NO
0.16315000000000002,NO
0.13225,NO
0.75475,YES
0.4052,YES
0.395,YES
0.64235,YES
0.22155000000000002,NO
0.16295,NO
0.6633,YES
0.41090000000000004,NO
0.66445,YES
0.41515,NO
0.32705,NO
0.2953,NO
0.2942,NO
0.1548,NO
0.3833,YES
0.15345,NO
0.4521,YES
0.21615,NO
0.3997,YES
0.42575,NO
0.4022,NO
0.51345,NO
0.4222,NO
0.66995,YES
0.488,NO
0.60405,YES
0.10015,NO
0.08755,NO
0.67975,YES
0.44835,NO
0.4173,NO
0.70795,YES
0.10155,NO
0.06505,NO
0.7724,YES
0.34945000000000004,NO
0.71905,YES
0.33035000000000003,NO
0.4333,NO
0.43025,NO
0.40249999999999997,NO
0.09570000000000001,NO
0.45005,NO
0.0801,NO
0.5242,NO
0.08275,NO
0.47240000000000004,NO
0.35350000000000004,NO
0.34315,NO
