LOWERTRACED_RFSMOTE_MULTI_LSA_MAX.csv,Associated
0.1,NO
0.1,NO
0.14,NO
0.72,NO
0.72,NO
0.14,NO
0.1,NO
0.1,NO
0.1689,NO
0.46,YES
0.14,NO
0.46,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1142,NO
0.72,NO
0.1109,NO
0.72,NO
0.2179,NO
0.72,NO
0.46,YES
0.46,YES
0.46,YES
0.46,YES
0.1573,NO
0.46,YES
0.14,NO
0.1072,YES
0.2444,YES
0.3362,NO
0.5,NO
0.5,NO
0.29,NO
0.3947,YES
0.0957,YES
0.29,NO
0.28,NO
0.29,NO
0.28,NO
0.1797,NO
0.1526,NO
0.1551,NO
0.2811,YES
0.5,NO
0.1126,YES
0.5,NO
0.3399,YES
0.5,NO
0.28,NO
0.28,NO
0.28,NO
0.28,NO
0.29,NO
0.28,NO
0.29,NO
0.0886,NO
0.1534,NO
0.1331,NO
0.2865,NO
0.1512,NO
0.1666,NO
0.1465,NO
0.0509,NO
0.2187,NO
0.47,YES
0.1603,NO
0.47,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.1533,NO
0.1268,NO
0.1947,NO
0.1755,NO
0.2202,NO
0.47,YES
0.47,YES
0.47,YES
0.47,YES
0.1659,NO
0.47,YES
0.1251,NO
0.1303,YES
0.1814,YES
0.85,NO
0.59,NO
0.59,NO
0.85,NO
0.3435,YES
0.1243,YES
0.85,NO
0.44,NO
0.85,NO
0.44,NO
0.2289,NO
0.2088,NO
0.2075,NO
0.1923,YES
0.59,NO
0.0821,YES
0.59,NO
0.3081,YES
0.59,NO
0.44,NO
0.44,NO
0.44,NO
0.44,NO
0.85,NO
0.44,NO
0.85,NO
0.0724,NO
0.0244,NO
0.79,YES
0.3348,YES
0.2937,YES
0.79,YES
0.0826,NO
0.013000000000000001,NO
0.79,YES
0.7,NO
0.79,YES
0.7,NO
0.2165,NO
0.1934,NO
0.1934,NO
0.0572,NO
0.2318,YES
0.0556,NO
0.3609,YES
0.1417,NO
0.255,YES
0.7,NO
0.7,NO
0.7,NO
0.7,NO
0.79,YES
0.7,NO
0.79,YES
0.92,NO
0.92,NO
0.1975,NO
0.28,NO
0.28,NO
0.19,NO
0.92,NO
0.92,NO
0.19,NO
0.4028,YES
0.19,NO
0.2904,YES
0.1987,NO
0.1756,NO
0.1689,NO
0.92,NO
0.28,NO
0.92,NO
0.28,NO
0.92,NO
0.28,NO
0.3897,YES
0.3612,YES
0.2791,YES
0.2894,YES
0.2226,NO
0.21,YES
0.19,NO
0.21,NO
0.21,NO
0.1069,YES
0.3647,YES
0.2531,YES
0.1331,YES
0.21,NO
0.21,NO
0.2068,YES
0.2598,NO
0.106,YES
0.1459,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.21,NO
0.23,YES
0.21,NO
0.2623,YES
