LOWERTRACED_RFUNDER_MULTI_LSA_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.08913697436121679,NO
0.13997864503622082,NO
0.0653286450362208,NO
0.07723697436121679,NO
0.02945,NO
0.03395,NO
0.11638697436121678,NO
0.13355101010101011,YES
0.0627369743612168,NO
0.1791010101010101,YES
0.12135,NO
0.11155,NO
0.11115,NO
0.0571,NO
0.0670786450362208,NO
0.05545,NO
0.06912864503622079,NO
0.10895,NO
0.0891286450362208,NO
0.0490510101010101,YES
0.0503010101010101,YES
0.0935010101010101,YES
0.1301010101010101,YES
0.11058697436121678,NO
0.0459010101010101,YES
0.09218697436121678,NO
0.0536,YES
0.1222,YES
0.43577676767676776,NO
0.39713181818181825,NO
0.37558181818181824,NO
0.3232767676767677,NO
0.19735,YES
0.04785,YES
0.3358767676767677,NO
0.0629010101010101,NO
0.3167267676767677,NO
0.0630010101010101,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.14055,YES
0.35648181818181823,NO
0.0563,YES
0.33523181818181824,NO
0.16995,YES
0.33878181818181824,NO
0.0707010101010101,NO
0.0485510101010101,NO
0.0718510101010101,NO
0.0502010101010101,NO
0.36282676767676775,NO
0.0660510101010101,NO
0.31807676767676774,NO
0.13015858585858586,NO
0.16255858585858587,NO
0.06655,NO
0.14325,NO
0.0756,NO
0.0833,NO
0.15910858585858587,NO
0.11130858585858587,NO
0.10935,NO
0.49132626262626267,YES
0.08015,NO
0.36337626262626266,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.18180858585858586,NO
0.07665,NO
0.14925858585858587,NO
0.09735,NO
0.17360858585858585,NO
0.1101,NO
0.48587626262626266,YES
0.47522626262626266,YES
0.44527626262626263,YES
0.35117626262626267,YES
0.08295,NO
0.35897626262626264,YES
0.06255,NO
0.06515,YES
0.0907,YES
0.5415373737373738,NO
0.5426959595959596,NO
0.5349459595959596,NO
0.44578737373737376,NO
0.17175,YES
0.06215,YES
0.4602873737373738,NO
0.0476,NO
0.44193737373737374,NO
0.04435,NO
0.11445,NO
0.1044,NO
0.10375,NO
0.09615,YES
