LOWERTRACED_RFUNDER_RAW_LSA_MAX.csv,Associated
0.0737,NO
0.0652,NO
0.68,NO
0.88,NO
0.88,NO
0.68,NO
0.0589,NO
0.0679,NO
0.68,NO
0.73,YES
0.68,NO
0.73,YES
0.36,NO
0.36,NO
0.36,NO
0.1142,NO
0.88,NO
0.1109,NO
0.88,NO
0.2179,NO
0.88,NO
0.73,YES
0.73,YES
0.73,YES
0.73,YES
0.68,NO
0.73,YES
0.68,NO
0.1072,YES
0.2444,YES
0.3362,NO
0.89,NO
0.89,NO
0.33,NO
0.3947,YES
0.0957,YES
0.33,NO
0.1056,NO
0.33,NO
0.1058,NO
0.1797,NO
0.1526,NO
0.1551,NO
0.2811,YES
0.89,NO
0.1126,YES
0.89,NO
0.3399,YES
0.89,NO
0.1212,NO
0.0769,NO
0.1235,NO
0.0802,NO
0.33,NO
0.1119,NO
0.33,NO
0.54,NO
0.54,NO
0.66,NO
0.51,NO
0.51,NO
0.66,NO
0.54,NO
0.54,NO
0.66,NO
0.72,YES
0.66,NO
0.72,YES
0.205,NO
0.2168,NO
0.2136,NO
0.54,NO
0.51,NO
0.54,NO
0.51,NO
0.54,NO
0.51,NO
0.72,YES
0.72,YES
0.72,YES
0.72,YES
0.66,NO
0.72,YES
0.66,NO
0.1303,YES
0.1814,YES
0.67,NO
0.94,NO
0.94,NO
0.67,NO
0.3435,YES
0.1243,YES
0.67,NO
0.0952,NO
0.67,NO
0.0887,NO
0.2289,NO
0.2088,NO
0.2075,NO
0.1923,YES
0.94,NO
0.0821,YES
0.94,NO
0.3081,YES
0.94,NO
0.1251,NO
0.091,NO
0.11800000000000001,NO
0.1053,NO
0.67,NO
0.1351,NO
0.67,NO
0.0724,NO
0.0244,NO
1.0,YES
0.3348,YES
0.33,YES
1.0,YES
0.0826,NO
0.013000000000000001,NO
1.0,YES
0.45,NO
1.0,YES
0.45,NO
0.2165,NO
0.1934,NO
0.1934,NO
0.0572,NO
0.33,YES
0.0556,NO
0.3609,YES
0.1417,NO
0.33,YES
0.45,NO
0.45,NO
0.45,NO
0.45,NO
1.0,YES
0.45,NO
1.0,YES
0.1544,NO
0.08,NO
0.98,NO
0.94,NO
0.94,NO
0.98,NO
0.1684,NO
0.1225,NO
0.98,NO
0.76,YES
0.98,NO
0.76,YES
0.1987,NO
0.1756,NO
0.1689,NO
0.08,NO
0.94,NO
0.08,NO
0.94,NO
0.2019,NO
0.94,NO
0.76,YES
0.76,YES
0.76,YES
0.76,YES
0.98,NO
0.76,YES
0.98,NO
0.0985,NO
0.0774,NO
0.9,YES
0.3647,YES
0.2531,YES
0.9,YES
0.0885,NO
0.0604,NO
0.9,YES
0.76,NO
0.9,YES
0.76,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
0.2245,YES
0.141,NO
0.2623,YES
0.142,NO
0.2555,YES
0.76,NO
0.76,NO
0.76,NO
0.76,NO
0.9,YES
0.76,NO
0.9,YES
0.1415,NO
0.0745,NO
1.0,NO
0.94,NO
0.94,NO
1.0,NO
0.1653,NO
0.1536,NO
1.0,NO
0.43,YES
1.0,NO
0.43,YES
0.38,NO
0.38,NO
0.38,NO
0.0533,NO
0.94,NO
0.055999999999999994,NO
0.94,NO
0.2256,NO
0.94,NO
0.43,YES
0.43,YES
0.43,YES
0.43,YES
1.0,NO
0.43,YES
1.0,NO
0.54,NO
0.54,NO
0.22399999999999998,NO
0.1967,NO
0.1436,NO
0.2079,NO
0.54,NO
0.54,NO
0.2198,NO
0.3428,YES
0.2344,NO
0.1736,YES
0.1331,NO
0.0735,NO
0.0647,NO
0.54,NO
0.1327,NO
0.54,NO
0.31,NO
0.54,NO
0.2819,NO
0.4042,YES
0.3296,YES
0.4941,YES
0.1783,YES
0.193,NO
0.2673,YES
0.1726,NO
0.67,NO
0.67,NO
1.0,NO
0.94,NO
0.94,NO
1.0,NO
0.67,NO
0.67,NO
1.0,NO
0.73,YES
1.0,NO
0.73,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.67,NO
0.94,NO
0.67,NO
0.94,NO
0.67,NO
0.94,NO
0.73,YES
0.73,YES
0.73,YES
0.73,YES
1.0,NO
0.73,YES
1.0,NO
0.12,NO
0.12,NO
0.13,NO
0.91,NO
0.91,NO
0.13,NO
0.12,NO
0.12,NO
0.1421,NO
0.72,YES
0.13,NO
0.72,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.12,NO
0.91,NO
0.12,NO
0.91,NO
0.1702,NO
0.91,NO
0.72,YES
0.72,YES
0.72,YES
0.72,YES
0.1375,NO
0.72,YES
0.13,NO
0.1069,NO
0.06,NO
0.98,YES
0.94,YES
0.94,YES
0.98,YES
0.2237,NO
0.1065,NO
0.98,YES
0.13,NO
0.98,YES
0.13,NO
0.2131,NO
0.1496,NO
0.1474,NO
0.0902,NO
0.94,YES
0.0875,NO
0.94,YES
0.2129,NO
0.94,YES
0.13,NO
0.13,NO
0.3025,NO
0.13,NO
0.98,YES
0.2516,NO
0.98,YES
0.2,NO
0.2,NO
1.0,YES
0.2156,NO
0.1535,NO
1.0,YES
0.2,NO
0.2,NO
1.0,YES
0.191,NO
1.0,YES
0.1528,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.2,NO
0.21899999999999997,NO
0.2,NO
0.3673,NO
0.2,NO
0.2637,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.1917,NO
1.0,YES
0.3359,NO
1.0,YES
0.0798,NO
0.05,NO
0.98,YES
0.83,YES
0.83,YES
0.98,YES
0.1233,NO
0.05,NO
0.98,YES
0.61,NO
0.98,YES
0.61,NO
0.2365,NO
0.2061,NO
0.2048,NO
0.05,NO
0.83,YES
0.05,NO
0.83,YES
0.1224,NO
0.83,YES
0.61,NO
0.61,NO
0.61,NO
0.61,NO
0.98,YES
0.61,NO
0.98,YES
