LOWERTRACED_SUM_MULTI_VSM_MEDIAN.csv,Associated
0.3991,NO
0.39485000000000003,NO
0.6587000000000001,NO
0.65215,NO
0.5775,NO
0.6468,NO
0.3917,NO
0.3962,NO
0.6859500000000001,NO
0.9540500000000001,YES
0.6323000000000001,NO
0.9996,YES
0.46675,NO
0.45694999999999997,NO
0.45655,NO
0.41935,NO
0.57925,NO
0.4177,NO
0.5813,NO
0.4712,NO
0.6013000000000001,NO
0.86955,YES
0.8708,YES
0.914,YES
0.9506,YES
0.68015,NO
0.8664000000000001,YES
0.6617500000000001,NO
0.6878,YES
0.7564,YES
0.9445,NO
0.51875,NO
0.49720000000000003,NO
0.832,NO
0.83155,YES
0.6820499999999999,YES
0.8446,NO
0.3825,NO
0.82545,NO
0.3826,NO
0.39775,NO
0.3842,NO
0.38545,NO
0.77475,YES
0.4781,NO
0.6905,YES
0.45685000000000003,NO
0.8041499999999999,YES
0.46040000000000003,NO
0.3903,NO
0.36815,NO
0.39144999999999996,NO
0.3698,NO
0.8715499999999999,NO
0.38565,NO
0.8268,NO
0.30685,NO
0.33925,NO
0.97945,NO
0.8481,NO
0.78045,NO
0.9962000000000001,NO
0.3358,NO
0.28800000000000003,NO
1.02225,NO
1.86245,YES
0.99305,NO
1.7345000000000002,YES
0.36114999999999997,NO
0.36705,NO
0.36545,NO
0.3585,NO
0.7815,NO
0.32595,NO
0.8022,NO
0.3503,NO
0.81495,NO
1.857,YES
1.8463500000000002,YES
1.8164,YES
1.7223,YES
0.99585,NO
1.7301,YES
0.97545,NO
0.6192500000000001,YES
0.6448,YES
1.0296,NO
0.53775,NO
0.53,NO
0.9338500000000001,NO
0.7258500000000001,YES
0.6162500000000001,YES
0.94835,NO
0.44089999999999996,NO
0.93,NO
0.43765,NO
0.49005,NO
0.48,NO
0.47935,NO
0.65025,YES
0.501,NO
0.5951500000000001,YES
0.4702,NO
0.7081500000000001,YES
0.47495,NO
0.45585,NO
0.43879999999999997,NO
0.4523,NO
0.44594999999999996,NO
0.97185,NO
0.46085,NO
0.9282,NO
0.34400000000000003,NO
0.32,NO
1.45245,YES
1.9266,YES
1.90605,YES
1.4537499999999999,YES
0.3491,NO
0.3143,NO
1.4874,YES
0.46404999999999996,NO
1.4485,YES
0.46645,NO
0.47975,NO
0.4682,NO
0.4682,NO
0.33640000000000003,NO
1.8751000000000002,YES
0.3356,NO
1.93965,YES
0.37865000000000004,NO
1.8867,YES
0.4204,NO
0.42815,NO
0.46625,NO
0.419,NO
1.468,YES
0.4425,NO
1.4494,YES
0.52305,NO
0.48245000000000005,NO
1.0638999999999998,NO
0.83,NO
0.79975,NO
1.0502,NO
0.53005,NO
0.5071,NO
1.03805,NO
1.7853,YES
1.044,NO
1.7291,YES
0.41285,NO
0.4013,NO
0.39795,NO
0.47285000000000005,NO
0.77435,NO
0.4732,NO
0.755,NO
0.5468000000000001,NO
0.76555,NO
1.77875,YES
1.7645000000000002,YES
1.7234500000000001,YES
1.7286000000000001,YES
1.07645,NO
1.67155,YES
1.0141,NO
0.27845,NO
0.26789999999999997,NO
0.8321,YES
1.4274,YES
1.3716,YES
0.8452,YES
0.27344999999999997,NO
0.25939999999999996,NO
0.88205,YES
0.90155,NO
0.83165,YES
0.8445999999999999,NO
0.43474999999999997,NO
0.4507,NO
0.44089999999999996,NO
0.30185,NO
1.3573,YES
0.29969999999999997,NO
1.3761999999999999,YES
0.30019999999999997,NO
1.3728,YES
0.8741,NO
0.8819499999999999,NO
0.8830499999999999,NO
0.8232499999999999,NO
0.8516999999999999,YES
0.8274499999999999,NO
0.84495,YES
0.51575,NO
0.48225,NO
1.32755,NO
0.73865,NO
0.7210000000000001,NO
1.30835,NO
0.52765,NO
0.5218,NO
1.30845,NO
1.0888499999999999,YES
1.3107499999999999,NO
1.11175,YES
0.5426500000000001,NO
0.5185,NO
0.51835,NO
0.47165,NO
0.69615,NO
0.473,NO
0.6993,NO
0.5578,NO
0.6931,NO
1.08335,YES
1.06165,YES
1.08445,YES
1.1448,YES
1.3287499999999999,NO
1.07225,YES
1.2750499999999998,NO
0.2458,NO
0.2653,NO
1.3106,NO
0.7201500000000001,NO
0.6936,NO
1.30255,NO
0.2653,NO
0.2467,NO
1.3085,NO
1.6058999999999999,YES
1.3158,NO
1.5212999999999999,YES
0.13169999999999998,NO
0.10189999999999999,NO
0.0975,NO
0.30035,NO
0.68815,NO
0.2811,NO
0.7768,NO
0.2638,NO
0.76275,NO
1.6365999999999998,YES
1.5993,YES
1.6815499999999999,YES
1.52365,YES
1.2951000000000001,NO
1.56815,YES
1.2849000000000002,NO
0.47900000000000004,NO
0.4455,NO
1.1825,NO
0.834,NO
0.81925,NO
1.1760000000000002,NO
0.49125,NO
0.46725,NO
1.1724,NO
1.65645,YES
1.17625,NO
1.58165,YES
0.47240000000000004,NO
0.46185,NO
0.46015,NO
0.43195,NO
0.78765,NO
0.4328,NO
0.77725,NO
0.50265,NO
0.7868999999999999,NO
1.6794,YES
1.6522000000000001,YES
1.61745,YES
1.61125,YES
1.1951500000000002,NO
1.57765,YES
1.14325,NO
0.3587,NO
0.35805000000000003,NO
0.6787500000000001,NO
0.8417,NO
0.76875,NO
0.6675,NO
0.3526,NO
0.34895000000000004,NO
0.6958,NO
1.6668499999999997,YES
0.6551,NO
1.56435,YES
0.4387,NO
0.4352,NO
0.43505,NO
0.3648,NO
0.74915,NO
0.36355000000000004,NO
0.74615,NO
0.40745000000000003,NO
0.7733,NO
1.6156,YES
1.6121499999999997,YES
1.6039999999999999,YES
1.50985,YES
0.6935,NO
1.5033999999999998,YES
0.67425,NO
0.4403,NO
0.40940000000000004,NO
2.2879,YES
0.8771,YES
0.8669,YES
2.1755,YES
0.49870000000000003,NO
0.44010000000000005,NO
2.19645,YES
0.5907,NO
2.1976,YES
0.5949500000000001,NO
0.45809999999999995,NO
0.42635,NO
0.42524999999999996,NO
0.43195000000000006,NO
0.8552,YES
0.43060000000000004,NO
0.9239999999999999,YES
0.4933,NO
0.8715999999999999,YES
0.60555,NO
0.5820000000000001,NO
0.69325,NO
0.6020000000000001,NO
2.2031,YES
0.6678000000000001,NO
2.1372,YES
0.2221,NO
0.2095,NO
2.54155,YES
1.00015,NO
0.9691,NO
2.56975,YES
0.22349999999999998,NO
0.187,NO
2.6342,YES
0.5978,NO
2.5808500000000003,YES
0.5787,NO
0.6031,NO
0.60005,NO
0.5723,NO
0.21765,NO
1.00185,NO
0.20205,NO
1.076,NO
0.2047,NO
1.0242,NO
0.60185,NO
0.5914999999999999,NO
0.69065,NO
0.59815,NO
2.5515000000000003,YES
0.67025,NO
2.5055,YES
0.43435,NO
0.41265,NO
2.2058999999999997,YES
1.605,YES
1.5769,YES
2.1928,YES
0.4561,NO
