NONETRACED_RFNONE_MULTI_LSA_MEDIAN.csv,Associated
0.03685,NO
0.12083529411764704,NO
0.0572,NO
0.3287882352941176,NO
0.04825588235294118,NO
0.0453,NO
0.04415588235294118,NO
0.10747941176470588,NO
0.15797941176470587,NO
0.2410970588235294,YES
0.0308,NO
0.257235294117647,YES
0.13605588235294117,NO
0.11155,NO
0.11115,NO
0.0571,NO
0.0353,NO
0.12897941176470587,NO
0.1549970588235294,NO
0.1677735294117647,NO
0.08676176470588236,NO
0.0977735294117647,YES
0.0402,YES
0.0834,YES
0.13470588235294118,YES
0.07865,NO
0.0358,YES
0.06025,NO
0.0536,YES
0.15161176470588236,YES
0.18280588235294118,NO
0.2701264705882353,NO
0.10151764705882352,NO
0.09971764705882352,NO
0.28558529411764705,YES
0.04785,YES
0.09761176470588236,NO
0.2439764705882353,NO
0.09316764705882352,NO
0.19995882352941177,NO
0.13396764705882352,NO
0.09100588235294119,NO
0.15107941176470585,NO
0.1552558823529412,YES
0.08241764705882353,NO
0.14453529411764704,YES
0.2082264705882353,NO
0.36112647058823527,YES
0.44707058823529405,NO
0.14883529411764707,NO
0.1560970588235294,NO
0.44410294117647053,NO
0.14304117647058823,NO
0.3157382352941176,NO
0.10006764705882353,NO
0.37392941176470584,NO
0.20606470588235293,NO
0.0767,NO
0.14007941176470587,NO
0.17266176470588235,NO
0.16383529411764705,NO
0.17153529411764706,NO
0.1320735294117647,NO
0.11368529411764705,NO
0.12405588235294118,NO
0.3463470588235294,YES
0.08015,NO
0.2183970588235294,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.11065588235294117,NO
0.5325323529411764,NO
0.07810588235294118,NO
0.12676176470588235,NO
0.14657352941176469,NO
0.15421764705882351,NO
0.32619117647058826,YES
0.28612941176470585,YES
0.18265,YES
0.25031470588235294,YES
0.11236176470588236,NO
0.09635,YES
0.09196176470588235,NO
0.07985588235294118,YES
0.12011176470588236,YES
0.19721176470588236,NO
0.18604117647058824,NO
0.11946764705882353,NO
0.10146176470588236,NO
0.20116176470588237,YES
0.06215,YES
0.18949117647058825,NO
0.3564235294117647,NO
0.14172941176470588,NO
0.14729117647058826,NO
0.23209705882352938,NO
0.14851764705882353,NO
0.13316176470588234,NO
0.11085588235294118,YES
0.28164411764705877,NO
0.04105,YES
0.17731470588235293,NO
0.3452264705882353,YES
0.24088823529411763,NO
0.3272558823529411,NO
0.2955,NO
0.059000000000000004,NO
0.14088529411764705,NO
0.2276970588235294,NO
0.22931470588235292,NO
0.1252235294117647,NO
0.16855294117647057,NO
0.0122,NO
0.11431764705882352,YES
0.18210588235294117,YES
0.14685,YES
0.15973529411764706,YES
0.20306470588235292,NO
0.006500000000000001,NO
0.13456176470588235,YES
0.06975,NO
0.13977941176470587,YES
0.1309735294117647,NO
0.10825,NO
0.0967,NO
0.0967,NO
0.05801176470588236,NO
0.1159,YES
0.10132941176470586,NO
0.19515588235294118,YES
0.46790882352941177,NO
0.15691176470588236,YES
0.0261,NO
0.03385,NO
0.08665588235294118,NO
0.11293529411764705,NO
0.11516176470588237,YES
0.1070235294117647,NO
0.15538529411764707,YES
0.12131764705882353,NO
0.06601176470588235,NO
0.09875,NO
0.26145294117647055,NO
0.31943823529411763,NO
0.511520588235294,NO
0.12831764705882354,NO
0.10536764705882352,NO
0.08760588235294119,NO
0.3337529411764706,YES
0.07885,NO
0.24814117647058825,YES
0.4669970588235294,NO
0.13191764705882353,NO
0.11386176470588236,NO
0.027000000000000003,NO
0.07345,NO
0.04205588235294118,NO
0.12762941176470588,NO
0.1597735294117647,NO
0.4764147058823529,NO
0.6507323529411764,YES
0.21001176470588237,YES
0.3160205882352941,YES
0.1447,YES
0.37600588235294113,NO
0.08765,YES
0.09306764705882353,NO
0.07866176470588236,NO
0.0387,NO
0.05345,YES
0.25587941176470586,YES
0.14125588235294118,YES
0.08125588235294118,YES
0.04425,NO
0.0302,NO
0.13281176470588235,YES
0.23284117647058822,NO
0.053,YES
0.07295,NO
0.1126,NO
0.14325588235294118,NO
0.48639705882352935,NO
0.07265,NO
0.2887205882352941,YES
0.09991176470588235,NO
0.13115,YES
0.27688235294117647,NO
0.12775,YES
0.14656764705882352,NO
0.21324117647058824,NO
0.1114,NO
0.09571764705882352,NO
0.07305,YES
0.0558,NO
0.0663,YES
0.07075,NO
0.05195588235294118,NO
0.13375588235294117,NO
0.22735294117647056,NO
0.1949970588235294,NO
0.14396764705882353,NO
0.08265,NO
0.0768,NO
0.09995,NO
0.2170970588235294,YES
0.10225,NO
0.22529117647058824,YES
0.40536176470588237,NO
0.1018,NO
0.11635588235294118,NO
0.02665,NO
0.09661764705882353,NO
0.027999999999999997,NO
0.15859117647058824,NO
0.12750588235294116,NO
0.21121470588235292,NO
0.3292441176470588,YES
0.3369558823529411,YES
0.28622647058823525,YES
0.3906941176470588,YES
0.31142647058823525,NO
0.09755588235294117,YES
0.14007941176470587,NO
0.2092147058823529,NO
0.21400882352941175,NO
0.14141176470588235,NO
0.09835,NO
0.17474117647058823,NO
0.10395,NO
0.06695,NO
0.4159970588235294,NO
0.3010764705882353,NO
0.20081176470588236,YES
0.1613176470588235,NO
0.11621176470588236,YES
0.06655,NO
0.03675,NO
0.10587941176470586,NO
0.1608235294117647,NO
0.06635,NO
0.11216176470588236,NO
0.3755882352941176,NO
0.46250882352941175,NO
0.21447941176470586,NO
0.4521,YES
0.3559764705882353,YES
0.3058735294117647,YES
0.25091470588235293,YES
0.1553235294117647,NO
0.22188529411764704,YES
0.29218235294117645,NO
0.17489117647058824,NO
0.03845,NO
0.09765,NO
0.2935705882352941,NO
0.10235,NO
0.09115,NO
0.09890588235294118,NO
0.0602,NO
0.16107941176470586,NO
0.2965970588235294,YES
0.10610588235294117,NO
0.2217970588235294,YES
0.3331882352941176,NO
0.10205,NO
0.10035,NO
0.0249,NO
0.07075,NO
0.055161764705882355,NO
0.08976176470588236,NO
0.11030588235294118,NO
0.3052941176470588,NO
0.21660588235294118,YES
0.6158764705882352,YES
0.3458323529411764,YES
0.16316176470588237,YES
0.31618235294117647,NO
0.10015,YES
0.1172235294117647,NO
0.03635,NO
0.0357,NO
0.054000000000000006,NO
0.33547647058823526,NO
0.10076176470588236,NO
0.04275,NO
0.03025,NO
0.0266,NO
0.17399117647058826,NO
0.29337941176470583,YES
0.03035,NO
0.16146764705882352,YES
0.1059,NO
0.1024,NO
0.10225,NO
0.04245,NO
0.4046911764705882,NO
0.0412,NO
0.22522058823529412,NO
0.48215882352941175,NO
0.10531176470588235,NO
0.1686,YES
0.5180911764705882,YES
0.157,YES
0.09226176470588236,YES
0.06875,NO
0.07110588235294117,YES
0.06420588235294118,NO
0.05345,NO
0.02255,NO
0.38710294117647054,YES
0.15978529411764705,YES
0.19370294117647058,YES
0.15705588235294118,YES
0.15596764705882354,NO
0.05325,NO
0.1633,YES
0.2251705882352941,NO
0.2232735294117647,YES
0.37647941176470584,NO
0.12125588235294119,NO
0.19244705882352942,NO
0.10311176470588236,NO
0.05980588235294118,NO
0.06435588235294118,YES
0.07316176470588236,NO
0.2949205882352941,YES
0.2682147058823529,NO
0.12487352941176469,YES
0.10766764705882352,NO
0.29,NO
0.2100735294117647,NO
0.06,NO
0.21406764705882353,YES
0.1699176470588235,NO
0.2216970588235294,YES
0.08995,NO
0.16558529411764705,NO
0.19445588235294117,YES
0.13721176470588237,NO
0.12086764705882352,NO
0.23736176470588236,YES
0.13546764705882353,NO
0.08426176470588236,NO
0.2724,YES
0.1396176470588235,NO
0.21905,YES
0.16463529411764705,NO
0.1632,NO
0.17485588235294117,NO
0.22063529411764704,NO
0.0855,NO
0.10949999999999999,NO
0.1875470588235294,NO
0.3895323529411765,NO
0.27843235294117646,NO
0.27890882352941176,NO
0.11425588235294118,NO
0.11861176470588236,NO
0.35011470588235294,NO
0.11055588235294118,NO
0.23381764705882352,YES
0.16795,NO
0.3937,YES
0.05460588235294118,NO
0.10643529411764704,NO
0.12375,YES
0.15440588235294117,YES
0.12630588235294118,YES
0.43417941176470587,YES
0.06165,NO
0.03840588235294118,NO
0.13995,YES
0.18992941176470587,NO
0.3951058823529411,YES
0.06945588235294117,NO
0.13295588235294117,NO
0.11775588235294118,NO
0.1024,NO
0.0816235294117647,NO
0.08975,YES
0.051511764705882354,NO
0.26735294117647057,YES
0.07590588235294117,NO
0.3015323529411765,YES
0.11985,NO
0.12025588235294118,NO
0.17616176470588235,NO
0.08716176470588236,NO
0.43032352941176466,YES
0.14206764705882352,NO
0.12841176470588236,YES
0.09650588235294118,NO
0.09700588235294118,NO
0.2528735294117647,YES
0.23515882352941175,NO
0.2000970588235294,NO
0.20985,YES
0.09875588235294118,NO
0.10591176470588236,NO
0.2516058823529412,YES
0.09420588235294118,NO
0.2612058823529412,YES
0.08750588235294118,NO
0.12690588235294117,NO
0.12121764705882353,NO
0.06385,NO
0.1475735294117647,NO
0.1053,NO
0.15622941176470587,NO
0.5013794117647059,NO
0.29510000000000003,NO
0.20667941176470586,NO
0.15501764705882354,NO
0.17643529411764705,NO
0.2538735294117647,NO
0.10800000000000001,NO
0.201,YES
0.1792,NO
0.23547941176470588,YES
0.40570294117647054,NO
0.21508235294117645,NO
0.0272,YES
0.2895264705882353,YES
0.12137352941176469,YES
0.0263,YES
0.034155882352941175,NO
0.06372352941176469,NO
0.14843529411764705,YES
0.4693647058823529,NO
0.18346470588235292,YES
0.44675882352941176,NO
0.24726470588235294,NO
0.38076764705882354,NO
0.08925,NO
0.0316,NO
0.21495294117647057,YES
0.4865823529411764,NO
0.23841470588235292,YES
0.39087941176470586,NO
