NONETRACED_RFNONE_SINGLE_VSM_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.0572,NO
0.1182,NO
0.03355,NO
0.0453,NO
0.02945,NO
0.03395,NO
0.08445,NO
0.12845,YES
0.0308,NO
0.424,YES
0.12135,NO
0.15155,NO
0.12614999999999998,NO
0.0571,NO
0.0353,NO
0.05545,NO
0.03735,NO
0.10895,NO
0.05735,NO
0.03895,YES
0.0452,YES
0.0834,YES
0.4,YES
0.07865,NO
0.0358,YES
0.06025,NO
0.0586,YES
0.3422,YES
0.1681,NO
0.07895,NO
0.0574,NO
0.060599999999999994,NO
0.31235,YES
0.06785,YES
0.0682,NO
0.0528,NO
0.06405,NO
0.0529,NO
0.09485,NO
0.1463,NO
0.10255,NO
0.42055000000000003,YES
0.0383,NO
0.1313,YES
0.01705,NO
0.20495,YES
0.0206,NO
0.08560000000000001,NO
0.03845,NO
0.06675,NO
0.0401,NO
0.11515,NO
0.05595,NO
0.0704,NO
0.0443,NO
0.0767,NO
0.06655,NO
0.15325,NO
0.0806,NO
0.0833,NO
0.07325,NO
0.03545,NO
0.11435000000000001,NO
0.4737,YES
0.11515,NO
0.13075,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.09595,NO
0.08165,NO
0.0634,NO
0.09735,NO
0.08775,NO
0.11510000000000001,NO
0.38825,YES
0.48760000000000003,YES
0.27265,YES
0.12855,YES
0.08295,NO
0.14635,YES
0.10754999999999999,NO
0.06515,YES
0.19569999999999999,YES
0.1678,NO
0.09309999999999999,NO
0.08035,NO
0.10205,NO
0.31175,YES
0.06715,YES
0.12155,NO
0.0526,NO
0.1182,NO
0.04435,NO
0.13445,NO
0.1194,NO
0.12375,NO
0.28115,YES
0.07635,NO
0.06605,YES
0.02055,NO
0.21405,YES
0.0303,NO
0.06755,NO
0.07050000000000001,NO
0.059000000000000004,NO
0.08765,NO
0.11505,NO
0.07255,NO
0.0964,NO
0.0362,NO
0.0122,NO
0.0702,YES
0.4724,YES
0.46685,YES
0.08650000000000001,YES
0.0413,NO
0.006500000000000001,NO
0.10515,YES
0.06975,NO
