NONETRACED_RFSMOTE_SINGLE_VSM_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.0622,NO
0.11320000000000001,NO
0.03355,NO
0.0453,NO
0.02945,NO
0.03395,NO
0.08445,NO
0.14845,YES
0.1308,NO
0.629,YES
0.12135,NO
0.13155,NO
0.11615,NO
0.06709999999999999,NO
0.3903,NO
0.06545,NO
0.03735,NO
0.19895000000000002,NO
0.06735,NO
0.08395,YES
0.0952,YES
0.3184,YES
0.61,YES
0.07865,NO
0.0358,YES
0.06025,NO
0.0586,YES
0.3922,YES
0.2081,NO
0.15895,NO
0.0674,NO
0.1206,NO
0.27735,YES
0.052849999999999994,YES
0.0832,NO
0.0528,NO
0.05405,NO
0.0529,NO
0.09485,NO
0.0763,NO
0.07755,NO
0.60055,YES
0.0933,NO
0.1313,YES
0.19205,NO
0.54495,YES
0.0206,NO
0.0606,NO
0.03845,NO
0.06675,NO
0.0401,NO
0.25015,NO
0.10595,NO
0.0604,NO
0.0443,NO
0.0767,NO
0.06655,NO
0.51325,NO
0.0906,NO
0.1883,NO
0.11324999999999999,NO
0.14045000000000002,NO
0.11935,NO
0.3437,YES
0.29515,NO
0.15075,YES
0.1025,NO
0.1334,NO
0.1068,NO
0.10095,NO
0.15165,NO
0.0634,NO
0.12735000000000002,NO
0.09774999999999999,NO
0.34509999999999996,NO
0.52825,YES
0.36260000000000003,YES
0.60765,YES
0.28355,YES
0.09795,NO
0.18635000000000002,YES
0.17754999999999999,NO
0.11515,YES
0.1607,YES
0.1678,NO
0.3131,NO
0.09035,NO
0.13705,NO
0.60175,YES
0.06215,YES
0.11655,NO
0.0826,NO
0.1432,NO
0.04435,NO
0.24945,NO
0.2994,NO
0.29875,NO
0.16115000000000002,YES
0.17635,NO
0.09105,YES
0.03555,NO
0.49905,YES
0.0303,NO
0.37755,NO
0.3505,NO
0.099,NO
0.06265,NO
0.16505,NO
0.17254999999999998,NO
0.0814,NO
0.0362,NO
0.0122,NO
0.42019999999999996,YES
0.2324,YES
0.43184999999999996,YES
0.2715,YES
0.0413,NO
0.006500000000000001,NO
