NONETRACED_RFUNDER_SINGLE_VSM_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.0572,NO
0.1282,NO
0.03355,NO
0.0453,NO
0.02945,NO
0.03395,NO
0.08445,NO
0.13845000000000002,YES
0.0308,NO
0.474,YES
0.12135,NO
0.14655,NO
0.14115,NO
0.0571,NO
0.0353,NO
0.05545,NO
0.03735,NO
0.10895,NO
0.05735,NO
0.043949999999999996,YES
0.0402,YES
0.0834,YES
0.45,YES
0.07865,NO
0.0358,YES
0.06025,NO
0.0936,YES
0.3972,YES
0.1681,NO
0.07895,NO
0.0574,NO
0.0556,NO
0.34735,YES
0.08285000000000001,YES
0.0682,NO
0.0528,NO
0.06405,NO
0.0529,NO
0.08985,NO
0.21130000000000002,NO
0.09755,NO
0.39055,YES
0.0483,NO
0.19130000000000003,YES
0.01705,NO
0.21994999999999998,YES
0.0206,NO
0.0706,NO
0.03845,NO
0.07175,NO
0.0401,NO
0.10015,NO
0.06595,NO
0.0954,NO
0.0443,NO
0.0767,NO
0.06655,NO
0.14825,NO
0.0856,NO
0.0883,NO
0.07325,NO
0.03545,NO
0.11435000000000001,NO
0.6087,YES
0.14015,NO
0.11575,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.09595,NO
0.10164999999999999,NO
0.0634,NO
0.09735,NO
0.08775,NO
0.11510000000000001,NO
0.55825,YES
0.5776,YES
0.31265,YES
0.11355000000000001,YES
0.08295,NO
0.13135000000000002,YES
0.12254999999999999,NO
0.06515,YES
0.2357,YES
0.1678,NO
0.09309999999999999,NO
0.09535,NO
0.08705,NO
0.39675000000000005,YES
0.06215,YES
0.14155,NO
0.0476,NO
0.1132,NO
0.04935,NO
0.13445,NO
0.1544,NO
0.12875,NO
0.25615,YES
0.11135,NO
0.04105,YES
0.01555,NO
0.30905,YES
0.0253,NO
0.06255,NO
0.0805,NO
0.064,NO
0.06765,NO
0.12004999999999999,NO
0.07255,NO
0.0864,NO
0.0362,NO
0.0122,NO
0.0702,YES
0.4224,YES
0.43684999999999996,YES
0.1015,YES
0.0463,NO
0.006500000000000001,NO
0.10515,YES
