NONETRACED_SUM_MULTI_VSM_MAX.csv,Associated
1.8537,NO
0.5834,NO
1.704,NO
2.0963,NO
1.485,NO
2.1095,NO
1.7948,NO
0.7667,NO
1.9917,NO
1.9477,YES
1.3756,NO
1.2554,YES
1.7086,NO
2.0992,NO
0.8604,NO
1.1216,NO
1.9147,NO
1.1982,NO
1.6659,NO
1.0683,NO
1.724,NO
1.5702,YES
2.3685,YES
2.0305,YES
1.22,YES
1.8438,NO
1.8569,YES
1.5248,NO
1.8027,YES
0.6739,YES
1.7663,NO
1.7371,NO
1.2337,NO
2.0414,NO
1.8795,YES
0.8008,YES
1.9387,NO
1.2723,NO
1.3662,NO
0.8425,NO
1.6019999999999999,NO
1.9112,NO
0.797,NO
1.2890000000000001,YES
1.633,NO
1.2388,YES
1.4984,NO
1.278,YES
1.4264,NO
1.1159,NO
1.7314,NO
1.6588,NO
0.899,NO
1.8226,NO
1.6722,NO
1.4791,NO
2.3651,NO
0.8235,NO
2.5022,NO
3.1138,NO
2.2189,NO
3.1599,NO
2.4938,NO
0.8633,NO
2.853,NO
3.3760000000000003,YES
2.1565,NO
1.864,YES
2.209,NO
2.7939,NO
0.9288,NO
1.5241,NO
2.7939,NO
1.4463,NO
2.5503,NO
1.1726,NO
2.543,NO
2.9166,YES
4.0375,YES
3.5354,YES
1.8259999999999998,YES
2.698,NO
3.0076,YES
2.2006,NO
1.9076,YES
0.6563,YES
1.8397,NO
1.8619,NO
1.3289,NO
2.2037,NO
1.9007,YES
0.8547,YES
2.1512,NO
1.4123,NO
1.4803,NO
0.9349,NO
1.7802,NO
2.0602,NO
0.9214,NO
1.1988,YES
1.7457,NO
1.2472,YES
1.5737,NO
1.2747,YES
1.4984,NO
1.2198,NO
1.8968,NO
1.7887,NO
0.9931,NO
1.9508,NO
1.7852,NO
1.6395,NO
2.5897,NO
0.8222,NO
2.8999,YES
3.5459,YES
2.8489999999999998,YES
3.6285,YES
2.5796,NO
0.9425,NO
3.4971,YES
2.0919,NO
2.5627,YES
1.3406,NO
2.5769,NO
3.0837,NO
1.2524,NO
1.4126,NO
3.3494,YES
1.4853,NO
3.6158,YES
1.3941,NO
3.2524,YES
1.8405,NO
2.9601,NO
2.9934,NO
1.4595,NO
3.1529,YES
2.9286,NO
2.5743,YES
2.7347,NO
0.8127,NO
2.6106,NO
3.1993,NO
2.2599,NO
3.2581,NO
2.612,NO
1.1455,NO
2.9019,NO
3.3301,YES
2.1775,NO
1.926,YES
2.3576,NO
2.9530000000000003,NO
1.0469,NO
1.5577,NO
2.8459,NO
1.7358,NO
2.4998,NO
1.4773,NO
2.5219,NO
2.8331,YES
4.01,YES
3.4618,YES
1.8813,YES
2.8332,NO
3.0125,YES
2.2512,NO
2.0473,NO
0.6622,NO
2.0457,YES
2.9318,YES
2.2516,YES
2.6239999999999997,YES
2.0428,NO
0.7437,NO
2.4758,YES
2.2702,NO
1.7555,YES
1.3296,NO
1.98,NO
2.463,NO
0.9917,NO
1.1673,NO
2.6276,YES
1.2013,NO
2.5807,YES
1.0555,NO
2.4782,YES
1.9019,NO
2.8972,NO
2.5225,NO
1.3037,NO
2.2688,YES
2.2797,NO
1.8718,YES
2.5578,NO
0.7897,NO
2.6223,NO
2.7276,NO
1.9742,NO
3.2428,NO
2.4624,NO
1.0877,NO
3.1007,NO
2.4506,YES
2.262,NO
1.5636,YES
2.424,NO
2.8348,NO
1.1521,NO
1.4185,NO
2.5733,NO
1.5838,NO
2.4087,NO
1.4565,NO
2.2873,NO
2.1185,YES
3.1069999999999998,YES
2.9594,YES
1.6391,YES
2.8183,NO
2.7704,YES
2.3501,NO
2.2059,NO
0.7514,NO
2.6924,NO
2.7143,NO
2.0089,NO
3.3483,NO
2.3219,NO
0.8145,NO
3.0091,NO
2.8978,YES
2.4471,NO
1.591,YES
1.9876,NO
2.4928,NO
0.6543,NO
1.3838,NO
2.6126,NO
1.3474,NO
2.6561,NO
1.0133,NO
2.4658,NO
2.6623,YES
3.5829,YES
3.5622,YES
1.7027,YES
2.8263,NO
3.1325,YES
2.2594,NO
2.7313,NO
0.8329,NO
2.6986,NO
3.1910000000000003,NO
2.2765,NO
3.3919,NO
2.641,NO
1.129,NO
3.1059,NO
3.2348,YES
2.3022,NO
1.8755,YES
2.4695,NO
3.0197,NO
1.119,NO
1.5338,NO
2.8812,NO
1.6925,NO
2.5894,NO
1.4619,NO
2.553,NO
2.7799,YES
3.9443,YES
3.4871,YES
1.8695,YES
2.9345,NO
3.074,YES
2.3909,NO
2.2434,NO
0.7117,NO
2.1046,NO
2.8833,NO
2.0304,NO
2.6326,NO
2.2275,NO
0.8775,NO
2.3636,NO
3.0372,YES
1.7156,NO
1.6901,YES
2.0271,NO
2.5708,NO
0.9427,NO
1.3555,NO
2.5163,NO
1.4080000000000001,NO
2.1648,NO
1.1712,NO
2.2689,NO
2.5403,YES
3.6046,YES
2.9822,YES
1.5982,YES
2.2755,NO
2.5197,YES
1.8531,NO
2.7336,NO
0.8929,NO
3.4772,YES
2.8004,YES
2.1657,YES
4.2305,YES
2.7577,NO
1.1093,NO
4.13,YES
2.0054,NO
3.1773,YES
1.3118,NO
2.7729,NO
3.0831,NO
1.1786,NO
1.5157,NO
2.9046,YES
1.6287,NO
3.2110000000000003,YES
1.5427,NO
2.7084,YES
1.9809999999999999,NO
2.8773,NO
3.4513,NO
1.6299,NO
3.6432,YES
3.4221,NO
3.0361,YES
2.7126,NO
0.9646,NO
3.7865,YES
2.9713,NO
2.3579,NO
4.8027,YES
2.8953,NO
0.9701,NO
4.9136,YES
2.089,NO
3.6696,YES
1.3763,NO
3.1689,NO
3.4059,NO
1.3714,NO
1.4703,NO
3.2243,NO
1.4364,NO
3.6749,NO
1.3329,NO
3.0687,NO
2.1075,NO
3.0436,NO
3.8346,NO
1.7785,NO
4.0528,YES
3.8278,NO
3.5418,YES
3.5459,NO
1.1444,NO
4.1158,YES
4.2697,YES
3.2836,YES
5.1479,YES
3.56,NO
1.3619999999999999,NO
4.9877,YES
3.3729,NO
3.7263,YES
2.0428,NO
3.5273,NO
4.1222,NO
1.5546,NO
1.9581,NO
4.1451,YES
2.0712,NO
4.325,YES
1.8273,NO
3.9024,YES
3.0702,NO
4.4806,NO
4.6052,NO
2.2682,NO
4.412,YES
4.343,NO
3.7132,YES
2.171,NO
0.8055,NO
3.38,YES
2.4057,NO
1.9564,NO
4.238,YES
2.3925,NO
0.7564,NO
4.2969,YES
1.7707,NO
3.3629,YES
1.1362,NO
2.5708,NO
2.7165,NO
0.9815,NO
1.1864,NO
2.6803,NO
1.1157,NO
3.2249,NO
1.01,NO
2.5859,NO
1.9036,NO
2.6019,NO
3.4882,NO
1.5549,NO
3.5653,YES
3.4384,NO
3.123,YES
1.2519,NO
0.3945,NO
1.2252,YES
1.6778,YES
1.3035,YES
1.5479,YES
1.2223,NO
0.4594,NO
1.5286,YES
1.0771,NO
1.0246,YES
0.6882,NO
1.2599,NO
1.5312,NO
0.6818,NO
0.7025,NO
1.5539,YES
0.7491,NO
1.5615,YES
0.6739,NO
1.4835,YES
0.8688,NO
1.4526,NO
1.3119999999999998,NO
0.6894,NO
1.3399,YES
1.2676,NO
1.1340000000000001,YES
2.5007,YES
0.5882,YES
1.9948,NO
1.9064,NO
1.3513,NO
2.3255,NO
1.9222,YES
1.3352,YES
2.2657,NO
1.4655,NO
1.5802,NO
0.9782,NO
1.9106,NO
2.2147,NO
0.9890000000000001,NO
1.1546,YES
1.8172,NO
1.787,YES
1.5933,NO
1.5389,YES
1.5232,NO
1.228,NO
1.9858,NO
1.8605,NO
1.0331,NO
2.0829,NO
1.8801,NO
1.7455,NO
2.7641,NO
1.012,NO
3.8656,YES
2.98,YES
2.3606,YES
4.9478,YES
2.9661,NO
1.012,NO
5.1803,YES
2.1302,NO
3.8153,YES
1.4097,NO
3.3437,NO
3.4887,NO
1.4812,NO
1.4648,NO
3.2321,YES
1.4202,NO
3.6409,YES
1.3691,NO
3.0114,YES
2.1755,NO
3.1088,NO
3.9096,NO
1.8376,NO
4.1757,YES
3.9175,NO
3.7785,YES
2.9519,NO
0.9432,NO
3.3909,YES
3.3106,YES
2.5138,YES
4.2035,YES
2.9191,NO
1.2083,NO
4.0593,YES
2.6824,NO
3.0569,YES
1.6415,NO
2.8734,NO
3.3044,NO
1.2663,NO
1.611,NO
3.2164,YES
1.7588,NO
3.3057,YES
1.6074,NO
2.9569,YES
2.4706,NO
3.5724,NO
3.7111,NO
1.8447,NO
3.6248,YES
3.5219,NO
3.0387,YES
2.385,NO
0.8125,NO
3.2849,YES
2.5518,YES
2.0235,YES
4.0146,YES
2.4743,NO
0.9215,NO
3.8971,YES
1.9363,NO
3.0932,YES
1.2166,NO
2.4054,NO
2.71,NO
0.8905,NO
1.3677,NO
2.7207,YES
1.4081,NO
3.1451,YES
1.2189,NO
2.6185,YES
1.9656,NO
2.7523,NO
3.412,NO
1.5514,NO
3.4164,YES
3.3269,NO
2.8507,YES
2.516,NO
0.9465,NO
3.6941,YES
2.7452,YES
2.2067,YES
4.7236,YES
2.7489999999999997,NO
0.9,NO
4.9865,YES
1.9219,NO
3.7022,YES
1.2748,NO
3.1408,NO
3.2257,NO
1.3619999999999999,NO
1.321,NO
3.0206,YES
1.2483,NO
3.4872,YES
1.2153,NO
2.8327,YES
2.0257,NO
2.8535,NO
3.718,NO
1.7205,NO
3.9771,YES
3.7333,NO
3.6496,YES
2.0049,NO
0.6504,NO
1.9789,YES
2.7743,YES
2.1517,YES
2.5131,YES
1.9766,NO
0.7388,NO
2.4207,YES
1.9626,NO
1.6856,YES
1.2027,NO
1.9496,NO
2.4054,NO
1.0078,NO
1.1556,NO
2.5317,YES
1.2044,NO
2.5226,YES
1.056,NO
2.4090000000000003,YES
1.6161,NO
2.569,NO
2.2801,NO
1.1867,NO
2.1782,YES
2.1302,NO
1.8151,YES
2.3515,NO
0.7688,NO
2.9775,YES
3.3367,YES
2.7467,YES
3.7023,YES
2.4064,NO
0.8162,NO
3.5082,YES
2.1234,NO
2.7541,YES
1.291,NO
2.2743,NO
2.7666,NO
0.912,NO
1.3094,NO
3.2505,YES
1.3295,NO
3.7204,YES
1.1187,NO
3.2666,YES
1.9881,NO
2.975,NO
3.2405,NO
1.4881,NO
3.1737,YES
3.0911,NO
2.5721,YES
1.8847,NO
0.6324,NO
1.8463,NO
2.0239,NO
1.4643,NO
2.3344,NO
1.8523,NO
0.7574,NO
2.6010000000000004,NO
1.3865,NO
1.6056,NO
0.9493,NO
2.2969,YES
2.4278,YES
1.3791,YES
0.9525,NO
1.9191,NO
1.0467,NO
1.7445,NO
1.1049,NO
1.6327,NO
1.129,NO
1.9057,NO
1.7978,NO
1.0042,NO
2.0168,NO
1.8161,NO
1.9582,NO
1.574,YES
0.5805,YES
1.3707,NO
1.4628,NO
1.0189,NO
1.5135,NO
1.5902,YES
0.7359,YES
1.3978,NO
1.1093,NO
0.9656,NO
0.7301,NO
1.2512,NO
1.5730000000000002,NO
0.6317,NO
1.1778,YES
1.3428,NO
1.1653,YES
1.1613,NO
1.1409,YES
1.1824,NO
0.9217,NO
1.4615,NO
1.2853,NO
0.7335,NO
1.3719,NO
1.2853,NO
1.091,NO
2.4096,NO
0.7828,NO
2.7839,YES
3.4189999999999996,YES
2.7705,YES
3.4958,YES
2.4422,NO
0.8447,NO
3.4247,YES
1.9698,NO
2.496,YES
1.2631,NO
2.5088,NO
2.963,NO
1.2296,NO
1.2982,NO
3.2467,YES
1.3299,NO
3.5397,YES
1.2595,NO
3.1848,YES
1.7404,NO
2.8023,NO
2.8762,NO
1.3949,NO
3.0239999999999996,YES
2.8148,NO
2.5192,YES
2.5776,YES
0.5353,YES
1.8617,NO
1.7843,NO
1.2624,NO
2.0751,NO
1.8179,YES
1.4598,YES
1.8977,NO
1.3229,NO
1.3743,NO
0.8874,NO
1.6302,NO
2.0104,NO
0.8063,NO
1.1875,YES
1.6896,NO
1.982,YES
1.4723,NO
1.6225,YES
1.4296,NO
1.0859,NO
1.8091,NO
1.6522,NO
0.9147,NO
1.8986,NO
1.6918,NO
1.473,NO
1.8793,NO
0.5719,NO
1.7419,NO
2.0432,NO
1.474,NO
2.1571,NO
