NONETRACED_SUM_MULTI_VSM_MEDIAN.csv,Associated
0.9637,NO
0.32430000000000003,NO
0.9092,NO
1.15635,NO
0.77605,NO
1.10005,NO
0.92685,NO
0.4173,NO
1.0803,NO
1.0973,YES
0.7186,NO
0.7967,YES
0.9756499999999999,NO
1.1611500000000001,NO
0.54135,NO
0.6179,NO
0.99265,NO
0.65455,NO
0.8703,NO
0.6431,NO
0.91935,NO
0.8240500000000001,YES
1.22445,YES
1.09865,YES
0.73,YES
1.00055,NO
0.96425,YES
0.82265,NO
0.95495,YES
0.45915000000000006,YES
1.05125,NO
0.9475,NO
0.67425,NO
1.0763,NO
1.1371,YES
0.44825,YES
1.03755,NO
0.68895,NO
0.7321500000000001,NO
0.47415,NO
0.8908499999999999,NO
1.0319,NO
0.47605000000000003,NO
0.78505,YES
0.8548,NO
0.6757,YES
0.76625,NO
0.8089500000000001,YES
0.7337999999999999,NO
0.6185499999999999,NO
0.90415,NO
0.89115,NO
0.48960000000000004,NO
1.00645,NO
0.89205,NO
0.78995,NO
1.22685,NO
0.48845,NO
1.31765,NO
1.7001499999999998,NO
1.18505,NO
1.66325,NO
1.32015,NO
0.45709999999999995,NO
1.5358500000000002,NO
1.9167,YES
1.1583999999999999,NO
1.03275,YES
1.207,NO
1.50535,NO
0.5711999999999999,NO
0.858,NO
1.4735999999999998,NO
0.78655,NO
1.3725,NO
0.67405,NO
1.3816000000000002,NO
1.6815499999999999,YES
2.23135,YES
1.95035,YES
1.00155,YES
1.43195,NO
1.60015,YES
1.1628500000000002,NO
1.01895,YES
0.41885,YES
1.08765,NO
1.0140500000000001,NO
0.7398,NO
1.1739,NO
1.1221,YES
0.4895,YES
1.1621499999999998,NO
0.75375,NO
0.80835,NO
0.5118,NO
1.00455,NO
1.1345,NO
0.56445,NO
0.69555,YES
0.9192,NO
0.6646500000000001,YES
0.8024,NO
0.7914,YES
0.7695,NO
0.67245,NO
0.9939,NO
0.95335,NO
0.5492,NO
1.08545,NO
0.96015,NO
0.88615,NO
1.33105,NO
0.4233,NO
1.5201500000000001,YES
1.94035,YES
1.5713499999999998,YES
1.8857499999999998,YES
1.3311000000000002,NO
0.47775,NO
1.8537000000000001,YES
1.1157,NO
1.3476,YES
0.74245,NO
1.3967,NO
1.63855,NO
0.7229,NO
0.7349,NO
1.7906,YES
0.7704500000000001,NO
1.98835,YES
0.7678999999999999,NO
1.7537,YES
0.94635,NO
1.5139,NO
1.5686499999999999,NO
0.7544500000000001,NO
1.6622,YES
1.5125,NO
1.3543,YES
1.44455,NO
0.44295,NO
1.4040499999999998,NO
1.72875,NO
1.2288000000000001,NO
1.7141000000000002,NO
1.3902,NO
0.634,NO
1.52385,NO
1.86645,YES
1.1676000000000002,NO
1.1082,YES
1.2781500000000001,NO
1.5643000000000002,NO
0.6079,NO
0.8058500000000001,NO
1.4964,NO
0.89525,NO
1.304,NO
0.8396,NO
1.3256000000000001,NO
1.6114,YES
2.1856,YES
1.8704500000000002,YES
1.08535,YES
1.5279,NO
1.5939,YES
1.17455,NO
1.0729,NO
0.3698,NO
1.0763,YES
1.64825,YES
1.2523499999999999,YES
1.3785499999999997,YES
1.06565,NO
0.40205,NO
1.3413,YES
1.265,NO
0.9307500000000001,YES
0.7377499999999999,NO
1.1026,NO
1.36005,NO
0.6146,NO
0.6563,NO
1.42605,YES
0.67115,NO
1.4215,YES
0.59875,NO
1.3668500000000001,YES
1.0534,NO
1.5589000000000002,NO
1.37265,NO
0.70345,NO
1.2074500000000001,YES
1.19565,NO
1.0022,YES
1.34965,NO
0.4321,NO
1.4302000000000001,NO
1.4587999999999999,NO
1.06445,NO
1.72125,NO
1.31385,NO
0.6206499999999999,NO
1.6502999999999999,NO
1.32475,YES
1.23325,NO
0.90415,YES
1.33795,NO
1.5192,NO
0.6777,NO
0.7359,NO
1.33915,NO
0.8199000000000001,NO
1.26,NO
0.84105,NO
1.1931,NO
1.1532,YES
1.6257499999999998,YES
1.57475,YES
0.97495,YES
1.5293999999999999,NO
1.46805,YES
1.2416,NO
1.1504,NO
0.44265,NO
1.4582000000000002,NO
1.4555,NO
1.0762500000000002,NO
1.7781,NO
1.2279,NO
0.4556,NO
1.6144500000000002,NO
1.6203,YES
1.3407499999999999,NO
0.8823,YES
1.0603500000000001,NO
1.28315,NO
0.3595,NO
0.7938999999999999,NO
1.37265,NO
0.75645,NO
1.48305,NO
0.5721,NO
1.37385,NO
1.53325,YES
1.95625,YES
2.02815,YES
0.9405,YES
1.50965,NO
1.6999,YES
1.216,NO
1.4376,NO
0.45489999999999997,NO
1.44695,NO
1.7126000000000001,NO
1.2406,NO
1.7871000000000001,NO
1.4047,NO
0.6247,NO
1.6405,NO
1.79635,YES
1.2425,NO
1.0419,YES
1.34735,NO
1.6118999999999999,NO
0.65985,NO
0.7918000000000001,NO
1.5113500000000002,NO
0.872,NO
1.3550499999999999,NO
0.82655,NO
1.3465,NO
1.59185,YES
2.14685,YES
1.8835,YES
1.0685,YES
1.57755,NO
1.6371499999999999,YES
1.25385,NO
1.15805,NO
0.39155,NO
1.1063,NO
1.5859500000000002,NO
1.0865500000000001,NO
1.35905,NO
1.1440000000000001,NO
0.46535,NO
1.25285,NO
1.7384499999999998,YES
0.88815,NO
0.9623999999999999,YES
1.11945,NO
1.3878000000000001,NO
0.5736,NO
0.7202,NO
1.3099,NO
0.7452000000000001,NO
1.13115,NO
0.6707,NO
1.21035,NO
1.43875,YES
1.96745,YES
1.6481000000000001,YES
0.86195,YES
1.2065000000000001,NO
1.31625,YES
0.97605,NO
1.42025,NO
0.46900000000000003,NO
1.99335,YES
1.47175,YES
1.1442,YES
2.2576,YES
1.4907,NO
0.6079,NO
2.2283,YES
1.0514,NO
1.7530999999999999,YES
0.70885,NO
1.4929999999999999,NO
1.61635,NO
0.663,NO
0.80295,NO
1.50195,YES
0.8581,NO
1.72395,YES
0.8778,NO
1.42025,YES
1.05405,NO
1.47865,NO
1.8769,NO
0.8749499999999999,NO
1.9915500000000002,YES
1.8368499999999999,NO
1.6220999999999999,YES
1.44625,NO
0.55965,NO
2.073,YES
1.5934499999999998,NO
1.2557,NO
2.6092999999999997,YES
1.5390000000000001,NO
0.5398999999999999,NO
2.7291999999999996,YES
1.14,NO
2.05385,YES
