NONETRACED_SUM_SINGLE_VSM_MAX.csv,Associated
0.9281,NO
0.9406,NO
0.9242,NO
1.599,NO
1.2722,NO
1.2078,NO
1.3383,NO
0.6506,NO
1.2255,NO
1.6094,YES
1.0793,NO
1.7082,YES
1.0768,NO
1.3617,NO
1.2583,NO
0.8053,NO
1.8956,NO
0.7981,NO
1.2776,NO
1.4381,NO
1.2975,NO
1.6019,YES
1.8301,YES
1.6968,YES
1.8355,YES
1.1053,NO
1.2726,YES
1.2876,NO
1.5009,YES
1.8561,YES
2.016,NO
1.6031,NO
1.4240000000000002,NO
2.1492,NO
2.4386,YES
1.1349,YES
2.1074,NO
0.9088,NO
2.0564,NO
1.0206,NO
1.5504,NO
1.7276,NO
1.6440000000000001,NO
1.6018,YES
2.1663,NO
1.3566,YES
1.9162,NO
2.7607,YES
1.4838,NO
1.3881,NO
1.4842,NO
1.9068,NO
1.4829,NO
2.1089,NO
1.7996,NO
2.1724,NO
0.9212,NO
1.2721,NO
1.6135,NO
2.4012,NO
1.98,NO
2.1326,NO
1.7439,NO
0.5483,NO
1.8743,NO
2.8124,YES
2.0858,NO
2.242,YES
1.1166,NO
1.4239,NO
1.1124,NO
0.9718,NO
2.8710000000000004,NO
0.7523,NO
2.1974,NO
1.2484,NO
1.9938,NO
3.0289,YES
3.2117,YES
3.3547,YES
2.5537,YES
1.8696,NO
2.5271,YES
1.9788,NO
2.3695,YES
2.5269999999999997,YES
3.1293,NO
2.7189,NO
2.4446,NO
3.6264,NO
3.4583,YES
1.7932,YES
3.6572,NO
1.6913,NO
3.4760000000000004,NO
1.8409,NO
2.7221,NO
2.9064,NO
2.8089999999999997,NO
1.9659,YES
3.6927,NO
1.9519,YES
3.1397,NO
3.9139,YES
2.4492,NO
2.3726,NO
2.5925,NO
3.2438,NO
2.6056,NO
3.4835,NO
3.0105,NO
3.7617,NO
1.1824,NO
1.3868,NO
2.5121,YES
3.6956,YES
3.8154,YES
3.2318,YES
1.9556,NO
0.6611,NO
3.1512,YES
1.0123,NO
3.2704,YES
1.0795,NO
1.8358,NO
2.0008,NO
2.0234,NO
0.7818,NO
5.0242,YES
0.7743,NO
4.6518,YES
1.8757,NO
3.7784,YES
1.6586,NO
1.9479,NO
2.7913,NO
1.7162,NO
3.0113,YES
2.5657,NO
3.0392,YES
1.4141,NO
1.2626,NO
1.7724,NO
2.5389,NO
2.0731,NO
2.278,NO
1.9341,NO
1.0241,NO
1.9663,NO
2.8317,YES
2.1681,NO
2.4337,YES
1.3147,NO
1.624,NO
1.3877,NO
1.0185,NO
2.9474,NO
1.1555,NO
2.1776,NO
1.9262,NO
1.9680000000000002,NO
3.0505,YES
3.2789,YES
3.3445,YES
2.763,YES
2.0903,NO
2.5475,YES
2.0983,NO
1.1982,NO
1.4732,NO
1.7604,YES
4.2319,YES
3.91,YES
2.5463,YES
2.0023,NO
0.6596,NO
2.4973,YES
2.5580000000000003,NO
2.4214,YES
2.1686,NO
1.6946,NO
2.1481,NO
2.0686,NO
0.9275,NO
5.0469,YES
0.845,NO
3.9953,YES
1.7333,NO
3.5884,YES
2.8267,NO
3.2884,NO
3.2802,NO
2.4236,NO
2.276,YES
2.4962,NO
2.5309,YES
1.3433,NO
1.2687,NO
2.0178,NO
1.8616,NO
1.5973,NO
2.5383,NO
1.8935,NO
0.9887,NO
2.4213,NO
1.8875,YES
2.487,NO
1.9754,YES
1.7387,NO
1.827,NO
1.7007,NO
0.8691,NO
2.448,NO
0.9944,NO
2.0021,NO
1.9831,NO
1.6037,NO
2.2059,YES
2.3493,YES
2.7806,YES
2.5194,YES
2.3699,NO
2.3712,YES
2.5034,NO
1.2142,NO
1.4861,NO
2.6897,NO
2.3816,NO
2.2192,NO
3.3179,NO
2.1035,NO
0.79,NO
2.8618,NO
2.6137,YES
3.4206,NO
2.0856,YES
1.3012,NO
1.4805,NO
1.0445,NO
1.1082,NO
3.4248,NO
0.9954,NO
3.1445,NO
1.5118,NO
2.5541,NO
3.2054,YES
3.2499,YES
4.1976,YES
2.8421,YES
2.9556,NO
3.5335,YES
2.8828,NO
1.2836,NO
1.2112,NO
1.7341,NO
2.4157,NO
1.9702,NO
2.3008,NO
1.8381,NO
0.9077,NO
2.0331,NO
2.7588,YES
2.1876,NO
2.346,YES
1.3832,NO
1.6428,NO
1.4111,NO
0.8891,NO
2.8204,NO
0.9879,NO
2.0783,NO
1.7243,NO
1.8387,NO
2.9805,YES
3.1931,YES
3.2874,YES
2.7007,YES
2.0913,NO
2.5222,YES
2.162,NO
0.9777,NO
1.0537,NO
1.1458,NO
2.3502,NO
1.8607,NO
1.5207,NO
1.5283,NO
0.6417,NO
1.3656,NO
2.6228,YES
1.4145,NO
2.1094,YES
1.0529,NO
1.3967,NO
1.1917,NO
0.8486,NO
2.5922,NO
0.8107,NO
1.7558,NO
1.3373,NO
1.7604,NO
2.6842,YES
2.9357,YES
2.7489999999999997,YES
2.2297,YES
1.3388,NO
1.936,YES
1.5019999999999998,NO
1.7164,NO
1.954,NO
4.7299,YES
2.0046,YES
2.3152,YES
5.5628,YES
2.8542,NO
1.18,NO
5.1794,YES
0.9378,NO
5.8015,YES
1.1257,NO
2.7445,NO
2.3947,NO
2.1319999999999997,NO
1.148,NO
3.9011,YES
1.1854,NO
4.4673,YES
2.6394,NO
2.9376,YES
2.2251,NO
2.0596,NO
4.4615,NO
2.7105,NO
5.2197,YES
4.534,NO
5.072,YES
1.3502,NO
1.8529,NO
4.1106,YES
2.0429,NO
2.3596,NO
5.2064,YES
2.5233,NO
0.8008,NO
5.1518,YES
1.0325,NO
5.415,YES
1.1577,NO
2.7972,NO
2.4975,NO
2.2086,NO
0.9046,NO
4.0552,NO
0.7813,NO
4.3771,NO
1.8247,NO
3.073,NO
2.1403,NO
2.0476,NO
4.19,NO
2.5881,NO
4.7307,YES
4.2322,NO
4.9595,YES
2.1202,NO
2.5478,NO
5.1101,YES
4.809,YES
4.8168,YES
6.5379,YES
3.6546,NO
1.2914,NO
6.2331,YES
3.1761,NO
6.702999999999999,YES
2.8383,NO
3.4035,NO
3.4252,NO
3.0342,NO
1.4188,NO
7.0724,YES
1.3769999999999998,NO
6.6856,YES
2.8793,NO
5.212000000000001,YES
4.4166,NO
4.5792,NO
6.5492,NO
4.3996,NO
5.936,YES
5.8635,NO
6.196000000000001,YES
1.2871,NO
1.8222,NO
4.2458,YES
1.9774,NO
2.34,NO
5.2251,YES
2.4482,NO
0.8025,NO
5.0365,YES
1.1832,NO
5.5786,YES
1.2022,NO
2.4924,NO
2.1163,NO
1.8332,NO
0.9092,NO
3.9333,NO
0.7893,NO
4.4101,NO
1.7292,NO
3.0263,NO
2.3669,NO
2.1925,NO
4.4624,NO
2.7054,NO
4.7674,YES
4.4284,NO
4.9401,YES
1.5516,NO
1.6542,NO
2.1228,YES
3.9785,YES
3.8213,YES
2.8332,YES
2.2965,NO
0.9043,NO
3.0449,YES
1.5835,NO
2.6756,YES
1.6344,NO
2.2894,NO
2.7672,NO
2.6821,NO
1.1085,NO
5.2041,YES
1.158,NO
4.3455,YES
2.2739,NO
3.799,YES
1.9397,NO
2.4525,NO
2.7398,NO
2.0085,NO
2.5556,YES
2.3433,NO
2.9751,YES
2.8214,YES
1.6113,YES
2.6126,NO
1.9795,NO
1.8145,NO
2.8835,NO
2.5205,YES
2.3837,YES
2.9348,NO
1.2913,NO
2.8507,NO
1.4295,NO
2.2175,NO
2.3487,NO
2.3196,NO
1.3384,YES
2.8015,NO
2.4233,YES
2.4049,NO
3.6841,YES
1.8259,NO
1.8089,NO
2.0446,NO
2.555,NO
2.0281,NO
2.8208,NO
2.3828,NO
3.0599,NO
1.3836,NO
1.984,NO
4.2102,YES
1.9937,YES
2.3227,YES
5.4138,YES
2.6123,NO
0.8584,NO
5.5108,YES
1.0590000000000002,NO
5.6756,YES
1.2016,NO
3.0725,NO
2.6067,NO
2.4130000000000003,NO
0.8703,NO
3.9862,YES
0.7353,NO
4.2886,YES
1.8839,NO
2.9259,YES
2.2249,NO
2.1019,NO
4.2778,NO
2.7118,NO
4.9288,YES
4.3536,NO
5.4111,YES
1.6232,NO
1.8461,NO
3.9927,YES
2.9349,YES
2.9412,YES
5.0098,YES
2.6936,NO
1.1179,NO
4.6578,YES
2.1955,NO
5.1452,YES
2.0038,NO
2.5403,NO
2.3262,NO
2.127,NO
0.9553,NO
4.3792,YES
1.0122,NO
4.2633,YES
2.3339,NO
3.0769,YES
3.1911,NO
3.1907,NO
4.7969,NO
3.2871,NO
4.6495,YES
4.3941,NO
4.6985,YES
1.3637,NO
1.7555,NO
4.3306,YES
1.9174,YES
2.2840000000000003,YES
5.1385,YES
2.4475,NO
0.8975,NO
4.7101,YES
1.1879,NO
5.4733,YES
1.1713,NO
2.0913,NO
1.8212,NO
1.4503,NO
1.0468,NO
3.8371,YES
0.985,NO
4.4118,YES
1.8681,NO
3.0215,YES
2.3796,NO
2.1921,NO
4.5092,NO
2.6619,NO
4.7226,YES
4.4546,NO
4.5982,YES
1.2618,NO
1.8417,NO
3.9409,YES
1.874,YES
2.2051,YES
5.0195,YES
2.4043,NO
0.7892,NO
5.1149,YES
0.9768,NO
5.3174,YES
1.0883,NO
2.798,NO
2.3379,NO
2.1745,NO
0.8007,NO
3.7284,YES
0.675,NO
4.0523,YES
1.7209999999999999,NO
2.7586,YES
2.0883,NO
1.9533,NO
4.0062,NO
2.5152,NO
4.5723,YES
4.0654,NO
5.0623,YES
1.1225,NO
1.3938,NO
1.5352,YES
3.8826,YES
3.6823,YES
2.2098,YES
1.8182,NO
0.6019,NO
2.3112,YES
1.8492,NO
2.1043,YES
1.7205,NO
1.6643,NO
2.1126,NO
2.0959,NO
0.9002,NO
4.7811,YES
0.8265,NO
3.8452,YES
1.6534,NO
3.4615,YES
2.0636,NO
2.5537,NO
2.5616,NO
1.9016,NO
1.9759,YES
2.0133,NO
2.2916,YES
1.2581,NO
1.5657,NO
3.2786,YES
3.6529,YES
3.9023,YES
4.056,YES
2.1577,NO
0.7436,NO
3.7613,YES
1.4992,NO
4.3049,YES
1.3553,NO
1.6692,NO
1.7505,NO
1.5899,NO
0.9288,NO
5.3538,YES
0.8994,NO
5.2713,YES
1.7331,NO
4.2,YES
2.3877,NO
2.5116,NO
3.9195,NO
2.3336,NO
3.7119999999999997,YES
3.5668,NO
3.6574,YES
1.5394,NO
1.6323,NO
2.1289,NO
2.1786,NO
1.9744,NO
2.7194,NO
2.2049,NO
1.0385,NO
3.2283,NO
1.1048,NO
2.6731,NO
1.276,NO
2.8476,YES
2.8479,YES
2.8824,YES
0.8859,NO
3.0424,NO
1.0071,NO
2.4947,NO
2.2703,NO
1.9503,NO
1.4955,NO
1.7856,NO
2.2566,NO
1.8048,NO
2.4993,NO
2.1134,NO
3.2845,NO
1.2858,YES
1.5309,YES
1.2457,NO
1.2054,NO
0.9957,NO
1.1225,NO
1.9535,YES
1.0233,YES
1.1257,NO
0.7383,NO
1.0375,NO
0.8316,NO
0.9622,NO
1.2363,NO
1.1736,NO
1.4898,YES
1.4819,NO
1.2990000000000002,YES
1.1854,NO
2.3809,YES
1.0395,NO
0.9923,NO
1.1095,NO
1.1573,NO
1.0291,NO
1.1465,NO
1.0252,NO
1.2172,NO
1.1313,NO
1.4409999999999998,NO
2.6313,YES
3.7974,YES
3.9529,YES
3.392,YES
1.9882,NO
0.6035,NO
3.4002,YES
1.0328,NO
