NONETRACED_SUM_SINGLE_VSM_MEDIAN.csv,Associated
0.5009,NO
0.5029,NO
0.5193,NO
0.9077,NO
0.66965,NO
0.6492,NO
0.6986,NO
0.35924999999999996,NO
0.6972,NO
0.92815,YES
0.57045,NO
1.0231,YES
0.65975,NO
0.7924,NO
0.7403,NO
0.45975,NO
0.9831,NO
0.4545,NO
0.67615,NO
0.828,NO
0.7061000000000001,NO
0.8399000000000001,YES
0.95525,YES
0.9318000000000001,YES
1.03775,YES
0.6313,NO
0.6720999999999999,YES
0.7040500000000001,NO
0.8040499999999999,YES
1.0502500000000001,YES
1.1761,NO
0.8805,NO
0.7694000000000001,NO
1.1302,NO
1.41665,YES
0.6153,YES
1.1219000000000001,NO
0.5072,NO
1.07725,NO
0.5631999999999999,NO
0.86505,NO
0.9401,NO
0.8995500000000001,NO
0.9414499999999999,YES
1.12145,NO
0.7346,YES
0.97515,NO
1.5503,YES
0.7625,NO
0.7546499999999999,NO
0.78055,NO
1.01515,NO
0.7815500000000001,NO
1.1496000000000002,NO
0.9557500000000001,NO
1.1366,NO
0.5049,NO
0.71275,NO
0.8733,NO
1.3438499999999998,NO
1.0655999999999999,NO
1.1496,NO
0.9452,NO
0.2996,NO
1.0465,NO
1.6348999999999998,YES
1.1230499999999999,NO
1.2217500000000001,YES
0.6608,NO
0.8203499999999999,NO
0.663,NO
0.58185,NO
1.51215,NO
0.43955,NO
1.19605,NO
0.71195,NO
1.107,NO
1.7377,YES
1.81845,YES
1.8599999999999999,YES
1.3654,YES
1.01775,NO
1.3598999999999999,YES
1.05195,NO
1.2499,YES
1.3541999999999998,YES
1.73245,NO
1.44255,NO
1.29765,NO
1.8852499999999999,NO
1.9009,YES
0.95875,YES
1.91515,NO
0.89325,NO
1.8062000000000002,NO
0.9648,NO
1.4755,NO
1.5576,NO
1.5082499999999999,NO
1.0791,YES
1.8927,NO
1.017,YES
1.5854,NO
2.1109999999999998,YES
1.2449,NO
1.24885,NO
1.34175,NO
1.6808999999999998,NO
1.35545,NO
1.8518,NO
1.5728,NO
1.94725,NO
0.6274,NO
0.7056,NO
1.3262500000000002,YES
