UPPERTRACED_MAX_SINGLE_LSA_MAX.csv,Associated
0.5000000000000001,NO
0.6534386037814254,NO
0.5587990858092667,NO
0.6186370247247039,NO
0.7527529607313527,NO
0.8092665697070436,NO
0.7894244753791815,NO
0.10295034282152504,NO
0.3579887803864534,NO
0.2469,YES
0.4918969457718679,NO
0.33799999999999997,YES
0.4245792644920008,NO
1.0,NO
0.5793683773114482,NO
0.8970496571784751,NO
1.0,NO
0.7042385206731769,NO
0.5410346976937462,NO
0.2179,NO
0.6655931851236236,NO
0.6325576563473926,YES
1.0,YES
0.5926656970704344,YES
0.4667567006025349,YES
0.7186785788489508,NO
0.860066486598795,YES
0.3189279035944317,NO
1.0,YES
0.9981300644088928,YES
0.3362,NO
0.4410970288801164,NO
0.6879285269062956,NO
0.1112,NO
0.5345938084354873,YES
1.0,YES
0.1618533139414087,NO
0.2708290047787243,NO
0.4497195096613339,NO
0.26812798670268023,NO
0.3625597340536049,NO
0.7607521296488678,NO
0.4565759401620611,NO
0.4913775192187824,YES
0.6518803241221692,NO
0.7752960731352587,YES
0.1922917099522128,NO
0.5622273010596303,YES
0.22127571161437776,NO
0.9410970288801164,NO
0.6221691252856847,NO
0.2267816330770829,NO
1.0,NO
0.1903,NO
0.2634531477249117,NO
0.1970704342405984,NO
0.5000000000000001,NO
0.6534386037814254,NO
0.5587990858092667,NO
0.6186370247247039,NO
0.7527529607313527,NO
0.8092665697070436,NO
0.7894244753791815,NO
0.10295034282152504,NO
0.3579887803864534,NO
0.4574,YES
0.4918969457718679,NO
0.2015,YES
0.4245792644920008,NO
1.0,NO
0.5793683773114482,NO
0.8970496571784751,NO
1.0,NO
0.7042385206731769,NO
0.5410346976937462,NO
0.1755,NO
0.6655931851236236,NO
0.6325576563473926,YES
1.0,YES
0.5926656970704344,YES
0.4667567006025349,YES
0.7186785788489508,NO
0.860066486598795,YES
0.3189279035944317,NO
1.0,YES
0.9981300644088928,YES
0.3356,NO
0.4410970288801164,NO
0.6879285269062956,NO
0.1441,NO
0.5345938084354873,YES
1.0,YES
0.1731,NO
0.2708290047787243,NO
0.4497195096613339,NO
0.26812798670268023,NO
0.3625597340536049,NO
0.7607521296488678,NO
0.4565759401620611,NO
0.4913775192187824,YES
0.6518803241221692,NO
0.7752960731352587,YES
0.1922917099522128,NO
0.5622273010596303,YES
0.22127571161437776,NO
0.9410970288801164,NO
0.6221691252856847,NO
0.2267816330770829,NO
1.0,NO
0.2201,NO
0.2634531477249117,NO
0.1970704342405984,NO
0.7804903386661126,NO
