UPPERTRACED_MAX_SINGLE_VSM_MEDIAN.csv,Associated
0.1397,NO
0.18925,NO
0.38685,NO
0.41515,NO
0.20199999999999999,NO
0.38395,NO
0.24065,NO
0.0907,NO
0.30645,NO
0.6234500000000001,YES
0.38465,NO
0.669,YES
0.22805,NO
0.2311,NO
0.1978,NO
0.21955000000000002,NO
0.33455,NO
0.19975,NO
0.2545,NO
0.23435,NO
0.29309999999999997,NO
0.53895,YES
0.5402,YES
0.5834,YES
0.62,YES
0.338,NO
0.5358,YES
0.2572,NO
0.5536,YES
0.6222,YES
0.2907,NO
0.12425,NO
0.0854,NO
0.09355,NO
0.69735,YES
0.54785,YES
0.07694999999999999,NO
0.06775,NO
0.09340000000000001,NO
0.0852,NO
0.10835,NO
0.1542,NO
0.13829999999999998,NO
0.64055,YES
0.08255,NO
0.5563,YES
0.0407,NO
0.66995,YES
0.0471,NO
0.14500000000000002,NO
0.09825,NO
0.0915,NO
0.07874999999999999,NO
0.1699,NO
0.09985,NO
0.094,NO
0.14715,NO
0.23335,NO
0.3962,NO
0.4502,NO
0.24405,NO
0.42195,NO
0.28445,NO
0.0822,NO
0.33135000000000003,NO
0.7287,YES
0.434,NO
0.60075,YES
0.2092,NO
0.22794999999999999,NO
0.19345,NO
0.2584,NO
0.3759,NO
0.2077,NO
0.3145,NO
0.21315,NO
0.34585,NO
0.72325,YES
0.7126,YES
0.68265,YES
0.58855,YES
0.34230000000000005,NO
0.59635,YES
0.25949999999999995,NO
0.56515,YES
0.5907,YES
0.2904,NO
0.1284,NO
0.10335,NO
0.11,NO
0.6717500000000001,YES
0.56215,YES
0.0953,NO
0.06255000000000001,NO
0.11255,NO
0.07665,NO
0.13295,NO
0.18230000000000002,NO
0.16449999999999998,NO
0.59615,YES
0.0906,NO
0.54105,YES
0.0392,NO
0.65405,YES
0.046799999999999994,NO
0.14695,NO
0.1053,NO
0.08875,NO
0.09129999999999999,NO
0.1848,NO
0.11145,NO
0.11,NO
0.12165000000000001,NO
0.1246,NO
0.34435,YES
0.6674,YES
0.64685,YES
0.41385,YES
0.19105,NO
0.07335000000000001,NO
0.35624999999999996,YES
0.2207,NO
0.38039999999999996,YES
0.18414999999999998,NO
0.20929999999999999,NO
0.25429999999999997,NO
0.23835,NO
0.0859,NO
0.6159,YES
0.0804,NO
0.68045,YES
0.32025000000000003,NO
0.6275,YES
0.21235,NO
0.26235,NO
0.3352,NO
0.19005,NO
0.43915,YES
0.27915,NO
0.3601,YES
0.18005,NO
0.19325,NO
0.4284,NO
0.43605,NO
0.2673,NO
0.4237,NO
0.2954,NO
0.118,NO
0.2949,NO
0.7014,YES
0.4327,NO
0.6452,YES
0.20605,NO
0.20735,NO
0.1711,NO
0.18945,NO
0.37270000000000003,NO
0.17165000000000002,NO
0.27125,NO
0.22635,NO
0.3004,NO
0.69485,YES
0.6806,YES
0.6395500000000001,YES
0.6447,YES
0.37065000000000003,NO
0.58765,YES
0.24589999999999998,NO
0.1347,NO
0.1511,NO
0.3276,YES
0.68235,YES
0.6265499999999999,YES
0.4089,YES
0.194,NO
0.09705000000000001,NO
0.3545,YES
0.28085,NO
0.36715,YES
0.18495,NO
0.21365,NO
0.28615,NO
0.26039999999999996,NO
0.12995,NO
0.61225,YES
0.12309999999999999,NO
0.63115,YES
0.3204,NO
0.62775,YES
0.2887,NO
0.3388,NO
0.37465,NO
0.21695,NO
0.42645,YES
0.28675,NO
0.35924999999999996,YES
0.17359999999999998,NO
0.19390000000000002,NO
0.4487,NO
0.40195000000000003,NO
0.2458,NO
0.4385,NO
0.29385,NO
0.13355,NO
0.32195,NO
0.59945,YES
0.4561,NO
0.62235,YES
0.23265000000000002,NO
0.22135,NO
0.18830000000000002,NO
0.18910000000000002,NO
0.35175,NO
0.1723,NO
0.2728,NO
0.23820000000000002,NO
0.2852,NO
0.59395,YES
0.57225,YES
0.59505,YES
0.6554,YES
0.37960000000000005,NO
0.58285,YES
0.26349999999999996,NO
0.1503,NO
0.22360000000000002,NO
0.44165,NO
0.4053,NO
0.24025,NO
0.4426,NO
0.27815,NO
0.1051,NO
0.3319,NO
0.6714,YES
0.47104999999999997,NO
0.5868,YES
0.17325000000000002,NO
0.1563,NO
0.119,NO
0.26445,NO
0.36560000000000004,NO
0.22705000000000003,NO
0.37215,NO
0.19085000000000002,NO
0.3767,NO
0.7021,YES
0.6648000000000001,YES
0.74705,YES
0.58915,YES
0.35585,NO
0.63365,YES
0.28325,NO
0.1748,NO
0.1951,NO
0.4273,NO
0.42405,NO
0.2708,NO
0.4298,NO
0.2954,NO
0.11695,NO
0.30955,NO
