UPPERTRACED_RFNONE_MULTI_VSM_MEDIAN.csv,Associated
0.14685,NO
0.1326,NO
0.1122,NO
0.3232,NO
0.11355000000000001,NO
0.2003,NO
0.18945,NO
0.38394999999999996,NO
0.15944999999999998,NO
0.34345000000000003,YES
0.0358,NO
0.304,YES
0.25135,NO
0.25655,NO
0.11115,NO
0.15710000000000002,NO
0.3103,NO
0.17545,NO
0.18735,NO
0.28395,NO
0.22735,NO
0.16394999999999998,YES
0.2602,YES
0.2084,YES
0.22,YES
0.17365,NO
0.2758,YES
0.25525,NO
0.2286,YES
0.3022,YES
0.2831,NO
0.18895,NO
0.3524,NO
0.2006,NO
0.42735,YES
0.09284999999999999,YES
0.3732,NO
0.3028,NO
0.06905,NO
0.3779,NO
0.31485,NO
0.2063,NO
0.07755,NO
0.20555,YES
0.2583,NO
0.1513,YES
0.01705,NO
0.29495,YES
0.1656,NO
0.1356,NO
0.14845,NO
0.29674999999999996,NO
0.2251,NO
0.20515,NO
0.29595,NO
0.1804,NO
0.1543,NO
0.17670000000000002,NO
0.12154999999999999,NO
0.35824999999999996,NO
0.15560000000000002,NO
0.2383,NO
0.23325,NO
0.37544999999999995,NO
0.18435,NO
0.4487,YES
0.08515,NO
0.23575000000000002,YES
0.23249999999999998,NO
0.25339999999999996,NO
0.1068,NO
0.19595,NO
0.35165,NO
0.1834,NO
0.24735000000000001,NO
0.26275,NO
0.2801,NO
0.34825,YES
0.4326,YES
0.30765,YES
0.18855,YES
0.17795,NO
0.33635,YES
0.25755,NO
0.24014999999999997,YES
0.2707,YES
0.2828,NO
0.1931,NO
0.37034999999999996,NO
0.21705,NO
0.40175000000000005,YES
0.10715,YES
0.39155,NO
0.2976,NO
0.0882,NO
0.36935,NO
0.33945000000000003,NO
0.2344,NO
0.10375,NO
0.16115000000000002,YES
0.26635,NO
0.13605,YES
0.01555,NO
0.27905,YES
0.1653,NO
0.13755,NO
0.1555,NO
0.294,NO
0.23765,NO
0.22005,NO
0.30755,NO
0.19640000000000002,NO
0.1212,NO
0.1722,NO
0.43019999999999997,YES
0.37239999999999995,YES
0.27685000000000004,YES
0.2215,YES
0.1313,NO
0.0815,NO
0.48014999999999997,YES
0.14475,NO
0.47125000000000006,YES
0.32715,NO
0.24325000000000002,NO
0.2667,NO
0.2517,NO
0.2886,NO
0.2409,YES
0.11779999999999999,NO
0.38045,YES
0.12585,NO
0.3325,YES
0.0961,NO
0.41385,NO
0.53195,NO
0.2997,NO
0.23075,YES
0.5132,NO
0.14715,YES
0.1872,NO
0.1366,NO
0.15375,NO
0.34409999999999996,NO
0.17885,NO
0.24004999999999999,NO
0.2442,NO
0.41125,NO
0.1479,NO
0.4214,YES
0.08385000000000001,NO
0.2802,YES
0.22935,NO
0.2328,NO
0.08445,NO
0.127,NO
0.34845000000000004,NO
0.14734999999999998,NO
0.2041,NO
0.27595,NO
0.23465000000000003,NO
0.31984999999999997,YES
0.4006,YES
0.26455,YES
0.2447,YES
0.20629999999999998,NO
0.32765,YES
0.24395,NO
0.13425,NO
0.1987,NO
0.41345,YES
0.38734999999999997,YES
0.25655,YES
0.21655,YES
0.13424999999999998,NO
0.1052,NO
0.4784,YES
0.20489999999999997,NO
0.458,YES
0.32795,NO
0.24760000000000001,NO
0.29855,NO
0.27375,NO
0.33265,NO
0.23725000000000002,YES
0.16049999999999998,NO
0.33115,YES
0.126,NO
0.33275,YES
0.17245,NO
0.4903,NO
0.5714,NO
0.3266,NO
0.21805,YES
0.5208,NO
0.14629999999999999,YES
0.18075,NO
0.13725,NO
0.17405,NO
0.31,NO
0.15735,NO
0.25485,NO
0.24265,NO
0.42679999999999996,NO
0.17495,NO
0.31945,YES
0.10725,NO
0.25735,YES
0.25595,NO
0.2468,NO
0.10165,NO
0.12665,NO
0.3275,NO
