UPPERTRACED_RFNONE_RAW_VSM_MEDIAN.csv,Associated
0.21184999999999998,NO
0.0676,NO
0.1572,NO
0.2882,NO
0.30855000000000005,NO
0.18030000000000002,NO
0.20445,NO
0.29895,NO
0.27945,NO
0.25345,YES
0.0708,NO
0.269,YES
0.35135,NO
0.29655,NO
0.33615,NO
0.1671,NO
0.1903,NO
0.20545,NO
0.16735,NO
0.17895,NO
0.29235,NO
0.21894999999999998,YES
0.17020000000000002,YES
0.2434,YES
0.32499999999999996,YES
0.30365,NO
0.2108,YES
0.25025,NO
0.1336,YES
0.1822,YES
0.42310000000000003,NO
0.31395,NO
0.2974,NO
0.2006,NO
0.37734999999999996,YES
0.31785,YES
0.3082,NO
0.3478,NO
0.05405,NO
0.2879,NO
0.21484999999999999,NO
0.21130000000000002,NO
0.08754999999999999,NO
0.29055,YES
0.3083,NO
0.1363,YES
0.07205,NO
0.39995,YES
0.2806,NO
0.11560000000000001,NO
0.23845,NO
0.30174999999999996,NO
0.0851,NO
0.32515,NO
0.17595,NO
0.2954,NO
0.2193,NO
0.11170000000000001,NO
0.16655,NO
0.32325,NO
0.3506,NO
0.2183,NO
0.24824999999999997,NO
0.29045,NO
0.30435,NO
0.3587,YES
0.12015,NO
0.20075,YES
0.3325,NO
0.2934,NO
0.3318,NO
0.20595,NO
0.23165,NO
0.21339999999999998,NO
0.22735,NO
0.15775,NO
0.34509999999999996,NO
0.40325,YES
0.3426,YES
0.34265,YES
0.29355,YES
0.30795,NO
0.27135,YES
0.25255,NO
0.14515,YES
0.1507,YES
0.4228,NO
0.3181,NO
0.31535,NO
0.21705,NO
0.35175,YES
0.33215,YES
0.32655,NO
0.3426,NO
0.0732,NO
0.27935,NO
0.23945,NO
0.2394,NO
0.11374999999999999,NO
0.24614999999999998,YES
0.31635,NO
0.12105,YES
0.07055,NO
0.38405,YES
0.2803,NO
0.11754999999999999,NO
0.2455,NO
0.299,NO
0.09765,NO
0.34005,NO
0.18755,NO
0.3114,NO
0.31120000000000003,NO
0.08220000000000001,NO
0.1802,YES
0.33240000000000003,YES
0.55685,YES
0.2715,YES
0.2213,NO
0.0365,NO
0.25515,YES
0.20475000000000002,NO
0.11125,YES
0.19715,NO
0.34325,NO
0.2767,NO
0.3067,NO
0.2886,NO
0.5709,YES
0.3078,NO
0.39544999999999997,YES
0.31584999999999996,NO
0.3375,YES
0.2061,NO
0.23884999999999998,NO
0.28695,NO
0.12969999999999998,NO
0.23075,YES
0.2032,NO
0.17215,YES
0.2522,NO
0.0716,NO
0.19875,NO
0.3091,NO
0.37385,NO
0.22005000000000002,NO
0.2592,NO
0.32625000000000004,NO
0.2679,NO
0.33140000000000003,YES
0.11885000000000001,NO
0.2452,YES
0.32935000000000003,NO
0.2728,NO
0.30945,NO
0.137,NO
0.22845,NO
0.17735,NO
0.1841,NO
0.17095,NO
0.29964999999999997,NO
0.37485,YES
0.3106,YES
0.29955,YES
0.3497,YES
0.3363,NO
0.26265,YES
0.23895,NO
0.32425000000000004,NO
0.1087,NO
0.16344999999999998,YES
0.34735000000000005,YES
0.53655,YES
0.26655,YES
0.22425,NO
0.060200000000000004,NO
0.2534,YES
0.2649,NO
0.098,YES
0.19795000000000001,NO
0.3476,NO
0.30855,NO
0.32875,NO
0.33265,NO
0.56725,YES
0.35050000000000003,NO
0.34614999999999996,YES
0.316,NO
0.33775,YES
0.28245,NO
0.31529999999999997,NO
0.3264,NO
0.1566,NO
0.21805,YES
0.2108,NO
0.1713,YES
0.24574999999999997,NO
0.07225000000000001,NO
0.21905000000000002,NO
0.275,NO
0.35235000000000005,NO
0.23485,NO
0.25765,NO
0.3418,NO
0.29495,NO
0.22945,YES
0.14225,NO
0.22235,YES
0.35595,NO
0.2868,NO
0.32665,NO
0.13665,NO
0.2075,NO
0.178,NO
0.18565,NO
0.18280000000000002,NO
0.28445,NO
0.27395,YES
0.20224999999999999,YES
0.25505,YES
0.3604,YES
0.34525,NO
0.25784999999999997,YES
0.25655,NO
0.22244999999999998,NO
0.10195,NO
0.212,NO
0.27835,NO
0.3468,NO
0.23895,NO
0.24195,NO
0.31335,NO
0.3049,NO
0.3014,YES
0.1572,NO
0.18680000000000002,YES
0.29655,NO
0.22175,NO
0.25735,NO
0.212,NO
0.22135,NO
0.23275,NO
0.28500000000000003,NO
0.13545000000000001,NO
0.37595,NO
0.3821,YES
0.2948,YES
0.40705,YES
0.29414999999999997,YES
0.3215,NO
0.30865,YES
0.2763,NO
0.24695,NO
0.07345,NO
0.19765,NO
0.2971,NO
0.37735,NO
0.22615000000000002,NO
0.2592,NO
0.3252,NO
0.28255,NO
0.30895,YES
0.1314,NO
0.20415,YES
0.3426,NO
0.28705,NO
0.32535000000000003,NO
0.1349,NO
0.22575,NO
0.17575,NO
0.19035000000000002,NO
0.16560000000000002,NO
0.305,NO
0.3819,YES
0.30469999999999997,YES
0.29995,YES
0.33875,YES
0.3353,NO
0.27515,YES
0.2484,NO
0.21134999999999998,NO
0.07070000000000001,NO
0.15400000000000003,NO
0.32430000000000003,NO
0.34635000000000005,NO
0.17775000000000002,NO
0.20525,NO
0.2916,NO
0.26605,NO
0.34985,YES
0.07035,NO
0.21735,YES
0.3359,NO
0.2874,NO
0.32725,NO
0.15245,NO
0.20675,NO
0.19119999999999998,NO
0.17875000000000002,NO
0.15510000000000002,NO
0.31089999999999995,NO
0.3486,YES
0.29515,YES
0.317,YES
0.26785,YES
0.29375,NO
0.2314,YES
0.2395,NO
0.22345,NO
0.31755,NO
0.47475,YES
0.19655,YES
0.16635,YES
0.29735,YES
0.29685,NO
0.34325,NO
0.3483,YES
0.2837,NO
0.6244500000000001,YES
0.24295,NO
0.31655,NO
0.26480000000000004,NO
0.2037,NO
0.2101,NO
0.23965,YES
0.14875,NO
0.38345,YES
0.38145,NO
0.22605,YES
0.22355,NO
0.245,NO
0.38125,NO
0.3,NO
0.50995,YES
0.39080000000000004,NO
0.54405,YES
0.16494999999999999,NO
0.08735,NO
0.19474999999999998,YES
0.1428,NO
0.09175,NO
0.25295,YES
0.10635,NO
0.05485,NO
0.37239999999999995,YES
0.1005,NO
0.29405,YES
0.1314,NO
0.19820000000000002,NO
0.22014999999999998,NO
0.15239999999999998,NO
0.1155,NO
0.15449999999999997,NO
0.1099,NO
0.30365,NO
0.07255,NO
0.13685,NO
0.11455,NO
0.1492,NO
0.21334999999999998,NO
0.10085000000000001,NO
0.37970000000000004,YES
0.23795,NO
0.2437,YES
0.3149,NO
0.0882,NO
0.23375,YES
0.30469999999999997,YES
0.5216,YES
0.31065,YES
0.24165,NO
0.0537,NO
0.28995,YES
0.2514,NO
0.1754,YES
0.17975,NO
0.35324999999999995,NO
0.28305,NO
0.3124,NO
0.2828,NO
0.5447500000000001,YES
0.30210000000000004,NO
0.35,YES
0.30619999999999997,NO
0.30565,YES
0.29985,NO
0.31055,NO
0.36175,NO
0.16275,NO
0.26649999999999996,YES
0.25295,NO
0.20400000000000001,YES
0.09179999999999999,NO
0.0823,NO
0.37405,YES
0.1131,NO
0.09244999999999999,NO
0.65985,YES
0.10405,NO
0.1315,NO
0.2519,YES
0.2345,NO
0.6815,YES
0.0728,NO
0.1122,NO
0.0821,NO
0.08385000000000001,NO
0.08875,NO
0.1053,NO
0.0827,NO
0.25785,NO
0.0451,NO
0.16315,NO
0.2059,NO
0.2982,NO
0.22005,NO
0.11300000000000002,NO
0.24100000000000002,YES
0.2492,NO
0.5669500000000001,YES
0.29835,NO
0.0792,NO
0.1372,YES
0.26335000000000003,YES
0.47254999999999997,YES
0.2263,YES
0.19945,NO
0.0349,NO
0.2102,YES
0.1926,NO
0.0667,YES
0.1747,NO
0.3205,NO
0.26665,NO
0.29925,NO
0.2916,NO
0.5376000000000001,YES
0.31070000000000003,NO
0.29164999999999996,YES
0.31235,NO
0.2706,YES
0.1875,NO
0.2407,NO
0.2499,NO
0.1225,NO
0.17859999999999998,YES
0.1739,NO
0.13685,YES
0.23120000000000002,YES
0.0841,YES
0.4367,NO
0.3124,NO
0.31295,NO
0.2203,NO
0.29969999999999997,YES
0.45465,YES
0.3102,NO
0.3329,NO
0.08085,NO
0.26849999999999996,NO
0.23155,NO
0.21500000000000002,NO
0.0823,NO
0.19219999999999998,YES
0.3175,NO
0.20095000000000002,YES
0.068,NO
0.37925,YES
0.27885,NO
0.106,NO
0.24635,NO
0.30295,NO
0.10464999999999999,NO
0.33885,NO
0.195,NO
0.2948,NO
0.21195000000000003,NO
0.3286,NO
0.3734,YES
0.1827,YES
0.1451,YES
0.3133,YES
0.2284,NO
0.32384999999999997,NO
0.4578,YES
0.2819,NO
0.64855,YES
0.22825,NO
0.3621,NO
0.28335,NO
0.23120000000000002,NO
0.20700000000000002,NO
0.24635,YES
0.14365,NO
0.4151,YES
0.31605000000000005,NO
0.25845,YES
0.22765000000000002,NO
0.2521,NO
0.38115,NO
0.29885,NO
0.4883,YES
0.39605,NO
0.62155,YES
0.22890000000000002,NO
0.3187,NO
0.43385,YES
0.23570000000000002,YES
0.20534999999999998,YES
0.27835,YES
0.2946,NO
0.34825,NO
0.33675,YES
0.3293,NO
0.6061000000000001,YES
0.2444,NO
0.32384999999999997,NO
0.27815,NO
0.2172,NO
0.2124,NO
0.266,YES
0.1491,NO
0.37835,YES
0.3734,NO
0.23870000000000002,YES
0.2667,NO
0.2973,NO
0.3802,NO
0.3061,NO
0.49195,YES
0.38205,NO
0.5468500000000001,YES
0.23710000000000003,NO
0.34995,NO
0.483,YES
0.20615,YES
0.20479999999999998,YES
0.31984999999999997,YES
0.2985,NO
0.3711,NO
0.3536,YES
0.29009999999999997,NO
0.65505,YES
0.2411,NO
0.28415,NO
0.2331,NO
0.16145,NO
0.2667,NO
0.2741,YES
0.20375,NO
0.43610000000000004,YES
0.36365000000000003,NO
0.2857,YES
0.2477,NO
0.27005,NO
