UPPERTRACED_RFSMOTE_MULTI_VSM_MEDIAN.csv,Associated
0.51685,NO
0.0576,NO
0.0622,NO
0.1382,NO
0.29355000000000003,NO
0.0703,NO
0.44944999999999996,NO
0.48895,NO
0.29945,NO
0.12345,YES
0.1908,NO
0.184,YES
0.53635,NO
0.53655,NO
0.11615,NO
0.062099999999999995,NO
0.5353,NO
0.05545,NO
0.52735,NO
0.42895,NO
0.37735,NO
0.03895,YES
0.0402,YES
0.0834,YES
0.28500000000000003,YES
0.27865,NO
0.0358,YES
0.48024999999999995,NO
0.0536,YES
0.6122,YES
0.47809999999999997,NO
0.09395,NO
0.5124,NO
0.2756,NO
0.20735,YES
0.04785,YES
0.3232,NO
0.3728,NO
0.17905000000000001,NO
0.1079,NO
0.53985,NO
0.5313,NO
0.07755,NO
0.14555,YES
0.2783,NO
0.0563,YES
0.01705,NO
0.16995,YES
0.3956,NO
0.4206,NO
0.07345,NO
0.46175,NO
0.0751,NO
0.11515,NO
0.51095,NO
0.2454,NO
0.5243,NO
0.10170000000000001,NO
0.07155,NO
0.17325,NO
0.3356,NO
0.10830000000000001,NO
0.49324999999999997,NO
0.48045000000000004,NO
0.32435,NO
0.2287,YES
0.24015,NO
0.11575,YES
0.5175,NO
0.5334,NO
0.11180000000000001,NO
0.10095,NO
0.57665,NO
0.0634,NO
0.58735,NO
0.40775,NO
0.43010000000000004,NO
0.22325,YES
0.2126,YES
0.18265,YES
0.25355,YES
0.28295000000000003,NO
0.09635,YES
0.48255,NO
0.06515,YES
0.5807,YES
0.4778,NO
0.09809999999999999,NO
0.53035,NO
0.29205000000000003,NO
0.18175000000000002,YES
0.06215,YES
0.34155,NO
0.36760000000000004,NO
0.1982,NO
0.09935,NO
0.56445,NO
0.5594,NO
0.10375,NO
0.10115,YES
0.28635,NO
0.04105,YES
0.01555,NO
0.15405,YES
0.3953,NO
0.42255,NO
0.0805,NO
0.459,NO
0.08765,NO
0.13005,NO
0.5225500000000001,NO
0.2614,NO
0.37120000000000003,NO
0.5072,NO
0.5302,YES
0.1674,YES
0.14685,YES
0.07150000000000001,YES
0.4763,NO
0.2315,NO
0.60515,YES
0.44475,NO
0.56625,YES
0.13215,NO
0.51825,NO
0.5066999999999999,NO
0.1517,NO
0.0936,NO
0.1159,YES
0.0928,NO
0.18045,YES
0.09085,NO
0.1275,YES
0.21610000000000001,NO
0.53385,NO
0.57195,NO
0.0797,NO
0.11075000000000002,YES
0.5482,NO
0.36214999999999997,YES
0.5572,NO
0.0616,NO
0.10375000000000001,NO
0.1591,NO
0.35885,NO
0.11005000000000001,NO
0.5042,NO
0.51625,NO
0.2879,NO
0.2014,YES
0.23885,NO
0.1602,YES
0.51435,NO
0.5128,NO
0.08945,NO
0.032,NO
