UPPERTRACED_RFSMOTE_RAW_VSM_MEDIAN.csv,Associated
0.04185,NO
0.4576,NO
0.1272,NO
0.2932,NO
0.04855,NO
0.1403,NO
0.38944999999999996,NO
0.26395,NO
0.43445,NO
0.13345,YES
0.12079999999999999,NO
0.27399999999999997,YES
0.21635,NO
0.12655,NO
0.21615,NO
0.1421,NO
0.3403,NO
0.13045,NO
0.05235,NO
0.5739500000000001,NO
0.40735,NO
0.04895,YES
0.0502,YES
0.0934,YES
0.455,YES
0.43365,NO
0.0808,YES
0.15525,NO
0.0586,YES
0.2522,YES
0.2231,NO
0.55895,NO
0.0874,NO
0.5156000000000001,NO
0.26735,YES
0.46285,YES
0.0732,NO
0.2878,NO
0.04905,NO
0.0579,NO
0.35485,NO
0.0863,NO
0.07755,NO
0.20555,YES
0.4883,NO
0.0613,YES
0.01705,NO
0.6449499999999999,YES
0.2756,NO
0.11560000000000001,NO
0.52345,NO
0.16175,NO
0.0401,NO
0.5801499999999999,NO
0.43095,NO
0.0854,NO
0.0493,NO
0.5017,NO
0.13655,NO
0.32825,NO
0.0906,NO
0.17830000000000001,NO
0.43324999999999997,NO
0.25545,NO
0.45935,NO
0.2387,YES
0.17015,NO
0.20575,YES
0.1975,NO
0.1234,NO
0.2118,NO
0.18095,NO
0.38165,NO
0.1384,NO
0.11235,NO
0.5527500000000001,NO
0.46009999999999995,NO
0.23325,YES
0.22260000000000002,YES
0.19265000000000002,YES
0.42355000000000004,YES
0.43794999999999995,NO
0.14135,YES
0.15755,NO
0.07015,YES
0.2207,YES
0.2228,NO
0.5630999999999999,NO
0.10535,NO
0.53205,NO
0.24175000000000002,YES
0.47714999999999996,YES
0.09155,NO
0.28259999999999996,NO
0.0682,NO
0.04935,NO
0.37945,NO
0.1144,NO
0.10375,NO
0.16115000000000002,YES
0.49635,NO
0.04605,YES
0.01555,NO
0.62905,YES
0.2753,NO
0.11754999999999999,NO
0.5305,NO
0.159,NO
0.05265,NO
0.59505,NO
0.44255,NO
0.1014,NO
0.0512,NO
0.2622,NO
0.1752,YES
0.1924,YES
0.64685,YES
0.3615,YES
0.0463,NO
0.41150000000000003,NO
0.53015,YES
0.08975000000000001,NO
0.32625000000000004,YES
0.13215,NO
0.20325,NO
0.4267,NO
0.2117,NO
0.17359999999999998,NO
0.6159,YES
0.20779999999999998,NO
0.22544999999999998,YES
0.20585,NO
0.1675,YES
0.0361,NO
0.44384999999999997,NO
0.51195,NO
0.0797,NO
0.17575000000000002,YES
0.2332,NO
0.30215,YES
0.08220000000000001,NO
0.4616,NO
0.16875,NO
0.3141,NO
0.11384999999999999,NO
0.18005,NO
0.4442,NO
0.29125,NO
0.4229,NO
0.2114,YES
0.16885,NO
0.2502,YES
0.19435,NO
0.1028,NO
0.18945,NO
0.11200000000000002,NO
0.37845,NO
0.10235,NO
0.0691,NO
