UPPERTRACED_RFSMOTE_SINGLE_VSM_MAX.csv,Associated
0.0737,NO
0.26,NO
0.88,NO
0.2164,NO
0.84,NO
0.44,NO
0.66,NO
0.0679,NO
0.88,NO
0.91,YES
0.79,NO
0.33799999999999997,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.22,NO
0.2,NO
0.21,NO
0.74,NO
0.2179,NO
0.61,NO
0.91,YES
0.93,YES
0.99,YES
0.24,YES
0.73,NO
0.87,YES
0.54,NO
0.14,YES
0.9321614016187414,YES
0.3362,NO
0.1579,NO
0.17,NO
0.47,NO
0.3947,YES
0.11,YES
0.43,NO
0.1056,NO
0.53,NO
0.1058,NO
0.44,NO
0.1526,NO
0.1551,NO
0.4082171526790948,YES
0.3,NO
0.98,YES
0.05,NO
0.9,YES
0.0412,NO
0.29,NO
0.0769,NO
0.1235,NO
0.0802,NO
0.24,NO
0.21,NO
0.1008,NO
0.0886,NO
0.26,NO
0.88,NO
0.2865,NO
0.84,NO
0.44,NO
0.66,NO
0.0509,NO
0.88,NO
0.91,YES
0.79,NO
0.2015,YES
0.205,NO
0.2168,NO
0.2136,NO
0.22,NO
0.2,NO
0.21,NO
0.74,NO
0.1755,NO
0.61,NO
0.91,YES
0.93,YES
0.99,YES
0.1771,YES
0.73,NO
0.87,YES
0.54,NO
0.14,YES
0.9321614016187414,YES
0.3356,NO
0.1662,NO
0.17,NO
0.47,NO
0.3896319731979907,YES
0.1243,YES
0.43,NO
0.0952,NO
0.53,NO
0.0887,NO
0.44,NO
0.2088,NO
0.2075,NO
0.4082171526790948,YES
0.3,NO
0.98,YES
0.05,NO
0.9,YES
0.0406,NO
0.29,NO
0.091,NO
0.11800000000000001,NO
0.1053,NO
0.24,NO
0.21,NO
0.1328,NO
0.0724,NO
0.09,NO
0.91,YES
0.99,YES
0.91,YES
0.4,YES
0.91,NO
1.0,NO
0.66,YES
0.9,NO
0.4,YES
0.1443,NO
0.2165,NO
0.94,NO
0.39,NO
0.0572,NO
1.0,YES
0.0556,NO
0.82,YES
0.74,NO
0.83,YES
0.9,NO
0.27,NO
0.68,NO
0.89,NO
0.19,YES
0.7,NO
1.0,YES
0.1544,NO
0.26,NO
0.88,NO
0.2582,NO
0.84,NO
0.44,NO
0.66,NO
0.1225,NO
0.88,NO
0.91,YES
0.79,NO
0.2904,YES
0.1987,NO
0.1756,NO
0.1689,NO
0.22,NO
0.2,NO
0.21,NO
0.74,NO
0.2019,NO
0.61,NO
0.91,YES
0.93,YES
0.99,YES
0.2894,YES
0.73,NO
0.87,YES
0.54,NO
0.0985,NO
0.09,NO
0.91,YES
0.99,YES
0.91,YES
0.4,YES
0.91,NO
1.0,NO
0.66,YES
0.9,NO
0.4,YES
0.1459,NO
0.2252,NO
0.94,NO
0.39,NO
0.1453,NO
1.0,YES
0.141,NO
0.82,YES
0.74,NO
0.83,YES
0.9,NO
0.27,NO
0.68,NO
0.89,NO
0.19,YES
0.7,NO
1.0,YES
0.1415,NO
0.26,NO
0.88,NO
0.19,NO
0.84,NO
0.44,NO
0.66,NO
0.1536,NO
0.88,NO
0.91,YES
0.79,NO
0.2447,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.22,NO
0.2,NO
0.21,NO
0.74,NO
0.2256,NO
0.61,NO
0.91,YES
0.93,YES
0.99,YES
0.3108,YES
0.73,NO
0.87,YES
0.54,NO
0.0949,NO
0.26,NO
0.88,NO
0.1967,NO
0.84,NO
0.44,NO
0.66,NO
0.0967,NO
0.88,NO
0.91,YES
0.79,NO
0.1736,YES
0.1331,NO
0.1,NO
0.0647,NO
0.22,NO
0.2,NO
0.21,NO
0.74,NO
0.1309,NO
0.61,NO
0.91,YES
0.93,YES
0.99,YES
0.1783,YES
0.73,NO
0.87,YES
0.54,NO
0.1439,NO
0.26,NO
0.88,NO
0.2342,NO
0.84,NO
0.44,NO
0.66,NO
0.1204,NO
0.88,NO
0.91,YES
0.79,NO
0.2083,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.22,NO
0.2,NO
0.21,NO
0.74,NO
0.1912,NO
0.61,NO
0.91,YES
0.93,YES
0.99,YES
0.2675,YES
0.73,NO
0.87,YES
0.54,NO
0.0727,NO
0.26,NO
0.88,NO
0.2886,NO
0.84,NO
0.44,NO
0.66,NO
0.0532,NO
0.88,NO
0.91,YES
0.79,NO
0.2347,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.22,NO
0.2,NO
0.21,NO
0.74,NO
0.1702,NO
0.61,NO
0.91,YES
0.93,YES
0.99,YES
0.1257,YES
0.73,NO
0.87,YES
0.54,NO
0.1069,NO
0.9,NO
0.82,YES
0.35,YES
0.32,YES
1.0,YES
0.2237,NO
0.1065,NO
1.0,YES
0.0974,NO
1.0,YES
0.1059,NO
0.2131,NO
0.74,NO
0.91,NO
0.19,NO
0.0993,YES
0.0875,NO
0.48,YES
0.2129,NO
0.18,YES
0.75,NO
0.74,NO
0.3025,NO
0.26,NO
0.98,YES
0.2516,NO
1.0,YES
0.1799,NO
0.1547,NO
0.3595,YES
0.2156,NO
0.1535,NO
0.91,YES
1.0,NO
0.1097,NO
0.5448,YES
0.191,NO
1.0,YES
0.1528,NO
1.0,NO
0.99,NO
0.2648,NO
0.171,NO
0.86,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.1784,NO
0.79,NO
0.45,NO
1.0,YES
0.89,NO
1.0,YES
0.0798,NO
0.09,NO
0.91,YES
0.99,YES
0.91,YES
0.4,YES
0.91,NO
