UPPERTRACED_RFUNDER_MULTI_LSA_MAX.csv,Associated
0.8888888888888891,NO
0.8888888888888891,NO
0.1144,NO
0.3838383838383839,NO
1.0,NO
0.8686868686868687,NO
0.8686868686868687,NO
0.0679,NO
0.1689,NO
0.2469,YES
0.8888888888888891,NO
0.686868686868687,YES
0.2427,NO
0.8787878787878788,NO
0.2223,NO
0.1142,NO
0.8686868686868687,NO
0.2727272727272728,NO
0.0747,NO
0.2179,NO
0.7777777777777779,NO
0.8888888888888891,YES
0.8686868686868687,YES
0.1668,YES
0.7575757575757576,YES
0.8787878787878788,NO
0.8686868686868687,YES
0.1205,NO
0.7373737373737373,YES
0.7373737373737373,YES
0.6363636363636365,NO
0.1579,NO
0.8888888888888891,NO
0.787878787878788,NO
0.7575757575757576,YES
0.7373737373737373,YES
0.1364,NO
0.1056,NO
0.0981,NO
0.1058,NO
0.1797,NO
0.1526,NO
0.1551,NO
0.2811,YES
0.7474747474747475,NO
0.7979797979797981,YES
0.7272727272727273,NO
0.3399,YES
0.14141414141414144,NO
0.1212,NO
0.6767676767676769,NO
0.1235,NO
0.7373737373737373,NO
0.1903,NO
0.6666666666666667,NO
0.7575757575757576,NO
0.8888888888888891,NO
0.8888888888888891,NO
0.1331,NO
0.3838383838383839,NO
1.0,NO
0.8686868686868687,NO
0.8686868686868687,NO
0.0509,NO
0.2187,NO
0.4574,YES
0.8888888888888891,NO
0.686868686868687,YES
0.205,NO
0.8787878787878788,NO
0.2136,NO
0.1919,NO
0.8686868686868687,NO
0.2727272727272728,NO
0.1947,NO
0.1755,NO
0.7777777777777779,NO
0.8888888888888891,YES
0.8686868686868687,YES
0.3653,YES
0.7575757575757576,YES
0.8787878787878788,NO
0.8686868686868687,YES
0.1251,NO
0.7373737373737373,YES
0.7373737373737373,YES
0.6363636363636365,NO
0.1662,NO
0.8888888888888891,NO
0.787878787878788,NO
0.7575757575757576,YES
0.7373737373737373,YES
0.1731,NO
0.0952,NO
0.1364,NO
0.0887,NO
0.2289,NO
0.2088,NO
0.2075,NO
0.1923,YES
0.7474747474747475,NO
0.7979797979797981,YES
0.7272727272727273,NO
0.3081,YES
0.14141414141414144,NO
0.1251,NO
0.6767676767676769,NO
0.11800000000000001,NO
0.7373737373737373,NO
0.2201,NO
0.6666666666666667,NO
0.7575757575757576,NO
0.8686868686868687,NO
0.8888888888888891,NO
0.9393939393939396,YES
0.8686868686868687,YES
0.7373737373737373,YES
0.8686868686868687,YES
0.8686868686868687,NO
0.42424242424242425,NO
0.8787878787878788,YES
0.8686868686868687,NO
0.8989898989898991,YES
0.8686868686868687,NO
0.8686868686868687,NO
0.9696969696969696,NO
0.7676767676767677,NO
0.8989898989898991,NO
0.8686868686868687,YES
0.9797979797979798,NO
0.4848484848484849,YES
0.7575757575757576,NO
0.8383838383838383,YES
0.8686868686868687,NO
0.8686868686868687,NO
0.8686868686868687,NO
0.8686868686868687,NO
0.8686868686868687,YES
0.8686868686868687,NO
0.8686868686868687,YES
0.8888888888888891,NO
0.8888888888888891,NO
0.1975,NO
0.3838383838383839,NO
1.0,NO
0.8686868686868687,NO
0.8686868686868687,NO
0.1225,NO
0.1458,NO
0.4028,YES
0.8888888888888891,NO
0.686868686868687,YES
0.1987,NO
0.8787878787878788,NO
0.1689,NO
0.054000000000000006,NO
0.8686868686868687,NO
0.2727272727272728,NO
0.1082,NO
0.2019,NO
0.7777777777777779,NO
0.8888888888888891,YES
0.8686868686868687,YES
0.2791,YES
0.7575757575757576,YES
0.8787878787878788,NO
0.8686868686868687,YES
0.0979,NO
0.8686868686868687,NO
0.8888888888888891,NO
0.9393939393939396,YES
0.8686868686868687,YES
0.7373737373737373,YES
0.8686868686868687,YES
0.8686868686868687,NO
0.42424242424242425,NO
0.8787878787878788,YES
0.8686868686868687,NO
0.8989898989898991,YES
0.8686868686868687,NO
0.8686868686868687,NO
0.9696969696969696,NO
0.7676767676767677,NO
0.8989898989898991,NO
0.8686868686868687,YES
0.9797979797979798,NO
0.4848484848484849,YES
0.7575757575757576,NO
0.8383838383838383,YES
0.8686868686868687,NO
0.8686868686868687,NO
0.8686868686868687,NO
0.8686868686868687,NO
0.8686868686868687,YES
0.8686868686868687,NO
0.8686868686868687,YES
