UPPERTRACED_RFUNDER_SINGLE_VSM_MAX.csv,Associated
0.31,NO
0.17,NO
0.37,NO
0.95,NO
0.79,NO
0.47,NO
0.76,NO
0.0679,NO
0.43,NO
0.78,YES
0.75,NO
0.77,YES
0.2427,NO
0.26,NO
0.2223,NO
0.1142,NO
0.97,NO
0.1109,NO
0.99,NO
0.2179,NO
0.86,NO
0.8,YES
0.58,YES
0.52,YES
0.84,YES
0.58,NO
0.93,YES
0.67,NO
0.51,YES
0.99,YES
0.3362,NO
0.1579,NO
0.1148,NO
0.1112,NO
1.0,YES
0.0957,YES
0.1364,NO
0.63,NO
0.0981,NO
0.1058,NO
0.1797,NO
0.1526,NO
0.1551,NO
1.0,YES
0.0766,NO
0.54,YES
0.0341,NO
0.8,YES
0.0412,NO
0.1212,NO
0.0769,NO
0.1235,NO
0.0802,NO
0.1903,NO
0.1119,NO
0.1008,NO
0.31,NO
0.17,NO
0.37,NO
0.95,NO
0.79,NO
0.47,NO
0.76,NO
0.0509,NO
0.43,NO
0.78,YES
0.75,NO
0.77,YES
0.24,NO
0.26,NO
0.2136,NO
0.1919,NO
0.97,NO
0.1268,NO
0.99,NO
0.1755,NO
0.86,NO
0.8,YES
0.58,YES
0.52,YES
0.84,YES
0.58,NO
0.93,YES
0.67,NO
0.51,YES
0.99,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.1441,NO
1.0,YES
0.1243,YES
0.1731,NO
0.63,NO
0.1364,NO
0.0887,NO
0.2289,NO
0.2088,NO
0.2075,NO
1.0,YES
0.0927,NO
0.54,YES
0.0311,NO
0.8,YES
0.0406,NO
0.1251,NO
0.091,NO
0.11800000000000001,NO
0.1053,NO
0.2201,NO
0.1351,NO
0.1328,NO
0.0724,NO
0.03,NO
1.0,YES
0.58,YES
0.89,YES
0.64,YES
0.26,NO
0.013000000000000001,NO
0.99,YES
0.1395,NO
0.82,YES
0.1443,NO
0.28,NO
0.38,NO
0.45,NO
0.0572,NO
0.86,YES
0.0556,NO
0.94,YES
0.52,NO
0.95,YES
0.56,NO
0.87,NO
0.99,NO
0.12,NO
0.78,YES
1.0,NO
0.98,YES
0.31,NO
0.17,NO
0.37,NO
0.95,NO
0.79,NO
0.47,NO
0.76,NO
0.1225,NO
0.43,NO
0.78,YES
0.75,NO
0.77,YES
0.24,NO
0.26,NO
0.1689,NO
0.054000000000000006,NO
0.97,NO
0.0547,NO
0.99,NO
0.2019,NO
0.86,NO
0.8,YES
0.58,YES
0.52,YES
0.84,YES
0.58,NO
0.93,YES
0.67,NO
0.0985,NO
0.0774,NO
1.0,YES
0.58,YES
0.89,YES
0.64,YES
0.26,NO
0.0604,NO
0.99,YES
0.2598,NO
0.82,YES
0.1459,NO
0.28,NO
0.38,NO
0.45,NO
0.1453,NO
0.86,YES
0.141,NO
0.94,YES
0.52,NO
0.95,YES
0.56,NO
0.87,NO
0.99,NO
0.12,NO
0.78,YES
1.0,NO
0.98,YES
0.31,NO
0.17,NO
0.37,NO
0.95,NO
0.79,NO
0.47,NO
0.76,NO
0.1536,NO
0.43,NO
0.78,YES
0.75,NO
0.77,YES
0.2519,NO
0.26,NO
0.2033,NO
0.0533,NO
0.97,NO
0.055999999999999994,NO
0.99,NO
0.2256,NO
0.86,NO
0.8,YES
0.58,YES
0.52,YES
0.84,YES
0.58,NO
0.93,YES
0.67,NO
0.31,NO
0.17,NO
0.37,NO
0.95,NO
0.79,NO
0.47,NO
0.76,NO
0.0967,NO
0.43,NO
0.78,YES
0.75,NO
0.77,YES
0.24,NO
0.26,NO
0.0647,NO
0.204,NO
0.97,NO
0.1655,NO
0.99,NO
0.1309,NO
0.86,NO
0.8,YES
0.58,YES
0.52,YES
0.84,YES
0.58,NO
0.93,YES
0.67,NO
0.31,NO
0.17,NO
0.37,NO
0.95,NO
0.79,NO
0.47,NO
0.76,NO
0.1204,NO
0.43,NO
0.78,YES
0.75,NO
0.77,YES
0.24,NO
0.26,NO
0.2007,NO
0.05,NO
0.97,NO
0.0515,NO
0.99,NO
0.1912,NO
0.86,NO
0.8,YES
0.58,YES
0.52,YES
0.84,YES
0.58,NO
0.93,YES
0.67,NO
0.31,NO
0.17,NO
0.37,NO
0.95,NO
0.79,NO
0.47,NO
0.76,NO
0.0532,NO
0.43,NO
0.78,YES
0.75,NO
0.77,YES
0.24,NO
0.26,NO
0.2045,NO
0.0849,NO
0.97,NO
0.0824,NO
0.99,NO
0.1702,NO
0.86,NO
0.8,YES
0.58,YES
0.52,YES
0.84,YES
0.58,NO
0.93,YES
0.67,NO
0.21,NO
0.74,NO
0.95,YES
0.81,YES
0.74,YES
0.76,YES
1.0,NO
0.1065,NO
0.86,YES
0.56,NO
0.86,YES
0.1059,NO
1.0,NO
0.82,NO
0.73,NO
0.0902,NO
0.79,YES
0.0875,NO
0.91,YES
0.99,NO
0.98,YES
0.76,NO
0.68,NO
0.61,NO
0.82,NO
0.58,YES
0.31,NO
0.86,YES
0.1799,NO
0.1547,NO
0.3595,YES
0.2156,NO
0.1535,NO
0.51,YES
0.65,NO
0.1097,NO
0.5448,YES
0.191,NO
0.91,YES
0.1528,NO
0.99,NO
0.37,NO
0.2648,NO
0.171,NO
0.97,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.3,NO
0.98,YES
0.77,NO
0.72,YES
0.0798,NO
0.0364,NO
1.0,YES
0.58,YES
0.89,YES
0.64,YES
0.26,NO
0.0474,NO
0.99,YES
0.2328,NO
0.82,YES
0.1095,NO
0.28,NO
0.38,NO
0.45,NO
0.0456,NO
0.86,YES
0.0442,NO
0.94,YES
0.52,NO
0.95,YES
0.56,NO
0.87,NO
0.99,NO
0.12,NO
0.78,YES
1.0,NO
0.98,YES
0.1636,NO
0.1646,NO
0.3881,YES
0.1762,NO
0.1649,NO
0.4197,YES
0.1681,NO
0.153,NO
0.86,YES
0.159,NO
0.493,YES
0.1456,NO
0.9,NO
0.22,NO
0.1277,NO
0.1775,NO
0.2106,NO
0.1654,NO
0.84,NO
0.13,NO
0.2663,NO
0.2218,NO
0.1764,NO
0.9,NO
0.58,NO
0.402,YES
0.92,NO
0.3239,YES
0.0467,NO
0.03,NO
1.0,YES
0.58,YES
0.89,YES
0.64,YES
0.26,NO
0.0098,NO
0.99,YES
0.1152,NO
0.82,YES
0.0994,NO
0.28,NO
0.38,NO
0.45,NO
0.0632,NO
0.86,YES
0.0614,NO
0.94,YES
0.52,NO
0.95,YES
0.56,NO
0.87,NO
0.99,NO
0.12,NO
0.78,YES
1.0,NO
0.98,YES
0.51,YES
0.99,YES
0.3634,NO
0.1548,NO
0.1459,NO
0.1506,NO
1.0,YES
0.3693,YES
0.1404,NO
0.63,NO
0.1517,NO
0.067,NO
0.2131,NO
0.16,NO
0.1446,NO
1.0,YES
0.095,NO
0.54,YES
0.026000000000000002,NO
0.8,YES
0.0377,NO
0.102,NO
0.0927,NO
0.1259,NO
0.1193,NO
0.2177,NO
0.15,NO
0.0996,NO
0.21,NO
0.74,NO
0.95,YES
0.81,YES
0.74,YES
0.76,YES
1.0,NO
0.0677,NO
0.86,YES
0.56,NO
0.86,YES
0.0765,NO
1.0,NO
0.82,NO
0.73,NO
0.084,NO
0.79,YES
0.0773,NO
0.91,YES
0.99,NO
0.98,YES
0.76,NO
0.68,NO
0.61,NO
0.82,NO
0.58,YES
0.31,NO
0.86,YES
0.21,NO
0.74,NO
0.95,YES
0.81,YES
0.74,YES
0.76,YES
1.0,NO
0.1165,NO
0.86,YES
0.56,NO
0.86,YES
0.1088,NO
1.0,NO
0.82,NO
0.73,NO
0.0948,NO
0.79,YES
0.0882,NO
0.91,YES
0.99,NO
0.98,YES
0.76,NO
0.68,NO
0.61,NO
0.82,NO
0.58,YES
0.31,NO
0.86,YES
0.21,NO
0.74,NO
0.95,YES
0.81,YES
0.74,YES
0.76,YES
1.0,NO
0.1622,NO
0.86,YES
0.56,NO
0.86,YES
0.1022,NO
1.0,NO
0.82,NO
0.73,NO
0.2034,NO
0.79,YES
0.1975,NO
0.91,YES
0.99,NO
0.98,YES
0.76,NO
0.68,NO
0.61,NO
0.82,NO
0.58,YES
0.3259,NO
0.86,YES
0.21,NO
0.74,NO
0.95,YES
0.81,YES
0.74,YES
0.76,YES
1.0,NO
0.0556,NO
0.86,YES
0.56,NO
0.86,YES
0.08800000000000001,NO
1.0,NO
0.82,NO
0.73,NO
0.1047,NO
0.79,YES
0.1016,NO
0.91,YES
0.99,NO
0.98,YES
0.76,NO
0.68,NO
0.61,NO
0.82,NO
0.58,YES
0.31,NO
0.86,YES
0.1151,NO
0.0905,NO
1.0,YES
0.58,YES
0.89,YES
0.64,YES
0.26,NO
0.0554,NO
0.99,YES
0.1971,NO
0.82,YES
0.1418,NO
0.28,NO
0.38,NO
