UPPERTRACED_SUM_MULTI_VSM_MAX.csv,Associated
1.2714,NO
0.3661,NO
1.2447,NO
1.7824,NO
1.1269,NO
1.5726,NO
1.3309,NO
0.4382,NO
1.1558,NO
2.9288,YES
1.0193,NO
1.5345,YES
0.9746,NO
1.4528,NO
0.2223,NO
0.8029,NO
1.5015,NO
0.7766,NO
1.0671,NO
0.3988,NO
1.3312,NO
2.4708,YES
3.21,YES
2.5988,YES
1.4129,YES
1.2751,NO
1.9703,YES
0.9469,NO
2.1355,YES
0.5055,YES
0.89,NO
0.6924,NO
0.3858,NO
0.628,NO
1.3684,YES
1.4797,YES
0.3682,NO
0.4649,NO
0.2887,NO
0.3507,NO
0.5473,NO
0.9639,NO
0.2169,NO
1.3578,YES
0.6244,NO
2.0647,YES
0.2691,NO
1.6558,YES
0.4261,NO
0.3318,NO
0.6849,NO
0.3887,NO
0.3018,NO
0.7142,NO
0.5644,NO
0.3773,NO
1.2714,NO
0.3661,NO
1.2447,NO
1.7824,NO
1.1269,NO
1.5726,NO
1.3309,NO
0.4382,NO
1.1558,NO
2.9288,YES
1.0193,NO
1.5345,YES
0.9746,NO
1.4528,NO
0.2136,NO
0.8029,NO
1.5015,NO
0.7766,NO
1.0671,NO
0.3988,NO
1.3312,NO
2.4708,YES
3.21,YES
2.5988,YES
1.4129,YES
1.2751,NO
1.9703,YES
0.9469,NO
2.1355,YES
0.5055,YES
0.89,NO
0.6924,NO
0.3858,NO
0.628,NO
1.3684,YES
1.4797,YES
0.3682,NO
0.4649,NO
0.2887,NO
0.3507,NO
0.5473,NO
0.9639,NO
0.2169,NO
1.3578,YES
0.6244,NO
2.0647,YES
0.2691,NO
1.6558,YES
0.4261,NO
0.3318,NO
0.6849,NO
0.3887,NO
0.3018,NO
0.7142,NO
0.5644,NO
0.3773,NO
1.338,NO
0.3989,NO
1.5111,YES
3.1085,YES
2.7194,YES
1.9311,YES
1.3737,NO
0.32799999999999996,NO
1.6641,YES
1.2383,NO
1.2931,YES
0.7444,NO
1.1911,NO
1.7311,NO
0.5885,NO
0.7020000000000001,NO
2.7074,YES
0.662,NO
3.1932,YES
0.6286,NO
2.8987,YES
1.0282,NO
1.8482,NO
1.6406,NO
0.7398,NO
1.7046,YES
1.5477,NO
1.2302,YES
1.2714,NO
0.3661,NO
1.2447,NO
1.7824,NO
1.1269,NO
1.5726,NO
1.3309,NO
0.4382,NO
1.1558,NO
2.9288,YES
1.0193,NO
1.5345,YES
0.9746,NO
1.4528,NO
0.2129,NO
0.8029,NO
1.5015,NO
0.7766,NO
1.0671,NO
0.3988,NO
1.3312,NO
2.4708,YES
3.21,YES
2.5988,YES
1.4129,YES
1.2751,NO
1.9703,YES
0.9469,NO
1.338,NO
0.3989,NO
1.5111,YES
3.1085,YES
2.7194,YES
1.9311,YES
1.3737,NO
0.32799999999999996,NO
1.6641,YES
1.2383,NO
1.2931,YES
0.7444,NO
1.1911,NO
1.7311,NO
0.5885,NO
0.7020000000000001,NO
2.7074,YES
0.662,NO
3.1932,YES
0.6286,NO
2.8987,YES
1.0282,NO
1.8482,NO
1.6406,NO
0.7398,NO
1.7046,YES
1.5477,NO
1.2302,YES
1.2714,NO
0.3661,NO
1.2447,NO
1.7824,NO
1.1269,NO
1.5726,NO
1.3309,NO
0.4382,NO
1.1558,NO
2.9288,YES
1.0193,NO
1.5345,YES
0.9746,NO
1.4528,NO
0.2129,NO
0.8029,NO
1.5015,NO
0.7766,NO
1.0671,NO
0.3988,NO
1.3312,NO
2.4708,YES
3.21,YES
2.5988,YES
1.4129,YES
1.2751,NO
1.9703,YES
0.9469,NO
1.2714,NO
0.3661,NO
1.2447,NO
1.7824,NO
1.1269,NO
1.5726,NO
1.3309,NO
0.4382,NO
1.1558,NO
2.9288,YES
1.0193,NO
1.5345,YES
0.9746,NO
1.4528,NO
0.2129,NO
0.8029,NO
1.5015,NO
0.7766,NO
1.0671,NO
0.3988,NO
1.3312,NO
2.4708,YES
3.21,YES
2.5988,YES
1.4129,YES
1.2751,NO
1.9703,YES
0.9469,NO
1.2714,NO
0.3661,NO
1.2447,NO
1.7824,NO
1.1269,NO
1.5726,NO
1.3309,NO
0.4382,NO
1.1558,NO
2.9288,YES
1.0193,NO
1.5345,YES
0.9746,NO
1.4528,NO
0.2129,NO
0.8029,NO
1.5015,NO
0.7766,NO
1.0671,NO
0.3988,NO
1.3312,NO
2.4708,YES
3.21,YES
2.5988,YES
1.4129,YES
1.2751,NO
1.9703,YES
0.9469,NO
1.2714,NO
0.3661,NO
1.2447,NO
1.7824,NO
1.1269,NO
1.5726,NO
1.3309,NO
0.4382,NO
1.1558,NO
2.9288,YES
1.0193,NO
1.5345,YES
0.9746,NO
1.4528,NO
0.2129,NO
0.8029,NO
1.5015,NO
0.7766,NO
1.0671,NO
0.3988,NO
1.3312,NO
2.4708,YES
3.21,YES
2.5988,YES
1.4129,YES
1.2751,NO
1.9703,YES
0.9469,NO
2.1945,NO
0.8517,NO
3.8348,YES
2.1981,YES
1.8305,YES
4.9681,YES
2.4973,NO
0.8185,NO
5.0181,YES
1.3613,NO
3.9154,YES
0.9976,NO
2.6866,NO
2.655,NO
0.9829,NO
1.2123,NO
2.5901,YES
1.0975,NO
3.2745,YES
1.3035,NO
2.4204,YES
1.7167,NO
2.2402,NO
3.4781,NO
1.5557,NO
4.2775,YES
3.5928,NO
3.6309,YES
0.7145,NO
0.2991,NO
0.8671,YES
0.5529,NO
0.4514,NO
1.5922,YES
0.7991,NO
0.2616,NO
1.8324,YES
0.4482,NO
1.0762,YES
0.3291,NO
0.8937,NO
0.9196,NO
0.3649,NO
0.3587,NO
0.8062,NO
0.2782,NO
0.7569,NO
0.2253,NO
0.6758,NO
0.4816,NO
0.7005,NO
0.8849,NO
0.4644,NO
1.2591,YES
1.048,NO
1.1740000000000002,YES
1.338,NO
0.3989,NO
1.5111,YES
3.1085,YES
2.7194,YES
1.9311,YES
1.3737,NO
0.32799999999999996,NO
1.6641,YES
1.2383,NO
1.2931,YES
0.7444,NO
1.1911,NO
1.7311,NO
0.5885,NO
0.7020000000000001,NO
2.7074,YES
0.662,NO
3.1932,YES
0.6286,NO
2.8987,YES
1.0282,NO
1.8482,NO
1.6406,NO
0.7398,NO
1.7046,YES
1.5477,NO
1.2302,YES
0.5931,NO
0.2795,NO
1.1464,YES
0.5094,NO
0.46,NO
1.2594,YES
0.6449,NO
0.26,NO
1.5956,YES
0.3109,NO
1.3136,YES
0.2567,NO
0.9578,NO
0.7047,NO
0.3702,NO
0.2287,NO
0.6431,NO
0.2204,NO
0.9769,NO
0.2229,NO
0.6424,NO
0.4869,NO
0.5306,NO
1.0476,NO
0.4758,NO
1.0966,YES
1.0273,NO
1.2815,YES
1.338,NO
0.3989,NO
1.5111,YES
3.1085,YES
2.7194,YES
1.9311,YES
1.3737,NO
0.32799999999999996,NO
1.6641,YES
1.2383,NO
1.2931,YES
0.7444,NO
1.1911,NO
1.7311,NO
0.5885,NO
0.7020000000000001,NO
2.7074,YES
0.662,NO
3.1932,YES
