UPPERTRACED_SUM_SINGLE_VSM_MEDIAN.csv,Associated
0.36545,NO
0.35235,NO
0.53485,NO
0.93065,NO
0.6097,NO
0.6679,NO
0.5903499999999999,NO
0.2346,NO
0.5138,NO
1.5943500000000002,YES
0.6354000000000001,NO
1.3339,YES
0.34225,NO
0.51185,NO
0.28225,NO
0.36169999999999997,NO
0.9471,NO
0.33205,NO
0.5826,NO
0.37445,NO
0.6832,NO
1.49865,YES
1.57925,YES
1.5961999999999998,YES
1.36985,YES
0.55995,NO
1.116,YES
0.54385,NO
1.0705500000000001,YES
0.6685,YES
0.49134999999999995,NO
0.1464,NO
0.0929,NO
0.10235,NO
0.9319000000000001,YES
1.02845,YES
0.08349999999999999,NO
0.08545,NO
0.1033,NO
0.13595000000000002,NO
0.114,NO
0.2492,NO
0.25195,NO
0.88045,YES
0.09775,NO
1.1634,YES
0.06085,NO
1.5843500000000001,YES
0.05785,NO
0.18725000000000003,NO
0.1876,NO
0.10335,NO
0.1219,NO
0.24175000000000002,NO
0.12405,NO
0.1267,NO
0.3729,NO
0.39644999999999997,NO
0.5442,NO
0.9657,NO
0.65175,NO
0.7059000000000001,NO
0.63415,NO
0.2261,NO
0.5387,NO
1.6996,YES
0.68475,NO
1.26565,YES
0.3234,NO
0.5086999999999999,NO
0.27790000000000004,NO
0.40054999999999996,NO
0.98845,NO
0.34,NO
0.6426000000000001,NO
0.35325,NO
0.73595,NO
1.68295,YES
1.7516500000000002,YES
1.69545,YES
1.3383999999999998,YES
0.56425,NO
1.17655,YES
0.5461499999999999,NO
1.0821,YES
0.637,YES
0.49105,NO
0.15055,NO
0.11085,NO
0.1188,NO
0.9063000000000001,YES
1.04275,YES
0.10185,NO
0.08025,NO
0.12245,NO
0.1274,NO
0.1386,NO
0.2773,NO
0.27815,NO
0.83605,YES
0.1058,NO
1.14815,YES
0.05935,NO
1.5684500000000001,YES
0.05755,NO
0.1892,NO
0.19465,NO
0.1006,NO
0.13445000000000001,NO
0.25665,NO
0.13565,NO
0.1427,NO
0.2833,NO
0.33375,NO
0.6312500000000001,YES
1.9461,YES
1.99875,YES
0.82325,YES
0.49665,NO
0.0988,NO
0.7766500000000001,YES
0.41064999999999996,NO
0.8379500000000001,YES
0.3686,NO
0.3634,NO
0.5109,NO
0.5697,NO
0.2052,NO
2.28905,YES
0.1862,NO
2.1397,YES
0.5195,NO
1.8420999999999998,YES
0.5397,NO
0.6948000000000001,NO
0.8366,NO
0.4284,NO
0.78545,YES
0.6549,NO
0.71175,YES
0.4058,NO
0.35635,NO
0.5764,NO
0.95155,NO
0.675,NO
0.70765,NO
0.6451,NO
0.2619,NO
0.50225,NO
1.6723000000000001,YES
0.68345,NO
1.3101,YES
0.32025000000000003,NO
0.4881,NO
0.25555,NO
0.3316,NO
0.9852500000000001,NO
0.30395,NO
0.59935,NO
0.36645,NO
0.6905,NO
1.65455,YES
1.7196500000000001,YES
1.65235,YES
1.39455,YES
0.5926,NO
1.16785,YES
0.53255,NO
0.29635,NO
0.36025,NO
0.6145,YES
1.96105,YES
1.97845,YES
0.8183,YES
0.4996,NO
0.1225,NO
0.7749000000000001,YES
0.4708,NO
0.8247000000000001,YES
0.3694,NO
0.36775,NO
0.5427500000000001,NO
0.59175,NO
0.24925000000000003,NO
2.2854,YES
0.2289,NO
2.0904,YES
0.51965,NO
1.84235,YES
0.61605,NO
0.77125,NO
0.87605,NO
0.4553,NO
0.77275,YES
0.6625,NO
0.7109,YES
0.39935,NO
0.357,NO
0.5967,NO
0.91745,NO
0.6535000000000001,NO
0.72245,NO
0.64355,NO
0.27745,NO
0.5293,NO
1.5703500000000001,YES
0.70685,NO
1.28725,YES
0.34685,NO
0.5021,NO
0.27275,NO
0.33125,NO
0.9643,NO
0.3046,NO
0.6009,NO
0.3783,NO
0.6753,NO
1.55365,YES
1.6113,YES
1.60785,YES
1.4052499999999999,YES
0.60155,NO
1.1630500000000001,YES
0.5501499999999999,NO
0.37605,NO
0.3867,NO
0.58965,NO
0.9208000000000001,NO
0.64795,NO
0.72655,NO
0.6278499999999999,NO
0.249,NO
0.53925,NO
1.6423,YES
0.7218,NO
1.2517,YES
0.28745,NO
0.43705,NO
0.20345,NO
0.40659999999999996,NO
0.9781500000000001,NO
0.35935,NO
0.70025,NO
0.33095,NO
0.7668,NO
1.6618,YES
1.70385,YES
1.75985,YES
1.339,YES
0.5778,NO
