50Traced_NONETRACED_MAX_MULTI_LSA_51_MEDIAN,Associated
0.32,NO
0.2852,NO
0.2809,NO
0.4029,NO
0.3069,NO
0.2289,NO
0.2831,NO
0.2852,NO
0.1898,NO
1.0,YES
0.2887,NO
1.0,YES
0.2522,NO
0.2231,NO
0.2223,NO
0.3282,NO
0.2383,NO
0.318,NO
0.2383,NO
0.2852,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.314,NO
1.0,YES
0.2458,NO
0.3062,YES
0.6914,YES
0.3362,NO
0.1781,NO
0.1148,NO
0.2287,NO
0.5234,YES
0.6914,YES
0.2113,NO
0.1692,NO
0.2113,NO
0.2425,NO
0.301,NO
0.3148,NO
0.3148,NO
0.6914,YES
0.1162,NO
0.2768,YES
0.0772,NO
0.6914,YES
0.0763,NO
0.2425,NO
0.2425,NO
0.2425,NO
0.1789,NO
0.2287,NO
0.2425,NO
0.2287,NO
0.32,NO
0.294,NO
0.2809,NO
0.3067,NO
0.3069,NO
0.1666,NO
0.2226,NO
0.294,NO
0.2572,NO
1.0,YES
0.2887,NO
0.7613,YES
0.2522,NO
0.2445,NO
0.2445,NO
0.3282,NO
0.2156,NO
0.318,NO
0.2102,NO
0.294,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.314,NO
1.0,YES
0.2458,NO
1.0,YES
0.5161,YES
0.3356,NO
0.2044,NO
0.1909,NO
0.1923,NO
1.0,YES
1.0,YES
0.2528,NO
0.2193,NO
0.1364,NO
0.316,NO
0.3667,NO
0.3667,NO
0.3667,NO
1.0,YES
0.1909,NO
0.8716,YES
0.1176,NO
0.568,YES
0.1,NO
0.316,NO
0.316,NO
0.316,NO
0.2187,NO
0.2201,NO
0.316,NO
0.2528,NO
0.3011,NO
0.1089,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.344,NO
0.1652,NO
0.5227,YES
0.1787,NO
0.4491,YES
0.2147,NO
0.3031,NO
0.42,NO
0.3553,NO
0.1652,NO
1.0,YES
0.154,NO
1.0,YES
0.1417,NO
1.0,YES
0.2147,NO
0.5347,NO
0.4856,NO
0.1587,NO
1.0,YES
0.4444,NO
1.0,YES
0.2912,NO
0.0732,NO
0.4528,NO
0.4528,NO
0.3132,NO
0.4528,NO
0.2866,NO
0.2866,NO
0.2962,NO
0.8971,YES
0.3093,NO
1.0,YES
0.3166,NO
0.3166,NO
0.3166,NO
0.2866,NO
0.4528,NO
0.2498,NO
0.3132,NO
0.2019,NO
0.4528,NO
1.0,YES
1.0,YES
1.0,YES
0.9481,YES
0.4528,NO
1.0,YES
0.4528,NO
0.3011,NO
0.174,NO
1.0,YES
1.0,YES
0.6115,YES
1.0,YES
0.344,NO
0.11800000000000001,NO
0.5227,YES
0.433,NO
0.4491,YES
0.1702,NO
0.3031,NO
0.3522,NO
0.2375,NO
0.1567,NO
1.0,YES
0.1573,NO
0.6036,YES
0.142,NO
1.0,YES
0.4576,NO
0.462,NO
0.4856,NO
0.4576,NO
1.0,YES
0.4576,NO
