50Traced_NONETRACED_MAX_MULTI_LSA_5_MAX,Associated
0.32,NO
0.2574,NO
0.2809,NO
0.3093,NO
0.31,NO
0.4162,NO
0.3258,NO
0.2852,NO
0.3138,NO
1.0,YES
0.2887,NO
0.7677,YES
0.3555,NO
0.3555,NO
0.2223,NO
0.2358,NO
0.2383,NO
0.318,NO
0.2804,NO
0.2852,NO
0.3078,NO
0.83,YES
1.0,YES
1.0,YES
1.0,YES
0.2323,NO
1.0,YES
0.2458,NO
1.0,YES
1.0,YES
0.3362,NO
0.2165,NO
0.2796,NO
0.2796,NO
1.0,YES
1.0,YES
0.2796,NO
0.2425,NO
0.2796,NO
0.2425,NO
0.3148,NO
0.3413,NO
0.1953,NO
0.8269,YES
0.2165,NO
0.904,YES
0.2165,NO
1.0,YES
0.1607,NO
0.1212,NO
0.2289,NO
0.1358,NO
0.126,NO
0.2796,NO
0.1724,NO
0.2796,NO
0.32,NO
0.1534,NO
0.3097,NO
0.4029,NO
0.3753,NO
0.4162,NO
0.3258,NO
0.1133,NO
0.3753,NO
1.0,YES
0.3753,NO
1.0,YES
0.2445,NO
0.3673,NO
0.2136,NO
0.1944,NO
0.3104,NO
0.318,NO
0.2265,NO
0.1755,NO
0.3078,NO
0.83,YES
1.0,YES
1.0,YES
1.0,YES
0.3753,NO
1.0,YES
0.3753,NO
1.0,YES
1.0,YES
0.3356,NO
0.2044,NO
0.2013,NO
0.2862,NO
0.3908,YES
0.7333,YES
0.2528,NO
0.316,NO
0.2528,NO
0.316,NO
0.3845,NO
0.3845,NO
0.2386,NO
0.4268,YES
0.2013,NO
0.8716,YES
0.2013,NO
1.0,YES
0.1398,NO
0.2251,NO
0.2065,NO
0.1854,NO
0.1641,NO
0.2862,NO
0.1746,NO
0.2862,NO
0.3229,NO
0.2493,NO
0.3116,YES
1.0,YES
1.0,YES
0.6191,YES
0.3189,NO
0.2011,NO
0.6191,YES
0.3816,NO
0.6191,YES
0.254,NO
0.3877,NO
0.3553,NO
0.2412,NO
0.1663,NO
1.0,YES
0.2254,NO
1.0,YES
0.2011,NO
0.5358,YES
0.254,NO
0.5347,NO
0.3006,NO
0.1202,NO
0.6191,YES
0.254,NO
0.6191,YES
0.32,NO
0.3331,NO
0.5722,NO
0.4029,NO
0.3132,NO
0.6333,NO
0.3331,NO
0.272,NO
0.3138,NO
1.0,YES
0.2887,NO
1.0,YES
0.3104,NO
0.3824,NO
0.1926,NO
0.2249,NO
0.3613,NO
0.318,NO
0.3844,NO
0.272,NO
0.3438,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4052,NO
1.0,YES
0.4052,NO
0.3011,NO
0.0774,NO
0.5033,YES
1.0,YES
1.0,YES
1.0,YES
0.344,NO
