50Traced_NONETRACED_MAX_MULTI_VSM_38_MEDIAN,Associated
0.32,NO
0.2852,NO
0.2809,NO
0.2804,NO
0.3069,NO
0.2323,NO
0.3056,NO
0.2852,NO
0.3138,NO
1.0,YES
0.2887,NO
1.0,YES
0.3555,NO
0.3511,NO
0.3555,NO
0.3282,NO
0.4327,NO
0.318,NO
0.2383,NO
0.2852,NO
0.4378,NO
1.0,YES
0.9096,YES
1.0,YES
1.0,YES
0.314,NO
1.0,YES
0.2323,NO
1.0,YES
1.0,YES
0.3362,NO
0.2044,NO
0.1473,NO
0.3034,NO
1.0,YES
1.0,YES
0.2069,NO
0.1692,NO
0.1581,NO
0.1789,NO
0.2318,NO
0.301,NO
0.1872,NO
1.0,YES
0.1162,NO
0.8716,YES
0.1168,NO
1.0,YES
0.087,NO
0.1484,NO
0.2456,NO
0.1789,NO
0.1087,NO
0.3034,NO
0.2142,NO
0.2287,NO
0.32,NO
0.1534,NO
0.5722,NO
0.3822,NO
0.31,NO
0.6333,NO
0.3258,NO
0.0958,NO
0.4753,NO
1.0,YES
0.4964,NO
1.0,YES
0.3104,NO
0.3824,NO
0.2445,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3844,NO
0.1755,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.314,NO
1.0,YES
0.1493,NO
1.0,YES
1.0,YES
0.3356,NO
0.2044,NO
0.1507,NO
0.2862,NO
0.5161,YES
0.7333,YES
0.2012,NO
0.2069,NO
0.1594,NO
0.2187,NO
0.2824,NO
0.3667,NO
0.2281,NO
1.0,YES
0.1416,NO
0.8716,YES
0.1102,NO
1.0,YES
0.1155,NO
0.1815,NO
0.2456,NO
0.2187,NO
0.1087,NO
0.2862,NO
0.1778,NO
0.1923,NO
0.3011,NO
0.2011,NO
0.5033,YES
0.7797,YES
1.0,YES
1.0,YES
0.2067,NO
0.2011,NO
1.0,YES
0.2975,NO
1.0,YES
0.1443,NO
0.3553,NO
0.3877,NO
0.3553,NO
0.1729,NO
1.0,YES
0.2254,NO
1.0,YES
0.304,NO
0.6089,YES
0.3369,NO
0.4169,NO
0.4856,NO
0.2229,NO
1.0,YES
0.109,NO
1.0,YES
0.32,NO
0.0732,NO
0.5722,NO
0.3822,NO
0.31,NO
0.6333,NO
0.3258,NO
0.1225,NO
0.4753,NO
1.0,YES
0.4964,NO
1.0,YES
0.3104,NO
0.3824,NO
0.19699999999999998,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3844,NO
0.2019,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.314,NO
1.0,YES
0.1474,NO
0.3011,NO
0.1676,NO
0.5033,YES
0.7449,YES
1.0,YES
1.0,YES
0.1676,NO
0.1676,NO
1.0,YES
0.2822,NO
1.0,YES
0.2419,NO
0.2568,NO
0.3522,NO
0.2375,NO
0.1729,NO
1.0,YES
0.1669,NO
1.0,YES
0.304,NO
0.6089,YES
0.4066,NO
0.4291,NO
0.4856,NO
0.4066,NO
1.0,YES
0.1693,NO
