50Traced_NONETRACED_MAX_MULTI_VSM_3_MAX,Associated
0.2852,NO
0.2574,NO
0.1782,NO
0.3093,NO
0.1755,NO
0.1938,NO
0.2852,NO
0.2574,NO
0.1782,NO
0.7677,YES
0.1194,NO
0.4567,YES
0.2427,NO
0.282,NO
0.2223,NO
0.2852,NO
0.2804,NO
0.2852,NO
0.1542,NO
0.2574,NO
0.2804,NO
0.7677,YES
0.7677,YES
0.7677,YES
0.7677,YES
0.1805,NO
0.2069,YES
0.1205,NO
1.0,YES
1.0,YES
0.3362,NO
0.2304,NO
0.1563,NO
0.2387,NO
1.0,YES
1.0,YES
0.2796,NO
0.1789,NO
0.2796,NO
0.1058,NO
0.301,NO
0.301,NO
0.301,NO
1.0,YES
0.2278,NO
1.0,YES
0.1687,NO
1.0,YES
0.2165,NO
0.1484,NO
0.1789,NO
0.1388,NO
0.1789,NO
0.2796,NO
0.1778,NO
0.2796,NO
0.3071,NO
0.1534,NO
0.3097,NO
0.4029,NO
0.2613,NO
0.4016,NO
0.3258,NO
0.1316,NO
0.3028,NO
1.0,YES
0.2785,NO
0.965,YES
0.2728,NO
0.3673,NO
0.2728,NO
0.3167,NO
0.36,NO
0.1268,NO
0.2471,NO
0.1755,NO
0.271,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2866,NO
0.5483,YES
0.2156,NO
0.5161,YES
0.2682,YES
0.3356,NO
0.228,NO
0.1989,NO
0.2306,NO
0.5161,YES
0.3239,YES
0.3559,NO
0.0952,NO
0.3559,NO
0.0887,NO
0.3667,NO
0.3667,NO
0.3667,NO
0.5161,YES
0.2013,NO
0.5161,YES
0.2148,NO
0.3081,YES
0.2013,NO
0.1251,NO
0.1385,NO
0.11800000000000001,NO
0.1053,NO
0.3559,NO
0.1582,NO
0.3559,NO
0.3229,NO
0.0804,NO
0.4187,YES
1.0,YES
0.5827,YES
0.5022,YES
0.3189,NO
0.0489,NO
0.6191,YES
0.2975,NO
0.6191,YES
0.1787,NO
0.3553,NO
0.42,NO
0.3553,NO
0.1493,NO
1.0,YES
0.0556,NO
1.0,YES
0.1882,NO
1.0,YES
0.1982,NO
0.1787,NO
0.4471,NO
0.1856,NO
0.6191,YES
0.4382,NO
0.6191,YES
0.3331,NO
0.3331,NO
0.3565,NO
0.3701,NO
0.2531,NO
0.3946,NO
0.3331,NO
0.3331,NO
0.4528,NO
0.9481,YES
0.4528,NO
0.6779,YES
0.2062,NO
0.3375,NO
0.1689,NO
0.3331,NO
0.3413,NO
0.3011,NO
0.2733,NO
0.3331,NO
0.2057,NO
0.9187,YES
0.9481,YES
0.9187,YES
0.9481,YES
0.4528,NO
0.4832,YES
0.4528,NO
0.3229,NO
0.0804,NO
0.4187,YES
1.0,YES
0.6940000000000001,YES
0.5022,YES
0.3189,NO
0.0604,NO
0.5253,YES
0.4576,NO
0.5253,YES
0.2419,NO
0.3108,NO
0.42,NO
0.3108,NO
0.1676,NO
1.0,YES
0.1676,NO
1.0,YES
0.1597,NO
1.0,YES
0.4066,NO
0.4576,NO
0.4471,NO
0.4576,NO
0.5253,YES
0.4382,NO
0.5253,YES
0.1745,NO
0.1493,NO
0.3327,NO
0.4029,NO
0.2287,NO
0.4162,NO
0.3056,NO
0.1536,NO
0.3327,NO
1.0,YES
0.2887,NO
1.0,YES
0.4316,NO
0.4316,NO
0.4316,NO
0.3282,NO
0.1985,NO
0.0688,NO
0.1534,NO
0.2256,NO
0.1985,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3327,NO
0.5682,YES
0.17,NO
0.3071,NO
0.1374,NO
0.4128,NO
0.4156,NO
0.1809,NO
0.4569,NO
0.3258,NO
0.1016,NO
0.3905,NO
1.0,YES
0.3905,NO
0.9199,YES
0.1653,NO
0.2759,NO
0.0793,NO
0.3019,NO
0.4156,NO
0.1871,NO
0.4156,NO
0.1309,NO
0.4156,NO
0.83,YES
1.0,YES
0.7214,YES
1.0,YES
0.3855,NO
0.5595,YES
0.3237,NO
0.2762,NO
0.0951,NO
0.3406,NO
0.4029,NO
0.2656,NO
0.377,NO
0.293,NO
0.1204,NO
0.2964,NO
1.0,YES
0.2955,NO
0.6371,YES
0.2252,NO
0.3673,NO
0.2007,NO
0.2091,NO
0.3238,NO
0.0693,NO
0.2359,NO
0.1912,NO
0.2005,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2964,NO
0.4616,YES
0.1939,NO
0.29100000000000004,NO
0.1106,NO
0.5722,NO
0.3847,NO
0.267,NO
0.6333,NO
0.3087,NO
0.0829,NO
0.3649,NO
1.0,YES
0.4964,NO
1.0,YES
0.3221,NO
0.3824,NO
0.3221,NO
0.2431,NO
0.3984,NO
0.1164,NO
0.2371,NO
0.1702,NO
0.263,NO
0.7864,YES
0.9475,YES
1.0,YES
1.0,YES
0.3649,NO
0.7756,YES
0.3649,NO
0.3011,NO
0.11599999999999999,NO
1.0,YES
0.6407,YES
0.5589,YES
0.6727,YES
0.4024,NO
0.1065,NO
1.0,YES
0.5358,NO
1.0,YES
0.5358,NO
0.3885,NO
0.3885,NO
0.3885,NO
0.2465,NO
0.4942,YES
0.2465,NO
0.6036,YES
0.304,NO
0.4542,YES
0.2703,NO
0.3467,NO
0.6069,NO
0.5358,NO
1.0,YES
0.578,NO
1.0,YES
0.2333,NO
0.1547,NO
1.0,YES
0.6395,NO
0.2717,NO
0.8451,YES
0.264,NO
0.1097,NO
1.0,YES
0.2378,NO
0.606,YES
0.1528,NO
0.4413,NO
0.4456,NO
0.3567,NO
0.171,NO
0.6395,NO
0.1398,NO
0.6395,NO
0.1451,NO
0.6395,NO
0.1991,NO
0.3458,NO
0.3767,NO
0.1917,NO
1.0,YES
0.3736,NO
0.6449,YES
0.3011,NO
0.11599999999999999,NO
0.583,YES
0.6773,YES
0.5589,YES
0.6382,YES
0.344,NO
0.3014,NO
1.0,YES
0.6083,NO
1.0,YES
0.3044,NO
0.4651,NO
0.4651,NO
0.4651,NO
0.3014,NO
1.0,YES
0.3014,NO
0.6773,YES
0.304,NO
1.0,YES
0.5117,NO
0.6083,NO
0.5117,NO
0.6083,NO
1.0,YES
0.4444,NO
1.0,YES
0.2393,NO
0.1646,NO
0.5831,YES
0.2856,NO
0.2302,NO
0.8554,YES
0.1681,NO
0.153,NO
1.0,YES
0.5177,NO
0.8554,YES
0.5177,NO
0.2898,NO
0.3856,NO
0.2898,NO
0.1775,NO
0.3273,NO
0.1654,NO
0.4609,NO
0.13,NO
0.2663,NO
0.2612,NO
0.335,NO
0.5177,NO
0.5177,NO
0.8554,YES
0.5104,NO
0.6773,YES
0.3229,NO
0.0547,NO
0.1594,YES
1.0,YES
0.5827,YES
0.3029,YES
0.3189,NO
0.04,NO
0.2445,YES
0.1827,NO
0.2445,YES
0.1729,NO
0.3002,NO
0.42,NO
0.3002,NO
0.1493,NO
1.0,YES
0.1184,NO
0.6276,YES
0.1347,NO
1.0,YES
0.1827,NO
0.1827,NO
0.2456,NO
0.1827,NO
0.2693,YES
0.1442,NO
0.2445,YES
1.0,YES
1.0,YES
0.3634,NO
0.2576,NO
0.1894,NO
0.2215,NO
1.0,YES
1.0,YES
0.3389,NO
0.1453,NO
0.3389,NO
0.0839,NO
0.4228,NO
0.4228,NO
0.4228,NO
1.0,YES
0.1675,NO
1.0,YES
0.2045,NO
1.0,YES
0.1539,NO
0.1769,NO
0.2289,NO
0.1267,NO
0.1193,NO
0.3389,NO
0.1724,NO
0.3389,NO
0.3011,NO
0.1352,NO
0.8452,YES
0.6407,YES
0.5589,YES
0.8987,YES
0.344,NO
0.1358,NO
1.0,YES
0.201,NO
1.0,YES
0.1702,NO
0.5037,NO
0.5037,NO
0.5037,NO
0.1567,NO
0.4942,YES
0.1164,NO
0.6036,YES
0.304,NO
0.4542,YES
0.2407,NO
0.2926,NO
0.4753,NO
0.2338,NO
1.0,YES
0.5104,NO
1.0,YES
0.3618,NO
0.2465,NO
0.5633,YES
0.6407,YES
0.5589,YES
1.0,YES
0.4093,NO
0.3341,NO
1.0,YES
0.5579999999999999,NO
1.0,YES
0.5579999999999999,NO
0.3247,NO
0.474,NO
0.3247,NO
0.3341,NO
0.4942,YES
0.3341,NO
0.6036,YES
0.304,NO
0.4542,YES
0.2815,NO
0.3611,NO
0.5579999999999999,NO
0.5579999999999999,NO
1.0,YES
0.5169,NO
1.0,YES
0.3618,NO
0.1392,NO
1.0,YES
0.2882,YES
0.2514,YES
0.8056,YES
0.4093,NO
0.1622,NO
1.0,YES
0.3543,NO
1.0,YES
0.4318,NO
0.259,NO
0.474,NO
0.11,NO
0.2034,NO
0.3273,YES
0.1975,NO
0.4609,YES
0.2433,NO
0.2927,YES
0.2958,NO
0.4318,NO
0.6069,NO
0.4318,NO
1.0,YES
0.578,NO
1.0,YES
0.3075,NO
0.1451,NO
0.7322,YES
0.6407,YES
0.5589,YES
0.9648,YES
0.3479,NO
0.1358,NO
1.0,YES
0.4462,NO
1.0,YES
0.4462,NO
0.4412,NO
0.4412,NO
0.4412,NO
0.1567,NO
0.4942,YES
0.1199,NO
0.6036,YES
0.304,NO
0.4733,YES
0.2407,NO
0.3015,NO
0.5102,NO
0.4462,NO
1.0,YES
0.5104,NO
1.0,YES
0.3229,NO
0.1881,NO
0.5033,YES
1.0,YES
0.5827,YES
0.6382,YES
0.344,NO
0.1881,NO
1.0,YES
0.3519,NO
1.0,YES
0.2093,NO
