50Traced_NONETRACED_MAX_RAW_LSA_3_MAX,Associated
0.1495,NO
0.0785,NO
0.1406,NO
0.2653,NO
0.1663,NO
0.1406,NO
0.1387,NO
0.1171,NO
0.1689,NO
0.4371,YES
0.1412,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.159,NO
0.20600000000000002,NO
0.1171,NO
0.1701,NO
0.2179,NO
0.1663,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1573,NO
1.0,YES
0.1219,NO
1.0,YES
1.0,YES
0.3362,NO
0.1579,NO
0.1344,NO
0.1778,NO
1.0,YES
1.0,YES
0.1364,NO
0.1056,NO
0.1194,NO
0.1474,NO
0.1797,NO
0.1766,NO
0.1766,NO
0.3834,YES
0.0766,NO
1.0,YES
0.0553,NO
1.0,YES
0.1344,NO
0.1474,NO
0.1474,NO
0.1474,NO
0.1474,NO
0.1903,NO
0.1119,NO
0.1008,NO
0.1731,NO
0.1731,NO
0.2137,NO
0.2865,NO
0.2137,NO
0.2137,NO
0.1731,NO
0.1731,NO
0.2187,NO
0.4574,YES
0.2137,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.2143,NO
0.1731,NO
0.2137,NO
0.1755,NO
0.2202,NO
0.4465,YES
0.4613,YES
0.4064,YES
0.4064,YES
0.1659,NO
1.0,YES
0.2137,NO
1.0,YES
1.0,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.1692,NO
1.0,YES
1.0,YES
0.1731,NO
0.0952,NO
0.1364,NO
0.1387,NO
0.2289,NO
0.2088,NO
0.2075,NO
0.3834,YES
0.0927,NO
1.0,YES
0.0553,NO
1.0,YES
0.1268,NO
0.1387,NO
0.091,NO
0.11800000000000001,NO
0.1387,NO
0.2201,NO
0.1351,NO
0.1328,NO
0.0976,NO
0.0288,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1661,NO
0.071,NO
1.0,YES
0.1395,NO
1.0,YES
0.1443,NO
0.2165,NO
0.2037,NO
0.2037,NO
0.0572,NO
0.4156,YES
0.066,NO
1.0,YES
0.1417,NO
1.0,YES
0.063,NO
0.0677,NO
0.2298,NO
0.1116,NO
0.2732,YES
0.2113,NO
1.0,YES
0.1544,NO
0.0732,NO
0.2286,NO
0.2653,NO
0.1977,NO
0.2286,NO
0.1684,NO
0.1225,NO
0.1458,NO
0.4371,YES
0.1577,NO
1.0,YES
0.1987,NO
0.1844,NO
0.1844,NO
0.0988,NO
0.1733,NO
0.0807,NO
0.1082,NO
0.2019,NO
0.1827,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2286,NO
0.3648,YES
0.1576,NO
0.1328,NO
0.11,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1661,NO
0.11,NO
1.0,YES
0.2598,NO
1.0,YES
0.2548,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.2049,NO
0.2206,NO
0.2298,NO
0.1353,NO
0.2732,YES
0.2564,NO
1.0,YES
0.1669,NO
0.1669,NO
0.2395,NO
0.2395,NO
0.2395,NO
0.2395,NO
0.1809,NO
0.1809,NO
0.2395,NO
0.3236,YES
0.2395,NO
1.0,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.0988,NO
0.151,NO
0.1809,NO
0.2395,NO
0.2256,NO
0.1506,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2405,NO
0.1771,YES
0.2395,NO
0.1495,NO
0.1339,NO
0.22399999999999998,NO
0.2653,NO
0.2338,NO
0.2079,NO
0.1387,NO
0.1197,NO
0.2198,NO
0.4371,YES
0.2344,NO
1.0,YES
0.151,NO
0.1697,NO
0.0797,NO
0.204,NO
0.2338,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2254,NO
1.0,YES
0.2213,NO
0.1579,NO
0.1579,NO
0.1953,NO
0.2342,NO
0.2047,NO
0.1823,NO
0.1796,NO
0.1796,NO
0.1751,NO
0.3805,YES
0.1828,NO
1.0,YES
0.2252,NO
0.2085,NO
0.2085,NO
0.159,NO
0.2174,NO
0.1796,NO
0.1701,NO
0.1912,NO
0.2174,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2206,NO
1.0,YES
0.1219,NO
0.1542,NO
0.1542,NO
0.1277,NO
0.2886,NO
0.1576,NO
0.1277,NO
0.1542,NO
0.1542,NO
0.1421,NO
0.4397,YES
0.107,NO
1.0,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.0988,NO
0.151,NO
0.1542,NO
0.0975,NO
0.1702,NO
0.1576,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1375,NO
0.3961,YES
0.099,NO
0.1069,NO
0.0451,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2237,NO
0.1065,NO
1.0,YES
0.106,NO
1.0,YES
0.1059,NO
0.2131,NO
0.1834,NO
0.1834,NO
0.0902,NO
0.2337,YES
