50Traced_NONETRACED_MAX_RAW_LSA_86_MEDIAN,Associated
0.1686,NO
0.1171,NO
0.2688,NO
0.2164,NO
0.0671,NO
0.2963,NO
0.1987,NO
0.0679,NO
0.1689,NO
1.0,YES
0.1153,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1171,NO
0.1906,NO
0.1171,NO
0.1843,NO
0.2179,NO
0.166,NO
0.2383,YES
1.0,YES
0.3819,YES
1.0,YES
0.1573,NO
1.0,YES
0.1576,NO
1.0,YES
1.0,YES
0.3362,NO
0.1659,NO
0.1659,NO
0.1187,NO
0.3947,YES
1.0,YES
0.1778,NO
0.1156,NO
0.0981,NO
0.1058,NO
0.1797,NO
0.1649,NO
0.1551,NO
1.0,YES
0.1659,NO
1.0,YES
0.0553,NO
0.3399,YES
0.1659,NO
0.1212,NO
0.1218,NO
0.1235,NO
0.0802,NO
0.1903,NO
0.1156,NO
0.1008,NO
0.1686,NO
0.1534,NO
0.2688,NO
0.2865,NO
0.2137,NO
0.2963,NO
0.1987,NO
0.092,NO
0.2187,NO
1.0,YES
0.1603,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.2137,NO
0.1544,NO
0.1947,NO
0.1755,NO
0.2202,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1659,NO
1.0,YES
0.1576,NO
1.0,YES
1.0,YES
0.3356,NO
0.204,NO
0.204,NO
0.1441,NO
0.3435,YES
1.0,YES
0.1731,NO
0.1355,NO
0.1364,NO
0.1841,NO
0.2289,NO
0.2088,NO
0.2183,NO
1.0,YES
0.204,NO
1.0,YES
0.0577,NO
0.3081,YES
0.204,NO
0.1251,NO
0.1841,NO
0.1355,NO
0.1841,NO
0.2201,NO
0.1355,NO
0.1328,NO
0.0724,NO
0.0635,NO
1.0,YES
1.0,YES
1.0,YES
0.2985,YES
0.1661,NO
0.071,NO
0.2465,YES
0.1475,NO
0.2134,YES
0.1443,NO
0.2165,NO
0.1934,NO
0.1934,NO
0.0818,NO
1.0,YES
0.0806,NO
0.3659,YES
0.1417,NO
1.0,YES
0.1629,NO
0.1335,NO
0.2298,NO
0.1335,NO
0.2732,YES
0.2113,NO
0.2078,YES
0.1694,NO
0.1694,NO
0.1975,NO
0.2582,NO
0.1977,NO
0.1986,NO
0.1684,NO
0.1926,NO
0.2286,NO
1.0,YES
0.1577,NO
1.0,YES
0.1987,NO
0.1766,NO
0.1689,NO
0.1694,NO
0.20600000000000002,NO
0.1926,NO
0.1118,NO
0.2019,NO
0.1827,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2226,NO
1.0,YES
0.1219,NO
0.11,NO
0.0846,NO
0.2886,YES
1.0,YES
1.0,YES
0.1476,YES
0.0885,NO
0.11,NO
0.2068,YES
0.2598,NO
0.106,YES
0.2564,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
0.2886,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.2564,NO
0.2206,NO
0.2564,NO
0.1032,NO
0.1461,YES
0.1353,NO
0.1326,YES
0.1809,NO
0.1809,NO
0.2395,NO
0.2395,NO
0.2395,NO
0.2199,NO
0.1653,NO
0.1755,NO
0.2199,NO
1.0,YES
0.2045,NO
1.0,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.1809,NO
0.2395,NO
0.1809,NO
0.1124,NO
0.2256,NO
0.2395,NO
0.3848,YES
1.0,YES
1.0,YES
1.0,YES
0.2405,NO
1.0,YES
0.2199,NO
0.1439,NO
0.1339,NO
0.22399999999999998,NO
0.1967,NO
0.1436,NO
0.2079,NO
0.1387,NO
0.0967,NO
0.2213,NO
0.3905,YES
0.2344,NO
1.0,YES
0.1331,NO
0.1766,NO
0.0647,NO
0.204,NO
0.151,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
0.4856,YES
1.0,YES
0.4941,YES
1.0,YES
0.2213,NO
0.3905,YES
0.2213,NO
0.1796,NO
0.1796,NO
0.2664,NO
0.2664,NO
0.2664,NO
0.1986,NO
0.1684,NO
0.1479,NO
0.1751,NO
0.4754,YES
0.1828,NO
1.0,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.1796,NO
0.2664,NO
0.1796,NO
0.1207,NO
0.1912,NO
0.2664,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2206,NO
0.4754,YES
0.1743,NO
0.1542,NO
0.0714,NO
0.2085,NO
0.2886,NO
0.2085,NO
0.1986,NO
0.1387,NO
0.1542,NO
0.1525,NO
1.0,YES
0.0778,NO
1.0,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.159,NO
0.2085,NO
0.1544,NO
0.1059,NO
0.1702,NO
0.2085,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1375,NO
1.0,YES
0.1219,NO
0.1741,NO
0.153,NO
1.0,YES
0.27899999999999997,YES
0.27899999999999997,YES
1.0,YES
0.2237,NO
0.1628,NO
1.0,YES
0.2938,NO
1.0,YES
0.1214,NO
0.2516,NO
0.1848,NO
0.1834,NO
0.153,NO
0.27899999999999997,YES
0.1628,NO
0.2369,YES
0.2129,NO
0.27899999999999997,YES
0.1271,NO
0.1285,NO
0.3025,NO
0.1202,NO
1.0,YES
0.2938,NO
1.0,YES
0.1799,NO
0.1547,NO
0.3803,YES
0.2276,NO
0.2276,NO
1.0,YES
0.1867,NO
0.1097,NO
1.0,YES
0.191,NO
1.0,YES
0.1732,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.171,NO
0.2276,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.1917,NO
0.3985,YES
0.3359,NO
1.0,YES
0.1427,NO
0.0635,NO
1.0,YES
1.0,YES
1.0,YES
0.2985,YES
0.1661,NO
0.1427,NO
0.3141,YES
0.3374,NO
0.3141,YES
0.3002,NO
0.2365,NO
0.2061,NO
0.2414,NO
0.0891,NO
1.0,YES
0.0864,NO
1.0,YES
0.1224,NO
1.0,YES
0.3002,NO
0.33,NO
0.33,NO
0.1155,NO
0.3141,YES
0.3374,NO
0.3141,YES
0.1636,NO
0.1646,NO
0.3881,YES
0.1762,NO
0.1649,NO
1.0,YES
0.1681,NO
0.153,NO
1.0,YES
0.2848,NO
0.493,YES
0.2147,NO
0.2516,NO
0.1848,NO
0.1277,NO
0.1775,NO
0.2106,NO
0.1654,NO
0.3557,NO
0.0902,NO
0.2663,NO
0.2218,NO
0.1764,NO
0.3901,NO
0.21600000000000003,NO
1.0,YES
0.3584,NO
1.0,YES
0.1248,NO
0.0635,NO
1.0,YES
1.0,YES
1.0,YES
0.2985,YES
0.1661,NO
0.071,NO
0.2465,YES
0.183,NO
0.2134,YES
0.1175,NO
0.171,NO
0.2003,NO
0.1785,NO
0.0891,NO
1.0,YES
0.0864,NO
1.0,YES
0.1347,NO
1.0,YES
0.1629,NO
0.2044,NO
0.2298,NO
0.1175,NO
0.2732,YES
0.2113,NO
0.2078,YES
1.0,YES
0.3626,YES
0.3634,NO
0.1955,NO
0.1955,NO
0.1659,NO
0.35200000000000004,YES
1.0,YES
0.1659,NO
0.149,NO
0.1517,NO
0.1665,NO
0.2131,NO
0.1649,NO
0.1446,NO
0.3834,YES
0.1955,NO
1.0,YES
0.0922,NO
0.2985,YES
0.1955,NO
0.102,NO
0.1665,NO
0.1259,NO
0.1665,NO
0.2177,NO
0.15,NO
0.1659,NO
0.1741,NO
0.0694,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1955,NO
0.071,NO
1.0,YES
0.1475,NO
1.0,YES
0.1763,NO
0.3042,NO
0.1867,NO
0.2024,NO
0.0899,NO
1.0,YES
0.0806,NO
0.3002,YES
0.1499,NO
1.0,YES
0.1763,NO
0.1285,NO
0.3023,NO
0.1202,NO
1.0,YES
0.2621,NO
1.0,YES
0.1931,NO
0.1931,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2192,NO
0.1494,NO
1.0,YES
0.1886,NO
1.0,YES
0.1088,NO
0.2516,NO
0.1848,NO
0.1744,NO
0.1931,NO
1.0,YES
0.1931,NO
0.2829,YES
0.1968,NO
1.0,YES
0.2134,NO
0.1846,NO
0.3004,NO
0.1322,NO
1.0,YES
0.24100000000000002,NO
1.0,YES
0.1741,NO
0.1099,NO
1.0,YES
0.2879,YES
0.2879,YES
1.0,YES
0.22699999999999998,NO
0.1622,NO
1.0,YES
0.1183,NO
1.0,YES
0.2419,NO
0.2149,NO
0.0862,NO
0.0945,NO
0.2034,NO
0.2509,YES
0.1975,NO
0.3422,YES
0.1773,NO
0.2879,YES
0.2419,NO
0.1426,NO
0.3619,NO
0.1715,NO
1.0,YES
0.3259,NO
1.0,YES
0.0785,NO
0.0732,NO
0.4507,YES
0.3077,YES
0.3077,YES
0.4909,YES
0.0881,NO
0.0556,NO
0.5229,YES
0.1003,NO
0.508,YES
0.08800000000000001,NO
0.2859,NO
0.1263,NO
0.1497,NO
0.1047,NO
0.3077,YES
0.1016,NO
0.3066,YES
0.0639,NO
0.3077,YES
0.1277,NO
0.0813,NO
0.3135,NO
0.1095,NO
0.508,YES
0.2369,NO
0.508,YES
0.1151,NO
0.1018,NO
0.2475,YES
1.0,YES
1.0,YES
0.1542,YES
0.1366,NO
0.0554,NO
0.2212,YES
0.1971,NO
0.1972,YES
0.2335,NO
0.2488,NO
0.2731,NO
0.2523,NO
0.1698,NO
0.2475,YES
0.1648,NO
1.0,YES
0.1508,NO
1.0,YES
0.2335,NO
0.1613,NO
0.2335,NO
0.1018,NO
0.152,YES
0.2085,NO
0.1548,YES
0.1201,NO
0.10300000000000001,NO
1.0,YES
1.0,YES
1.0,YES
0.2985,YES
0.1661,NO
0.0792,NO
0.2917,YES
0.1836,NO
0.3039,YES
0.1342,NO
0.1477,NO
0.2003,NO
0.0885,NO
0.1825,NO
1.0,YES
0.1772,NO
1.0,YES
0.0892,NO
1.0,YES
0.1677,NO
0.2044,NO
0.2985,NO
0.1348,NO
0.2732,YES
0.2298,NO
0.2425,YES
0.1196,NO
0.0394,NO
0.1723,NO
0.2108,NO
0.1191,NO
0.1931,NO
0.0963,NO
0.1233,NO
0.2592,NO
0.1344,NO
0.1766,NO
0.1443,NO
0.4225,YES
0.3524,YES
0.4103,YES
0.0855,NO
0.185,NO
0.1233,NO
0.1191,NO
0.1551,NO
0.1253,NO
0.0463,NO
0.1443,NO
0.1548,NO
0.1443,NO
0.1931,NO
0.1642,NO
0.2105,NO
0.4232,YES
0.289,YES
0.2752,NO
0.1653,NO
0.1256,NO
0.0963,NO
0.32899999999999996,YES
1.0,YES
0.1097,NO
0.1519,NO
0.0804,NO
0.1784,NO
0.1661,NO
0.1504,NO
0.1562,NO
0.3075,YES
0.1256,NO
1.0,YES
0.1222,NO
0.3735,YES
0.1256,NO
0.1163,NO
0.1565,NO
0.1354,NO
0.1565,NO
0.1407,NO
0.0865,NO
0.0894,NO
0.1248,NO
0.0999,NO
1.0,YES
1.0,YES
1.0,YES
0.2985,YES
0.1661,NO
0.1025,NO
0.2465,YES
0.183,NO
0.2148,YES
0.1012,NO
0.1977,NO
0.2003,NO
0.1805,NO
0.0999,NO
1.0,YES
0.1025,NO
1.0,YES
0.1039,NO
1.0,YES
0.1629,NO
0.2044,NO
0.2298,NO
0.1116,NO
0.2732,YES
0.2113,NO
0.2148,YES
1.0,YES
1.0,YES
0.3473,NO
0.1555,NO
0.0993,NO
0.1187,NO
0.35200000000000004,YES
1.0,YES
0.1401,NO
0.1017,NO
0.09699999999999999,NO
0.1058,NO
0.1741,NO
0.1649,NO
0.1792,NO
1.0,YES
0.1033,NO
1.0,YES
0.0993,NO
0.3407,YES
0.0836,NO
0.0621,NO
0.1218,NO
0.1266,NO
0.0726,NO
0.192,NO
0.1128,NO
0.1401,NO
0.1686,NO
0.1474,NO
0.2688,NO
0.2168,NO
0.1671,NO
0.2963,NO
0.1987,NO
0.1552,NO
0.1921,NO
1.0,YES
0.1026,NO
1.0,YES
0.24100000000000002,NO
0.263,NO
0.2504,NO
0.1474,NO
0.1906,NO
0.1658,NO
0.1843,NO
0.2072,NO
0.1671,NO
0.2383,YES
1.0,YES
0.3819,YES
1.0,YES
0.1378,NO
1.0,YES
0.1576,NO
1.0,YES
1.0,YES
0.2823,NO
0.1584,NO
0.1292,NO
0.1187,NO
0.1652,YES
0.4499,YES
0.1163,NO
0.1079,NO
0.0645,NO
0.1095,NO
0.1665,NO
0.1472,NO
0.1463,NO
1.0,YES
0.0528,NO
1.0,YES
0.1292,NO
0.3577,YES
0.114,NO
0.049,NO
0.1218,NO
0.1274,NO
0.0681,NO
0.1427,NO
0.0804,NO
0.1035,NO
0.1714,NO
0.1714,NO
0.1705,NO
0.1778,NO
0.1705,NO
0.1986,NO
0.1529,NO
0.2143,NO
0.233,NO
1.0,YES
0.134,NO
1.0,YES
0.2438,NO
0.2385,NO
0.2176,NO
0.1714,NO
0.20600000000000002,NO
0.2143,NO
0.121,NO
0.2286,NO
0.1705,NO
1.0,YES
1.0,YES
1.0,YES
0.3754,YES
0.1937,NO
1.0,YES
0.12300000000000001,NO
