50Traced_NONETRACED_MAX_RAW_VSM_17_MEDIAN,Associated
0.1686,NO
0.0652,NO
0.1406,NO
0.2164,NO
0.1453,NO
0.2963,NO
0.1987,NO
0.0679,NO
0.1689,NO
1.0,YES
0.1423,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1548,NO
0.1906,NO
0.1548,NO
0.1843,NO
0.2179,NO
0.1663,NO
1.0,YES
1.0,YES
0.3819,YES
0.4096,YES
0.1573,NO
1.0,YES
0.1205,NO
1.0,YES
1.0,YES
0.3362,NO
0.1659,NO
0.1659,NO
0.1659,NO
1.0,YES
1.0,YES
0.1659,NO
0.1474,NO
0.1659,NO
0.1156,NO
0.1835,NO
0.1649,NO
0.1835,NO
0.3834,YES
0.1033,NO
1.0,YES
0.1659,NO
1.0,YES
0.1659,NO
0.1474,NO
0.1474,NO
0.1235,NO
0.1474,NO
0.1903,NO
0.1156,NO
0.1318,NO
0.1686,NO
0.1731,NO
0.1331,NO
0.2865,NO
0.2137,NO
0.2963,NO
0.1987,NO
0.0509,NO
0.2187,NO
1.0,YES
0.2137,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.1906,NO
0.1268,NO
0.2137,NO
0.1755,NO
0.2202,NO
1.0,YES
1.0,YES
0.3819,YES
1.0,YES
0.2137,NO
1.0,YES
0.1251,NO
1.0,YES
0.284,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.1441,NO
0.3435,YES
1.0,YES
0.1731,NO
0.0952,NO
0.1489,NO
0.1355,NO
0.2289,NO
0.2088,NO
0.2075,NO
1.0,YES
0.0995,NO
1.0,YES
0.1216,NO
1.0,YES
0.0995,NO
0.1251,NO
0.1355,NO
0.11800000000000001,NO
0.1355,NO
0.2201,NO
0.1355,NO
0.1328,NO
0.1566,NO
0.1267,NO
0.2378,YES
1.0,YES
1.0,YES
1.0,YES
0.1661,NO
0.071,NO
1.0,YES
0.1531,NO
1.0,YES
0.1531,NO
0.2165,NO
0.2003,NO
0.1934,NO
0.0785,NO
0.3659,YES
0.0556,NO
1.0,YES
0.1417,NO
1.0,YES
0.1531,NO
0.2192,NO
0.2298,NO
0.1335,NO
1.0,YES
0.2113,NO
0.2078,YES
0.1694,NO
0.1621,NO
0.1975,NO
0.2582,NO
0.2524,NO
0.2963,NO
0.1987,NO
0.1694,NO
0.2524,NO
1.0,YES
0.2524,NO
1.0,YES
0.1987,NO
0.1844,NO
0.1689,NO
0.1926,NO
0.1906,NO
0.1926,NO
0.2524,NO
0.2019,NO
0.2524,NO
1.0,YES
1.0,YES
0.3819,YES
1.0,YES
0.2524,NO
1.0,YES
0.133,NO
0.1566,NO
0.0774,NO
0.2378,YES
1.0,YES
1.0,YES
1.0,YES
0.1661,NO
0.071,NO
1.0,YES
0.2598,NO
1.0,YES
0.1459,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.2049,NO
0.2519,NO
0.2298,NO
0.1116,NO
1.0,YES
0.2113,NO
0.2078,YES
0.1809,NO
0.0745,NO
0.2381,NO
0.2395,NO
0.2395,NO
0.2395,NO
0.1653,NO
0.1809,NO
0.2395,NO
0.4371,YES
0.2395,NO
1.0,YES
0.2519,NO
0.2036,NO
0.2269,NO
0.0831,NO
0.1733,NO
0.1809,NO
0.2395,NO
0.2256,NO
0.2395,NO
0.4061,YES
1.0,YES
0.3023,YES
1.0,YES
0.2405,NO
1.0,YES
0.1331,NO
0.1686,NO
0.1339,NO
0.22399999999999998,NO
0.2338,NO
0.1879,NO
0.2963,NO
0.1987,NO
0.0967,NO
0.2198,NO
1.0,YES
0.2344,NO
1.0,YES
0.151,NO
0.1834,NO
0.0647,NO
0.204,NO
0.2338,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
1.0,YES
1.0,YES
0.4941,YES
1.0,YES
0.193,NO
1.0,YES
0.1896,NO
0.1796,NO
0.1479,NO
0.2171,NO
0.2664,NO
0.2664,NO
0.2664,NO
0.1684,NO
0.1796,NO
0.2664,NO
1.0,YES
0.2664,NO
0.4754,YES
0.2252,NO
0.2085,NO
0.2034,NO
0.1579,NO
0.1415,NO
0.1796,NO
0.2664,NO
0.1912,NO
0.2664,NO
1.0,YES
1.0,YES
0.2799,YES
1.0,YES
0.2664,NO
0.4754,YES
0.1743,NO
0.1553,NO
0.0714,NO
0.1377,NO
0.2886,NO
0.2085,NO
0.2085,NO
0.0789,NO
0.1118,NO
0.2085,NO
1.0,YES
0.2085,NO
1.0,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.159,NO
0.1576,NO
0.1544,NO
0.2085,NO
0.1702,NO
0.2085,NO
1.0,YES
1.0,YES
0.3527,YES
1.0,YES
0.2085,NO
0.4994,YES
0.1012,NO
0.153,NO
0.079,NO
0.5095,YES
0.27899999999999997,YES
0.27899999999999997,YES
1.0,YES
0.2237,NO
0.153,NO
1.0,YES
0.2938,NO
1.0,YES
0.2938,NO
0.2131,NO
0.1496,NO
0.1834,NO
0.1628,NO
0.2328,YES
0.1628,NO
0.27899999999999997,YES
0.2129,NO
0.27899999999999997,YES
0.2938,NO
0.2938,NO
0.3025,NO
0.1253,NO
1.0,YES
0.2938,NO
0.344,YES
0.1799,NO
0.1547,NO
1.0,YES
0.2276,NO
0.2276,NO
0.4159,YES
0.1867,NO
0.1097,NO
1.0,YES
0.191,NO
1.0,YES
0.1528,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.171,NO
0.21899999999999997,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.1917,NO
1.0,YES
0.3359,NO
0.3917,YES
0.1566,NO
0.1427,NO
0.2902,YES
1.0,YES
1.0,YES
1.0,YES
0.1661,NO
0.071,NO
1.0,YES
