50Traced_NONETRACED_MAX_RAW_VSM_63_MAX,Associated
0.1687,NO
0.1548,NO
0.2688,NO
0.2164,NO
0.1379,NO
0.2963,NO
0.1687,NO
0.1548,NO
0.1689,NO
1.0,YES
0.2347,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1687,NO
0.1906,NO
0.1687,NO
0.1663,NO
0.2179,NO
0.1147,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2254,NO
1.0,YES
0.1576,NO
0.4232,YES
1.0,YES
0.3362,NO
0.1579,NO
0.1344,NO
0.1194,NO
0.3947,YES
1.0,YES
0.1364,NO
0.1056,NO
0.1194,NO
0.1058,NO
0.1797,NO
0.1835,NO
0.1551,NO
1.0,YES
0.1344,NO
0.4181,YES
0.1344,NO
1.0,YES
0.1344,NO
0.1212,NO
0.1156,NO
0.1235,NO
0.1156,NO
0.1903,NO
0.1119,NO
0.1008,NO
0.0886,NO
0.1534,NO
0.141,NO
0.2865,NO
0.1512,NO
0.1666,NO
0.1465,NO
0.0509,NO
0.2187,NO
1.0,YES
0.1603,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.20600000000000002,NO
0.1544,NO
0.1947,NO
0.1755,NO
0.2202,NO
0.4465,YES
0.5256,YES
0.4064,YES
1.0,YES
0.1659,NO
1.0,YES
0.1251,NO
0.4428,YES
1.0,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.1692,NO
1.0,YES
1.0,YES
0.1731,NO
0.1387,NO
0.1692,NO
0.1841,NO
0.2289,NO
0.2183,NO
0.2075,NO
1.0,YES
0.204,NO
0.4181,YES
0.1268,NO
1.0,YES
0.1268,NO
0.1841,NO
0.1387,NO
0.1841,NO
0.1841,NO
0.2201,NO
0.1841,NO
0.1489,NO
0.0724,NO
0.1508,NO
0.3354,YES
1.0,YES
1.0,YES
0.2372,YES
0.0826,NO
0.1508,NO
0.2372,YES
0.1395,NO
0.2372,YES
0.1443,NO
0.2165,NO
0.2037,NO
0.1934,NO
0.1508,NO
1.0,YES
0.063,NO
1.0,YES
0.1508,NO
1.0,YES
0.073,NO
0.2044,NO
0.1439,NO
0.0968,NO
0.1801,YES
0.0964,NO
0.1343,YES
0.1621,NO
0.0732,NO
0.1975,NO
0.2582,NO
0.1977,NO
0.1701,NO
0.1684,NO
0.1225,NO
0.1458,NO
1.0,YES
0.1577,NO
1.0,YES
0.1987,NO
0.1813,NO
0.1689,NO
0.1621,NO
0.20600000000000002,NO
0.1621,NO
0.1701,NO
0.2019,NO
0.2083,NO
0.485,YES
0.4997,YES
0.485,YES
1.0,YES
0.2226,NO
1.0,YES
0.1428,NO
0.0985,NO
0.0774,NO
0.2886,YES
1.0,YES
1.0,YES
0.2373,YES
0.1366,NO
0.0604,NO
0.2068,YES
0.2598,NO
0.1429,YES
0.2564,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.2049,NO
0.2548,NO
0.2228,NO
0.2564,NO
0.1864,YES
0.2564,NO
0.1548,YES
0.1669,NO
0.0745,NO
0.2688,NO
0.19,NO
0.1547,NO
0.2963,NO
0.1669,NO
0.1536,NO
0.2369,NO
1.0,YES
0.2369,NO
1.0,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.1669,NO
0.2395,NO
0.1669,NO
0.1506,NO
0.2256,NO
0.1464,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2405,NO
1.0,YES
0.1576,NO
0.1197,NO
0.1339,NO
0.22399999999999998,NO
0.2338,NO
0.2338,NO
0.2188,NO
0.1339,NO
0.0967,NO
0.2198,NO
0.4856,YES
0.2344,NO
0.4856,YES
0.1331,NO
0.0735,NO
0.0647,NO
0.204,NO
0.2338,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
0.4042,YES
0.3905,YES
0.4941,YES
0.4856,YES
0.193,NO
0.4856,YES
0.2133,NO
0.1479,NO
0.0769,NO
0.2664,NO
0.2342,NO
0.2174,NO
0.2171,NO
0.1796,NO
0.1204,NO
0.2171,NO
1.0,YES
0.2171,NO
1.0,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.159,NO
0.2664,NO
0.1544,NO
0.2174,NO
0.1912,NO
0.2083,NO
0.4373,YES
1.0,YES
0.4373,YES
1.0,YES
0.2206,NO
1.0,YES
0.1743,NO
0.1439,NO
0.0714,NO
0.2085,NO
0.2886,NO
0.2184,NO
0.1277,NO
0.1579,NO
0.0532,NO
0.1421,NO
1.0,YES
0.1412,NO
1.0,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.159,NO
0.2085,NO
0.1544,NO
0.2184,NO
0.1702,NO
0.2083,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1375,NO
1.0,YES
0.1083,NO
0.1741,NO
0.1628,NO
1.0,YES
0.1431,YES
0.1227,YES
1.0,YES
0.2237,NO
0.1628,NO
1.0,YES
0.106,NO
1.0,YES
0.1253,NO
0.2131,NO
0.1549,NO
0.1474,NO
0.1628,NO
0.27899999999999997,YES
0.0875,NO
0.2598,YES
0.2129,NO
0.1321,YES
0.1271,NO
0.1426,NO
0.3025,NO
0.1253,NO
1.0,YES
0.2516,NO
0.3151,YES
0.1799,NO
0.1547,NO
1.0,YES
0.2156,NO
0.1535,NO
1.0,YES
0.1827,NO
0.1097,NO
1.0,YES
0.2742,NO
1.0,YES
0.2742,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.171,NO
0.2276,NO
0.1398,NO
