50Traced_NONETRACED_MAX_SINGLE_LSA_10_MEDIAN,Associated
0.2076,NO
0.2201,NO
0.1144,NO
0.2164,NO
0.1965,NO
0.166,NO
0.2201,NO
0.2025,NO
0.2216,NO
0.6882,YES
0.1376,NO
1.0,YES
0.3701,NO
0.3574,NO
0.3701,NO
0.1142,NO
0.2942,NO
0.2201,NO
0.1818,NO
0.2201,NO
0.1818,NO
1.0,YES
0.5954,YES
1.0,YES
1.0,YES
0.1766,NO
1.0,YES
0.2434,NO
1.0,YES
1.0,YES
0.3362,NO
0.2707,NO
0.3639,NO
0.3765,NO
1.0,YES
0.9202,YES
0.4007,NO
0.21100000000000002,NO
0.3,NO
0.3066,NO
0.4183,NO
0.40399999999999997,NO
0.4183,NO
1.0,YES
0.3639,NO
1.0,YES
0.3639,NO
1.0,YES
0.3639,NO
0.3066,NO
0.1826,NO
0.3066,NO
0.3066,NO
0.4007,NO
0.3066,NO
0.4007,NO
0.2057,NO
0.3133,NO
0.2077,NO
0.3895,NO
0.3369,NO
0.6773,NO
0.4224,NO
0.1016,NO
0.3063,NO
1.0,YES
0.7077,NO
1.0,YES
0.205,NO
0.2391,NO
0.2136,NO
0.3249,NO
0.5133,NO
0.1268,NO
0.391,NO
0.1755,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.3939,NO
1.0,YES
1.0,YES
0.4605,NO
0.5062,NO
0.6805,NO
0.5089,NO
1.0,YES
1.0,YES
0.6805,NO
0.4136,NO
0.4275,NO
0.601,NO
0.7376,NO
0.7124,NO
0.7376,NO
1.0,YES
0.6805,NO
1.0,YES
0.6805,NO
1.0,YES
0.6805,NO
0.601,NO
0.4069,NO
0.601,NO
0.601,NO
0.5415,NO
0.601,NO
0.5415,NO
0.1709,NO
0.2248,NO
0.5483,YES
1.0,YES
1.0,YES
0.6847,YES
0.257,NO
0.0471,NO
1.0,YES
0.3019,NO
0.6283,YES
0.166,NO
0.3291,NO
0.3179,NO
0.3291,NO
0.1146,NO
1.0,YES
0.0896,NO
1.0,YES
0.4988,NO
1.0,YES
0.1182,NO
0.3721,NO
0.5265,NO
0.3307,NO
0.7068,YES
0.4619,NO
0.5859,YES
0.1996,NO
0.3133,NO
0.2137,NO
0.3895,NO
0.3369,NO
0.4167,NO
0.2687,NO
0.1225,NO
0.3573,NO
1.0,YES
0.4354,NO
1.0,YES
0.2451,NO
0.2525,NO
0.2525,NO
0.3249,NO
0.4176,NO
0.0898,NO
0.391,NO
0.2019,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3573,NO
1.0,YES
0.3573,NO
0.146,NO
0.2248,NO
0.5483,YES
1.0,YES
1.0,YES
0.6847,YES
0.2196,NO
0.1098,NO
1.0,YES
0.6968,NO
0.6283,YES
0.6968,NO
0.2252,NO
0.2571,NO
0.2833,NO
0.2264,NO
1.0,YES
0.141,NO
1.0,YES
0.4988,NO
1.0,YES
0.6968,NO
0.6968,NO
0.6334,NO
0.5875,NO
0.7068,YES
0.6968,NO
0.5859,YES
0.1415,NO
0.3133,NO
0.2758,NO
0.3895,NO
0.1965,NO
0.3984,NO
0.2177,NO
0.1536,NO
0.4239,NO
1.0,YES
0.3648,NO
1.0,YES
0.406,NO
0.4406,NO
0.4406,NO
0.3249,NO
0.2942,NO
0.055999999999999994,NO
0.391,NO
0.2256,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4239,NO
1.0,YES
0.4239,NO
0.2057,NO
0.3133,NO
0.4095,NO
0.3895,NO
0.3349,NO
0.6773,NO
0.4224,NO
0.1016,NO
0.3349,NO
1.0,YES
0.7077,NO
1.0,YES
0.1331,NO
0.2391,NO
0.1176,NO
0.3249,NO
0.5133,NO
0.1655,NO
0.391,NO
0.16699999999999998,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.3939,NO
0.1439,NO
0.2036,NO
0.1953,NO
0.2531,NO
0.3369,NO
0.4023,NO
0.2687,NO
0.1204,NO
0.3095,NO
1.0,YES
0.4203,NO
0.8982,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.2111,NO
0.4176,NO
0.0898,NO
0.2541,NO
0.1912,NO
0.3064,NO
1.0,YES
1.0,YES
1.0,YES
0.8982,YES
0.3095,NO
0.8982,YES
0.3095,NO
0.2057,NO
0.2365,NO
0.10800000000000001,NO
0.3031,NO
0.3369,NO
0.6773,NO
0.4224,NO
0.0804,NO
0.1704,NO
1.0,YES
0.7077,NO
0.755,YES
0.2846,NO
0.2749,NO
0.2846,NO
0.2453,NO
0.5133,NO
0.0898,NO
0.2952,NO
0.1702,NO
0.35600000000000004,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.3939,NO
0.2069,NO
0.3233,NO
1.0,YES
0.7438,YES
1.0,YES
1.0,YES
0.2739,NO
0.2018,NO
1.0,YES
0.1242,NO
1.0,YES
0.1361,NO
0.4322,NO
0.2885,NO
0.3188,NO
0.2557,NO
1.0,YES
0.2282,NO
1.0,YES
0.4988,NO
1.0,YES
0.2695,NO
0.3721,NO
0.6965,NO
0.3738,NO
1.0,YES
0.5191,NO
1.0,YES
0.1799,NO
0.3233,NO
1.0,YES
0.6811,NO
0.3646,NO
1.0,YES
0.2457,NO
0.134,NO
1.0,YES
0.2628,NO
1.0,YES
0.2628,NO
0.4978,NO
0.5402,NO
0.5402,NO
0.1957,NO
0.6811,NO
0.1747,NO
0.6811,NO
0.3122,NO
0.4971,NO
0.5079,NO
0.2987,NO
0.5719,NO
0.5079,NO
1.0,YES
0.5079,NO
0.9755,YES
0.1537,NO
0.2716,NO
0.8399,YES
1.0,YES
0.982,YES
0.8593,YES
0.2564,NO
0.1537,NO
0.982,YES
0.8445,NO
0.8193,YES
0.7101,NO
0.4811,NO
0.5221,NO
0.5221,NO
0.2307,NO
1.0,YES
0.1537,NO
1.0,YES
0.4898,NO
0.982,YES
0.8445,NO
0.8445,NO
0.8445,NO
0.3936,NO
0.7728,YES
0.7101,NO
0.8593,YES
0.1636,NO
0.3162,NO
1.0,YES
0.183,NO
0.1992,NO
1.0,YES
0.2984,NO
0.153,NO
0.8576,YES
0.439,NO
1.0,YES
0.439,NO
0.2847,NO
0.2454,NO
0.3473,NO
0.2042,NO
0.3099,NO
0.1823,NO
0.531,NO
0.3011,NO
0.3164,NO
0.6038,NO
0.439,NO
0.6038,NO
0.6038,NO
1.0,YES
0.6038,NO
1.0,YES
0.2084,NO
0.2956,NO
0.5483,YES
1.0,YES
1.0,YES
0.6847,YES
0.3191,NO
0.2033,NO
1.0,YES
0.3283,NO
0.6283,YES
0.3283,NO
0.7871,NO
0.7602,NO
0.7871,NO
0.1146,NO
1.0,YES
0.221,NO
1.0,YES
0.4988,NO
1.0,YES
0.3283,NO
0.3721,NO
0.5265,NO
0.3307,NO
0.7068,YES
0.4619,NO
0.5859,YES
1.0,YES
1.0,YES
0.3634,NO
0.3683,NO
0.4952,NO
0.4057,NO
1.0,YES
1.0,YES
0.4952,NO
0.0758,NO
0.3868,NO
0.067,NO
0.2131,NO
0.16,NO
0.1446,NO
1.0,YES
0.4952,NO
1.0,YES
0.4952,NO
1.0,YES
0.4952,NO
0.1688,NO
0.1843,NO
0.2607,NO
0.1637,NO
0.3988,NO
0.2287,NO
0.4057,NO
0.1585,NO
0.3233,NO
1.0,YES
0.7438,YES
1.0,YES
1.0,YES
0.2984,NO
0.1381,NO
1.0,YES
0.2684,NO
1.0,YES
0.2684,NO
0.4132,NO
0.3991,NO
0.4132,NO
0.2557,NO
1.0,YES
0.2282,NO
1.0,YES
0.506,NO
1.0,YES
0.2695,NO
0.3721,NO
0.6965,NO
0.3713,NO
1.0,YES
0.5442,NO
1.0,YES
0.1291,NO
0.3233,NO
1.0,YES
0.7438,YES
1.0,YES
1.0,YES
0.2431,NO
0.134,NO
1.0,YES
0.6074,NO
1.0,YES
0.4814,NO
0.2327,NO
0.203,NO
0.2829,NO
0.1486,NO
1.0,YES
0.1326,NO
1.0,YES
0.4988,NO
1.0,YES
0.6074,NO
0.6074,NO
0.6074,NO
0.4814,NO
1.0,YES
0.4814,NO
1.0,YES
0.1342,NO
0.3162,NO
1.0,YES
0.6709999999999999,YES
0.5515,YES
1.0,YES
0.2409,NO
0.1622,NO
0.8237,YES
0.1102,NO
1.0,YES
0.10800000000000001,NO
0.2213,NO
0.2193,NO
0.2803,NO
0.2557,NO
0.6709999999999999,YES
0.2282,NO
0.6709999999999999,YES
0.3187,NO
0.5515,YES
0.2571,NO
0.2052,NO
0.6965,NO
0.3738,NO
1.0,YES
0.3429,NO
1.0,YES
0.1585,NO
0.3233,NO
1.0,YES
0.4235,YES
0.5693,YES
1.0,YES
0.2984,NO
0.1381,NO
1.0,YES
0.2655,NO
1.0,YES
0.2655,NO
0.4036,NO
0.43799999999999994,NO
0.43799999999999994,NO
0.1529,NO
0.5693,YES
0.1365,NO
0.5693,YES
0.506,NO
0.5693,YES
0.2695,NO
0.2655,NO
0.5719,NO
0.3738,NO
1.0,YES
0.5442,NO
1.0,YES
0.1709,NO
0.1914,NO
0.368,YES
1.0,YES
1.0,YES
0.4595,YES
0.257,NO
0.0621,NO
0.6711,YES
0.6109,NO
0.4216,YES
0.6109,NO
0.4862,NO
0.4696,NO
0.4862,NO
0.1985,NO
1.0,YES
0.1648,NO
0.7685,YES
0.3348,NO
1.0,YES
0.6109,NO
0.6109,NO
0.5554,NO
0.2961,NO
0.4743,YES
0.6109,NO
0.3932,YES
0.1352,NO
0.2248,NO
0.5865,YES
1.0,YES
1.0,YES
0.6847,YES
0.2033,NO
0.0792,NO
1.0,YES
0.4584,NO
0.6283,YES
0.4584,NO
0.2021,NO
0.1873,NO
0.2331,NO
0.1825,NO
1.0,YES
0.1772,NO
1.0,YES
0.4988,NO
1.0,YES
0.4584,NO
0.4584,NO
0.5265,NO
0.3307,NO
0.7068,YES
0.4619,NO
0.5865,YES
0.2581,NO
0.3926,NO
0.3143,NO
0.3776,NO
0.3776,NO
0.4344,NO
0.4239,NO
0.1296,NO
0.6008,NO
0.2115,NO
0.4141,NO
0.3073,NO
1.0,YES
0.9658,YES
1.0,YES
0.0766,NO
0.4495,NO
0.0895,NO
0.2843,NO
0.3599,NO
0.3776,NO
0.3073,NO
0.183,NO
0.3073,NO
0.3073,NO
0.36200000000000004,NO
0.3073,NO
0.6577,NO
1.0,YES
1.0,YES
0.2752,NO
0.21600000000000003,NO
0.1283,NO
0.1656,NO
1.0,YES
1.0,YES
0.1931,NO
0.2238,NO
0.132,NO
0.3252,NO
0.3226,NO
0.3116,NO
0.3226,NO
1.0,YES
0.21600000000000003,NO
1.0,YES
0.1429,NO
1.0,YES
0.21600000000000003,NO
0.3252,NO
0.1936,NO
0.3252,NO
0.3252,NO
0.1763,NO
0.3252,NO
0.2122,NO
0.1709,NO
0.2248,NO
0.5483,YES
1.0,YES
1.0,YES
0.6847,YES
0.257,NO
0.0592,NO
1.0,YES
0.3019,NO
0.6283,YES
0.166,NO
0.3922,NO
0.4256,NO
0.4256,NO
0.1146,NO
1.0,YES
0.0896,NO
1.0,YES
0.4988,NO
1.0,YES
0.1182,NO
0.3721,NO
0.5265,NO
0.3307,NO
0.7068,YES
0.4619,NO
0.5859,YES
1.0,YES
1.0,YES
0.3473,NO
0.1555,NO
0.0906,NO
0.245,NO
1.0,YES
1.0,YES
0.2143,NO
0.1017,NO
0.245,NO
0.1058,NO
0.3064,NO
0.3324,NO
0.3324,NO
1.0,YES
0.1603,NO
1.0,YES
0.1629,NO
1.0,YES
0.0872,NO
0.1688,NO
0.1001,NO
0.1706,NO
0.0773,NO
0.192,NO
0.1128,NO
0.2094,NO
0.1685,NO
0.3133,NO
0.1092,NO
0.3895,NO
0.1991,NO
0.1364,NO
0.1685,NO
0.1016,NO
0.3377,NO
1.0,YES
0.1251,NO
1.0,YES
0.564,NO
0.5447,NO
0.564,NO
0.3249,NO
0.2942,NO
0.1658,NO
0.391,NO
0.2072,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1408,NO
1.0,YES
0.371,NO
1.0,YES
1.0,YES
0.2823,NO
0.2282,NO
0.1355,NO
0.1631,NO
1.0,YES
1.0,YES
0.1657,NO
0.1079,NO
0.1631,NO
0.1095,NO
0.2636,NO
0.257,NO
0.2636,NO
1.0,YES
0.2282,NO
1.0,YES
0.1509,NO
1.0,YES
0.2282,NO
0.1688,NO
0.1001,NO
0.1274,NO
0.0773,NO
0.1427,NO
0.0878,NO
0.1734,NO
0.1422,NO
0.3133,NO
0.2904,NO
0.3895,NO
0.1965,NO
0.4563,NO
0.1852,NO
0.1098,NO
0.4855,NO
1.0,YES
0.3635,NO
1.0,YES
0.3884,NO
0.4072,NO
0.4072,NO
0.3249,NO
0.2942,NO
0.0862,NO
0.391,NO
0.2457,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4855,NO
1.0,YES
0.4855,NO
