50Traced_NONETRACED_MAX_SINGLE_LSA_6_MAX,Associated
0.2201,NO
0.1109,NO
0.1144,NO
0.3031,NO
0.3369,NO
0.1766,NO
0.2687,NO
0.2025,NO
0.444,NO
1.0,YES
0.7077,NO
1.0,YES
0.3701,NO
0.3701,NO
0.3701,NO
0.2201,NO
0.4176,NO
0.2201,NO
0.1949,NO
0.2508,NO
0.3295,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2434,NO
1.0,YES
1.0,YES
0.3362,NO
0.1872,NO
0.1872,NO
0.22,NO
1.0,YES
1.0,YES
0.2853,NO
0.1056,NO
0.2463,NO
0.2314,NO
0.4183,NO
0.4183,NO
0.4183,NO
1.0,YES
0.1872,NO
1.0,YES
0.1409,NO
1.0,YES
0.1872,NO
0.2314,NO
0.1361,NO
0.2314,NO
0.2314,NO
0.2584,NO
0.2314,NO
0.2751,NO
0.21600000000000003,NO
0.21600000000000003,NO
0.1446,NO
0.3031,NO
0.3369,NO
0.3329,NO
0.2687,NO
0.1135,NO
0.444,NO
1.0,YES
0.7077,NO
1.0,YES
0.205,NO
0.2391,NO
0.2136,NO
0.3123,NO
0.4176,NO
0.2774,NO
0.3757,NO
0.21600000000000003,NO
0.4531,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2054,NO
1.0,YES
1.0,YES
0.4653,NO
0.3514,NO
0.3722,NO
0.4748,NO
1.0,YES
1.0,YES
0.4748,NO
0.0952,NO
0.4436,NO
0.0887,NO
0.7376,NO
0.7376,NO
0.7376,NO
1.0,YES
0.3722,NO
1.0,YES
0.28600000000000003,NO
1.0,YES
0.3722,NO
0.1688,NO
0.1525,NO
0.2665,NO
0.1587,NO
0.4748,NO
0.2648,NO
0.4852,NO
0.1663,NO
0.2059,NO
0.7346,YES
1.0,YES
1.0,YES
0.7346,YES
0.1724,NO
0.153,NO
0.3689,YES
0.1502,NO
0.7346,YES
0.22399999999999998,NO
0.3493,NO
0.379,NO
0.379,NO
0.1663,NO
1.0,YES
0.1663,NO
0.8285,YES
0.1663,NO
1.0,YES
0.3405,NO
0.3338,NO
0.368,NO
0.1918,NO
0.7346,YES
0.3393,NO
0.4304,YES
0.2169,NO
0.1091,NO
0.4137,NO
0.4137,NO
0.4137,NO
0.4137,NO
0.2687,NO
0.2169,NO
0.2731,NO
1.0,YES
0.4354,NO
1.0,YES
0.1987,NO
0.2085,NO
0.1733,NO
0.3249,NO
0.4176,NO
0.2886,NO
0.4137,NO
0.2508,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4137,NO
1.0,YES
0.2424,NO
0.1219,NO
0.2248,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2003,NO
0.1098,NO
0.5022,YES
0.2598,NO
1.0,YES
0.22399999999999998,NO
0.4058,NO
0.4403,NO
0.4403,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.1674,NO
1.0,YES
0.3405,NO
0.3338,NO
0.4726,NO
0.2464,NO
1.0,YES
0.4619,NO
0.5859,YES
0.2332,NO
0.1856,NO
0.366,NO
0.19,NO
0.1965,NO
0.2724,NO
0.2148,NO
0.2332,NO
0.366,NO
1.0,YES
0.3648,NO
1.0,YES
0.3899,NO
0.3899,NO
0.3899,NO
0.2332,NO
0.2942,NO
0.22399999999999998,NO
0.1974,NO
0.2508,NO
0.1699,NO
0.5181,YES
1.0,YES
1.0,YES
1.0,YES
0.366,NO
1.0,YES
0.366,NO
0.1671,NO
0.1339,NO
0.3387,NO
0.23600000000000002,NO
