50Traced_NONETRACED_MAX_SINGLE_VSM_32_MAX,Associated
0.2201,NO
0.2626,NO
0.6593,NO
0.2164,NO
0.2874,NO
0.1415,NO
0.4224,NO
0.2025,NO
0.444,NO
1.0,YES
0.7077,NO
1.0,YES
0.3126,NO
0.3391,NO
0.3391,NO
0.2626,NO
0.5133,NO
0.2626,NO
0.4343,NO
0.2626,NO
0.1755,NO
1.0,YES
0.5954,YES
1.0,YES
1.0,YES
0.1573,NO
1.0,YES
0.3939,NO
1.0,YES
1.0,YES
0.3362,NO
0.2455,NO
0.2152,NO
0.3765,NO
1.0,YES
1.0,YES
0.4007,NO
0.2314,NO
0.3,NO
0.2314,NO
0.4183,NO
0.40399999999999997,NO
0.4183,NO
1.0,YES
0.2664,NO
1.0,YES
0.2664,NO
1.0,YES
0.1702,NO
0.2082,NO
0.2082,NO
0.2314,NO
0.127,NO
0.4007,NO
0.2314,NO
0.4007,NO
0.1341,NO
0.3133,NO
0.3233,NO
0.2865,NO
0.3369,NO
0.3464,NO
0.2344,NO
0.1058,NO
0.2187,NO
1.0,YES
0.3471,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.3249,NO
0.2517,NO
0.21600000000000003,NO
0.391,NO
0.2508,NO
0.2202,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2077,NO
1.0,YES
0.2574,NO
1.0,YES
1.0,YES
0.6805,NO
0.6805,NO
0.5217,NO
0.5089,NO
1.0,YES
1.0,YES
0.6805,NO
0.4197,NO
0.6805,NO
0.4197,NO
0.7376,NO
0.7124,NO
0.7376,NO
1.0,YES
0.6805,NO
1.0,YES
0.5005,NO
1.0,YES
0.3377,NO
0.4069,NO
0.4069,NO
0.4197,NO
0.2304,NO
0.5415,NO
0.4197,NO
0.5415,NO
0.1047,NO
0.2021,NO
0.7346,YES
1.0,YES
0.9815,YES
0.503,YES
0.257,NO
0.0982,NO
0.7346,YES
0.2963,NO
0.7346,YES
0.166,NO
0.3493,NO
0.379,NO
0.379,NO
0.1146,NO
1.0,YES
0.0921,NO
1.0,YES
0.3664,NO
0.8285,YES
0.3342,NO
0.4485,NO
0.2692,NO
0.2464,NO
0.5192,YES
0.4518,NO
0.4304,YES
0.2719,NO
0.3133,NO
0.6593,NO
0.4137,NO
0.3369,NO
0.3464,NO
0.4224,NO
0.2502,NO
0.444,NO
1.0,YES
0.7077,NO
1.0,YES
0.1987,NO
0.2391,NO
0.1689,NO
0.3249,NO
0.5133,NO
0.2719,NO
0.4343,NO
0.2719,NO
0.2053,NO
1.0,YES
1.0,YES
1.0,YES
0.9651,YES
0.3573,NO
1.0,YES
0.3939,NO
0.1194,NO
0.2059,NO
0.8266,YES
1.0,YES
1.0,YES
0.5660000000000001,YES
0.2196,NO
0.1105,NO
0.8266,YES
0.6903,NO
0.8266,YES
0.3599,NO
0.4058,NO
0.4403,NO
0.4403,NO
0.1453,NO
1.0,YES
0.141,NO
0.8544,YES
0.4123,NO
1.0,YES
0.6903,NO
0.6903,NO
0.6903,NO
0.3218,NO
0.5843,YES
0.6903,NO
0.4843,YES
0.2332,NO
0.2332,NO
0.6593,NO
0.19,NO
0.3369,NO
0.3984,NO
0.4224,NO
0.2332,NO
0.444,NO
1.0,YES
0.7077,NO
1.0,YES
0.406,NO
0.4406,NO
0.4406,NO
0.1856,NO
0.5133,NO
0.2332,NO
0.4343,NO
0.2508,NO
0.1755,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4239,NO
1.0,YES
0.4239,NO
0.1341,NO
0.3133,NO
0.6593,NO
0.3349,NO
0.3369,NO
0.3916,NO
0.4224,NO
0.1135,NO
0.444,NO
1.0,YES
0.7077,NO
1.0,YES
0.1626,NO
0.2391,NO
0.1733,NO
0.3249,NO
0.5133,NO
0.1655,NO
0.4343,NO
0.2508,NO
0.2819,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3916,NO
1.0,YES
0.3939,NO
0.2093,NO
0.2093,NO
0.4413,NO
0.4413,NO
0.3384,NO
0.3022,NO
0.2509,NO
0.2093,NO
0.4413,NO
1.0,YES
0.4413,NO
0.8982,YES
0.2729,NO
0.2866,NO
0.2866,NO
0.2111,NO
0.4413,NO
0.2093,NO
0.3246,NO
0.2253,NO
0.21899999999999997,NO
1.0,YES
1.0,YES
1.0,YES
0.8982,YES
0.3119,NO
1.0,YES
0.2586,NO
0.1341,NO
0.3133,NO
0.31,NO
0.31,NO
0.3369,NO
0.3464,NO
0.2344,NO
0.1058,NO
0.31,NO
1.0,YES
0.311,NO
1.0,YES
0.2846,NO
0.2749,NO
0.2846,NO
0.3249,NO
0.31,NO
0.1308,NO
0.391,NO
0.2508,NO
0.1755,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2191,NO
1.0,YES
0.2574,NO
0.2194,NO
0.2607,NO
1.0,YES
1.0,YES
0.7667,YES
1.0,YES
0.3986,NO
0.2018,NO
1.0,YES
0.7244,NO
1.0,YES
0.7244,NO
0.3347,NO
0.2454,NO
0.3473,NO
0.2194,NO
1.0,YES
0.2282,NO
0.7355,YES
0.4988,NO
0.4963,YES
0.4243,NO
0.4261,NO
0.7244,NO
0.3976,NO
1.0,YES
0.7244,NO
1.0,YES
0.1799,NO
0.3233,NO
0.7653,YES
0.6811,NO
0.3646,NO
1.0,YES
0.3051,NO
0.134,NO
1.0,YES
0.191,NO
1.0,YES
0.1629,NO
0.4978,NO
0.5402,NO
0.5402,NO
0.171,NO
0.6811,NO
0.1747,NO
0.6811,NO
0.1969,NO
0.4971,NO
0.2695,NO
0.2365,NO
0.5719,NO
0.3693,NO
1.0,YES
0.3705,NO
1.0,YES
0.14,NO
0.2716,NO
0.982,YES
1.0,YES
1.0,YES
0.8399,YES
0.257,NO
0.1312,NO
0.982,YES
0.6271,NO
0.982,YES
0.6271,NO
0.445,NO
0.4298,NO
0.445,NO
0.1146,NO
1.0,YES
0.0821,NO
1.0,YES
0.4898,NO
0.7299,YES
0.6271,NO
0.457,NO
0.6271,NO
0.6271,NO
0.8399,YES
0.6271,NO
0.8399,YES
0.1636,NO
0.2523,NO
1.0,YES
0.5126,NO
0.39299999999999996,NO
0.7803,YES
0.2984,NO
0.153,NO
1.0,YES
0.6038,NO
1.0,YES
0.6038,NO
0.3239,NO
0.2454,NO
0.3473,NO
0.1775,NO
0.5126,NO
0.1654,NO
0.6151,NO
0.2557,NO
0.3164,NO
0.3536,NO
0.3551,NO
0.6038,NO
0.3738,NO
0.7803,YES
0.6038,NO
1.0,YES
0.221,NO
0.221,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2859,NO
0.2091,NO
1.0,YES
0.4207,NO
1.0,YES
0.4207,NO
0.7871,NO
0.7602,NO
0.7871,NO
0.221,NO
1.0,YES
0.221,NO
1.0,YES
0.4988,NO
0.8689,YES
0.4207,NO
0.457,NO
0.4207,NO
0.4207,NO
0.7068,YES
0.4518,NO
0.5859,YES
1.0,YES
1.0,YES
0.3634,NO
0.2183,NO
0.1913,NO
0.3748,NO
1.0,YES
1.0,YES
0.3988,NO
0.3547,NO
0.2986,NO
0.3547,NO
0.2131,NO
0.16,NO
0.1446,NO
1.0,YES
0.2369,NO
1.0,YES
0.2369,NO
1.0,YES
0.1425,NO
0.3269,NO
0.3269,NO
0.3547,NO
0.1947,NO
0.3988,NO
0.3547,NO
0.3988,NO
0.2003,NO
0.3233,NO
1.0,YES
1.0,YES
0.7667,YES
1.0,YES
0.3986,NO
0.134,NO
1.0,YES
0.0938,NO
1.0,YES
0.1629,NO
0.4743,NO
0.5147,NO
0.5147,NO
0.1297,NO
1.0,YES
0.2282,NO
0.7355,YES
0.4988,NO
0.4963,YES
0.2695,NO
0.3721,NO
0.6965,NO
0.3738,NO
1.0,YES
0.5796,NO
1.0,YES
0.2339,NO
0.2339,NO
1.0,YES
1.0,YES
0.7667,YES
1.0,YES
0.3986,NO
0.2339,NO
1.0,YES
0.7974,NO
1.0,YES
0.7974,NO
0.2872,NO
0.2193,NO
0.2829,NO
0.0948,NO
1.0,YES
0.2339,NO
0.7355,YES
0.4988,NO
0.4963,YES
0.6074,NO
0.6074,NO
0.7974,NO
0.4377,NO
1.0,YES
0.7974,NO
1.0,YES
0.2216,NO
0.2497,NO
1.0,YES
0.6709999999999999,YES
0.4228,YES
1.0,YES
0.4103,NO
0.1622,NO
1.0,YES
0.679,NO
1.0,YES
0.679,NO
0.4322,NO
0.2193,NO
0.2972,NO
0.2034,NO
0.6709999999999999,YES
0.2282,NO
0.6709999999999999,YES
0.2751,NO
0.4897,YES
0.4261,NO
0.4673,NO
0.6965,NO
0.3727,NO
1.0,YES
0.679,NO
1.0,YES
0.2216,NO
0.3233,NO
1.0,YES
0.5693,YES
0.4365,YES
1.0,YES
0.4103,NO
0.134,NO
1.0,YES
0.4433,NO
1.0,YES
0.4433,NO
0.4322,NO
0.3273,NO
0.3473,NO
0.1297,NO
0.5693,YES
0.1365,NO
0.6151,YES
0.284,NO
0.3164,YES
0.2695,NO
0.2608,NO
0.5872,NO
0.3738,NO
1.0,YES
0.5796,NO
1.0,YES
0.1425,NO
0.2059,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.257,NO
0.1337,NO
1.0,YES
0.5159,NO
1.0,YES
0.6109,NO
0.4493,NO
0.4875,NO
0.4875,NO
0.1985,NO
1.0,YES
0.1648,NO
1.0,YES
0.4988,NO
1.0,YES
0.4983,NO
0.5464,NO
0.5554,NO
0.3307,NO
0.7068,YES
0.6109,NO
0.5859,YES
0.1201,NO
0.2059,NO
0.7440000000000001,YES
1.0,YES
1.0,YES
0.5094,YES
0.257,NO
0.1131,NO
0.7440000000000001,YES
0.4027,NO
0.7440000000000001,YES
0.4584,NO
0.2096,NO
0.3152,NO
0.2833,NO
0.1825,NO
1.0,YES
0.1772,NO
1.0,YES
0.3711,NO
1.0,YES
0.3739,NO
0.457,NO
0.4167,NO
0.2464,NO
0.5259,YES
0.4584,NO
0.505,YES
0.2552,NO
0.2552,NO
0.3143,NO
0.285,NO
0.2417,NO
0.4172,NO
0.3632,NO
0.2552,NO
0.6446,NO
0.3073,NO
0.3941,NO
0.3073,NO
1.0,YES
1.0,YES
1.0,YES
0.2526,NO
0.3108,NO
0.2552,NO
0.2584,NO
0.2552,NO
0.2417,NO
0.3073,NO
0.2739,NO
0.3073,NO
0.3146,NO
0.36200000000000004,NO
0.3073,NO
0.3531,NO
1.0,YES
1.0,YES
0.2752,NO
0.21600000000000003,NO
0.21600000000000003,NO
0.2116,NO
1.0,YES
1.0,YES
0.1922,NO
0.3252,NO
0.2116,NO
0.3252,NO
0.2747,NO
0.2981,NO
0.2981,NO
1.0,YES
0.21600000000000003,NO
1.0,YES
0.1429,NO
1.0,YES
0.21600000000000003,NO
0.3252,NO
0.1936,NO
0.3252,NO
0.3252,NO
0.2116,NO
0.3252,NO
0.1286,NO
0.1105,NO
0.2059,NO
0.7752,YES
1.0,YES
1.0,YES
0.5308,YES
0.2382,NO
0.1036,NO
0.7752,YES
0.3019,NO
0.7752,YES
0.1539,NO
0.1977,NO
0.2922,NO
0.2833,NO
0.1146,NO
1.0,YES
0.0665,NO
1.0,YES
0.3867,NO
0.9541,YES
0.3405,NO
0.457,NO
0.2743,NO
0.2563,NO
0.5479,YES
0.4518,NO
0.4541,YES
1.0,YES
1.0,YES
0.3473,NO
0.3075,NO
0.2357,NO
0.2105,NO
1.0,YES
1.0,YES
0.3075,NO
0.2094,NO
0.3075,NO
0.2094,NO
0.3064,NO
0.3324,NO
0.3324,NO
1.0,YES
0.3075,NO
1.0,YES
0.2261,NO
1.0,YES
0.1526,NO
0.1688,NO
0.1232,NO
0.2094,NO
0.1149,NO
0.2173,NO
0.2094,NO
0.2094,NO
0.2831,NO
0.3133,NO
0.1901,NO
0.3199,NO
0.3369,NO
0.3464,NO
0.2411,NO
0.2605,NO
0.3504,NO
1.0,YES
0.2142,NO
1.0,YES
0.501,NO
0.5436,NO
0.5436,NO
0.3249,NO
0.3471,NO
0.2831,NO
0.391,NO
0.2831,NO
0.2089,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.175,NO
1.0,YES
0.2574,NO
1.0,YES
1.0,YES
0.2823,NO
0.2289,NO
