50Traced_NONETRACED_SUM_MULTI_LSA_53_MAX,Associated
0.7427,NO
0.6768,NO
0.8122,NO
0.7179,NO
1.0289,NO
0.9805,NO
0.6814,NO
0.5533,NO
1.0797,NO
2.0705,YES
0.4404,NO
2.7047,YES
0.6817,NO
1.0567,NO
0.5539999999999999,NO
1.0048,NO
1.4093,NO
0.9503,NO
0.3728,NO
0.705,NO
0.6104,NO
1.869,YES
2.3971,YES
2.6013,YES
2.0574,YES
1.0239,NO
1.6525,YES
0.8642,NO
0.9031,YES
1.0047,YES
1.2009,NO
1.1929,NO
0.8219,NO
1.4945,NO
1.3611,YES
0.6439,YES
1.3521,NO
0.7293,NO
0.9876,NO
0.7047,NO
0.9843,NO
1.2063,NO
0.6565,NO
1.5418,YES
1.2943,NO
0.9378,YES
0.9385,NO
1.3549,YES
0.7036,NO
0.7101,NO
1.2886,NO
0.7433,NO
0.5710000000000001,NO
1.449,NO
1.189,NO
1.5222,NO
0.9172,NO
0.4888,NO
1.1943,NO
1.5118,NO
1.9142,NO
2.1535,NO
1.0765,NO
0.3856,NO
1.9975,NO
3.2999,YES
1.0511,NO
4.1186,YES
1.2803,NO
1.4748,NO
0.644,NO
0.9484,NO
2.0451,NO
0.8671,NO
0.8617,NO
0.6253,NO
1.0125,NO
3.4028,YES
3.9497,YES
3.8394,YES
2.9787,YES
1.8741,NO
3.3289,YES
1.6713,NO
1.6739,YES
1.6149,YES
1.0816,NO
0.6968,NO
0.7743,NO
1.6352,NO
1.9627,YES
1.1272,YES
1.4085,NO
0.8804,NO
1.1531,NO
1.0293,NO
0.6039,NO
0.9895,NO
0.4571,NO
2.0171,YES
0.9105,NO
1.4502,YES
0.7925,NO
1.4202,YES
0.6417,NO
0.8726,NO
1.4154,NO
0.8881,NO
0.6941,NO
1.3112,NO
1.2731,NO
1.3236,NO
1.1576,NO
0.7204,NO
1.0988,YES
4.3428,YES
3.7002,YES
1.6369999999999998,YES
0.6232,NO
0.5442,NO
2.0114,YES
1.0841,NO
1.1266,YES
0.7319,NO
1.6517,NO
1.6437,NO
0.7204,NO
0.9512,NO
3.3564,YES
0.7006,NO
4.1507,YES
0.8002,NO
3.4765,YES
0.8888,NO
2.0935,NO
1.3019,NO
0.5959,NO
1.652,YES
1.1987,NO
1.7099,YES
0.9325,NO
0.6481,NO
1.3723,NO
1.3719999999999999,NO
1.6215,NO
2.4201,NO
1.0093,NO
0.7421,NO
2.0745,NO
2.8425,YES
1.3644,NO
3.5209,YES
0.8729,NO
1.3338,NO
0.5594,NO
0.8313,NO
1.7051,NO
1.0212,NO
0.958,NO
0.7359,NO
0.9749,NO
2.8108,YES
3.2354,YES
3.3862,YES
2.7054,YES
2.1887,NO
2.9485,YES
2.1198,NO
0.8079999999999999,NO
0.5259,NO
0.8481,YES
3.6715,YES
3.2713,YES
1.4998,YES
0.5308,NO
0.5895,NO
1.7238,YES
1.935,NO
0.9519,YES
1.8135,NO
1.2011,NO
1.3431,NO
0.2995,NO
0.8625,NO
2.8742,YES
0.7272,NO
3.1358,YES
0.7538,NO
2.7983,YES
1.5,NO
2.7692,NO
2.0743,NO
1.5863,NO
1.6156,YES
1.7084,NO
1.6606,YES
0.9087,NO
0.8277,NO
0.9566,NO
1.3231,NO
1.6118,NO
2.387,NO
1.1527,NO
0.5817,NO
2.3473,NO
3.1393,YES
1.1727,NO
3.8551,YES
1.3923,NO
1.6429,NO
0.8511,NO
1.012,NO
1.8364,NO
0.9576,NO
0.8223,NO
0.5182,NO
1.1988,NO
3.2178,YES
3.5676,YES
3.6288,YES
3.0079,YES
1.9145,NO
3.1285,YES
1.7716,NO
0.857,NO
0.6023,NO
1.2538,NO
0.8731,NO
1.3609,NO
2.0933,NO
1.1515,NO
0.4654,NO
2.0723,NO
2.3691,YES
1.1427,NO
3.0813,YES
0.5935,NO
1.0090000000000001,NO
0.3522,NO
0.9696,NO
1.5314,NO
0.8708,NO
0.6451,NO
0.5005,NO
0.7151,NO
2.6944,YES
3.0789999999999997,YES
2.5982,YES
2.3224,YES
1.7937,NO
2.6769,YES
1.4405,NO
0.9632,NO
0.6539,NO
0.6523,NO
2.1374,NO
2.2218,NO
1.7168,NO
0.8479,NO
0.5759,NO
1.6853,NO
2.8645,YES
0.8349,NO
3.3191,YES
1.3318,NO
1.6385,NO
0.7655,NO
0.8845,NO
2.0822,NO
0.8904,NO
1.288,NO
0.5791,NO
1.5453,NO
2.701,YES
3.3281,YES
3.125,YES
2.5380000000000003,YES
1.5727,NO
2.4916,YES
1.6272,NO
0.6348,NO
0.41700000000000004,NO
0.7026,NO
1.2836,NO
1.3156,NO
1.3316,NO
0.7802,NO
0.3391,NO
1.2790000000000001,NO
2.7375,YES
0.6421,NO
3.2557,YES
0.7095,NO
