50Traced_NONETRACED_SUM_MULTI_LSA_56_MEDIAN,Associated
0.9606,NO
0.6179,NO
1.1224,NO
1.4764,NO
0.4719,NO
0.8844,NO
0.609,NO
0.5978,NO
0.9103,NO
2.9637,YES
1.1034,NO
1.4684,YES
0.7835,NO
1.7469999999999999,NO
0.3454,NO
0.5833,NO
1.7515,NO
0.6849,NO
0.9571,NO
0.5821,NO
0.6691,NO
2.7144,YES
3.2389,YES
2.9789,YES
1.7763,YES
1.4319,NO
2.4607,YES
0.8436,NO
3.1236,YES
3.0712,YES
1.5706,NO
1.4838,NO
0.6231,NO
1.6862,NO
2.6585,YES
2.1392,YES
1.3004,NO
0.7533,NO
1.2905,NO
0.4582,NO
0.9877,NO
1.8559,NO
0.3343,NO
2.1568,YES
1.2773,NO
3.0212,YES
0.7625,NO
2.667,YES
0.7262,NO
0.5637,NO
1.1188,NO
1.2355,NO
0.445,NO
1.8786,NO
1.3023,NO
1.4573,NO
1.1427,NO
0.6107,NO
1.318,NO
1.5017,NO
0.5691,NO
1.011,NO
0.7407,NO
0.2258,NO
0.951,NO
3.6703,YES
0.9351,NO
2.1046,YES
1.0765,NO
2.1451,NO
0.4246,NO
0.8241,NO
2.1184,NO
0.8419,NO
1.389,NO
0.473,NO
0.9856,NO
3.2831,YES
3.9229,YES
3.4679,YES
2.4323,YES
1.3409,NO
3.1709,YES
0.9472,NO
1.3988,YES
1.1139,YES
0.7288,NO
0.5523,NO
0.3146,NO
0.9127,NO
1.1796,YES
0.6868,YES
0.6509,NO
0.3684,NO
0.5003,NO
0.1824,NO
0.6525,NO
0.9905,NO
0.3207,NO
0.8402,YES
0.5977,NO
1.1538,YES
0.3693,NO
0.98,YES
0.4416,NO
0.2458,NO
0.5501,NO
0.6264,NO
0.1644,NO
0.9906,NO
0.3664,NO
0.8047,NO
1.171,NO
0.5886,NO
2.227,YES
4.1875,YES
3.6528,YES
2.1799,YES
0.8107,NO
0.4482,NO
1.6779,YES
0.9274,NO
1.3942,YES
1.0501,NO
0.9896,NO
1.8962,NO
0.5387,NO
0.8509,NO
4.0069,YES
0.757,NO
3.4154,YES
0.6343,NO
3.6014,YES
1.0001,NO
1.4822,NO
0.8679,NO
0.9053,NO
1.7991,YES
1.2516,NO
1.4637,YES
1.0186,NO
0.526,NO
1.5377,NO
1.4265,NO
0.3081,NO
1.2223,NO
0.8685,NO
0.1257,NO
1.3131,NO
3.7297,YES
1.2666,NO
2.2364,YES
1.1125,NO
2.2288,NO
0.5213,NO
0.7603,NO
2.0511,NO
0.7988,NO
1.0926,NO
0.3362,NO
0.8032,NO
3.4508,YES
3.9929,YES
3.6149,YES
2.6761,YES
1.591,NO
3.464,YES
1.2468,NO
0.2248,NO
0.2575,NO
1.791,YES
3.5069,YES
2.6062,YES
1.6496,YES
0.3365,NO
0.2391,NO
1.2115,YES
0.7306,NO
1.3784,YES
0.8571,NO
0.7405,NO
1.466,NO
0.4456,NO
0.365,NO
3.0607,YES
0.1524,NO
2.5007,YES
0.3072,NO
2.2868,YES
1.1882,NO
1.0504,NO
0.7583,NO
0.7728,NO
1.0984,YES
1.2611,NO
0.8233,YES
1.1987,NO
0.5666,NO
2.0404,NO
1.5196,NO
0.5897,NO
2.219,NO
1.0675,NO
0.4458,NO
2.074,NO
2.7763,YES
1.7139,NO
1.9581,YES
1.3199,NO
2.4492,NO
0.7587,NO
0.9102,NO
1.8074,NO
0.9302,NO
1.4668,NO
0.6365,NO
1.4323,NO
2.441,YES
3.1221,YES
3.0121,YES
2.3606,YES
2.1935,NO
2.7201,YES
2.1899,NO
0.7443,NO
0.3418,NO
1.3365,NO
0.9985,NO
0.3469,NO
1.2275,NO
0.5924,NO
0.1813,NO
1.3263,NO
3.1191,YES
1.2226,NO
1.8231,YES
0.8214,NO
1.7169,NO
0.1433,NO
0.4914,NO
1.6489,NO
0.6335,NO
0.9435,NO
0.2495,NO
0.7719,NO
2.7385,YES
3.3919,YES
3.0544,YES
2.0711,YES
1.7755,NO
2.6346,YES
1.3584,NO
