50Traced_NONETRACED_SUM_MULTI_VSM_58_MAX,Associated
0.9403,NO
0.3736,NO
0.8558,NO
1.7666,NO
1.294,NO
1.2538,NO
0.8636,NO
0.3427,NO
1.2706,NO
2.2345,YES
1.2943,NO
1.2804,YES
0.6475,NO
0.3323,NO
0.2223,NO
1.0645,NO
1.0016,NO
0.9415,NO
1.3384,NO
0.5953,NO
1.1369,NO
2.1043,YES
2.4563,YES
1.8988,YES
2.0615,YES
1.1301,NO
2.1869,YES
0.8322,NO
1.7014,YES
1.4543,YES
0.9746,NO
0.9248,NO
0.3954,NO
0.5569,NO
1.9834,YES
1.3523,YES
0.6708,NO
0.7093,NO
0.8503,NO
0.5047,NO
0.5221,NO
0.7866,NO
0.579,NO
2.0223,YES
0.324,NO
2.2042,YES
0.3603,NO
1.9248,YES
0.3021,NO
0.8029,NO
1.1006,NO
0.7065,NO
0.5548,NO
1.2482,NO
0.8638,NO
0.8448,NO
0.8717,NO
0.1534,NO
0.9105,NO
1.3481,NO
0.8716,NO
1.1211,NO
0.4911,NO
0.1775,NO
0.9826,NO
2.945,YES
1.067,NO
2.0916,YES
0.642,NO
0.5544,NO
0.2136,NO
0.6424,NO
0.7062,NO
0.3717,NO
0.7208,NO
0.3478,NO
0.7648,NO
2.8833,YES
3.2899,YES
2.7689999999999997,YES
3.0516,YES
0.9604,NO
2.968,YES
0.5147,NO
1.4972,YES
0.9822,YES
1.1942,NO
0.9039,NO
0.6092,NO
1.0702,NO
1.7598,YES
1.3238,YES
0.9761,NO
0.3022,NO
1.1688,NO
0.2562,NO
0.8312,NO
1.2289,NO
0.8145,NO
1.6691,YES
0.5497,NO
1.8255,YES
0.4135,NO
1.6488,YES
0.2914,NO
0.3302,NO
0.6598,NO
0.3292,NO
0.2377,NO
1.5337,NO
0.4503,NO
1.0482,NO
0.9714,NO
0.4224,NO
1.7193,YES
4.4429,YES
3.7539,YES
2.1978,YES
1.5119999999999998,NO
0.4794,NO
2.2543,YES
1.2873,NO
2.4175,YES
0.7314,NO
1.3412,NO
1.1372,NO
0.5879,NO
0.69,NO
4.1181,YES
0.8778,NO
4.2115,YES
0.3816,NO
4.2048,YES
1.4328,NO
1.1965,NO
1.178,NO
1.1002,NO
1.8317,YES
1.5509,NO
1.943,YES
1.3199,NO
0.4628,NO
1.3224,NO
1.6364,NO
1.1024,NO
1.3492,NO
1.2235,NO
0.5874,NO
1.1533,NO
3.0316,YES
1.4457,NO
2.14,YES
1.2989,NO
0.9888,NO
0.7487,NO
1.0784,NO
0.8197,NO
0.9029,NO
1.0375,NO
0.8339,NO
1.0067,NO
2.8727,YES
3.5123,YES
2.8612,YES
2.9446,YES
1.5377,NO
3.1471,YES
0.8299,NO
0.7368,NO
0.1517,NO
0.9892,YES
4.2913,YES
4.1912,YES
1.4696,YES
1.1023,NO
0.1828,NO
1.7911,YES
1.643,NO
1.632,YES
0.8236,NO
0.5991,NO
0.7661,NO
0.2654,NO
0.3888,NO
4.1848,YES
0.6154,NO
4.2738,YES
0.142,NO
4.4444,YES
1.6985,NO
1.2706,NO
1.6326,NO
1.3173,NO
1.0343,YES
1.3641,NO
1.3592,YES
1.2161,NO
0.6629999999999999,NO
1.3628,NO
1.1618,NO
1.0371,NO
1.2722,NO
1.2144,NO
0.3906,NO
1.3287,NO
2.3563,YES
1.3532,NO
1.7615,YES
0.6461,NO
0.4441,NO
0.2228,NO
0.7051,NO
0.8648,NO
0.8141,NO
1.0262,NO
0.7333,NO
0.9991,NO
2.1608,YES
2.7703,YES
2.2392,YES
2.2525,YES
1.4657,NO
2.6923,YES
0.9142,NO
1.3141,NO
0.2557,NO
1.5095,NO
1.7489,NO
1.2207,NO
1.8498,NO
0.9483,NO
0.4086,NO
1.3776,NO
3.3544,YES
2.072,NO
2.3409999999999997,YES
1.0097,NO
0.5434,NO
0.2407,NO
0.8845,NO
0.6924,NO
0.5935,NO
1.1571,NO
0.6127,NO
1.1461,NO
3.3727,YES
3.9195,YES
3.326,YES
3.6863,YES
1.6188,NO
3.5698,YES
0.8136,NO
1.5598,NO
0.4011,NO
2.4078,NO
2.2634,NO
1.6608,NO
2.3329,NO
1.2218,NO
0.6328,NO
2.438,NO
3.4037,YES
2.6961,NO
2.2419,YES
0.8692,NO
0.7322,NO
0.3541,NO
1.2932,NO
1.5734,NO
1.1184,NO
1.685,NO
0.8675,NO
1.4117,NO
3.3545,YES
3.7081,YES
3.1853,YES
3.3174,YES
2.1430000000000002,NO
3.6866,YES
1.7424,NO
1.466,NO
0.4358,NO
1.8205,NO
2.195,NO
1.4658,NO
1.9847,NO
1.215,NO
0.6865,NO
1.4006,NO
3.062,YES
1.8940000000000001,NO
2.1072,YES
1.4501,NO
1.3273,NO
0.8052,NO
0.8674,NO
1.6145,NO
0.8132,NO
1.4375,NO
0.7624,NO
1.5602,NO
3.2055,YES
3.3824,YES
3.0189999999999997,YES
3.2802,YES
1.6641,NO
3.2722,YES
1.0287,NO
1.5104,NO
0.5237,NO
3.8763,YES
1.6593,YES
1.6755,YES
3.8341,YES
1.9005,NO
0.6055,NO
4.3814,YES
0.8408,NO
4.5884,YES
0.6034,NO
1.13,NO
0.8209,NO
0.6594,NO
0.981,NO
1.7203,YES
1.1851,NO
1.7266,YES
0.8376,NO
1.2873,YES
0.8151,NO
1.4601,NO
1.1543,NO
0.7361,NO
3.9389,YES
1.7076,NO
3.6325,YES
1.0378,NO
0.3558,NO
3.0839,YES
1.1684,NO
0.8271,NO
3.2784,YES
1.4073,NO
0.2923,NO
3.0935,YES
1.3919,NO
3.5316,YES
0.7888,NO
1.6717,NO
0.8219,NO
0.5459,NO
0.6722,NO
0.9084,NO
0.8082,NO
1.3914,NO
0.5448,NO
1.1592,NO
1.3254,NO
1.8741,NO
1.4611,NO
1.3851,NO
2.6114,YES
1.8573,NO
2.873,YES
0.8077,NO
0.4334,NO
1.6586,YES
4.0386,YES
3.5503,YES
1.8308,YES
1.1039,NO
0.4763,NO
2.1374,YES
1.3,NO
2.0527,YES
0.5795,NO
0.8068,NO
0.6359,NO
0.3021,NO
0.3328,NO
3.8729,YES
0.7365,NO
4.0205,YES
0.4239,NO
3.7919,YES
1.081,NO
0.9622,NO
0.7976,NO
0.6614,NO
1.5598,YES
1.4111,NO
1.9966,YES
0.6366,NO
0.2058,NO
2.9899,YES
1.5572,NO
1.0564,NO
2.6122,YES
0.7957,NO
0.1906,NO
2.8766,YES
0.7878,NO
3.0479,YES
0.3877,NO
0.8977,NO
0.9254,NO
0.6506,NO
0.1905,NO
1.0854,NO
0.3453,NO
0.8854,NO
0.2728,NO
0.8446,NO
1.005,NO
0.9474,NO
1.181,NO
0.6783,NO
3.0331,YES
0.6559999999999999,NO
3.1838,YES
0.5593,NO
0.2528,NO
0.6028,YES
2.955,YES
2.8068,YES
0.8656,YES
0.8704,NO
0.3236,NO
1.1512,YES
1.0202,NO
0.9346,YES
0.3925,NO
0.6019,NO
0.5343,NO
0.5379999999999999,NO
0.46299999999999997,NO
2.9404,YES
0.6033,NO
2.8784,YES
0.2462,NO
2.9398,YES
0.8695,NO
0.7273,NO
0.7728,NO
0.5176,NO
1.0036,YES
0.9689,NO
0.8655,YES
1.6868,YES
0.958,YES
1.5189,NO
1.271,NO
0.9414,NO
1.1904,NO
1.4436,YES
1.2287,YES
1.2049,NO
0.8742,NO
1.2998,NO
0.6244,NO
0.4004,NO
0.7788,NO
0.2613,NO
1.2091,YES
1.0846,NO
1.5533,YES
0.9577,NO
1.5493,YES
0.8393,NO
0.9279,NO
1.0231,NO
0.8354,NO
0.7428,NO
1.4482,NO
1.0825,NO
1.3343,NO
1.3507,NO
0.5074,NO
4.9349,YES
2.3671,YES
2.1831,YES
4.8014,YES
2.2304,NO
0.2564,NO
5.7736,YES
1.315,NO
5.8461,YES
0.8922,NO
1.5318,NO
1.0207,NO
0.8999,NO
0.932,NO
2.3806,YES
1.1204,NO
2.2818,YES
0.6468,NO
2.0179,YES
1.2302,NO
2.0939,NO
1.7167,NO
1.0155,NO
4.9618,YES
2.146,NO
5.0493,YES
1.4885,NO
0.7947,NO
5.0128,YES
2.5544,YES
