50Traced_NONETRACED_SUM_MULTI_VSM_72_MEDIAN,Associated
0.8607,NO
0.3809,NO
1.5263,NO
1.6392,NO
0.9246,NO
2.2826,NO
1.07,NO
0.3254,NO
1.0008,NO
3.7522,YES
1.5464,NO
2.7388,YES
1.5344,NO
1.1019,NO
0.419,NO
0.7578,NO
1.9480000000000002,NO
0.7448,NO
1.3604,NO
0.4796,NO
1.5831,NO
3.2679,YES
3.7412,YES
3.4941,YES
2.5272,YES
1.6142,NO
2.6584,YES
1.2908,NO
1.2159,YES
1.454,YES
1.4299,NO
0.6903,NO
0.5710000000000001,NO
1.5864,NO
1.5337,YES
1.6456,YES
1.3185,NO
0.8245,NO
1.092,NO
0.5063,NO
1.1463,NO
1.1092,NO
0.8108,NO
1.5525,YES
0.6755,NO
1.7071,YES
0.703,NO
1.6338,YES
0.7373,NO
0.705,NO
1.1083,NO
0.9536,NO
0.599,NO
1.2102,NO
0.6561,NO
0.8752,NO
0.6679999999999999,NO
0.4046,NO
2.2589,NO
1.1167,NO
0.825,NO
2.8335,NO
1.212,NO
0.2334,NO
1.6556,NO
3.647,YES
2.2047,NO
2.6787,YES
1.5964,NO
0.9774,NO
0.3383,NO
0.6758,NO
1.7131,NO
0.6402,NO
0.9972,NO
0.44,NO
1.2583,NO
3.3549,YES
3.8713,YES
3.5375,YES
2.5906,YES
1.9243,NO
2.8735,YES
1.5490000000000002,NO
1.6189,YES
1.5963,YES
0.4844,NO
0.4493,NO
0.2156,NO
0.5847,NO
1.1863,YES
1.8609,YES
0.6061,NO
0.7111,NO
0.4426,NO
0.4453,NO
0.6026,NO
0.5838,NO
0.5376,NO
1.2145,YES
0.4696,NO
1.8737,YES
0.1198,NO
1.4371,YES
0.1706,NO
0.4347,NO
0.5197,NO
0.637,NO
0.3793,NO
0.2201,NO
0.4251,NO
0.1596,NO
1.5561,NO
0.8235,NO
2.2296,YES
3.8573,YES
2.8192,YES
2.8737,YES
0.5889,NO
0.7827,NO
2.3216,YES
0.9926,NO
2.8213,YES
0.6761,NO
1.456,NO
0.9337,NO
0.696,NO
0.65,NO
2.5328,YES
0.8155,NO
3.9646,YES
0.8537,NO
4.2036,YES
1.1073,NO
1.3771,NO
2.1469,NO
0.8976,NO
1.9777,YES
1.3774,NO
2.2984,YES
0.8386,NO
0.6104,NO
1.5329,NO
1.2818,NO
0.6762,NO
2.1726,NO
1.4280000000000002,NO
0.4338,NO
1.1812,NO
3.8685,YES
1.5128,NO
2.8867,YES
1.5884,NO
1.1774,NO
0.4538,NO
0.8839,NO
1.7216,NO
0.7664,NO
0.9495,NO
0.517,NO
1.2517,NO
3.4881,YES
4.029,YES
3.4589999999999996,YES
2.6755,YES
1.4654,NO
2.5694,YES
1.3734,NO
1.0423,NO
0.4867,NO
1.3425,YES
3.7273,YES
2.6013,YES
2.1361,YES
0.6562,NO
0.2905,NO
1.4946,YES
1.3389,NO
1.9349,YES
1.0089,NO
1.2204,NO
0.8655,NO
0.5175,NO
0.4127,NO
2.6501,YES
0.5133,NO
3.7097,YES
0.4732,NO
4.0001,YES
1.5689,NO
1.7135,NO
2.0745,NO
1.1840000000000002,NO
1.5151,YES
1.5626,NO
1.6902,YES
1.1505,NO
0.6741,NO
1.9528,NO
1.5525,NO
1.0577,NO
2.6069999999999998,NO
1.4988,NO
0.6869,NO
1.6121,NO
2.8295,YES
1.9955,NO
2.0937,YES
1.8272,NO
1.4094,NO
1.0148,NO
1.1677,NO
1.7165,NO
1.1319,NO
1.3828,NO
0.9319,NO
1.4311,NO
2.8045,YES
3.139,YES
2.8394,YES
1.9264,YES
2.0584,NO
2.5252,YES
1.6701,NO
0.7213,NO
0.6682,NO
1.7416,NO
1.5931,NO
0.7848,NO
2.1789,NO
1.0881,NO
0.3767,NO
1.4285,NO
2.9449,YES
1.9480000000000002,NO
2.2673,YES
1.2939,NO
0.7999,NO
0.1816,NO
0.6642,NO
1.5879,NO
0.769,NO
0.9034,NO
0.5353,NO
1.2891,NO
2.6542,YES
2.9678,YES
3.0371,YES
1.8676,YES
1.4016,NO
2.423,YES
1.6018,NO
0.4985,NO
0.3586,NO
1.6999,NO
1.1941,NO
1.1767,NO
2.1694,NO
1.0512,NO
0.1596,NO
1.5282,NO
3.1062,YES
1.6949,NO
2.4105,YES
1.5573,NO
1.1766,NO
0.5091,NO
0.4695,NO
1.7607,NO
0.428,NO
1.1757,NO
0.2805,NO
1.2939,NO
3.085,YES
3.4091,YES
3.011,YES
2.2315,YES
1.5579,NO
2.3238,YES
1.351,NO
0.7135,NO
0.6199,NO
1.4518,NO
1.8395,NO
1.0437,NO
2.1014,NO
1.3547,NO
0.3905,NO
0.8190000000000001,NO
3.9643,YES
1.3559,NO
2.9075,YES
1.5864,NO
1.2886,NO
0.429,NO
0.7971,NO
2.137,NO
0.8122,NO
1.4324,NO
0.5666,NO
1.6067,NO
3.5177,YES
3.9438,YES
3.5065,YES
2.7194,YES
1.4434,NO
2.6751,YES
1.1389,NO
0.7811,NO
0.2786,NO
4.3093,YES
1.0622,YES
1.2394,YES
4.7287,YES
0.9934,NO
0.1295,NO
3.355,YES
1.3375,NO
3.9561,YES
0.494,NO
2.0591,NO
0.9575,NO
0.6944,NO
0.3044,NO
0.7272,YES
0.3902,NO
1.7059,YES
0.7090000000000001,NO
2.1336,YES
1.3494,NO
2.1032,NO
2.0499,NO
1.3815,NO
3.5797,YES
2.2977,NO
3.2977,YES
1.2623,NO
0.4658,NO
3.9683,YES
1.1897,NO
1.0601,NO
4.6571,YES
1.1654,NO
0.4413,NO
4.3629,YES
1.1298,NO
4.1264,YES
0.5114,NO
2.2213,NO
0.701,NO
0.4822,NO
0.544,NO
0.7795,NO
0.5434,NO
1.8527,NO
0.821,NO
2.4959,NO
1.1104,NO
1.8459999999999999,NO
2.161,NO
1.1857,NO
3.5318,YES
2.016,NO
3.937,YES
1.4636,NO
0.8252,NO
3.0874,YES
3.4561,YES
2.5792,YES
3.66,YES
1.1449,NO
0.647,NO
3.0439,YES
1.4278,NO
3.6701,YES
1.0853,NO
1.5887,NO
0.6298,NO
0.5226,NO
0.5877,NO
2.408,YES
0.8699,NO
3.4977,YES
0.741,NO
3.9424,YES
1.652,NO
1.9123,NO
2.9124,NO
1.2169,NO
2.5285,YES
2.4645,NO
3.2508,YES
0.807,NO
0.3121,NO
2.4207,YES
0.9166,NO
0.4785,NO
2.5764,YES
0.6552,NO
0.153,NO
2.3005,YES
1.1201,NO
2.7825,YES
0.6287,NO
1.3889,NO
0.654,NO
0.3342,NO
0.275,NO
0.6809,NO
0.2316,NO
0.95,NO
0.2992,NO
1.3408,NO
1.0832,NO
1.2991,NO
1.52,NO
0.8564,NO
1.9279,YES
1.206,NO
2.1631,YES
1.2227,NO
0.3431,NO
0.6601,YES
2.8682,YES
1.9885,YES
1.1183,YES
0.2889,NO
0.3178,NO
1.4237,YES
0.4128,NO
1.392,YES
0.462,NO
0.7215,NO
0.5132,NO
0.4959,NO
0.2719,NO
2.1379,YES
0.4308,NO
3.0574,YES
0.3198,NO
3.5839,YES
0.6554,NO
0.5633,NO
1.3223,NO
0.3762,NO
1.0371,YES
0.5655,NO
1.0132,YES
1.8603,YES
1.8319,YES
1.0431,NO
0.5191,NO
0.2904,NO
1.2837,NO
1.7359,YES
2.3707,YES
1.4801,NO
0.9217,NO
0.946,NO
0.6161,NO
1.1026,NO
0.9804,NO
0.6938,NO
2.0292,YES
0.7321,NO
2.4034,YES
0.3164,NO
2.1874,YES
0.5211,NO
0.6048,NO
0.9762,NO
1.0181,NO
0.6346,NO
1.0147,NO
0.6387,NO
0.8328,NO
1.5794,NO
0.5419,NO
4.9422,YES
1.6274,YES
1.9214,YES
5.5939,YES
1.1315,NO
0.4044,NO
4.9822,YES
0.7816,NO
5.1876,YES
0.4914,NO
2.7854,NO
1.4773,NO
1.4308,NO
0.7367,NO
1.0271,YES
0.5681,NO
2.424,YES
0.7872,NO
2.9072,YES
1.374,NO
2.1539,NO
2.3286,NO
0.7918,NO
4.3203,YES
2.2218,NO
4.4343,YES
1.9617,NO
1.0341,NO
5.9375,YES
2.0578,YES
2.4617,YES
6.7986,YES
2.0326,NO
1.1719,NO
5.6246,YES
2.2637,NO
5.7016,YES
1.5122,NO
3.0273,NO
1.1884,NO
0.8927,NO
1.252,NO
1.8462,YES
1.3943,NO
3.1202,YES
1.6757,NO
3.5378,YES
2.6028,NO
3.6781,NO
3.4581,NO
2.2196,NO
5.0574,YES
3.5405,NO
4.8024,YES
0.6195,NO
0.3275,NO
4.6057,YES
0.9637,YES
1.2527,YES
4.9482,YES
0.9395,NO
0.1622,NO
3.7817,YES
1.0308,NO
4.2093,YES
0.2943,NO
2.0739,NO
0.7655,NO
0.5051,NO
0.2156,NO
0.7176,YES
0.3847,NO
1.7174,YES
0.7649,NO
2.0395,YES
0.9863,NO
1.6775,NO
2.0256,NO
1.1774,NO
3.7558,YES
2.3276,NO
3.5324,YES
1.2626,NO
0.4026,NO
5.5852,YES
1.6441,YES
1.8139,YES
6.0227,YES
1.1524,NO
0.2482,NO
5.0245,YES
1.0766,NO
5.4522,YES
0.3128,NO
2.6711,NO
1.1663,NO
0.9828,NO
0.3663,NO
0.8594,YES
0.4545,NO
2.4216,YES
0.8679,NO
3.1173,YES
1.2546,NO
2.1036,NO
2.5321,NO
1.1537,NO
4.6093,YES
2.569,NO
4.819,YES
0.7959999999999999,NO
0.2234,NO
0.4974,YES
2.1191,YES
1.6496,YES
0.9391,YES
0.3132,NO
0.2389,NO
0.8437,YES
0.6522,NO
0.937,YES
0.8005,NO
0.6568,NO
0.4753,NO
0.4627,NO
0.3776,NO
1.7763,YES
0.3783,NO
2.2077,YES
0.2296,NO
2.2431,YES
0.9547,NO
0.9262,NO
1.2607,NO
0.4296,NO
0.7365,YES
0.8386,NO
0.6212,YES
1.1332,NO
0.3574,NO
1.7314,YES
3.6825,YES
2.9057,YES
2.4424,YES
0.2128,NO
0.3038,NO
2.1753,YES
0.8922,NO
2.4847,YES
0.9437,NO
0.7655,NO
0.2886,NO
0.1747,NO
0.3789,NO
2.6358,YES
0.3732,NO
4.0358,YES
0.4237,NO
4.395,YES
1.367,NO
1.5668,NO
2.1131,NO
0.9199,NO
1.7907,YES
1.3878,NO
1.8330000000000002,YES
1.0421,NO
0.5783,NO
1.2746,NO
1.0036,NO
0.7385,NO
1.4407,NO
0.7756,NO
0.418,NO
1.1728,NO
0.9193,NO
1.2317,NO
0.3825,NO
1.9951,YES
2.0332,YES
1.9072,YES
0.5455,NO
0.7755,NO
0.49700000000000005,NO
0.8334,NO
0.5018,NO
0.91,NO
0.7945,NO
1.0271,NO
1.1081,NO
0.5048,NO
1.1429,NO
0.5736,NO
1.1153,NO
1.626,YES
1.1211,YES
0.3085,NO
0.6164,NO
0.3472,NO
0.4625,NO
1.2232,YES
2.0492,YES
0.5331,NO
0.5770000000000001,NO
0.3147,NO
0.3154,NO
0.3571,NO
0.3806,NO
0.192,NO
1.814,YES
0.7382,NO
2.0422,YES
0.6043,NO
1.9462,YES
0.7152,NO
0.331,NO
0.5197,NO
0.42200000000000004,NO
0.5083,NO
0.5449,NO
0.2116,NO
0.213,NO
1.061,NO
0.4573,NO
2.0161,YES
3.1678,YES
2.4436,YES
2.491,YES
0.6351,NO
0.3907,NO
1.9073,YES
1.0693,NO
2.3108,YES
0.6428,NO
1.4972,NO
1.1535,NO
0.9686,NO
0.4799,NO
2.3427,YES
0.5492,NO
3.3732,YES
0.6639,NO
3.5989,YES
1.1588,NO
1.3648,NO
2.0631,NO
0.9842,NO
1.8954,YES
1.4484,NO
1.8349,YES
2.1393,YES
