50Traced_NONETRACED_SUM_RAW_LSA_34_MAX,Associated
0.2518,NO
0.2555,NO
0.40700000000000003,NO
0.3349,NO
0.3466,NO
0.9402,NO
0.5071,NO
0.177,NO
0.7299,NO
1.6252,YES
0.4143,NO
1.3171,YES
0.2427,NO
0.502,NO
0.2223,NO
0.2906,NO
0.3566,NO
0.2292,NO
0.1331,NO
0.2179,NO
0.3682,NO
1.8458,YES
1.3056,YES
1.7757,YES
2.6495,YES
0.6515,NO
1.3793,YES
0.5793,NO
0.7858,YES
2.2161,YES
0.3853,NO
0.3196,NO
0.2877,NO
0.4462,NO
0.6145,YES
1.4236,YES
0.49200000000000005,NO
0.2523,NO
0.1853,NO
0.2834,NO
0.2294,NO
0.6214,NO
0.23800000000000002,NO
2.2039,YES
0.353,NO
0.6853,YES
0.3054,NO
0.5819,YES
0.4242,NO
0.3554,NO
0.5382,NO
0.3001,NO
0.4203,NO
0.2911,NO
0.2936,NO
0.2019,NO
0.2068,NO
0.3716,NO
0.4859,NO
0.49,NO
0.3869,NO
0.8234,NO
0.4904,NO
0.3426,NO
0.7437,NO
1.1218,YES
0.4002,NO
0.9008,YES
0.205,NO
0.3597,NO
0.2136,NO
0.3922,NO
0.4612,NO
0.2482,NO
0.4325,NO
0.183,NO
0.4202,NO
1.2797,YES
1.301,YES
1.8979,YES
2.2787,YES
0.4987,NO
0.7106,YES
0.4864,NO
1.6414,YES
3.0246,YES
0.5387,NO
0.321,NO
0.2362,NO
0.38299999999999995,NO
0.7489,YES
1.6792,YES
0.4383,NO
0.1385,NO
0.3583,NO
0.2281,NO
0.2982,NO
0.7204,NO
0.2424,NO
3.0288,YES
0.2649,NO
0.9873,YES
0.3201,NO
0.8192,YES
0.2961,NO
0.1251,NO
0.4229,NO
0.344,NO
0.2144,NO
0.6871,NO
0.2038,NO
0.5254,NO
0.4306,NO
0.5465,NO
1.5662,YES
3.4805,YES
2.592,YES
2.1555,YES
0.3092,NO
0.3557,NO
1.5477,YES
0.5398,NO
0.7201,YES
0.5419,NO
0.7424,NO
0.6961,NO
0.4194,NO
0.5572,NO
1.4402,YES
0.3298,NO
2.8304,YES
0.2082,NO
2.2091,YES
0.1634,NO
0.9977,NO
0.8571,NO
0.5459,NO
0.6579,YES
0.2652,NO
0.8151,YES
0.4017,NO
0.305,NO
0.3951,NO
0.7531,NO
0.6918,NO
0.8645,NO
0.588,NO
0.2544,NO
0.8391,NO
1.4407,YES
0.4828,NO
1.4422,YES
0.555,NO
0.7959999999999999,NO
0.3956,NO
0.3042,NO
0.6509999999999999,NO
0.2695,NO
0.6493,NO
0.2019,NO
0.6178,NO
1.5679,YES
1.7107,YES
2.4187,YES
2.9332,YES
0.3994,NO
0.8971,YES
0.4069,NO
0.1773,NO
0.3414,NO
0.6891,YES
1.9942,YES
1.2147,YES
1.0205,YES
0.3578,NO
0.2113,NO
0.9076,YES
0.5285,NO
0.6166,YES
0.5191,NO
0.4687,NO
0.6282,NO
0.2375,NO
0.408,NO
1.5605,YES
0.1612,NO
1.3894,YES
0.142,NO
1.8289,YES
0.4969,NO
0.8575,NO
0.865,NO
0.8913,NO
0.3992,YES
0.4279,NO
0.5707,YES
0.3193,NO
0.4765,NO
0.7716,NO
0.6203,NO
0.4709,NO
1.0229,NO
0.5921,NO
0.3895,NO
0.9017,NO
1.2007,YES
0.4891,NO
0.7617,YES
0.4258,NO
0.6265,NO
0.2486,NO
0.5475,NO
0.5804,NO
0.3547,NO
0.6028,NO
0.2596,NO
0.5105,NO
1.7305,YES
1.8661,YES
1.7272,YES
2.5831,YES
0.8679,NO
0.7053,YES
0.7821,NO
0.1483,NO
0.1339,NO
0.2471,NO
0.2942,NO
0.392,NO
0.6915,NO
0.5062,NO
0.1737,NO
0.5615,NO
1.3779,YES
0.2607,NO
1.0158,YES
0.1331,NO
0.3847,NO
0.1506,NO
0.204,NO
0.5491,NO
0.2398,NO
0.4104,NO
0.1332,NO
0.2819,NO
1.9342,YES
1.87,YES
1.9341,YES
2.9107,YES
0.4493,NO
0.8453,YES
0.4093,NO
0.4294,NO
0.6417,NO
0.5924,NO
0.772,NO
0.5747,NO
0.9428,NO
0.6636,NO
0.4516,NO
0.8943,NO
1.3302,YES
0.3565,NO
0.9489,YES
0.5671,NO
0.8547,NO
0.43700000000000006,NO
0.6637,NO
0.5920000000000001,NO
0.4192,NO
0.6518,NO
0.2852,NO
0.5546,NO
1.8369,YES
1.9848,YES
1.8889,YES
2.8091,YES
0.5602,NO
0.787,YES
0.4659,NO
0.0875,NO
0.0783,NO
0.17,NO
0.2886,NO
0.1427,NO
0.5175,NO
0.3512,NO
0.1082,NO
0.4945,NO
0.9844,YES
0.24100000000000002,NO
0.7248,YES
0.2118,NO
0.2347,NO
0.2045,NO
0.0849,NO
0.2967,NO
0.1535,NO
0.1427,NO
0.1702,NO
0.1518,NO
1.1861,YES
1.0991,YES
1.6523,YES
2.0739,YES
0.3381,NO
0.6404,YES
0.39,NO
0.4127,NO
0.4072,NO
3.2837,YES
1.1975,YES
0.5559,YES
4.9344,YES
0.5125,NO
0.4036,NO
4.0769,YES
