50Traced_NONETRACED_SUM_RAW_LSA_54_MEDIAN,Associated
0.4299,NO
0.2671,NO
0.5313,NO
0.5356,NO
0.4889,NO
0.3664,NO
0.6534,NO
0.0881,NO
0.4985,NO
1.0087,YES
0.505,NO
1.7045,YES
0.4342,NO
0.336,NO
0.2223,NO
0.4041,NO
0.6149,NO
0.2961,NO
0.4086,NO
0.2179,NO
0.375,NO
1.5078,YES
0.88,YES
1.3206,YES
1.473,YES
0.331,NO
2.4962,YES
0.2708,NO
2.2768,YES
2.2011,YES
0.3647,NO
0.2764,NO
0.1874,NO
0.4365,NO
1.4515,YES
0.5467,YES
0.3443,NO
0.2386,NO
0.3614,NO
0.3648,NO
0.2587,NO
0.4213,NO
0.2639,NO
1.3739,YES
0.3957,NO
2.2054,YES
0.1474,NO
1.3244,YES
0.2934,NO
0.2051,NO
0.1923,NO
0.3271,NO
0.2285,NO
0.4178,NO
0.4959,NO
0.3812,NO
0.6062,NO
0.2503,NO
0.7627,NO
0.5812,NO
0.6282,NO
0.7289,NO
0.5885,NO
0.1694,NO
0.862,NO
2.5834,YES
0.5633,NO
3.3009,YES
0.3428,NO
0.4641,NO
0.2136,NO
0.4478,NO
0.6562,NO
0.42700000000000005,NO
0.2655,NO
0.2116,NO
0.3791,NO
2.5959,YES
1.5452,YES
1.8966,YES
2.3836,YES
0.4168,NO
4.0807,YES
0.3266,NO
1.6219999999999999,YES
1.5334,YES
0.3356,NO
0.5522,NO
0.3316,NO
0.3105,NO
0.7628,YES
0.5579999999999999,YES
0.3563,NO
0.1743,NO
0.485,NO
0.2385,NO
0.4018,NO
0.3863,NO
0.3563,NO
0.6981,YES
0.3588,NO
1.5383,YES
0.3912,NO
1.1663,YES
0.3853,NO
0.1887,NO
0.1521,NO
0.3357,NO
0.1573,NO
0.3218,NO
0.2277,NO
0.2699,NO
0.6822,NO
0.3687,NO
1.0887,YES
2.9626,YES
1.9536,YES
1.0134,YES
0.565,NO
0.2207,NO
1.083,YES
0.3491,NO
1.7905,YES
0.3896,NO
0.2165,NO
0.3479,NO
0.2042,NO
0.4943,NO
1.3144,YES
0.4711,NO
2.3046,YES
0.1642,NO
2.1501,YES
0.3538,NO
0.4055,NO
0.7659,NO
0.2816,NO
1.2389,YES
0.6708,NO
1.0475,YES
0.8281,NO
0.488,NO
0.7859,NO
0.6875,NO
0.7995,NO
0.8202,NO
0.9164,NO
0.3138,NO
0.7447,NO
2.6194,YES
0.7675,NO
3.3209,YES
0.3361,NO
0.4201,NO
0.1689,NO
0.75,NO
0.858,NO
0.65,NO
0.47100000000000003,NO
0.2019,NO
0.4579,NO
2.5587,YES
1.5863,YES
1.8963,YES
2.4027,YES
0.5918,NO
4.0848,YES
0.544,NO
0.7264,NO
0.3884,NO
1.0883,YES
3.7085,YES
2.1606,YES
0.8069,YES
0.5555,NO
0.1641,NO
1.1272,YES
0.8358,NO
1.4993,YES
0.687,NO
0.3472,NO
0.5578,NO
0.2643,NO
0.4978,NO
1.4957,YES
0.55,NO
2.9424,YES
0.237,NO
2.9327,YES
0.5156,NO
0.6576,NO
0.8641,NO
0.4848,NO
1.045,YES
1.167,NO
0.6288,YES
0.7190000000000001,NO
0.4553,NO
0.8286,NO
1.1117,NO
0.7613,NO
1.0312,NO
0.6514,NO
0.27,NO
1.0229,NO
1.4281,YES
0.8509,NO
1.6032,YES
0.3364,NO
0.315,NO
0.3164,NO
0.6195,NO
0.6074,NO
0.5611,NO
0.7052,NO
0.2256,NO
0.6037,NO
1.4655,YES
0.9075,YES
0.9867,YES
0.7383,YES
0.7013,NO
1.9844,YES
0.542,NO
0.5056,NO
0.2409,NO
0.7974,NO
0.7804,NO
0.6049,NO
0.7182,NO
0.503,NO
0.0967,NO
0.7834,NO
1.9184,YES
0.6971,NO
2.1939,YES
0.3064,NO
0.3855,NO
0.1206,NO
0.4577,NO
0.4991,NO
0.3431,NO
0.31,NO
0.1309,NO
0.2926,NO
1.7917,YES
1.1717,YES
1.1582,YES
1.2838,YES
0.4269,NO
2.9987,YES
0.3821,NO
0.7466,NO
0.3981,NO
0.5442,NO
0.5851,NO
0.6538,NO
0.5198,NO
0.6068,NO
0.1571,NO
0.5742,NO
1.7868,YES
0.5133,NO
2.5215,YES
0.4008,NO
0.2782,NO
0.2241,NO
0.4492,NO
0.6658,NO
0.5434,NO
0.4828,NO
0.2834,NO
0.3327,NO
2.2528,YES
1.1632,YES
1.5739,YES
1.5901,YES
0.419,NO
2.8565,YES
0.3633,NO
0.8,NO
0.5165,NO
0.8027,NO
0.7163,NO
0.6766,NO
0.7253,NO
0.8094,NO
0.2754,NO
0.8726,NO
1.4928,YES
0.6697,NO
2.2161,YES
0.34299999999999997,NO
0.4159,NO
0.2306,NO
0.6121,NO
0.6656,NO
0.617,NO
0.425,NO
0.3258,NO
0.4978,NO
1.8973,YES
1.1037,YES
1.6223,YES
1.7429,YES
0.498,NO
3.0234,YES
0.3997,NO
0.7008,NO
0.5257,NO
1.7446,YES
1.4652,YES
0.7546,YES
2.5559,YES
0.8151,NO
0.2552,NO
2.2512,YES
0.2411,NO
2.9794,YES
0.1579,NO
0.4934,NO
0.4773,NO
0.2222,NO
0.5851,NO
0.917,YES
0.5481,NO
1.7414,YES
0.2618,NO
0.7592,YES
0.2599,NO
0.4055,NO
0.7115,NO
0.12,NO
2.6076,YES
0.3784,NO
2.3971,YES
0.3967,NO
0.2034,NO
2.1188,YES
0.596,NO
0.4917,NO
2.1089,YES
0.6004,NO
0.1285,NO
2.2072,YES
0.4037,NO
2.2525,YES
0.4153,NO
0.5045,NO
0.3564,NO
0.2648,NO
0.2864,NO
0.5951,NO
0.1852,NO
0.5194,NO
0.1634,NO
0.3623,NO
0.281,NO
0.4939,NO
0.5692,NO
0.3842,NO
2.3388,YES
0.8256,NO
2.3016,YES
0.5058,NO
0.1985,NO
1.0816,YES
3.6247,YES
2.0039,YES
1.32,YES
0.3803,NO
0.1246,NO
1.3441,YES
0.6451,NO
1.8919,YES
0.5198,NO
0.4441,NO
0.4271,NO
0.2896,NO
0.3235,NO
1.334,YES
0.2786,NO
2.3834,YES
0.146,NO
2.6896,YES
0.5062,NO
0.583,NO
0.7794,NO
0.2051,NO
1.2665,YES
0.8408,NO
0.9291,YES
0.1636,NO
0.2132,NO
1.5398,YES
0.1762,NO
0.255,NO
1.0706,YES
0.4182,NO
0.153,NO
1.6704,YES
0.1942,NO
1.0394,YES
0.1497,NO
0.2244,NO
0.3488,NO
0.2232,NO
0.1775,NO
0.3886,NO
0.1947,NO
0.461,NO
0.1381,NO
0.2663,NO
0.2492,NO
0.3305,NO
0.3901,NO
0.21600000000000003,NO
1.0687,YES
0.3603,NO
1.0089,YES
0.5517,NO
0.2799,NO
0.8017,YES
4.0628,YES
2.5725,YES
0.5662,YES
0.43700000000000006,NO
0.1222,NO
0.8728,YES
0.3986,NO
1.3031,YES
0.2747,NO
0.358,NO
0.36,NO
0.3896,NO
0.3245,NO
1.895,YES
0.3439,NO
2.7768,YES
0.1347,NO
3.3182,YES
0.0901,NO
0.4779,NO
0.4971,NO
0.1458,NO
0.7654,YES
0.42,NO
0.4434,YES
2.3199,YES
2.2275,YES
0.5316,NO
0.4077,NO
0.3027,NO
0.8832,NO
1.4909999999999999,YES
1.3769999999999998,YES
0.8292,NO
0.4178,NO
0.8659,NO
0.4283,NO
0.5258,NO
0.4069,NO
0.3866,NO
1.4084,YES
0.4326,NO
2.2337,YES
0.3274,NO
1.3902,YES
0.228,NO
0.3682,NO
0.2754,NO
0.4897,NO
0.2623,NO
0.6562,NO
0.5014,NO
0.5849,NO
0.5509,NO
0.4225,NO
3.1714,YES
0.7598,YES
0.5608,YES
4.0273,YES
0.9051,NO
0.1391,NO
4.1772,YES
0.4816,NO
3.4771,YES
0.4658,NO
0.6737,NO
0.491,NO
0.2024,NO
0.4965,NO
0.9308,YES
0.4206,NO
0.7799,YES
0.3985,NO
0.5981,YES
0.4628,NO
0.7009,NO
0.9008,NO
0.3906,NO
3.5726,YES
0.92,NO
3.3274,YES
0.4656,NO
0.3407,NO
2.864,YES
0.6993,YES
0.4572,YES
3.0734,YES
0.5995,NO
0.1165,NO
3.6519,YES
0.2928,NO
2.6273,YES
0.5674,NO
0.3104,NO
0.3826,NO
0.1744,NO
0.307,NO
0.6767,YES
0.3687,NO
0.5736,YES
0.4655,NO
0.4325,YES
0.6409999999999999,NO
0.5458,NO
1.0171,NO
0.5194,NO
2.5211,YES
1.1237,NO
2.3283,YES
0.5238,NO
0.4298,NO
2.1758,YES
0.5295,YES
0.3715,YES
2.4868,YES
0.7076,NO
0.1622,NO
2.5951,YES
0.5723,NO
2.4369,YES
0.5272,NO
0.3948,NO
0.4283,NO
0.1081,NO
0.3329,NO
0.6856,YES
0.4228,NO
0.6084,YES
0.325,NO
0.514,YES
0.4651,NO
0.5574,NO
0.5681,NO
0.3353,NO
2.5297,YES
0.7862,NO
2.4553,YES
0.4767,NO
0.3307,NO
2.9399,YES
0.894,YES
0.6592,YES
4.0536,YES
0.9241,NO
0.1436,NO
3.9064,YES
0.5503,NO
3.4647,YES
0.6454,NO
0.4441,NO
0.6726,NO
0.45299999999999996,NO
0.3964,NO
0.9991,YES
0.3602,NO
1.3271,YES
0.3936,NO
0.7799,YES
0.7949,NO
0.7103,NO
1.2409,NO
0.6252,NO
4.0865,YES
1.0913,NO
3.7645,YES
0.3773,NO
0.149,NO
0.8693,YES
2.7645,YES
1.2566,YES
0.7522,YES
0.2522,NO
