50Traced_NONETRACED_SUM_RAW_VSM_60_MEDIAN,Associated
0.11,NO
0.0734,NO
0.1576,NO
0.2164,NO
0.2408,NO
0.2168,NO
0.1958,NO
0.0679,NO
0.3203,NO
0.7846,YES
0.3256,NO
1.4262,YES
0.2427,NO
0.2623,NO
0.2905,NO
0.1142,NO
0.2601,NO
0.1109,NO
0.3083,NO
0.2179,NO
0.3644,NO
0.5306,YES
1.5274,YES
0.7027,YES
0.4913,YES
0.2021,NO
0.5488,YES
0.2351,NO
1.5612,YES
1.463,YES
0.3525,NO
0.1845,NO
0.4046,NO
0.5695,NO
1.6815,YES
2.0411,YES
0.3964,NO
0.457,NO
0.3669,NO
0.5269,NO
0.35700000000000004,NO
0.6124,NO
0.2265,NO
0.4555,YES
0.3193,NO
0.9401,YES
0.2707,NO
0.6803,YES
0.3461,NO
0.3544,NO
0.5326,NO
0.4991,NO
0.2826,NO
0.3371,NO
0.499,NO
0.508,NO
0.3603,NO
0.3141,NO
0.3177,NO
0.3311,NO
0.3858,NO
0.4343,NO
0.6096,NO
0.1196,NO
0.4229,NO
1.4402,YES
0.6443,NO
1.4758,YES
0.3169,NO
0.4122,NO
0.2136,NO
0.2595,NO
0.3965,NO
0.312,NO
0.5670000000000001,NO
0.1755,NO
0.5931,NO
1.061,YES
2.0746,YES
1.9451,YES
1.2229999999999999,YES
0.3489,NO
1.5779,YES
0.3519,NO
1.2885,YES
2.032,YES
0.6281,NO
0.3002,NO
0.2314,NO
0.4923,NO
2.1285,YES
1.2496,YES
0.4226,NO
0.1795,NO
0.3153,NO
0.2881,NO
0.2289,NO
0.382,NO
0.2075,NO
0.5555,YES
0.4061,NO
0.6743,YES
0.2756,NO
0.5631,YES
0.1361,NO
0.21600000000000003,NO
0.2989,NO
0.3713,NO
0.1053,NO
0.2201,NO
0.3547,NO
0.1972,NO
0.6277,NO
0.3388,NO
0.7611,YES
1.24,YES
1.0913,YES
0.7512,YES
0.6712,NO
0.2153,NO
0.6743,YES
0.4719,NO
0.895,YES
0.5833,NO
0.2165,NO
0.2871,NO
0.1934,NO
0.2873,NO
1.9622,YES
0.1956,NO
2.6825,YES
0.1535,NO
1.2389,YES
0.2874,NO
0.7367,NO
0.345,NO
0.1682,NO
0.4456,YES
0.5389,NO
0.7416,YES
0.272,NO
0.3333,NO
0.2975,NO
0.2582,NO
0.1977,NO
0.4846,NO
0.5667,NO
0.1225,NO
0.4637,NO
1.585,YES
0.4792,NO
2.0737,YES
0.3,NO
0.4694,NO
0.3115,NO
0.2828,NO
0.3532,NO
0.2622,NO
0.5049,NO
0.2019,NO
0.4219,NO
1.1895,YES
2.7001,YES
2.0277,YES
1.4098,YES
0.6095,NO
1.6531,YES
0.2735,NO
0.3474,NO
0.0774,NO
0.5802,YES
0.9244,YES
1.3492,YES
0.5592,YES
0.3831,NO
0.1244,NO
0.5843,YES
0.4111,NO
1.2307,YES
0.3236,NO
0.4478,NO
0.3228,NO
0.2398,NO
0.1453,NO
1.1051,YES
0.166,NO
1.2504,YES
0.1932,NO
1.3535,YES
0.2049,NO
0.5179,NO
0.2228,NO
0.1032,NO
0.5584,YES
0.5146,NO
1.3215,YES
0.4375,NO
0.2842,NO
0.4855,NO
0.2731,NO
0.4113,NO
0.7034,NO
0.6284,NO
0.4338,NO
0.5359,NO
1.5665,YES
0.7227,NO
1.7904,YES
0.3408,NO
0.3592,NO
0.3124,NO
0.1236,NO
0.4795,NO
0.3383,NO
0.5629,NO
0.2256,NO
0.4452,NO
1.2745,YES
1.4766,YES
1.5871,YES
0.4912,YES
0.4753,NO
0.8286,YES
0.5381,NO
0.3002,NO
0.2949,NO
0.5811,NO
0.1967,NO
0.3229,NO
0.5803,NO
0.5418,NO
0.1175,NO
0.5241,NO
1.1016,YES
0.6628,NO
1.2113,YES
0.2681,NO
0.2331,NO
0.0996,NO
0.204,NO
0.2492,NO
0.2068,NO
0.4054,NO
0.1309,NO
0.4473,NO
0.7859,YES
1.4453,YES
1.3728,YES
0.7009,YES
0.5874,NO
1.1296,YES
0.3939,NO
0.3377,NO
0.2623,NO
0.573,NO
0.3642,NO
0.4846,NO
0.7906,NO
0.6068,NO
0.1204,NO
0.7209,NO
1.8476,YES
0.9227,NO
2.0380000000000003,YES
0.3265,NO
0.303,NO
0.2007,NO
0.1279,NO
0.5466,NO
0.2508,NO
0.4017,NO
0.1912,NO
0.5329,NO
0.9971,YES
2.156,YES
1.9987,YES
0.6933,YES
0.6084,NO
1.6947,YES
0.5809,NO
0.406,NO
0.1235,NO
0.2161,NO
0.2886,NO
0.4601,NO
0.5389,NO
0.5447,NO
0.0532,NO
0.4647,NO
2.0668,YES
0.7342,NO
2.1258,YES
0.4241,NO
0.5710000000000001,NO
0.2703,NO
0.2056,NO
0.4875,NO
0.2752,NO
0.6626,NO
0.1702,NO
0.5849,NO
1.1693,YES
2.7424,YES
2.569,YES
1.3368,YES
0.3766,NO
2.2128,YES
0.4444,NO
0.3379,NO
0.4337,NO
2.8363,YES
0.6768,YES
1.1638,YES
3.313,YES
0.8904,NO
0.2843,NO
2.6695,YES
0.3675,NO
3.0967,YES
0.4299,NO
0.6863,NO
0.5319,NO
0.4392,NO
0.3596,NO
0.9541,YES
0.4382,NO
1.0581,YES
0.4796,NO
1.4153,YES
0.5255,NO
0.8644,NO
0.3025,NO
0.4374,NO
3.802,YES
1.0413,NO
2.9852,YES
0.1799,NO
0.1547,NO
2.0393,YES
0.3576,NO
0.4729,NO
1.7986,YES
0.331,NO
0.1097,NO
1.6254,YES
0.3875,NO
1.5049,YES
0.3778,NO
0.4223,NO
0.6027,NO
0.3071,NO
0.2258,NO
0.6699,NO
0.2246,NO
0.7338,NO
0.1927,NO
0.4577,NO
0.3699,NO
0.5588,NO
0.3767,NO
0.3086,NO
1.726,YES
0.6393,NO
1.9831,YES
0.5703,NO
0.2128,NO
1.1872,YES
1.0948,YES
1.5775,YES
1.3827,YES
0.6955,NO
0.2601,NO
0.9755,YES
0.9193,NO
1.6621,YES
0.8629,NO
0.4084,NO
0.3143,NO
0.2048,NO
0.27399999999999997,NO
1.3662,YES
0.32799999999999996,NO
2.1809,YES
0.2961,NO
1.6717,YES
0.5677,NO
0.9122,NO
0.752,NO
0.2244,NO
0.8181,YES
0.9503,NO
1.8555,YES
0.1725,NO
0.1729,NO
1.5415,YES
0.2206,NO
0.1649,NO
1.0614,YES
0.374,NO
0.153,NO
1.1775,YES
0.2063,NO
1.0026,YES
0.2458,NO
0.43700000000000006,NO
0.3925,NO
0.3073,NO
0.1775,NO
0.2721,NO
0.1654,NO
0.4127,NO
0.0902,NO
0.2772,NO
0.3374,NO
0.47,NO
0.4662,NO
0.35,NO
1.1002,YES
0.5015,NO
0.6777,YES
0.3397,NO
0.0851,NO
0.5266,YES
1.4039,YES
0.8081,YES
0.5582,YES
0.4134,NO
0.0255,NO
0.6144,YES
0.4461,NO
0.4457,YES
0.3516,NO
0.2602,NO
0.2548,NO
0.2203,NO
0.1637,NO
1.6277,YES
0.0991,NO
1.8818,YES
0.1347,NO
0.8304,YES
0.2441,NO
0.3657,NO
0.1429,NO
0.0665,NO
0.4056,YES
0.3876,NO
0.5409,YES
1.0038,YES
1.4228,YES
0.4312,NO
0.3896,NO
0.4926,NO
0.6195,NO
1.6827,YES
1.4006,YES
0.484,NO
0.3267,NO
0.4741,NO
0.3173,NO
0.3926,NO
0.6414,NO
0.2969,NO
0.591,YES
0.507,NO
0.7371,YES
0.4438,NO
0.6473,YES
0.3641,NO
0.2316,NO
0.4291,NO
0.389,NO
0.19899999999999998,NO
0.3152,NO
0.5095,NO
0.5955,NO
0.3989,NO
0.4126,NO
3.3632,YES
0.7137,YES
1.1816,YES
2.8752,YES
0.8819,NO
0.2812,NO
2.75,YES
0.6990000000000001,NO
3.19,YES
0.6489,NO
0.7019,NO
0.6733,NO
0.4365,NO
0.2856,NO
0.9702,YES
0.4314,NO
0.9763,YES
0.3824,NO
1.4918,YES
0.6938,NO
1.1424,NO
0.8313,NO
0.5643,NO
3.8859,YES
1.3477,NO
2.7603,YES
0.3219,NO
0.1128,NO
2.2922,YES
0.7829999999999999,YES
1.2561,YES
1.7227,YES
0.4691,NO
0.3099,NO
1.6608,YES
0.2753,NO
2.0489,YES
0.1955,NO
0.5865,NO
0.5027,NO
0.2428,NO
0.2067,NO
0.875,YES
0.3417,NO
0.8762,YES
0.3306,NO
1.2582,YES
0.3123,NO
0.4325,NO
0.3004,NO
0.2202,NO
1.7976,YES
0.5482,NO
2.6228,YES
0.2754,NO
0.3035,NO
2.3743,YES
0.4592,YES
0.3643,YES
2.4115,YES
0.5264,NO
0.2354,NO
2.1924,YES
0.1859,NO
2.1595,YES
0.1212,NO
0.2384,NO
0.3001,NO
0.1425,NO
0.2316,NO
0.6623,YES
0.3405,NO
0.5305,YES
0.2348,NO
0.6919,YES
0.3971,NO
0.4847,NO
0.3619,NO
0.2376,NO
2.5515,YES
0.7558,NO
1.4918,YES
0.3859,NO
0.3948,NO
4.8977,YES
0.8114,YES
1.202,YES
4.4029,YES
0.9595,NO
0.3462,NO
3.8867,YES
0.3432,NO
4.1081,YES
0.39,NO
1.0362,NO
0.6967,NO
0.4434,NO
0.3552,NO
1.0553,YES
0.5477,NO
1.0304,YES
0.4765,NO
1.5591,YES
0.732,NO
0.9283,NO
0.5145,NO
0.5064,NO
4.8897,YES
1.3268,NO
4.0404,YES
0.4234,NO
0.1879,NO
0.4305,YES
0.8975,YES
0.7583,YES
0.5353,YES
0.48100000000000004,NO
0.1745,NO
0.5164,YES
0.1971,NO
0.6785,YES
0.1994,NO
0.2795,NO
0.2876,NO
0.3175,NO
0.1698,NO
1.581,YES
0.1648,NO
1.7856,YES
0.1508,NO
0.7751,YES
0.1206,NO
0.3788,NO
0.1611,NO
0.1018,NO
0.4511,YES
0.2455,NO
0.5165,YES
0.4097,NO
0.1383,NO
0.7767,YES
1.1681,YES
1.5342,YES
0.8559,YES
0.5262,NO
0.0792,NO
0.5811,YES
0.3732,NO
1.2893,YES
0.3391,NO
0.4118,NO
0.2487,NO
0.1931,NO
0.2002,NO
1.4061,YES
0.1772,NO
2.2302,YES
0.2066,NO
1.699,YES
0.2157,NO
0.4972,NO
0.2985,NO
0.1348,NO
0.7923,YES
0.5576,NO
1.4725,YES
0.2724,NO
0.3298,NO
0.3879,NO
0.3616,NO
0.2192,NO
0.3059,NO
0.5323,NO
0.3048,NO
0.5561,NO
0.2515,NO
0.3719,NO
0.2201,NO
0.6151,YES
0.9084,YES
0.8274,YES
0.1424,NO
0.5579999999999999,NO
0.1711,NO
0.3597,NO
0.1551,NO
0.1714,NO
0.1285,NO
0.3544,NO
0.2644,NO
0.115,NO
0.4711,NO
0.3144,NO
0.3443,NO
0.406,YES
1.2078,YES
0.3671,NO
0.1653,NO
0.1276,NO
0.3813,NO
1.306,YES
0.4179,YES
0.2769,NO
0.2184,NO
0.1527,NO
0.2842,NO
0.1661,NO
0.4085,NO
0.2109,NO
0.4659,YES
0.1972,NO
0.3244,YES
0.086,NO
0.3735,YES
0.0877,NO
0.263,NO
0.2881,NO
0.2892,NO
0.0948,NO
0.23,NO
0.26,NO
0.3487,NO
0.5023,NO
0.0986,NO
0.5095,YES
1.5753,YES
1.1291,YES
0.6267,YES
0.541,NO
0.1372,NO
0.7846,YES
0.5618,NO
0.7619,YES
0.5348,NO
0.4869,NO
0.5211,NO
0.4818,NO
0.1759,NO
1.8994,YES
0.1419,NO
2.2597,YES
0.1039,NO
1.1565,YES
0.19699999999999998,NO
0.6521,NO
0.2524,NO
0.0999,NO
0.1872,YES
0.5684,NO
0.6048,YES
1.6327,YES
2.0716,YES
0.4029,NO
0.2881,NO
0.4774,NO
0.5282,NO
2.311,YES
2.0649,YES
0.4054,NO
0.2022,NO
