50Traced_NONETRACED_SUM_SINGLE_LSA_29_MEDIAN,Associated
0.4446,NO
0.4503,NO
0.1818,NO
1.2774,NO
0.9666,NO
0.4009,NO
0.6268,NO
0.2883,NO
0.5971,NO
2.475,YES
0.436,NO
2.2867,YES
0.4392,NO
0.4775,NO
0.505,NO
0.3604,NO
1.3894,NO
0.4514,NO
0.8063,NO
0.7095,NO
0.7120000000000001,NO
2.0612,YES
2.1243,YES
1.7193,YES
1.9421,YES
0.5981,NO
1.6335,YES
0.4618,NO
3.0554,YES
2.1368,YES
0.8233,NO
0.7813,NO
0.8624,NO
0.6525,NO
2.3851,YES
2.9744,YES
0.765,NO
0.1178,NO
0.6587,NO
0.145,NO
0.2618,NO
0.6372,NO
0.1551,NO
3.0257,YES
0.9857,NO
2.2593,YES
0.9359999999999999,NO
3.1987,YES
0.6595,NO
0.1212,NO
0.3532,NO
0.2796,NO
0.1831,NO
0.9339,NO
0.392,NO
0.605,NO
0.4939,NO
0.8225,NO
0.7554,NO
1.9284,NO
1.6314,NO
1.0182,NO
1.1377,NO
0.2399,NO
1.6227,NO
3.1587,YES
1.0904,NO
2.7012,YES
0.6303,NO
0.4626,NO
0.4117,NO
0.2124,NO
2.2658,NO
0.4705,NO
1.3054,NO
0.6151,NO
1.4178,NO
3.4708,YES
3.2577,YES
3.5724,YES
2.7956,YES
1.8999,NO
3.1544,YES
1.1126,NO
3.1959,YES
2.2428,YES
1.4344,NO
0.9819,NO
0.8176,NO
1.2651,NO
2.8208,YES
2.9809,YES
1.5918,NO
1.2294,NO
1.1846,NO
1.1636,NO
0.536,NO
0.6684,NO
0.2075,NO
3.1133,YES
1.2285,NO
2.3507,YES
1.1251,NO
3.6692,YES
0.6375,NO
1.2417,NO
1.31,NO
1.3624,NO
1.374,NO
1.7638,NO
1.5659999999999998,NO
1.3777,NO
0.8131,NO
0.8093,NO
2.2563,YES
4.305,YES
4.4579,YES
2.5923,YES
1.5452,NO
0.4979,NO
3.3322,YES
0.6746,NO
2.8655,YES
0.5863,NO
1.5193,NO
1.7328,NO
1.0195,NO
0.3353,NO
4.4781,YES
0.2874,NO
4.8212,YES
1.0625,NO
3.9272,YES
0.6719,NO
1.2705,NO
1.7231,NO
0.8391,NO
2.9442,YES
1.5462,NO
2.6215,YES
0.6514,NO
0.9034,NO
0.1975,NO
1.0796,NO
0.8092,NO
0.5163,NO
1.3445,NO
0.391,NO
1.1396,NO
3.3087,YES
0.5596,NO
2.8336,YES
0.7798,NO
0.5668,NO
0.6245,NO
0.3989,NO
1.5591,NO
0.6843,NO
0.3818,NO
0.7661,NO
0.8736,NO
3.5265,YES
3.1801,YES
3.2868,YES
3.0460000000000003,YES
1.3533,NO
2.9465,YES
0.6049,NO
0.7233,NO
0.9178,NO
1.1141,YES
4.1218,YES
4.3854,YES
1.3507,YES
1.1146,NO
0.3662,NO
1.7254,YES
2.4281,NO
1.4157,YES
2.1268,NO
0.6289,NO
0.8632,NO
0.3872,NO
0.331,NO
4.7889,YES
0.4691,NO
4.1449,YES
0.8963,NO
3.3680000000000003,YES
2.0223,NO
2.7178,NO
2.4815,NO
1.6456,NO
1.8671,YES
1.9937,NO
1.3952,YES
0.3703,NO
0.9142,NO
0.4796,NO
1.0534,NO
1.0922,NO
0.5977,NO
1.056,NO
0.3546,NO
1.04,NO
2.6245,YES
0.5649,NO
2.17,YES
0.649,NO
0.5658,NO
0.5355,NO
0.2979,NO
1.5882,NO
0.4914,NO
0.7588,NO
0.8701,NO
1.0791,NO
2.4892,YES
2.3081,YES
2.2611,YES
2.3655,YES
0.975,NO
1.8282,YES
0.4607,NO
0.6984,NO
0.9609,NO
1.0953,NO
1.1498,NO
1.1072,NO
1.2616,NO
1.3281,NO
0.5464,NO
1.6595,NO
2.9833,YES
1.2109999999999999,NO
2.6076,YES
0.4604,NO
0.2218,NO
0.1004,NO
0.5066,NO
1.9354,NO
0.6866,NO
0.9084,NO
1.0177,NO
1.1457,NO
3.1676,YES
2.9779,YES
3.3499,YES
2.6525,YES
2.0433,NO
2.8533,YES
1.439,NO
0.9571,NO
1.0357,NO
0.2819,NO
1.0309,NO
0.7416,NO
0.5097,NO
1.5743,NO
0.6637,NO
1.2369,NO
3.3175,YES
0.612,NO
2.8138,YES
0.9626,NO
0.7255,NO
0.6863,NO
0.6756,NO
1.4246,NO
0.862,NO
0.4131,NO
1.0406,NO
0.8111,NO
3.5721,YES
3.1747,YES
3.1788,YES
3.1371,YES
1.4216,NO
3.065,YES
0.6839,NO
0.8415,NO
0.7841,NO
0.2039,NO
1.3577,NO
1.1453,NO
0.3036,NO
1.2493,NO
0.494,NO
0.9004,NO
2.8983,YES
0.3937,NO
2.5140000000000002,YES
0.5878,NO
0.3963,NO
0.5059,NO
0.544,NO
1.6532,NO
0.6306,NO
0.7572,NO
0.7904,NO
0.9017,NO
3.174,YES
2.8854,YES
2.9144,YES
2.625,YES
1.1992,NO
2.6955,YES
0.4925,NO
0.8604,NO
1.1471,NO
5.5919,YES
1.3392,YES
1.8649,YES
4.9078,YES
1.5892,NO
1.0574,NO
5.8314,YES
0.1854,NO
5.1775,YES
0.4196,NO
1.1985,NO
0.8748,NO
0.1474,NO
0.6249,NO
1.7730000000000001,YES
0.5335,NO
2.51,YES
1.5782,NO
1.7378,YES
0.9966,NO
0.8167,NO
2.0423,NO
0.6387,NO
5.7776,YES
2.1777,NO
5.4933,YES
0.3996,NO
0.9595,NO
3.3404,YES
1.6518,NO
1.3840000000000001,NO
4.0805,YES
1.4734,NO
0.4963,NO
4.5766,YES
0.4257,NO
4.033,YES
0.4195,NO
1.5286,NO
1.2849,NO
0.5599,NO
0.171,NO
2.0378,NO
0.1398,NO
2.1983,NO
0.7213,NO
1.9967,NO
0.7656,NO
1.0641,NO
1.9724,NO
0.8971,NO
4.2728,YES
1.8521,NO
4.0934,YES
1.0432,NO
1.4051,NO
4.3535,YES
4.8762,YES
5.0771,YES
4.585,YES
2.7255,NO
0.7503,NO
5.8688,YES
2.2256,NO
4.956,YES
1.8225,NO
2.1484,NO
2.0009,NO
0.8343,NO
0.3873,NO
5.5345,YES
0.6365,NO
5.6822,YES
1.5332,NO
4.9202,YES
2.7434,NO
2.9533,NO
4.1076,NO
2.7731,NO
5.7542,YES
3.9693,NO
5.0123,YES
0.4551,NO
0.5954,NO
3.5255,YES
0.9902,NO
1.041,NO
2.9838,YES
1.3248,NO
0.3906,NO
4.1162,YES
0.4409,NO
3.4936,YES
0.3347,NO
1.5498,NO
1.0999,NO
0.3419,NO
0.1775,NO
0.8684,NO
0.1654,NO
1.7075,NO
0.8747,NO
1.1461,NO
1.3255,NO
0.8875,NO
2.0397,NO
1.0906,NO
3.9362,YES
2.7117,NO
3.6563,YES
0.7863,NO
0.5820000000000001,NO
1.6274,YES
4.1007,YES
4.4687,YES
2.0064,YES
1.3638,NO
0.3378,NO
2.7569999999999997,YES
1.1483,NO
2.1562,YES
1.0170000000000001,NO
1.4858,NO
1.7269999999999999,NO
1.0536,NO
0.2564,NO
4.6958,YES
0.4172,NO
4.7239,YES
1.2043,NO
3.7962,YES
0.7936,NO
1.5566,NO
1.7233,NO
0.9573,NO
2.3866,YES
1.2765,NO
2.0118,YES
3.1629,YES
2.383,YES
1.9065,NO
0.8789,NO
1.2049,NO
1.4165,NO
2.8487,YES
2.9766,YES
2.2116,NO
0.2127,NO
1.6974,NO
0.278,NO
1.1440000000000001,NO
1.2342,NO
0.6202,NO
2.9265,YES
1.0949,NO
2.2232,YES
1.4080000000000001,NO
3.5617,YES
0.9907,NO
0.6775,NO
0.6182,NO
0.9957,NO
0.6863,NO
2.1363,NO
1.1404,NO
1.5105,NO
0.4584,NO
0.9446,NO
5.3969,YES
1.6009,YES
1.5519999999999998,YES
5.6521,YES
1.7034,NO
0.6765,NO
6.627000000000001,YES
0.2527,NO
5.8548,YES
0.4024,NO
1.8115,NO
1.5093,NO
0.5705,NO
0.1888,NO
1.9501,YES
0.0909,NO
2.4013,YES
1.0088,NO
2.1516,YES
0.9165,NO
0.9329999999999999,NO
2.4372,NO
0.8633,NO
6.2523,YES
2.5787,NO
6.0481,YES
0.5174,NO
1.0637,NO
5.2749,YES
2.0847,YES
2.3058,YES
5.3079,YES
1.5967,NO
0.607,NO
6.4307,YES
1.3924,NO
5.5454,YES
1.5058,NO
1.8715,NO
1.5436,NO
0.7709,NO
0.2137,NO
2.7163,YES
0.135,NO
2.7621,YES
1.3449,NO
2.1865,YES
1.6395,NO
1.8617,NO
2.9688,NO
1.3024,NO
6.0579,YES
2.9538,NO
5.7591,YES
0.669,NO
0.8753,NO
4.6157,YES
1.2051,YES
1.291,YES
4.5651,YES
1.7265,NO
0.6917,NO
5.6424,YES
0.5215,NO
4.7351,YES
0.551,NO
1.4951,NO
1.0197,NO
0.1992,NO
0.3388,NO
1.6306,YES
0.282,NO
1.8666,YES
1.0923,NO
1.5841,YES
1.4733,NO
1.2248,NO
2.7543,NO
1.2384,NO
5.599,YES
2.8798,NO
5.0944,YES
0.3894,NO
0.9424,NO
4.3471,YES
1.185,YES
1.6102,YES
4.3335,YES
1.3348,NO
0.6065,NO
5.3263,YES
0.5048,NO
4.6211,YES
0.5164,NO
1.6036,NO
1.3215,NO
0.4824,NO
0.1554,NO
1.8627,YES
0.168,NO
1.8634,YES
0.8195,NO
1.9082,YES
1.037,NO
1.0209,NO
2.1076,NO
0.7785,NO
5.0521,YES
2.2384,NO
4.7287,YES
0.5395,NO
1.0766,NO
1.2254,YES
4.0341,YES
4.371,YES
1.6019,YES
1.2273,NO
0.3622,NO
2.0241,YES
1.7764,NO
1.6726,YES
1.4619,NO
1.047,NO
1.3549,NO
0.8173,NO
0.2412,NO
4.6454,YES
0.3179,NO
4.2033,YES
0.9585,NO
3.5926,YES
1.2344,NO
1.995,NO
1.8457,NO
1.254,NO
