50Traced_NONETRACED_SUM_SINGLE_LSA_40_MAX,Associated
0.4581,NO
0.5132,NO
0.3882,NO
0.7898,NO
0.6633,NO
0.5822,NO
1.0125,NO
0.6538,NO
0.5335,NO
1.6205,YES
0.3713,NO
1.6699,YES
0.5191,NO
0.4509,NO
0.586,NO
0.6782,NO
0.8188,NO
0.6751,NO
0.9073,NO
0.8049,NO
1.0496,NO
1.8319999999999999,YES
2.0491,YES
1.364,YES
1.8054,YES
0.4036,NO
1.7674,YES
0.9496,NO
0.9111,YES
1.4706,YES
0.8379,NO
0.49700000000000005,NO
0.5093,NO
0.8952,NO
1.9053,YES
1.8011,YES
0.8071,NO
0.2875,NO
0.9803,NO
0.3983,NO
0.1797,NO
0.1938,NO
0.1592,NO
1.3249,YES
0.4193,NO
1.8156,YES
0.6319,NO
1.859,YES
0.7714,NO
0.2913,NO
0.4604,NO
0.5870000000000001,NO
0.4912,NO
0.9193,NO
0.4617,NO
0.892,NO
0.3314,NO
0.65,NO
0.583,NO
0.4105,NO
0.1512,NO
0.4832,NO
1.0244,NO
0.4943,NO
0.7066,NO
3.1818,YES
0.2934,NO
2.6265,YES
0.5175,NO
0.4877,NO
0.5911,NO
0.8029,NO
0.6679999999999999,NO
0.623,NO
0.6307,NO
0.6099,NO
1.0025,NO
3.1504,YES
3.5192,YES
2.634,YES
3.0822,YES
0.2639,NO
2.9213,YES
0.8856,NO
1.8212,YES
2.1711,YES
1.1844,NO
1.1868,NO
1.0003,NO
1.0539,NO
2.8135,YES
2.708,YES
1.3314,NO
0.4418,NO
1.0118,NO
1.0959999999999999,NO
0.7974,NO
0.9054,NO
1.1585,NO
1.4835,YES
1.5816,NO
2.6166,YES
1.1029,NO
3.1054,YES
1.0981,NO
1.2035,NO
1.1625,NO
0.6604,NO
1.2257,NO
1.1636,NO
1.2256,NO
1.2122,NO
0.5526,NO
0.506,NO
0.9805,YES
3.8962,YES
3.8583,YES
0.5866,YES
0.9688,NO
0.4126,NO
0.5412,YES
0.4411,NO
0.6531,YES
0.6148,NO
0.5807,NO
0.6791,NO
0.3639,NO
0.3601,NO
4.3762,YES
0.4608,NO
4.2029,YES
0.6649,NO
4.2556,YES
0.9329999999999999,NO
1.1662,NO
1.1799,NO
0.5208,NO
1.1369,YES
0.9301,NO
1.0777,YES
0.7631,NO
0.5484,NO
1.4126,NO
1.395,NO
1.2429999999999999,NO
1.0444,NO
1.5119999999999998,NO
0.6196,NO
1.2927,NO
3.7319999999999998,YES
0.8745,NO
3.3021,YES
0.4229,NO
0.5908,NO
0.5379999999999999,NO
0.7514,NO
1.7565,NO
0.7539,NO
1.7095,NO
0.8141,NO
2.1307,NO
3.8277,YES
4.3919,YES
3.469,YES
3.8509,YES
0.9448,NO
3.5844,YES
1.6847,NO
0.5467,NO
0.848,NO
1.6515,YES
4.5238,YES
4.2631,YES
1.1412,YES
1.3674,NO
0.3792,NO
1.3693,YES
1.8268,NO
1.1017,YES
1.507,NO
1.0863,NO
1.3134,NO
