50Traced_NONETRACED_SUM_SINGLE_VSM_28_MEDIAN,Associated
0.6742,NO
0.684,NO
1.3818,NO
0.9144,NO
0.8544,NO
1.2189,NO
0.7909999999999999,NO
0.5347,NO
0.3278,NO
3.2517,YES
0.7093,NO
2.7560000000000002,YES
0.6472,NO
0.6186,NO
0.636,NO
0.8973,NO
0.5445,NO
0.7848,NO
1.0186,NO
0.4714,NO
0.8438,NO
2.4409,YES
3.3449,YES
3.594,YES
2.4015,YES
0.6528,NO
2.3702,YES
1.1351,NO
2.3626,YES
2.4907,YES
1.4808,NO
0.505,NO
0.5627,NO
1.0552,NO
2.2591,YES
2.3999,YES
0.8964,NO
0.6211,NO
0.8526,NO
0.512,NO
0.23399999999999999,NO
0.2866,NO
0.2654,NO
2.2046,YES
0.8607,NO
2.4118,YES
0.5888,NO
2.2715,YES
0.6135,NO
0.5057,NO
0.7538,NO
0.8252,NO
0.6706,NO
1.0054,NO
0.7748,NO
0.8609,NO
0.2483,NO
0.3348,NO
1.2606,NO
1.2257,NO
0.5554,NO
1.1093,NO
0.5786,NO
0.1535,NO
0.3218,NO
3.5969,YES
0.6692,NO
3.0552,YES
0.7002,NO
0.7111,NO
0.6905,NO
0.508,NO
0.3045,NO
0.4516,NO
0.7448,NO
0.1755,NO
0.6365,NO
2.853,YES
3.6489,YES
3.7769,YES
2.3741,YES
0.5602,NO
2.521,YES
1.2348,NO
2.96,YES
3.0836,YES
3.0333,NO
1.8814,NO
2.1575,NO
2.9318,NO
2.8471,YES
2.8236,YES
2.3823,NO
1.5115,NO
2.4802,NO
1.4464,NO
1.6861,NO
2.0025,NO
1.7109999999999999,NO
2.1965,YES
2.1873,NO
2.7115,YES
2.3169999999999997,NO
3.0668,YES
1.8857,NO
1.1655,NO
1.8419,NO
2.4216,NO
1.5255,NO
2.7912,NO
1.4427,NO
3.1895,NO
0.4256,NO
0.4724,NO
2.2001,YES
4.3206,YES
4.3879,YES
2.0013,YES
0.8461,NO
0.28300000000000003,NO
1.964,YES
0.569,NO
1.6605,YES
0.7063,NO
0.7328,NO
1.0409,NO
0.4173,NO
0.4204,NO
4.7603,YES
0.4282,NO
4.7466,YES
0.7286,NO
4.2792,YES
0.8388,NO
1.0232,NO
1.4227,NO
0.4702,NO
2.2161,YES
0.7835,NO
2.0626,YES
0.6001,NO
0.7956,NO
1.1769,NO
1.1959,NO
0.586,NO
1.1315,NO
0.9646,NO
0.6004,NO
0.1811,NO
3.6894,YES
0.5011,NO
3.1005,YES
0.8657,NO
0.8864,NO
0.826,NO
0.7069,NO
0.3306,NO
0.769,NO
0.5649,NO
0.52,NO
0.7089,NO
2.6992,YES
3.705,YES
3.6679,YES
2.4395,YES
0.3855,NO
2.2529,YES
1.1526,NO
0.4522,NO
0.5799,NO
1.4487,YES
3.9299,YES
4.1939,YES
1.5624,YES
0.8835,NO
0.3824,NO
1.6341,YES
0.9856,NO
1.2245,YES
1.2243,NO
0.7712,NO
1.0075,NO
0.6002,NO
0.5429,NO
4.4304,YES
0.2905,NO
4.2843,YES
0.8276,NO
3.9461,YES
0.8784,NO
1.5044,NO
1.3945,NO
0.8379,NO
1.8236,YES
0.6348,NO
1.6723,YES
0.3977,NO
0.4853,NO
2.0733,NO
0.9461,NO
0.7467,NO
1.9894,NO
0.7286,NO
0.2474,NO
0.8914,NO
3.4565,YES
1.4541,NO
3.0066,YES
1.1367,NO
1.1529,NO
1.1408,NO
0.6974,NO
0.4817,NO
0.5029,NO
0.9027,NO
0.2256,NO
0.731,NO
2.6766,YES
3.4901,YES
4.1291,YES
2.5818,YES
1.3185,NO
2.6436,YES
2.0568,NO
0.3338,NO
0.4947,NO
1.8437,NO
1.5761,NO
0.9852,NO
1.7986,NO
0.6724,NO
0.212,NO
1.0202,NO
3.9549,YES
1.181,NO
3.3713,YES
0.6463,NO
0.6525,NO
0.517,NO
0.6118,NO
0.8065,NO
0.6143,NO
1.0558,NO
0.3223,NO
0.8328,NO
3.0782,YES
4.098,YES
3.7795,YES
2.529,YES
1.1617,NO
2.8009,YES
1.7155,NO
0.3964,NO
0.5672,NO
1.1446,NO
1.0139,NO
0.4246,NO
1.1461,NO
0.6176,NO
0.3043,NO
0.3388,NO
3.0997,YES
0.6516,NO
2.7949,YES
0.2702,NO
0.3887,NO
0.3381,NO
0.4799,NO
0.276,NO
0.5408,NO
0.5213,NO
0.2323,NO
0.3552,NO
2.4622,YES
3.0984,YES
3.1547,YES
2.1479,YES
0.6798,NO
1.8788,YES
1.0552,NO
0.3804,NO
0.5635,NO
0.8709,NO
1.2451,NO
0.5876,NO
0.8324,NO
0.7317,NO
0.3292,NO
0.4388,NO
3.1429,YES
0.5771,NO
2.9237,YES
0.2458,NO
0.3891,NO
0.3642,NO
0.5979,NO
0.3133,NO
0.5475,NO
0.6455,NO
0.3704,NO
0.3413,NO
2.4112,YES
3.2535,YES
