50Traced_NONETRACED_SUM_SINGLE_VSM_34_MAX,Associated
0.5327,NO
0.6109,NO
1.339,NO
0.9494,NO
1.7135,NO
1.6811,NO
1.1562,NO
0.2571,NO
1.3277,NO
3.4085,YES
0.446,NO
2.8018,YES
0.6722,NO
1.0829,NO
0.6071,NO
0.7138,NO
1.6237,NO
0.4763,NO
1.2782,NO
0.7773,NO
1.5473,NO
3.2264,YES
2.5841,YES
2.8626,YES
2.8797,YES
1.0274,NO
3.1616,YES
0.8432,NO
1.9693,YES
2.2432,YES
1.1923,NO
1.2235,NO
1.2368,NO
1.7618,NO
1.6533,YES
0.8453,YES
2.0032,NO
0.35100000000000003,NO
1.3529,NO
0.3737,NO
0.9738,NO
1.1044,NO
0.9037,NO
1.6438,YES
1.4618,NO
1.831,YES
1.436,NO
2.2214,YES
1.1258,NO
0.3044,NO
0.5658,NO
0.8107,NO
0.6245,NO
1.3678,NO
0.8894,NO
1.8268,NO
0.4457,NO
0.5663,NO
1.2644,NO
1.3446,NO
1.6325,NO
1.7215,NO
1.0651,NO
0.2578,NO
1.399,NO
3.59,YES
0.6794,NO
2.7028,YES
0.6934,NO
0.9736,NO
0.5831,NO
0.7705,NO
1.4726,NO
0.4587,NO
1.0162,NO
0.992,NO
1.3224,NO
3.3962,YES
3.0528,YES
2.9678,YES
3.0386,YES
1.1012,NO
3.4782,YES
0.9934,NO
3.36,YES
3.5776,YES
1.6155,NO
0.688,NO
0.9105,NO
1.9939,NO
2.2336,YES
2.1071,YES
2.2283,NO
0.4479,NO
1.2314,NO
0.7085,NO
1.5406,NO
1.8114,NO
1.5393,NO
2.3627,YES
1.2887,NO
3.0810000000000004,YES
1.1414,NO
3.3439,YES
0.8967,NO
0.4539,NO
0.3558,NO
1.0838,NO
0.9743,NO
1.6263,NO
1.1266,NO
1.9856,NO
0.7732,NO
1.0319,NO
1.7794,YES
4.391,YES
4.3399,YES
3.2502,YES
0.5947,NO
0.257,NO
3.1447,YES
0.4818,NO
2.1404,YES
0.8084,NO
1.1169,NO
1.3586,NO
1.1265,NO
0.6987,NO
5.1241,YES
0.5906,NO
5.1077,YES
1.2119,NO
4.7427,YES
0.4823,NO
1.0789,NO
1.4447,NO
0.863,NO
2.0913,YES
1.5131,NO
2.6469,YES
0.6394,NO
0.7288,NO
0.9711,NO
0.7156,NO
1.1049,NO
1.2619,NO
1.2425,NO
0.4986,NO
1.1899,NO
3.3005,YES
0.4455,NO
2.5697,YES
0.8203,NO
0.9954,NO
0.7304,NO
0.6152,NO
0.8467,NO
0.5948,NO
0.4495,NO
1.0398,NO
0.6871,NO
3.2001,YES
2.6517,YES
2.6809,YES
2.7426,YES
0.8216,NO
3.2697,YES
0.8534,NO
0.5952,NO
0.7448,NO
1.1352,YES
4.7338,YES
4.7065,YES
2.4578,YES
0.8509,NO
0.2752,NO
1.9275,YES
2.5245,NO
0.9476,YES
2.165,NO
0.8271,NO
1.3078,NO
0.8295,NO
0.8168,NO
5.0557,YES
0.5551,NO
4.8404,YES
1.3278,NO
4.8537,YES
2.3779,NO
2.6219,NO
2.5846,NO
2.1032,NO
1.1581,YES
2.8144,NO
1.8119999999999998,YES
0.7814,NO
0.8234,NO
0.914,NO
0.8055,NO
1.2748,NO
1.1572,NO
1.0456,NO
0.7338,NO
0.8597,NO
3.5202,YES
0.4575,NO
2.6039,YES
0.3672,NO
0.5746,NO
0.3199,NO
0.8832,NO
0.8442,NO
0.7779,NO
0.6338,NO
1.1473,NO
0.9520000000000001,NO
3.3787,YES
2.8739,YES
2.8325,YES
2.8835,YES
0.6554,NO
3.3577,YES
0.6646,NO
0.6765,NO
0.7816,NO
2.7112,NO
1.6980000000000002,NO
2.1613,NO
3.642,NO
1.3334,NO
0.47100000000000003,NO
3.0199,NO
4.1024,YES
2.2954,NO
3.2349,YES
0.7382,NO
0.8742,NO
0.4388,NO
0.8518,NO
2.3109,NO
0.6004,NO
2.3091,NO
1.2837,NO
2.181,NO
4.055,YES
3.5824,YES
3.7878,YES
3.6807,YES
2.7718,NO
4.5196,YES
2.4881,NO
0.4381,NO
0.5481,NO
1.1785,NO
1.4039,NO
1.7504,NO
1.5031,NO
0.8692,NO
0.4264,NO
1.2066,NO
3.6885,YES
0.6101,NO
2.7937,YES
0.4158,NO
0.6049,NO
0.336,NO
0.7497,NO
1.3964,NO
0.4787,NO
1.0816,NO
0.9859,NO
1.2932,NO
3.4148,YES
3.0219,YES
3.1069999999999998,YES
2.8521,YES
0.9933,NO
3.6958,YES
1.0326,NO
0.7216,NO
0.6181,NO
1.3806,NO
1.1374,NO
1.6231,NO
1.7326,NO
1.2465,NO
0.5238,NO
1.4333,NO
4.099,YES
0.509,NO
3.2005,YES
0.7222,NO
1.0016,NO
0.51,NO
0.8291,NO
1.4973,NO
0.6402,NO
1.0128,NO
1.2105,NO
1.2798,NO
3.8845,YES
3.3053,YES
3.3574,YES
3.1416,YES
1.1776,NO
3.9468,YES
1.1624,NO
0.8885,NO
1.4288,NO
5.3178,YES
1.6031,YES
2.0308,YES
7.1626,YES
1.067,NO
0.4574,NO
7.2147,YES
1.0335,NO
6.2926,YES
1.1951,NO
1.5302,NO
0.9892,NO
1.0445,NO
0.726,NO
3.0795,YES
0.5819,NO
3.7385,YES
1.7274,NO
2.4034,YES
1.2472,NO
1.6426,NO
2.5527,NO
1.8709,NO
6.367000000000001,YES
2.9986,NO
6.1667,YES
0.4591,NO
0.8677,NO
2.7617,YES
0.7176,NO
1.2321,NO
4.2889,YES
0.6337,NO
0.2173,NO
3.8736,YES
0.892,NO
3.675,YES
0.9398,NO
0.5103,NO
0.3203,NO
0.2648,NO
0.3046,NO
1.9009,NO
0.1464,NO
2.0188,NO
1.0035,NO
1.5697,NO
0.9867,NO
1.3484,NO
2.0347,NO
1.4687,NO
3.5124,YES
2.0174,NO
3.7696,YES
0.6524,NO
1.4351,NO
3.3351,YES
4.8354,YES
5.0478,YES
5.771,YES
1.0456,NO
0.2497,NO
5.6219,YES
0.9917,NO
4.6113,YES
1.4588,NO
1.5245,NO
1.7374,NO
1.5507,NO
0.5582,NO
6.0484,YES
0.4438,NO
6.4931,YES
1.7137,NO
5.5514,YES
1.1262,NO
1.7389,NO
2.2416,NO
1.984,NO
4.3687,YES
2.923,NO
5.2414,YES
0.3056,NO
0.4801,NO
2.0469999999999997,YES
0.8975,NO
1.1657,NO
3.471,YES
0.3995,NO
0.153,NO
3.418,YES
0.4448,NO
3.4392,YES
0.3906,NO
0.4346,NO
0.19899999999999998,NO
0.2661,NO
0.3989,NO
1.2032,NO
0.1811,NO
2.011,NO
0.3714,NO
1.916,NO
0.6373,NO
0.9797,NO
1.4724,NO
1.2621,NO
2.8709,YES
1.942,NO
3.299,YES
0.7153,NO
1.3193,NO
1.4849,YES
4.7069,YES
4.4516,YES
2.9501,YES
0.8914,NO
0.2432,NO
2.4301,YES
0.6962,NO
1.469,YES
0.7781,NO
0.9874,NO
1.4638,NO
1.0167,NO
0.9407,NO
4.9059,YES
0.6617,NO
5.1115,YES
1.2443,NO
4.7922,YES
0.701,NO
1.258,NO
1.4004,NO
0.9785,NO
1.4175,YES
1.0159,NO
1.9014,YES
3.2981,YES
3.4877,YES
1.5453,NO
0.9209,NO
0.9496,NO
1.8001,NO
