Similarity,Associated
0.2626,NO
0.2626,NO
0.1281,NO
0.6139,NO
0.3369,NO
0.0992,NO
0.2626,NO
0.2626,NO
0.0965,NO
1.0,YES
0.1376,NO
1.0,YES
0.0239,NO
0.2085,NO
0.1733,NO
0.2626,NO
0.4176,NO
0.2201,NO
0.2553,NO
0.2508,NO
0.2553,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1008,NO
1.0,YES
0.2054,NO
1.0,YES
1.0,YES
0.0716,NO
0.2664,NO
0.2152,NO
0.1871,NO
1.0,YES
1.0,YES
0.22,NO
0.0299,NO
0.146,NO
0.0646,NO
0.0951,NO
0.1558,NO
0.1215,NO
1.0,YES
0.2604,NO
1.0,YES
0.2664,NO
1.0,YES
0.1872,NO
0.0637,NO
0.1001,NO
0.0595,NO
0.0728,NO
0.22,NO
0.1185,NO
0.22,NO
0.1503,NO
0.3011,NO
0.3233,NO
0.6139,NO
0.3369,NO
0.2097,NO
0.1963,NO
0.0804,NO
0.3063,NO
1.0,YES
0.3471,NO
1.0,YES
0.1924,NO
0.2085,NO
0.1924,NO
0.3123,NO
0.4176,NO
0.2774,NO
0.3076,NO
0.2508,NO
0.4531,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3063,NO
1.0,YES
0.2077,NO
1.0,YES
1.0,YES
0.4653,NO
0.3722,NO
0.3514,NO
0.3104,NO
1.0,YES
1.0,YES
0.4416,NO
0.4197,NO
0.4653,NO
0.1225,NO
0.7376,NO
0.7124,NO
0.7376,NO
1.0,YES
0.3638,NO
1.0,YES
0.3722,NO
1.0,YES
0.3514,NO
0.4197,NO
0.4197,NO
0.4197,NO
0.2304,NO
0.3061,NO
0.4197,NO
0.4653,NO
0.1663,NO
0.1597,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.1663,NO
0.1663,NO
1.0,YES
0.1733,NO
1.0,YES
0.113,NO
0.379,NO
0.379,NO
0.379,NO
0.0892,NO
1.0,YES
0.1663,NO
1.0,YES
0.4988,NO
1.0,YES
0.3405,NO
0.3721,NO
0.2079,NO
0.3307,NO
1.0,YES
0.1783,NO
0.5859,YES
0.2169,NO
0.2131,NO
0.6593,NO
0.6139,NO
0.3369,NO
0.1264,NO
0.2169,NO
0.2169,NO
0.1668,NO
1.0,YES
0.7077,NO
1.0,YES
0.0565,NO
0.2012,NO
0.1672,NO
0.221,NO
0.5133,NO
0.2169,NO
0.2485,NO
0.2421,NO
0.3295,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2054,NO
0.1065,NO
0.1855,NO
0.8266,YES
1.0,YES
1.0,YES
0.566,YES
0.1658,NO
0.1105,NO
0.8266,YES
0.5875,NO
0.8266,YES
0.5875,NO
0.4403,NO
0.4403,NO
0.4403,NO
0.1146,NO
1.0,YES
0.0613,NO
1.0,YES
0.4123,NO
1.0,YES
0.5875,NO
0.3498,NO
0.5875,NO
0.5875,NO
0.8266,YES
0.5875,NO
0.4843,YES
0.1503,NO
0.3133,NO
0.6593,NO
0.6139,NO
0.4328,NO
0.2963,NO
0.1963,NO
0.1135,NO
0.4328,NO
1.0,YES
0.7077,NO
1.0,YES
0.4406,NO
0.4406,NO
0.4406,NO
0.3249,NO
0.5133,NO
0.2886,NO
0.3183,NO
0.2508,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2535,NO
0.1341,NO
0.3133,NO
0.6593,NO
0.4834,NO
0.3349,NO
0.3378,NO
0.1963,NO
0.1135,NO
0.3349,NO
1.0,YES
0.7077,NO
1.0,YES
0.0677,NO
0.2085,NO
0.1733,NO
0.3249,NO
0.5133,NO
0.2886,NO
0.2463,NO
0.2508,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.1962,NO
0.2093,NO
0.3133,NO
0.3916,NO
0.6139,NO
0.3369,NO
0.1471,NO
