Dataset,Scenario,TechniqueType,% Traced,IndirectAggregation,ScalingMethod,NLP,Technique,PathAggregation,AUC,Credibility,LagGlobal,MAP
EasyClinic,ALLTRACED,Indirect,100.0,RFSMOTE,MULTI,VSM,ALLTRACED_RFSMOTE_MULTI_VSM,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFUNDER,SINGLE,LSA,ALLTRACED_RFUNDER_SINGLE_LSA,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFNONE,MULTI,LSA,ALLTRACED_RFNONE_MULTI_LSA,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFUNDER,RAW,VSM,ALLTRACED_RFUNDER_RAW_VSM,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFUNDER,MULTI,LSA,ALLTRACED_RFUNDER_MULTI_LSA,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,MAX,SINGLE,VSM,ALLTRACED_MAX_SINGLE_VSM,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFNONE,RAW,LSA,ALLTRACED_RFNONE_RAW_LSA,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,SUM,RAW,VSM,ALLTRACED_SUM_RAW_VSM,NA,1.0,0.2761904761904762,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFSMOTE,SINGLE,VSM,ALLTRACED_RFSMOTE_SINGLE_VSM,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFNONE,SINGLE,LSA,ALLTRACED_RFNONE_SINGLE_LSA,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFUNDER,MULTI,VSM,ALLTRACED_RFUNDER_MULTI_VSM,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFNONE,MULTI,VSM,ALLTRACED_RFNONE_MULTI_VSM,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFSMOTE,RAW,LSA,ALLTRACED_RFSMOTE_RAW_LSA,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFUNDER,RAW,LSA,ALLTRACED_RFUNDER_RAW_LSA,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,MAX,MULTI,LSA,ALLTRACED_MAX_MULTI_LSA,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFSMOTE,RAW,VSM,ALLTRACED_RFSMOTE_RAW_VSM,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFUNDER,SINGLE,VSM,ALLTRACED_RFUNDER_SINGLE_VSM,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFSMOTE,SINGLE,LSA,ALLTRACED_RFSMOTE_SINGLE_LSA,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,SUM,MULTI,LSA,ALLTRACED_SUM_MULTI_LSA,NA,1.0,0.8462585034013606,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,SUM,SINGLE,LSA,ALLTRACED_SUM_SINGLE_LSA,NA,1.0,0.8462585034013606,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFNONE,RAW,VSM,ALLTRACED_RFNONE_RAW_VSM,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,SUM,SINGLE,VSM,ALLTRACED_SUM_SINGLE_VSM,NA,1.0,0.2761904761904762,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,SUM,MULTI,VSM,ALLTRACED_SUM_MULTI_VSM,NA,1.0,0.2761904761904762,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFSMOTE,MULTI,LSA,ALLTRACED_RFSMOTE_MULTI_LSA,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,MAX,RAW,VSM,ALLTRACED_MAX_RAW_VSM,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,MAX,SINGLE,LSA,ALLTRACED_MAX_SINGLE_LSA,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,SUM,RAW,LSA,ALLTRACED_SUM_RAW_LSA,NA,1.0,0.8462585034013606,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,MAX,MULTI,VSM,ALLTRACED_MAX_MULTI_VSM,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFNONE,SINGLE,VSM,ALLTRACED_RFNONE_SINGLE_VSM,NA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,MAX,RAW,LSA,ALLTRACED_MAX_RAW_LSA,NA,1.0,1.0,0.0,1.0
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MAX,SINGLE,LSA,LOWERTRACED_MAX_SINGLE_LSA,NA,0.9829392074290032,0.7360352591740922,0.3412698412698413,0.9658712388741206
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MAX,SINGLE,VSM,LOWERTRACED_MAX_SINGLE_VSM,NA,0.9829392074290032,0.7334190476190476,0.3412698412698413,0.9658712388741206
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MAX,SINGLE,LSA,UPPERTRACED_MAX_SINGLE_LSA,NA,0.9822845804988664,0.7700382891069913,0.3888888888888889,0.9657013842322536
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MAX,SINGLE,VSM,UPPERTRACED_MAX_SINGLE_VSM,NA,0.9822845804988664,0.7618126190476191,0.3888888888888889,0.9657013842322536
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MAX,MULTI,VSM,UPPERTRACED_MAX_MULTI_VSM,NA,0.9633071482561278,0.6960851190476189,0.6071428571428571,0.9279075337387812
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MAX,MULTI,LSA,UPPERTRACED_MAX_MULTI_LSA,NA,0.9633071482561278,0.7284780604149925,0.6071428571428571,0.9279075337387812
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MAX,RAW,LSA,UPPERTRACED_MAX_RAW_LSA,NA,0.9633071482561278,0.7284572458791209,0.6071428571428571,0.9279075337387812
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MAX,RAW,VSM,UPPERTRACED_MAX_RAW_VSM,NA,0.9633071482561278,0.6937182142857142,0.6071428571428571,0.9279075337387812
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MAX,MULTI,VSM,LOWERTRACED_MAX_MULTI_VSM,NA,0.9596898283122772,0.6888740476190476,1.6785714285714286,0.9390053816102584
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MAX,RAW,LSA,LOWERTRACED_MAX_RAW_LSA,NA,0.9596898283122772,0.6975517725517726,1.6785714285714286,0.9390053816102584
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MAX,MULTI,LSA,LOWERTRACED_MAX_MULTI_LSA,NA,0.9596898283122772,0.6975404289706069,1.6785714285714286,0.9390053816102584
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MAX,RAW,VSM,LOWERTRACED_MAX_RAW_VSM,NA,0.9596898283122772,0.6839242857142858,1.6785714285714286,0.9390053816102584
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,SUM,SINGLE,LSA,LOWERTRACED_SUM_SINGLE_LSA,NA,0.9523607061872368,0.7518093707016857,0.4801587301587302,0.8891888239466296
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,SUM,SINGLE,VSM,LOWERTRACED_SUM_SINGLE_VSM,NA,0.9523607061872368,-0.26681154761904763,0.4801587301587302,0.8891888239466296
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,SUM,SINGLE,LSA,UPPERTRACED_SUM_SINGLE_LSA,NA,0.9411510636000432,0.7462845847641587,0.8611111111111112,0.8534525241735065
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,SUM,SINGLE,VSM,UPPERTRACED_SUM_SINGLE_VSM,NA,0.9411510636000432,-0.07343511904761905,0.8611111111111112,0.8534525241735065
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,SUM,MULTI,LSA,LOWERTRACED_SUM_MULTI_LSA,NA,0.92792355037253,0.7239268164553725,0.9325396825396826,0.8609532173098976
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,SUM,MULTI,VSM,LOWERTRACED_SUM_MULTI_VSM,NA,0.92792355037253,-0.13136285714285714,0.9325396825396826,0.8609532173098976
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,SUM,RAW,LSA,LOWERTRACED_SUM_RAW_LSA,NA,0.9170378468847856,0.7217150226352795,0.7896825396825397,0.8403418016667935
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,SUM,RAW,VSM,LOWERTRACED_SUM_RAW_VSM,NA,0.9170378468847856,0.4334619047619048,0.7896825396825397,0.8403418016667935
EasyClinic,NONETRACED,Indirect,0.0,MAX,SINGLE,VSM,NONETRACED_MAX_SINGLE_VSM,NA,0.9154991361624014,0.6839835714285715,1.825396825396825,0.8518149488599231
EasyClinic,NONETRACED,Indirect,0.0,MAX,SINGLE,LSA,NONETRACED_MAX_SINGLE_LSA,NA,0.9154991361624014,0.7206195327292928,1.825396825396825,0.8518149488599231
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,SUM,MULTI,VSM,UPPERTRACED_SUM_MULTI_VSM,NA,0.8952529424468199,-0.0954829761904762,1.7103174603174602,0.7759705138628438
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,SUM,MULTI,LSA,UPPERTRACED_SUM_MULTI_LSA,NA,0.8952529424468199,0.7191517968629223,1.7103174603174602,0.7759705138628438
