TraceType,IndirectAggregation,ScalingType,NLP,Technique,AUC,Credibility,LagGlobal,MAP
ALLTRACED,RFSMOTE,MULTI,VSM,ALLTRACED_RFSMOTE_MULTI_VSM,1.0,1.0,0.0,1.0
ALLTRACED,RFUNDER,SINGLE,LSA,ALLTRACED_RFUNDER_SINGLE_LSA,1.0,1.0,0.0,1.0
ALLTRACED,RFNONE,MULTI,LSA,ALLTRACED_RFNONE_MULTI_LSA,1.0,1.0,0.0,1.0
ALLTRACED,RFUNDER,RAW,VSM,ALLTRACED_RFUNDER_RAW_VSM,1.0,1.0,0.0,1.0
ALLTRACED,RFUNDER,MULTI,LSA,ALLTRACED_RFUNDER_MULTI_LSA,1.0,1.0,0.0,1.0
ALLTRACED,MAX,SINGLE,VSM,ALLTRACED_MAX_SINGLE_VSM,1.0,1.0,0.0,1.0
ALLTRACED,RFNONE,RAW,LSA,ALLTRACED_RFNONE_RAW_LSA,1.0,1.0,0.0,1.0
ALLTRACED,SUM,RAW,VSM,ALLTRACED_SUM_RAW_VSM,1.0,0.2761904761904762,0.0,1.0
ALLTRACED,RFSMOTE,SINGLE,VSM,ALLTRACED_RFSMOTE_SINGLE_VSM,1.0,1.0,0.0,1.0
ALLTRACED,RFNONE,SINGLE,LSA,ALLTRACED_RFNONE_SINGLE_LSA,1.0,1.0,0.0,1.0
ALLTRACED,RFUNDER,MULTI,VSM,ALLTRACED_RFUNDER_MULTI_VSM,1.0,1.0,0.0,1.0
ALLTRACED,RFNONE,MULTI,VSM,ALLTRACED_RFNONE_MULTI_VSM,1.0,1.0,0.0,1.0
ALLTRACED,RFSMOTE,RAW,LSA,ALLTRACED_RFSMOTE_RAW_LSA,1.0,1.0,0.0,1.0
ALLTRACED,RFUNDER,RAW,LSA,ALLTRACED_RFUNDER_RAW_LSA,1.0,1.0,0.0,1.0
ALLTRACED,MAX,MULTI,LSA,ALLTRACED_MAX_MULTI_LSA,1.0,1.0,0.0,1.0
ALLTRACED,RFSMOTE,RAW,VSM,ALLTRACED_RFSMOTE_RAW_VSM,1.0,1.0,0.0,1.0
ALLTRACED,RFUNDER,SINGLE,VSM,ALLTRACED_RFUNDER_SINGLE_VSM,1.0,1.0,0.0,1.0
ALLTRACED,RFSMOTE,SINGLE,LSA,ALLTRACED_RFSMOTE_SINGLE_LSA,1.0,1.0,0.0,1.0
ALLTRACED,SUM,MULTI,LSA,ALLTRACED_SUM_MULTI_LSA,1.0,0.8462585034013606,0.0,1.0
ALLTRACED,SUM,SINGLE,LSA,ALLTRACED_SUM_SINGLE_LSA,1.0,0.8462585034013606,0.0,1.0
ALLTRACED,RFNONE,RAW,VSM,ALLTRACED_RFNONE_RAW_VSM,1.0,1.0,0.0,1.0
ALLTRACED,SUM,SINGLE,VSM,ALLTRACED_SUM_SINGLE_VSM,1.0,0.2761904761904762,0.0,1.0
ALLTRACED,SUM,MULTI,VSM,ALLTRACED_SUM_MULTI_VSM,1.0,0.2761904761904762,0.0,1.0
ALLTRACED,RFSMOTE,MULTI,LSA,ALLTRACED_RFSMOTE_MULTI_LSA,1.0,1.0,0.0,1.0
ALLTRACED,MAX,RAW,VSM,ALLTRACED_MAX_RAW_VSM,1.0,1.0,0.0,1.0
ALLTRACED,MAX,SINGLE,LSA,ALLTRACED_MAX_SINGLE_LSA,1.0,1.0,0.0,1.0
ALLTRACED,SUM,RAW,LSA,ALLTRACED_SUM_RAW_LSA,1.0,0.8462585034013606,0.0,1.0
ALLTRACED,MAX,MULTI,VSM,ALLTRACED_MAX_MULTI_VSM,1.0,1.0,0.0,1.0
ALLTRACED,RFNONE,SINGLE,VSM,ALLTRACED_RFNONE_SINGLE_VSM,1.0,1.0,0.0,1.0
ALLTRACED,MAX,RAW,LSA,ALLTRACED_MAX_RAW_LSA,1.0,1.0,0.0,1.0
LOWERTRACED,MAX,SINGLE,LSA,LOWERTRACED_MAX_SINGLE_LSA,0.9829392074290032,0.7360352591740922,0.3412698412698413,0.9658712388741206
LOWERTRACED,MAX,SINGLE,VSM,LOWERTRACED_MAX_SINGLE_VSM,0.9829392074290032,0.7334190476190476,0.3412698412698413,0.9658712388741206
UPPERTRACED,MAX,SINGLE,LSA,UPPERTRACED_MAX_SINGLE_LSA,0.9822845804988664,0.7700382891069913,0.3888888888888889,0.9657013842322536
UPPERTRACED,MAX,SINGLE,VSM,UPPERTRACED_MAX_SINGLE_VSM,0.9822845804988664,0.7618126190476191,0.3888888888888889,0.9657013842322536
UPPERTRACED,MAX,MULTI,VSM,UPPERTRACED_MAX_MULTI_VSM,0.9633071482561278,0.6960851190476189,0.6071428571428571,0.9279075337387812
UPPERTRACED,MAX,MULTI,LSA,UPPERTRACED_MAX_MULTI_LSA,0.9633071482561278,0.7284780604149925,0.6071428571428571,0.9279075337387812
UPPERTRACED,MAX,RAW,LSA,UPPERTRACED_MAX_RAW_LSA,0.9633071482561278,0.7284572458791209,0.6071428571428571,0.9279075337387812
UPPERTRACED,MAX,RAW,VSM,UPPERTRACED_MAX_RAW_VSM,0.9633071482561278,0.6937182142857142,0.6071428571428571,0.9279075337387812
LOWERTRACED,MAX,MULTI,VSM,LOWERTRACED_MAX_MULTI_VSM,0.9596898283122772,0.6888740476190476,1.6785714285714286,0.9390053816102584
LOWERTRACED,MAX,RAW,LSA,LOWERTRACED_MAX_RAW_LSA,0.9596898283122772,0.6975517725517726,1.6785714285714286,0.9390053816102584
LOWERTRACED,MAX,MULTI,LSA,LOWERTRACED_MAX_MULTI_LSA,0.9596898283122772,0.6975404289706069,1.6785714285714286,0.9390053816102584
LOWERTRACED,MAX,RAW,VSM,LOWERTRACED_MAX_RAW_VSM,0.9596898283122772,0.6839242857142858,1.6785714285714286,0.9390053816102584
LOWERTRACED,SUM,SINGLE,LSA,LOWERTRACED_SUM_SINGLE_LSA,0.9523607061872368,0.7518093707016857,0.4801587301587302,0.8891888239466296
LOWERTRACED,SUM,SINGLE,VSM,LOWERTRACED_SUM_SINGLE_VSM,0.9523607061872368,-0.26681154761904763,0.4801587301587302,0.8891888239466296
UPPERTRACED,SUM,SINGLE,LSA,UPPERTRACED_SUM_SINGLE_LSA,0.9411510636000432,0.7462845847641587,0.8611111111111112,0.8534525241735065
UPPERTRACED,SUM,SINGLE,VSM,UPPERTRACED_SUM_SINGLE_VSM,0.9411510636000432,-0.07343511904761905,0.8611111111111112,0.8534525241735065
LOWERTRACED,SUM,MULTI,LSA,LOWERTRACED_SUM_MULTI_LSA,0.92792355037253,0.7239268164553725,0.9325396825396826,0.8609532173098976
LOWERTRACED,SUM,MULTI,VSM,LOWERTRACED_SUM_MULTI_VSM,0.92792355037253,-0.13136285714285714,0.9325396825396826,0.8609532173098976
LOWERTRACED,SUM,RAW,LSA,LOWERTRACED_SUM_RAW_LSA,0.9170378468847856,0.7217150226352795,0.7896825396825397,0.8403418016667935
LOWERTRACED,SUM,RAW,VSM,LOWERTRACED_SUM_RAW_VSM,0.9170378468847856,0.4334619047619048,0.7896825396825397,0.8403418016667935
NONETRACED,MAX,SINGLE,VSM,NONETRACED_MAX_SINGLE_VSM,0.9154991361624014,0.6839835714285715,1.8253968253968251,0.8518149488599231
NONETRACED,MAX,SINGLE,LSA,NONETRACED_MAX_SINGLE_LSA,0.9154991361624014,0.7206195327292928,1.8253968253968251,0.8518149488599231
UPPERTRACED,SUM,MULTI,VSM,UPPERTRACED_SUM_MULTI_VSM,0.8952529424468199,-0.0954829761904762,1.7103174603174602,0.7759705138628438
UPPERTRACED,SUM,MULTI,LSA,UPPERTRACED_SUM_MULTI_LSA,0.8952529424468199,0.7191517968629223,1.7103174603174602,0.7759705138628438
LOWERTRACED,RFUNDER,SINGLE,LSA,LOWERTRACED_RFUNDER_SINGLE_LSA,0.8948412698412699,0.9321428571428572,2.313492063492064,0.8342636895268475
UPPERTRACED,SUM,RAW,LSA,UPPERTRACED_SUM_RAW_LSA,0.8911598369506533,0.7154200050276845,1.7023809523809523,0.7695319616274482
UPPERTRACED,SUM,RAW,VSM,UPPERTRACED_SUM_RAW_VSM,0.8911598369506533,0.5445865476190477,1.7023809523809523,0.7695319616274482
LOWERTRACED,RFNONE,SINGLE,LSA,LOWERTRACED_RFNONE_SINGLE_LSA,0.8888888888888888,0.9333333333333332,2.3015873015873014,0.8444444444444444
LOWERTRACED,RFUNDER,SINGLE,VSM,LOWERTRACED_RFUNDER_SINGLE_VSM,0.8829365079365079,0.925,2.313492063492064,0.8176245210727969
LOWERTRACED,RFSMOTE,SINGLE,LSA,LOWERTRACED_RFSMOTE_SINGLE_LSA,0.8829365079365079,0.925,2.3015873015873014,0.8176245210727969
LOWERTRACED,RFSMOTE,SINGLE,VSM,LOWERTRACED_RFSMOTE_SINGLE_VSM,0.8684807256235827,0.9047619047619048,2.2896825396825395,0.7595959595959596
LOWERTRACED,RFUNDER,MULTI,LSA,LOWERTRACED_RFUNDER_MULTI_LSA,0.8681972789115645,0.9059523809523811,2.3015873015873014,0.7632159315339039
LOWERTRACED,RFNONE,SINGLE,VSM,LOWERTRACED_RFNONE_SINGLE_VSM,0.8650793650793651,0.919047619047619,2.281746031746032,0.8111111111111111
LOWERTRACED,RFUNDER,MULTI,VSM,LOWERTRACED_RFUNDER_MULTI_VSM,0.8622448979591837,0.9071428571428573,2.293650793650793,0.7698529411764705
LOWERTRACED,RFSMOTE,MULTI,LSA,LOWERTRACED_RFSMOTE_MULTI_LSA,0.8585600907029479,0.9083333333333332,2.3293650793650795,0.7762413512413512
NONETRACED,MAX,MULTI,LSA,NONETRACED_MAX_MULTI_LSA,0.8470535039412591,0.6839238004841253,2.2857142857142856,0.7520098970363776
NONETRACED,MAX,MULTI,VSM,NONETRACED_MAX_MULTI_VSM,0.8470535039412591,0.6640365476190476,2.2857142857142856,0.7520098970363776
NONETRACED,MAX,RAW,VSM,NONETRACED_MAX_RAW_VSM,0.8464258719360761,0.6887360714285714,2.2896825396825395,0.7509207443292613
NONETRACED,MAX,RAW,LSA,NONETRACED_MAX_RAW_LSA,0.8464258719360761,0.6795310820211219,2.2896825396825395,0.7509207443292613
LOWERTRACED,RFSMOTE,MULTI,VSM,LOWERTRACED_RFSMOTE_MULTI_VSM,0.8367346938775511,0.8857142857142857,2.3174603174603177,0.7159663865546219
LOWERTRACED,RFNONE,MULTI,VSM,LOWERTRACED_RFNONE_MULTI_VSM,0.8268140589569158,0.8892857142857142,2.3015873015873014,0.7319788064201471
LOWERTRACED,RFNONE,MULTI,LSA,LOWERTRACED_RFNONE_MULTI_LSA,0.8248299319727891,0.8880952380952379,2.3174603174603177,0.7292134831460674
NONETRACED,SUM,SINGLE,VSM,NONETRACED_SUM_SINGLE_VSM,0.8170688910484829,-1.0051415476190475,2.1865079365079363,0.6825021738311771
NONETRACED,SUM,SINGLE,LSA,NONETRACED_SUM_SINGLE_LSA,0.8170688910484829,0.6828828241954189,2.1865079365079363,0.6825021738311771
UPPERTRACED,RFUNDER,SINGLE,VSM,UPPERTRACED_RFUNDER_SINGLE_VSM,0.8089569160997732,0.7690476190476191,2.2103174603174605,0.5476289682539682
UPPERTRACED,RFUNDER,SINGLE,LSA,UPPERTRACED_RFUNDER_SINGLE_LSA,0.7998866213151927,0.7928571428571428,2.3095238095238093,0.5589440167284478
