Similarity,Associated
0.2574,NO
0.0713,NO
0.2323,NO
0.5644,NO
0.31,NO
0.2707,NO
0.3258,NO
0.1745,NO
0.2323,NO
1.0,YES
0.1304,NO
1.0,YES
0.2582,NO
0.3353,NO
0.3353,NO
0.2574,NO
0.1995,NO
0.2574,NO
0.2804,NO
0.1502,NO
0.2209,NO
0.83,YES
1.0,YES
1.0,YES
0.7677,YES
0.2502,NO
0.3569,YES
0.2323,NO
1.0,YES
0.2821,YES
0.2113,NO
0.2304,NO
0.2165,NO
0.2444,NO
0.6914,YES
0.678,YES
0.1893,NO
0.1453,NO
0.1581,NO
0.1189,NO
0.2584,NO
0.3148,NO
0.1953,NO
1.0,YES
0.1922,NO
1.0,YES
0.1652,NO
0.5838,YES
0.2165,NO
0.1223,NO
0.2104,NO
0.1939,NO
0.062,NO
0.3034,NO
0.1939,NO
0.2113,NO
0.3496,NO
0.1441,NO
0.2297,NO
0.5644,NO
0.31,NO
0.2707,NO
0.3258,NO
0.1187,NO
0.2381,NO
1.0,YES
0.4964,NO
1.0,YES
0.21,NO
0.3824,NO
0.2728,NO
0.294,NO
0.4175,NO
0.3069,NO
0.3844,NO
0.1656,NO
0.3438,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2502,NO
1.0,YES
0.3251,NO
1.0,YES
0.408,YES
0.2528,NO
0.2304,NO
0.2013,NO
0.2455,NO
1.0,YES
0.678,YES
0.2528,NO
0.2193,NO
0.1488,NO
0.2187,NO
0.3157,NO
0.3845,NO
0.2386,NO
1.0,YES
0.1922,NO
1.0,YES
0.1909,NO
0.5838,YES
0.2013,NO
0.316,NO
0.316,NO
0.316,NO
0.316,NO
0.2455,NO
0.2251,NO
0.1676,NO
0.27,NO
0.1652,NO
0.6191,YES
0.6166,YES
1.0,YES
0.6191,YES
0.1673,NO
0.1652,NO
0.6191,YES
0.1538,NO
0.278,YES
0.1369,NO
0.2917,NO
0.3569,NO
0.2204,NO
0.0951,NO
0.7797,YES
0.144,NO
1.0,YES
0.1882,NO
1.0,YES
0.2431,NO
0.4169,NO
0.4471,NO
0.138,NO
0.3891,YES
0.1984,NO
0.6191,YES
0.3331,NO
0.1493,NO
0.4528,NO
0.5644,NO
0.4528,NO
0.4528,NO
0.3258,NO
0.2258,NO
0.4528,NO
1.0,YES
0.3093,NO
1.0,YES
0.2438,NO
0.3673,NO
0.3166,NO
0.3331,NO
0.4327,NO
0.3331,NO
0.4528,NO
0.1944,NO
0.3132,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4052,NO
0.6231,YES
0.4528,NO
0.1741,NO
0.0684,NO
0.5253,YES
0.7909,YES
0.694,YES
0.5253,YES
0.1676,NO
0.118,NO
0.5253,YES
0.1022,NO
0.2359,YES
0.0932,NO
0.2568,NO
0.3376,NO
0.3335,NO
0.174,NO
1.0,YES
0.174,NO
1.0,YES
0.1597,NO
0.5392,YES
0.3118,NO
0.5347,NO
0.3056,NO
0.1587,NO
0.3057,YES
0.2509,NO
0.5253,YES
0.3496,NO
0.3096,NO
0.3877,NO
0.5644,NO
0.31,NO
0.3877,NO
