Similarity,Associated
0.1686,NO
0.0785,NO
0.2688,NO
0.1833,NO
0.1379,NO
0.0452,NO
0.1488,NO
0.0647,NO
0.2252,NO
1.0,YES
0.2347,NO
1.0,YES
0.0957,NO
0.1693,NO
0.0229,NO
0.159,NO
0.1906,NO
0.1544,NO
0.1843,NO
0.0132,NO
0.2083,NO
1.0,YES
1.0,YES
1.0,YES
0.4096,YES
0.2254,NO
1.0,YES
0.1576,NO
1.0,YES
0.3715,YES
0.1659,NO
0.115,NO
0.1344,NO
0.1194,NO
1.0,YES
0.3164,YES
0.1194,NO
0.1231,NO
0.1659,NO
0.1474,NO
0.0257,NO
0.0613,NO
0.0425,NO
0.3715,YES
0.1033,NO
0.4181,YES
0.0469,NO
0.3715,YES
0.1344,NO
0.1474,NO
0.1474,NO
0.1474,NO
0.1474,NO
0.1659,NO
0.1231,NO
0.1778,NO
0.1731,NO
0.1731,NO
0.2688,NO
0.2653,NO
0.1616,NO
0.1452,NO
0.1731,NO
0.0647,NO
0.2252,NO
1.0,YES
0.2347,NO
1.0,YES
0.0957,NO
0.1697,NO
0.047,NO
0.1731,NO
0.1906,NO
0.1544,NO
0.1843,NO
0.1731,NO
0.2083,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2254,NO
1.0,YES
0.2137,NO
1.0,YES
0.284,YES
0.204,NO
0.1216,NO
0.1216,NO
0.1525,NO
1.0,YES
0.3164,YES
0.1525,NO
0.0596,NO
0.204,NO
0.1841,NO
0.0831,NO
0.0753,NO
0.0634,NO
0.284,YES
0.0995,NO
0.4181,YES
0.1216,NO
0.284,YES
0.0678,NO
0.1841,NO
0.1841,NO
0.1841,NO
0.1841,NO
0.204,NO
0.0396,NO
0.204,NO
0.0976,NO
0.1088,NO
0.3354,YES
1.0,YES
1.0,YES
0.1801,YES
0.1548,NO
0.0371,NO
0.1801,YES
0.1531,NO
0.3354,YES
0.1531,NO
0.1252,NO
0.2003,NO
0.064,NO
0.0891,NO
1.0,YES
0.1088,NO
0.4156,YES
0.0592,NO
1.0,YES
0.1155,NO
0.2044,NO
0.1218,NO
0.0968,NO
0.3354,YES
0.1531,NO
0.3354,YES
0.1926,NO
0.1694,NO
0.2688,NO
0.2653,NO
0.1508,NO
0.1331,NO
0.1926,NO
0.0647,NO
0.2252,NO
1.0,YES
0.2524,NO
1.0,YES
0.1123,NO
0.1697,NO
0.0527,NO
0.1621,NO
0.1906,NO
0.1694,NO
0.1843,NO
0.1621,NO
0.166,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2524,NO
1.0,YES
0.2524,NO
0.0414,NO
0.0846,NO
0.2886,YES
1.0,YES
0.3316,YES
0.1371,YES
0.0457,NO
0.0289,NO
0.1371,YES
0.2564,NO
0.2886,YES
0.0446,NO
0.0691,NO
0.1719,NO
0.0527,NO
0.0891,NO
1.0,YES
0.0864,NO
0.3695,YES
0.0244,NO
1.0,YES
0.2564,NO
0.2564,NO
0.2564,NO
0.0948,NO
0.2886,YES
0.0685,NO
0.2886,YES
0.0445,NO
0.0154,NO
0.1934,NO
0.1124,NO
0.0371,NO
0.1934,NO
0.0501,NO
0.0171,NO
0.1934,NO
0.2638,YES
0.2199,NO
0.4061,YES
0.0865,NO
0.0852,NO
0.0704,NO
0.0282,NO
0.1254,NO
0.0273,NO
0.0486,NO
0.0286,NO
0.1124,NO
0.4061,YES
0.4061,YES
0.4061,YES
0.4061,YES
0.2199,NO
0.2638,YES
0.2369,NO
0.1553,NO
0.1197,NO
0.1039,NO
0.2338,NO
0.1429,NO
0.0695,NO
0.1488,NO
0.061,NO
0.087,NO
1.0,YES
0.2213,NO
1.0,YES
0.1123,NO
