Similarity,Associated
0.1171,NO
0.1171,NO
0.1406,NO
0.0949,NO
0.1453,NO
0.1078,NO
0.1687,NO
0.1171,NO
0.1078,NO
0.4096,YES
0.1406,NO
0.4096,YES
0.1937,NO
0.1937,NO
0.0564,NO
0.0647,NO
0.0949,NO
0.1687,NO
0.1453,NO
0.1171,NO
0.1453,NO
0.4096,YES
0.4096,YES
0.0728,YES
0.4096,YES
0.1406,NO
0.4096,YES
0.1078,NO
1.0,YES
1.0,YES
0.1531,NO
0.1272,NO
0.1344,NO
0.1318,NO
1.0,YES
0.3164,YES
0.1318,NO
0.1474,NO
0.0944,NO
0.1474,NO
0.0995,NO
0.0269,NO
0.0143,NO
0.3834,YES
0.1033,NO
1.0,YES
0.1344,NO
0.274,YES
0.1344,NO
0.1474,NO
0.1474,NO
0.0683,NO
0.1474,NO
0.1318,NO
0.1474,NO
0.1194,NO
0.1686,NO
0.0399,NO
0.1694,NO
0.2143,NO
0.2143,NO
0.2963,NO
0.1731,NO
0.0286,NO
0.1694,NO
0.5081,YES
0.2347,NO
1.0,YES
0.1625,NO
0.1625,NO
0.0473,NO
0.0808,NO
0.1906,NO
0.1731,NO
0.1843,NO
0.0412,NO
0.166,NO
1.0,YES
1.0,YES
0.3819,YES
0.4064,YES
0.1694,NO
1.0,YES
0.1576,NO
1.0,YES
1.0,YES
0.1692,NO
0.0361,NO
0.0995,NO
0.1501,NO
1.0,YES
1.0,YES
0.1501,NO
0.1841,NO
0.1692,NO
0.1841,NO
0.2094,NO
0.2183,NO
0.0634,NO
0.1227,YES
0.0336,NO
1.0,YES
0.0328,NO
1.0,YES
0.0742,NO
0.1841,NO
0.1841,NO
0.053,NO
0.1841,NO
0.1692,NO
0.1841,NO
0.0977,NO
0.1508,NO
0.1508,NO
0.2378,YES
1.0,YES
1.0,YES
0.2985,YES
0.1508,NO
0.1088,NO
0.2465,YES
0.1475,NO
1.0,YES
0.1531,NO
0.0528,NO
0.1632,NO
0.0325,NO
0.0818,NO
0.3497,YES
0.1508,NO
1.0,YES
0.1481,NO
0.4216,YES
0.1531,NO
0.1531,NO
0.2298,NO
0.1335,NO
1.0,YES
0.2113,NO
1.0,YES
0.1926,NO
0.1926,NO
0.1377,NO
0.2524,NO
0.2524,NO
0.1986,NO
0.1926,NO
0.0609,NO
0.0967,NO
1.0,YES
0.2524,NO
0.485,YES
0.0957,NO
0.1813,NO
0.0527,NO
0.159,NO
0.206,NO
0.1926,NO
0.2524,NO
