Similarity,Associated
0.2076,NO
0.2626,NO
0.6593,NO
0.3031,NO
0.2553,NO
0.1818,NO
0.2626,NO
0.2201,NO
0.2186,NO
1.0,YES
0.7077,NO
1.0,YES
0.3126,NO
0.3391,NO
0.3391,NO
0.2626,NO
0.5133,NO
0.2201,NO
0.1689,NO
0.2508,NO
0.2553,NO
0.5857,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2183,NO
1.0,YES
1.0,YES
0.2853,NO
0.3639,NO
0.279,NO
0.3765,NO
1.0,YES
1.0,YES
0.4007,NO
0.0744,NO
0.4007,NO
0.0936,NO
0.3658,NO
0.397,NO
0.397,NO
1.0,YES
0.2735,NO
1.0,YES
0.2676,NO
1.0,YES
0.1806,NO
0.1688,NO
0.1196,NO
0.1927,NO
0.1249,NO
0.4007,NO
0.1158,NO
0.4007,NO
0.1606,NO
0.216,NO
0.6593,NO
0.6139,NO
0.3369,NO
0.1557,NO
0.216,NO
0.1058,NO
0.2357,NO
1.0,YES
0.7077,NO
1.0,YES
0.2134,NO
0.1924,NO
0.1924,NO
0.216,NO
0.5752,NO
0.1308,NO
0.3076,NO
0.2508,NO
0.3076,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2473,NO
0.6166,YES
1.0,YES
0.3731,NO
0.6805,NO
0.5217,NO
0.6805,NO
1.0,YES
0.6166,YES
0.6805,NO
0.4069,NO
0.4605,NO
0.2121,NO
0.647,NO
0.7021,NO
0.7021,NO
1.0,YES
0.5115,NO
0.6166,YES
0.5005,NO
0.8571,YES
0.3514,NO
0.4069,NO
0.4197,NO
0.4197,NO
0.4197,NO
0.6805,NO
0.4197,NO
0.4632,NO
0.0788,NO
0.1597,NO
0.5483,YES
1.0,YES
1.0,YES
1.0,YES
0.257,NO
0.0471,NO
1.0,YES
0.2044,NO
0.6283,YES
0.224,NO
0.3493,NO
0.379,NO
0.379,NO
0.0921,NO
1.0,YES
0.0718,NO
1.0,YES
0.2026,NO
1.0,YES
0.1526,NO
0.1733,NO
0.5265,NO
0.3307,NO
1.0,YES
0.1733,NO
0.5859,YES
0.2565,NO
0.2719,NO
0.4056,NO
0.6139,NO
0.3369,NO
0.1306,NO
0.1895,NO
0.2719,NO
0.2452,NO
1.0,YES
0.4354,NO
1.0,YES
0.2327,NO
0.2525,NO
0.2525,NO
0.0718,NO
0.5985,NO
0.2719,NO
0.3054,NO
0.2719,NO
0.3054,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3191,NO
0.9651,YES
0.2574,NO
0.1165,NO
0.1855,NO
0.4532,YES
1.0,YES
1.0,YES
0.8266,YES
0.2196,NO
0.1194,NO
0.8266,YES
0.5884,NO
0.5679,YES
0.6968,NO
0.4058,NO
0.4403,NO
0.4403,NO
0.0707,NO
1.0,YES
0.1194,NO
1.0,YES
0.2026,NO
1.0,YES
0.6968,NO
0.6968,NO
0.6334,NO
0.3377,NO
0.8266,YES
0.462,NO
0.4843,YES
0.2332,NO
0.2332,NO
0.6593,NO
0.6139,NO
0.3369,NO
0.3984,NO
0.1963,NO
0.2332,NO
0.4239,NO
1.0,YES
0.7077,NO
1.0,YES
0.2134,NO
0.0355,NO
0.0385,NO
0.1856,NO
0.5133,NO
0.2332,NO
0.1949,NO
0.2508,NO
0.2752,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.4239,NO
0.1671,NO
0.0932,NO
0.5133,NO
0.4834,NO
0.3315,NO
0.4095,NO
0.1633,NO
0.1016,NO
0.4095,NO
0.8445,YES
0.551,NO
1.0,YES
0.1661,NO
0.0932,NO
0.1002,NO
0.0342,NO
0.5985,NO
0.0935,NO
0.2463,NO
0.1329,NO
0.2167,NO
1.0,YES
1.0,YES
0.9091,YES
0.7875,YES
0.4039,NO
0.7786,YES
0.4039,NO
0.2093,NO
0.2093,NO
0.6593,NO
0.6139,NO
0.3369,NO
0.2909,NO
0.1963,NO
0.2093,NO
0.3095,NO
1.0,YES
0.7077,NO
1.0,YES
0.2729,NO
0.2866,NO
0.2866,NO
0.1246,NO
0.5133,NO
0.2093,NO
0.1949,NO
0.2508,NO
0.2752,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.3095,NO
0.1671,NO
0.1062,NO
0.2898,NO
0.6139,NO
0.3369,NO
0.0721,NO
0.1461,NO
0.1016,NO
0.2452,NO
1.0,YES
0.311,NO
1.0,YES
0.2846,NO
0.2846,NO
0.2839,NO
0.0224,NO
0.5985,NO
0.0974,NO
0.3335,NO
0.1867,NO
0.3335,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.228,NO
0.7443,YES
0.2574,NO
0.1422,NO
0.2383,NO
1.0,YES
0.6673,YES
0.5116,YES
1.0,YES
0.3986,NO
0.1268,NO
1.0,YES
0.2963,NO
1.0,YES
0.196,NO
0.5121,NO
0.441,NO
0.441,NO
0.1393,NO
0.5016,YES
0.2282,NO
0.4951,YES
0.506,NO
0.3571,YES
0.4243,NO
0.7244,NO
0.7244,NO
0.7244,NO
1.0,YES
0.7244,NO
1.0,YES
0.2216,NO
0.2275,NO
0.8095,YES
0.3948,NO
0.3027,NO
1.0,YES
0.4103,NO
0.1279,NO
1.0,YES
0.2219,NO
1.0,YES
0.2628,NO
0.4978,NO
0.5402,NO
0.5402,NO
0.117,NO
0.2968,NO
0.0691,NO
0.537,NO
0.2054,NO
0.2523,NO
0.2975,NO
0.5079,NO
0.5079,NO
0.5079,NO
0.8926,YES
0.5079,NO
1.0,YES
0.1537,NO
0.2231,NO
0.7876,YES
1.0,YES
1.0,YES
1.0,YES
0.314,NO
0.1537,NO
1.0,YES
0.6271,NO
0.8193,YES
0.7101,NO
0.4794,NO
0.2109,NO
0.2758,NO
0.0926,NO
1.0,YES
0.1798,NO
1.0,YES
0.3365,NO
1.0,YES
0.7101,NO
0.7101,NO
0.6455,NO
0.6271,NO
1.0,YES
0.6271,NO
0.8593,YES
0.1147,NO
0.2365,NO
1.0,YES
0.6479,NO
0.393,NO
1.0,YES
0.3184,NO
0.1258,NO
1.0,YES
0.247,NO
1.0,YES
0.1633,NO
0.5082,NO
0.3363,NO
0.3363,NO
0.0397,NO
0.6479,NO
0.1823,NO
0.6479,NO
0.1704,NO
0.4729,NO
0.3536,NO
0.6038,NO
0.6038,NO
0.6038,NO
1.0,YES
0.6038,NO
1.0,YES
0.2091,NO
0.221,NO
0.3365,YES
1.0,YES
1.0,YES
0.6136,YES
0.257,NO
0.221,NO
0.6136,YES
0.4207,NO
0.5679,YES
0.4207,NO
0.1281,NO
0.1481,NO
0.2833,NO
0.2203,NO
1.0,YES
0.221,NO
1.0,YES
0.221,NO
1.0,YES
0.218,NO
0.2505,NO
0.4726,NO
0.4207,NO
0.6136,YES
0.4207,NO
0.3832,YES
1.0,YES
1.0,YES
0.2798,NO
0.4952,NO
0.3796,NO
0.4952,NO
0.345,YES
1.0,YES
0.4952,NO
0.4076,NO
0.3868,NO
0.4076,NO
0.6218,NO
0.6218,NO
0.6202,NO
0.345,YES
0.3722,NO
1.0,YES
0.3642,NO
1.0,YES
0.2458,NO
0.3269,NO
0.3269,NO
0.3269,NO
0.4076,NO
0.4952,NO
0.4076,NO
0.4057,NO
0.2003,NO
0.2596,NO
1.0,YES
0.571,YES
0.4378,YES
1.0,YES
0.3709,NO
0.1381,NO
1.0,YES
0.2266,NO
