Similarity,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,YES
0.0134,NO
0.0,NO
0.0,NO
0.0092,NO
0.0,YES
0.0,YES
0.0069,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0014,YES
0.0288,NO
0.0,NO
0.009,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0271,YES
0.0,NO
0.0,NO
0.0294,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0023,NO
0.0,YES
0.0,NO
0.0648,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0014,NO
0.0,NO
0.0,YES
0.0662,YES
0.0,YES
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0219,NO
0.0,NO
0.1048,YES
0.0,YES
0.0258,YES
0.1288,YES
0.0,NO
0.0,NO
0.0879,YES
0.0,NO
0.0361,YES
0.0287,NO
0.0164,NO
0.0,NO
0.0,NO
0.0,NO
0.0652,YES
0.0,NO
0.0574,YES
0.0272,NO
0.07,YES
0.0,NO
0.0595,NO
0.074,NO
0.0,NO
0.0915,YES
0.0956,NO
0.0584,YES
0.0,NO
0.0,NO
0.0788,NO
0.0,NO
0.0174,NO
0.0646,NO
0.0,NO
0.0,NO
0.0389,NO
0.0,YES
0.0105,NO
0.0272,YES
0.0437,NO
0.0,NO
0.0,NO
0.0,NO
0.0714,NO
0.0,NO
0.0693,NO
0.0076,NO
0.059,NO
0.0,YES
0.0637,YES
0.0917,YES
0.0,YES
0.034,NO
0.068,YES
0.0483,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
