Similarity,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0011,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.004,YES
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0018,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0012,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0038,YES
0.0,NO
0.0137,NO
0.0,NO
0.0094,NO
0.0023,YES
0.0017,YES
0.0134,NO
0.0,NO
0.0,NO
0.0071,NO
0.0092,NO
0.0098,NO
0.0,NO
0.0031,YES
0.0142,NO
0.0,YES
0.0,NO
0.009,YES
0.0,NO
0.0017,NO
0.0,NO
0.0,NO
0.0,NO
0.0078,NO
0.0035,NO
0.0024,NO
0.0,NO
0.0,NO
0.0,YES
0.0056,YES
0.0,YES
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.005,NO
0.0083,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.011,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0044,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0079,YES
0.0096,YES
0.0052,YES
0.0105,YES
0.0,NO
0.0,NO
0.0126,YES
0.0,NO
0.0,YES
0.0,NO
0.0089,NO
0.0155,NO
0.0,NO
0.0,NO
0.0048,YES
0.0,NO
0.0,YES
0.0087,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0064,YES
0.0,NO
0.0077,YES
0.0094,NO
0.0072,NO
0.0058,NO
0.02,NO
0.022,NO
0.0084,NO
0.0054,NO
0.0017,NO
0.0084,NO
0.0,YES
0.0038,NO
0.0108,YES
0.0161,NO
0.0254,NO
0.0,NO
0.01,NO
0.0189,NO
0.0,NO
0.0153,NO
0.0114,NO
0.0,NO
0.0132,YES
0.0,YES
0.0052,YES
0.0,YES
0.0192,NO
0.0082,YES
0.006,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
