Similarity,Associated
1.0431,NO
0.7982,NO
1.1751,NO
2.0973,NO
1.1016,NO
1.3047,NO
0.5866,NO
0.5199,NO
1.1873,NO
3.6173,YES
0.4063,NO
4.0624,YES
1.0425,NO
0.8936,NO
0.5848,NO
0.6715,NO
0.5684,NO
0.5771,NO
0.8523,NO
0.4309,NO
1.2681,NO
3.7679,YES
3.4639,YES
4.035,YES
2.9011,YES
0.88,NO
3.4427,YES
1.1366,NO
2.7872,YES
2.7711,YES
1.4068,NO
1.1654,NO
0.7333,NO
1.7236,NO
2.0099,YES
2.4236,YES
1.0825,NO
0.5785,NO
0.9356,NO
0.6211,NO
0.8977,NO
1.1187,NO
0.5838,NO
2.7124,YES
0.7977,NO
2.0461,YES
0.5209,NO
2.1066,YES
0.4687,NO
0.6512,NO
0.7303,NO
0.7472,NO
0.3383,NO
0.8925,NO
0.6315,NO
1.1126,NO
0.3607,NO
0.5509,NO
1.7548,NO
2.0271,NO
1.0507,NO
2.0147,NO
0.3004,NO
0.3026,NO
1.5626,NO
3.3003,YES
1.1008,NO
3.6891,YES
0.9534,NO
0.8951,NO
0.4044,NO
0.4736,NO
0.8126,NO
0.2592,NO
0.765,NO
0.3379,NO
1.0804,NO
3.595,YES
3.1447,YES
3.8415,YES
2.4412,YES
1.5483,NO
3.2416,YES
1.7218,NO
1.2698,YES
1.289,YES
1.4274,NO
0.9298,NO
0.7098,NO
1.516,NO
1.2053,YES
1.1508,YES
1.2144,NO
0.4813,NO
1.1781,NO
0.4623,NO
0.7786,NO
0.9232,NO
0.6194,NO
1.1397,YES
1.0541,NO
0.7449,YES
0.7863,NO
0.9587,YES
0.6263,NO
0.7247,NO
0.6492,NO
0.7139,NO
0.1901,NO
1.1753,NO
0.8012,NO
1.3345,NO
0.7158,NO
0.5528,NO
2.0809,YES
4.4097,YES
3.5883,YES
2.1659,YES
0.787,NO
0.3678,NO
1.4663,YES
0.8323,NO
1.7677,YES
0.5157,NO
1.1738,NO
1.1746,NO
0.3585,NO
0.6392,NO
4.128,YES
0.3314,NO
4.1489,YES
0.4853,NO
3.5234,YES
0.8848,NO
1.557,NO
1.623,NO
0.3148,NO
1.5631,YES
1.0254,NO
1.2439,YES
0.6915,NO
0.7475,NO
1.3284,NO
2.0558,NO
1.0617,NO
1.3988,NO
0.4306,NO
0.446,NO
1.1403,NO
3.2508,YES
0.6849,NO
3.5532,YES
1.0366,NO
1.0276,NO
0.5941,NO
0.6236,NO
0.7469,NO
0.4672,NO
0.737,NO
0.3863,NO
1.231,NO
3.4786,YES
3.012,YES
3.6528,YES
2.4239,YES
1.0986,NO
3.1806,YES
1.2757,NO
0.8729,NO
0.5141,NO
1.9701,YES
3.9967,YES
3.002,YES
1.9902,YES
0.8582,NO
0.2296,NO
1.3656,YES
1.6313,NO
1.4159,YES
1.2541,NO
1.5794,NO
1.4555,NO
0.9511,NO
0.5012,NO
3.3849,YES
0.4868,NO
3.5039,YES
0.5909,NO
3.0576,YES
1.3674,NO
2.0756,NO
1.995,NO
1.0718,NO
1.3154,YES
1.8197,NO
1.3256,YES
1.1004,NO
0.9446,NO
2.3608,NO
2.486,NO
1.3902,NO
2.3846,NO
1.0711,NO
0.8454,NO
2.4954,NO
3.0405,YES
1.689,NO
3.5339,YES
1.7467,NO
1.231,NO
0.9342,NO
0.9646,NO
1.5513,NO
0.6817,NO
1.2871,NO
0.7332,NO
1.1593,NO
3.6903,YES
2.9689,YES
3.9005,YES
2.2879,YES
2.0476,NO
3.2711,YES
2.0757,NO
0.4223,NO
0.4107,NO
1.9613,NO
2.2908,NO
1.4895,NO
1.9203,NO
0.3656,NO
0.1737,NO
1.6321,NO
3.3045,YES
1.1082,NO
3.8608,YES
0.8463,NO
0.84,NO
0.3875,NO
0.3321,NO
0.9996,NO
0.3101,NO
1.1659,NO
0.3678,NO
1.3504,NO
3.6754,YES
3.3208,YES
3.8118,YES
2.9059,YES
1.3024,NO
3.3808,YES
1.7686,NO
0.7835,NO
0.6194,NO
1.6152,NO
2.2191,NO
1.1509,NO
2.149,NO
0.679,NO
0.4282,NO
1.6817,NO
3.4825,YES
0.9508,NO
3.6672,YES
1.3528,NO
1.1503,NO
1.0304,NO
0.475,NO
1.0144,NO
0.267,NO
0.812,NO
0.3895,NO
1.2998,NO
3.4279,YES
3.202,YES
3.8149,YES
2.6573,YES
1.5088,NO
3.2835,YES
1.5286,NO
1.1762,NO
1.0093,NO
1.6619,NO
2.3398,NO
1.4136,NO
1.5937,NO
0.6966,NO
0.7303,NO
1.2895,NO
3.3512,YES
0.8306,NO
3.8619,YES
1.0312,NO
0.7723,NO
0.3412,NO
0.9021,NO
1.1157,NO
0.6448,NO
1.1702,NO
0.6057,NO
1.4203,NO
3.698,YES
3.3356,YES
3.8306,YES
2.723,YES
1.0726,NO
3.5304,YES
1.5653,NO
1.1722,NO
1.1362,NO
5.5597,YES
2.1631,YES
1.7598,YES
6.7043,YES
1.6705,NO
0.7952,NO
6.1026,YES
1.1154,NO
5.1851,YES
1.4829,NO
2.1504,NO
2.3147,NO
0.9037,NO
0.9531,NO
2.323,YES
0.9473,NO
2.1655,YES
1.0987,NO
1.2232,YES
1.9304,NO
1.9405,NO
2.295,NO
1.3941,NO
5.1656,YES
2.455,NO
5.5789,YES
0.5297,NO
0.4477,NO
2.7125,YES
1.3143,NO
0.9051,NO
3.2662,YES
0.5604,NO
0.2768,NO
2.5508,YES
0.7254,NO
2.4049,YES
0.721,NO
1.0385,NO
0.9583,NO
0.4361,NO
0.5068,NO
1.6691,NO
0.2789,NO
1.3712,NO
0.4441,NO
0.8458,NO
0.8526,NO
1.0764,NO
1.0548,NO
0.5914,NO
2.3972,YES
1.1392,NO
2.6832,YES
1.355,NO
1.3065,NO
2.7101,YES
5.3801,YES
4.0464,YES
3.0049,YES
1.8134,NO
0.9752,NO
2.2562,YES
2.3172,NO
2.5717,YES
1.9034,NO
1.9228,NO
