Similarity,Associated
1.1361,NO
0.2442,NO
1.1026,NO
0.8208,NO
0.8953,NO
1.1572,NO
0.9942,NO
0.5062,NO
0.6897,NO
2.2922,YES
0.5393,NO
1.8048,YES
1.0448,NO
0.8795,NO
0.4766,NO
0.4895,NO
1.0402,NO
0.2731,NO
1.1384,NO
0.5314,NO
1.0527,NO
2.5451,YES
2.6873,YES
1.9244,YES
1.9138,YES
0.776,NO
2.6547,YES
0.6094,NO
1.3302,YES
1.6742,YES
0.8473,NO
1.0922,NO
0.7175,NO
1.0762,NO
1.2896,YES
0.7398,YES
0.9286,NO
0.6981,NO
0.7184,NO
0.5312,NO
0.377,NO
0.9183,NO
0.1098,NO
1.3566,YES
0.9905,NO
1.6087,YES
0.7874,NO
1.184,YES
0.9809,NO
0.7851,NO
0.804,NO
0.7732,NO
0.6433,NO
1.0892,NO
1.1179,NO
0.808,NO
1.4756,NO
0.2462,NO
1.3398,NO
1.164,NO
0.9279,NO
1.4904,NO
1.3998,NO
0.5576,NO
1.1637,NO
3.2512,YES
0.8941,NO
2.0782,YES
1.1666,NO
1.1525,NO
0.4222,NO
0.2654,NO
1.6665,NO
0.2633,NO
1.3826,NO
0.405,NO
0.9955,NO
3.4456,YES
3.7298,YES
2.8544,YES
2.7377,YES
1.2289,NO
3.1782,YES
0.9555,NO
2.8883,YES
3.2359,YES
0.89,NO
1.5256,NO
1.0156,NO
1.3566,NO
1.8815,YES
2.2177,YES
1.2487,NO
0.5937,NO
1.0224,NO
0.3983,NO
0.9451,NO
1.5413,NO
0.5853,NO
2.3138,YES
1.3614,NO
2.8584,YES
1.2082,NO
2.4403,YES
1.2234,NO
0.6503,NO
0.7733,NO
0.8044,NO
0.7568,NO
1.4365,NO
0.962,NO
1.088,NO
1.6297,NO
0.5369,NO
2.2503,YES
4.857,YES
3.9866,YES
3.0779,YES
1.2608,NO
0.2079,NO
2.4799,YES
1.4803,NO
1.9136,YES
0.3792,NO
1.518,NO
1.4708,NO
0.6695,NO
0.5971,NO
4.1499,YES
0.2933,NO
4.2763,YES
0.7199,NO
4.1602,YES
1.2101,NO
1.8613,NO
1.3108,NO
1.2033,NO
2.5422,YES
1.1372,NO
1.5825,YES
1.8667,NO
0.4817,NO
1.8889,NO
1.4289,NO
1.2958,NO
2.2424,NO
1.5475,NO
0.7466,NO
1.9094,NO
3.3042,YES
1.3339,NO
2.0784,YES
1.3679,NO
1.2621,NO
0.5239,NO
0.6347,NO
2.1978,NO
0.4165,NO
1.7608,NO
0.6929,NO
1.3863,NO
3.622,YES
3.8496,YES
2.9527,YES
2.7266,YES
1.9175,NO
3.3666,YES
1.5096,NO
1.3517,NO
0.5614,NO
1.4814,YES
3.9951,YES
3.2159,YES
1.8263,YES
0.9702,NO
0.2176,NO
1.0018,YES
1.3277,NO
0.7355,YES
0.514,NO
0.8936,NO
0.8326,NO
0.4312,NO
0.7081,NO
3.7296,YES
0.5427,NO
3.3496,YES
0.5958,NO
3.6538,YES
1.0386,NO
1.7007,NO
1.0311,NO
0.8044,NO
1.2316,YES
1.2065,NO
0.6896,YES
1.4331,NO
0.4394,NO
1.6371,NO
1.0676,NO
0.7517,NO
1.8078,NO
1.3375,NO
0.4685,NO
1.3907,NO
3.0807,YES
1.13,NO
2.1894,YES
1.7007,NO
1.3591,NO
0.923,NO
0.5829,NO
1.5138,NO
0.4393,NO
1.2871,NO
0.653,NO
0.9944,NO
3.4649,YES
3.6574,YES
2.5202,YES
2.636,YES
1.8537,NO
3.4746,YES
1.0865,NO
1.4086,NO
0.4806,NO
1.6045,NO
1.1594,NO
1.1274,NO
2.214,NO
1.2866,NO
0.4815,NO
1.9563,NO
3.1224,YES
1.109,NO
1.918,YES
1.2105,NO
1.2153,NO
0.3152,NO
0.4869,NO
1.7472,NO
0.4635,NO
1.3086,NO
0.5552,NO
0.9933,NO
3.5138,YES
3.3734,YES
3.2998,YES
2.3463,YES
1.6733,NO
3.1312,YES
1.2616,NO
1.4709,NO
0.421,NO
1.6167,NO
1.3335,NO
1.0685,NO
2.1569,NO
1.397,NO
0.4158,NO
1.8421,NO
3.1267,YES
1.3461,NO
2.0496,YES
1.0978,NO
1.2603,NO
0.2718,NO
0.5203,NO
1.5005,NO
0.3869,NO
1.3218,NO
0.5962,NO
1.2317,NO
3.4412,YES
3.5447,YES
3.0079,YES
2.7231,YES
1.9295,NO
3.2866,YES
1.2519,NO
1.2862,NO
0.1411,NO
1.2162,NO
0.9368,NO
0.8209,NO
1.2646,NO
1.1749,NO
0.3845,NO
1.2185,NO
3.0476,YES
0.8895,NO
2.0232,YES
0.8541,NO
0.8657,NO
0.2388,NO
0.2307,NO
1.3613,NO
0.0552,NO
1.0716,NO
0.2781,NO
0.7019,NO
3.3631,YES
3.581,YES
2.7229,YES
2.5415,YES
1.2642,NO
3.1104,YES
0.8222,NO
2.2428,NO
1.278,NO
2.7191,YES
1.0671,YES
1.2183,YES
4.0701,YES
1.5542,NO
0.9314,NO
4.3282,YES
1.016,NO
3.1879,YES
0.2866,NO
1.2454,NO
1.6699,NO
0.2438,NO
0.9688,NO
1.8915,YES
0.7927,NO
1.408,YES
1.0087,NO
1.3852,YES
1.2198,NO
1.2147,NO
1.2588,NO
0.8707,NO
4.1622,YES
0.7968,NO
3.5156,YES
2.1535,NO
0.7298,NO
3.5858,YES
1.6991,NO
1.292,NO
5.404,YES
1.534,NO
0.5643,NO
4.962,YES
1.4363,NO
4.0411,YES
0.5183,NO
2.101,NO
2.0646,NO
0.6244,NO
0.7639,NO
2.8736,NO
0.2339,NO
2.2584,NO
0.6938,NO
2.0798,NO
1.7151,NO
1.9765,NO
1.8571,NO
1.3125,NO
4.8985,YES
1.7277,NO
4.0441,YES
2.0721,NO
0.9724,NO
2.8,YES
5.1932,YES
3.9307,YES
3.7547,YES
1.265,NO
0.4859,NO
2.699,YES
1.5622,NO
2.3328,YES
0.4495,NO
1.5886,NO
1.7096,NO
0.9912,NO
1.2438,NO
4.5155,YES
0.8632,NO
4.1782,YES
1.2729,NO
4.4961,YES
1.2094,NO
2.0396,NO
1.1203,NO
1.5553,NO
3.4215,YES
1.5472,NO
2.0081,YES
1.4244,NO
0.4215,NO
2.6453,YES
1.0211,NO
0.7643,NO
3.6361,YES
