Similarity,Associated
0.5312,NO
0.264,NO
0.5524,NO
0.2255,NO
0.3913,NO
0.6781,NO
0.4487,NO
0.1856,NO
0.5185,NO
1.2911,YES
0.5223,NO
0.4149,YES
0.2865,NO
0.3638,NO
0.3052,NO
0.4657,NO
0.2134,NO
0.287,NO
0.4198,NO
0.229,NO
0.2681,NO
1.4713,YES
1.6158,YES
0.7014,YES
1.2551,YES
0.5065,NO
0.773,YES
0.3204,NO
1.6954,YES
1.2413,YES
0.6913,NO
0.4511,NO
0.3585,NO
0.6412,NO
1.2708,YES
0.4693,YES
0.5127,NO
0.2769,NO
0.4951,NO
0.1887,NO
0.4171,NO
0.3945,NO
0.2964,NO
2.1902,YES
0.2893,NO
1.6324,YES
0.4381,NO
1.445,YES
0.4319,NO
0.1371,NO
0.1656,NO
0.3258,NO
0.1156,NO
0.4616,NO
0.2286,NO
0.2717,NO
0.4574,NO
0.1045,NO
0.5171,NO
0.571,NO
0.8493,NO
0.8998,NO
0.2515,NO
0.1646,NO
0.8165,NO
1.3604,YES
0.8903,NO
0.5481,YES
0.3913,NO
0.1986,NO
0.138,NO
0.2437,NO
0.3896,NO
0.1371,NO
0.5441,NO
0.1303,NO
0.717,NO
2.2786,YES
3.0367,YES
2.0823,YES
1.677,YES
0.9921,NO
2.5823,YES
0.3904,NO
2.132,YES
0.4195,YES
0.3954,NO
0.3622,NO
0.3077,NO
0.4108,NO
1.2253,YES
0.4536,YES
0.1959,NO
0.1537,NO
0.0588,NO
0.1101,NO
0.2256,NO
0.4533,NO
0.2358,NO
2.1602,YES
0.3737,NO
2.0929,YES
0.2456,NO
1.4183,YES
0.2148,NO
0.0678,NO
0.1874,NO
0.2484,NO
0.0389,NO
0.0702,NO
0.1892,NO
0.0561,NO
0.3725,NO
0.248,NO
0.7515,YES
1.6895,YES
2.9399,YES
0.8458,YES
0.4848,NO
0.1923,NO
0.9943,YES
0.4215,NO
1.1567,YES
0.237,NO
0.4746,NO
0.3253,NO
0.3653,NO
0.39,NO
2.1974,YES
0.3504,NO
1.6186,YES
0.4023,NO
1.915,YES
0.5659,NO
0.5256,NO
0.363,NO
0.5782,NO
0.9809,YES
0.3529,NO
0.5386,YES
0.6186,NO
0.1063,NO
0.3357,NO
0.1841,NO
0.3954,NO
0.4447,NO
0.3478,NO
0.2001,NO
0.313,NO
1.1863,YES
0.2155,NO
0.4418,YES
0.3441,NO
0.2482,NO
0.1127,NO
0.5104,NO
0.1311,NO
0.4447,NO
0.0703,NO
0.2694,NO
0.2274,NO
1.9499,YES
2.2078,YES
1.6316,YES
1.052,YES
0.2983,NO
1.8235,YES
0.1368,NO
0.5011,NO
0.2565,NO
0.733,YES
1.8594,YES
2.8524,YES
1.4928,YES
0.5746,NO
0.2373,NO
1.5897,YES
0.6083,NO
1.5281,YES
0.2762,NO
0.3939,NO
0.3649,NO
0.2473,NO
0.506,NO
1.9971,YES
0.4204,NO
2.4613,YES
0.3723,NO
2.5107,YES
1.0014,NO
1.1176,NO
0.8066,NO
0.4292,NO
1.5361,YES
0.8093,NO
0.5629,YES
0.5872,NO
0.1628,NO
0.6667,NO
0.2237,NO
0.4481,NO
0.7559,NO
0.4847,NO
0.2206,NO
0.6911,NO
1.0709,YES
0.8453,NO
0.4027,YES
0.4042,NO
0.205,NO
0.2927,NO
0.46,NO
0.2187,NO
0.4379,NO
0.4057,NO
0.2791,NO
0.3685,NO
1.7839,YES
2.0434,YES
1.5155,YES
0.8914,YES
0.8703,NO
1.6087,YES
0.467,NO
0.5767,NO
0.2221,NO
0.334,NO
0.465,NO
0.6676,NO
0.9642,NO
0.4098,NO
0.1861,NO
0.7705,NO
1.387,YES
0.6551,NO
0.5853,YES
0.3556,NO
0.1702,NO
0.1362,NO
0.4027,NO
0.1891,NO
0.2573,NO
0.3585,NO
0.2228,NO
0.5742,NO
2.6027,YES
3.3378,YES
2.5337,YES
1.5887,YES
0.7762,NO
3.0671,YES
0.257,NO
0.7579,NO
0.1907,NO
0.9471,NO
0.5831,NO
0.8581,NO
1.3682,NO
0.4903,NO
0.297,NO
1.2598,NO
2.1495,YES
1.3291,NO
0.8315,YES
0.5027,NO
0.3355,NO
0.1744,NO
0.4927,NO
0.31,NO
0.34,NO
0.504,NO
0.3174,NO
0.7328,NO
3.3958,YES
4.1652,YES
2.6577,YES
2.3903,YES
1.3884,NO
3.1782,YES
0.4442,NO
0.5054,NO
0.0926,NO
0.3927,NO
0.1488,NO
0.4302,NO
0.5051,NO
0.3662,NO
0.1327,NO
0.4533,NO
0.8485,YES
0.4247,NO
0.334,YES
0.1317,NO
0.1702,NO
0.0355,NO
0.3635,NO
0.2954,NO
0.3357,NO
0.1277,NO
0.1877,NO
0.1847,NO
1.3854,YES
1.5978,YES
1.1271,YES
0.8128,YES
0.44,NO
1.2551,YES
0.1564,NO
0.6077,NO
0.1097,NO
2.8662,YES
0.6654,YES
0.6681,YES
3.7097,YES
0.7562,NO
0.2674,NO
2.5844,YES
0.3492,NO
2.8271,YES
0.1736,NO
0.1602,NO
0.4718,NO
0.1499,NO
0.3237,NO
0.5884,YES
0.3718,NO
1.265,YES
0.393,NO
1.3917,YES
0.4755,NO
0.5378,NO
0.4967,NO
0.2406,NO
2.8018,YES
0.4448,NO
1.2884,YES
0.2314,NO
0.1887,NO
1.9388,YES
0.426,NO
0.4296,NO
1.0229,YES
0.1936,NO
0.2045,NO
1.147,YES
0.2589,NO
1.6757,YES
0.2044,NO
0.4042,NO
0.3141,NO
0.1557,NO
0.3095,NO
0.2788,NO
0.2257,NO
0.4369,NO
0.2931,NO
0.3551,NO
0.2947,NO
0.5624,NO
0.1758,NO
0.5427,NO
1.6598,YES
0.5111,NO
0.5768,YES
0.437,NO
0.3278,NO
1.0934,YES
2.0238,YES
3.8103,YES
1.9279,YES
0.6424,NO
0.2551,NO
1.8971,YES
0.8051,NO
1.9921,YES
0.3874,NO
0.4471,NO
0.5283,NO
0.2732,NO
0.3647,NO
2.9196,YES
0.314,NO
2.7531,YES
0.3664,NO
2.8605,YES
1.128,NO
1.0967,NO
0.6904,NO
0.594,NO
1.881,YES
0.4632,NO
0.7148,YES
0.2832,NO
0.0741,NO
1.8436,YES
0.2451,NO
0.3546,NO
1.1915,YES
0.3037,NO
0.1374,NO
1.1837,YES
0.2787,NO
1.6588,YES
0.1344,NO
0.2876,NO
0.1987,NO
0.1781,NO
