Similarity,Associated
0.3435,NO
0.2669,NO
0.5387,NO
0.5399,NO
0.6145,NO
0.9623,NO
0.7209,NO
0.1513,NO
0.3241,NO
1.4603,YES
0.4343,NO
2.3215,YES
0.5468,NO
0.7392,NO
0.1797,NO
0.3631,NO
0.701,NO
0.3475,NO
0.8782,NO
0.3564,NO
0.4999,NO
2.318,YES
2.0582,YES
1.6953,YES
0.877,YES
0.7454,NO
1.0986,YES
0.5321,NO
0.7263,YES
0.3066,YES
0.357,NO
0.4858,NO
0.3368,NO
0.6619,NO
0.7809,YES
1.1926,YES
0.2244,NO
0.2797,NO
0.3358,NO
0.145,NO
0.259,NO
0.3268,NO
0.1095,NO
1.6082,YES
0.375,NO
0.8962,YES
0.5095,NO
1.4577,YES
0.3289,NO
0.168,NO
0.2253,NO
0.1055,NO
0.2114,NO
0.4471,NO
0.2472,NO
0.3575,NO
0.3648,NO
0.1929,NO
0.4801,NO
0.473,NO
0.5219,NO
0.8171,NO
0.4825,NO
0.1743,NO
0.2547,NO
2.1429,YES
0.2139,NO
2.6133,YES
0.4983,NO
0.6372,NO
0.1152,NO
0.2964,NO
0.5779,NO
0.2075,NO
0.801,NO
0.2299,NO
0.5337,NO
2.5773,YES
2.6492,YES
1.8408,YES
1.582,YES
0.776,NO
1.7967,YES
0.4737,NO
1.1476,YES
1.0836,YES
0.3433,NO
0.1272,NO
0.1315,NO
0.6162,NO
1.4098,YES
1.197,YES
0.3188,NO
0.1185,NO
0.464,NO
0.2722,NO
0.118,NO
0.259,NO
0.068,NO
1.4836,YES
0.0454,NO
0.7876,YES
0.1427,NO
0.7273,YES
0.1281,NO
0.2726,NO
0.1768,NO
0.1779,NO
0.1291,NO
0.5498,NO
0.0339,NO
0.5006,NO
0.7522,NO
0.1209,NO
1.5563,YES
3.0876,YES
3.4528,YES
2.3923,YES
0.5152,NO
0.2677,NO
0.8323,YES
0.4305,NO
1.7042,YES
0.508,NO
0.6717,NO
0.7835,NO
0.2333,NO
0.3561,NO
2.655,YES
0.3112,NO
3.5958,YES
0.3195,NO
2.2363,YES
0.3794,NO
0.7894,NO
0.8079,NO
0.1921,NO
1.0195,YES
0.5436,NO
1.7823,YES
0.4981,NO
0.2314,NO
0.8888,NO
0.3917,NO
0.6248,NO
0.8997,NO
0.5069,NO
0.2019,NO
0.6318,NO
2.0806,YES
0.473,NO
2.5618,YES
0.5089,NO
0.6235,NO
0.083,NO
0.2388,NO
0.3532,NO
0.254,NO
0.6239,NO
0.1549,NO
0.339,NO
2.5441,YES
1.7096,YES
1.888,YES
1.7015,YES
0.7284,NO
