Similarity,Associated
0.9862,NO
0.4282,NO
0.7695,NO
1.4212,NO
1.0321,NO
0.9323,NO
0.7609,NO
0.4547,NO
0.7624,NO
3.2375,YES
0.5239,NO
2.6538,YES
0.4242,NO
0.8555,NO
0.7285,NO
1.0528,NO
1.8419,NO
0.7176,NO
0.6355,NO
0.9261,NO
1.1944,NO
2.4674,YES
2.7866,YES
3.0486,YES
2.6659,YES
0.5898,NO
2.4907,YES
0.5771,NO
3.2206,YES
1.3317,YES
1.2558,NO
0.83,NO
0.7666,NO
0.8927,NO
2.837,YES
2.0886,YES
1.1843,NO
0.9067,NO
1.144,NO
0.9324,NO
0.5052,NO
1.1736,NO
0.6819,NO
3.122,YES
1.1478,NO
2.3104,YES
0.7489,NO
3.2236,YES
0.7771,NO
0.7492,NO
0.8529,NO
1.0153,NO
0.8731,NO
1.013,NO
0.7768,NO
0.87,NO
0.6869,NO
0.3328,NO
1.2959,NO
1.4611,NO
1.085,NO
1.587,NO
0.5299,NO
0.2251,NO
1.1044,NO
3.5537,YES
1.1081,NO
2.7302,YES
0.0238,NO
0.5696,NO
0.3837,NO
0.6618,NO
1.886,NO
0.3946,NO
0.7785,NO
0.37,NO
1.3168,NO
2.7165,YES
2.9757,YES
3.3849,YES
2.9258,YES
0.891,NO
2.6971,YES
0.962,NO
2.2951,YES
1.3654,YES
0.6939,NO
0.5542,NO
0.6752,NO
0.53,NO
1.9973,YES
1.1228,YES
1.4254,NO
0.1007,NO
0.8917,NO
0.2907,NO
1.6914,NO
1.7949,NO
1.5271,NO
2.2023,YES
1.0106,NO
1.4634,YES
0.9957,NO
2.5072,YES
0.8454,NO
0.1639,NO
0.2814,NO
0.172,NO
0.49,NO
0.8932,NO
0.4586,NO
0.6072,NO
0.5477,NO
0.3734,NO
1.1785,YES
3.3647,YES
4.0377,YES
1.3553,YES
0.4528,NO
0.2699,NO
1.4794,YES
0.5091,NO
1.2964,YES
0.2607,NO
0.3376,NO
0.6892,NO
0.5353,NO
0.4059,NO
3.9601,YES
0.3722,NO
4.0807,YES
0.5273,NO
3.589,YES
0.047,NO
0.1246,NO
0.5714,NO
0.222,NO
0.8299,YES
0.4242,NO
0.8076,YES
0.8144,NO
0.318,NO
1.6302,NO
1.9323,NO
1.4851,NO
1.9737,NO
0.5343,NO
0.5149,NO
1.8034,NO
3.8078,YES
1.7653,NO
2.792,YES
0.6197,NO
1.1199,NO
1.0392,NO
0.6,NO
2.1698,NO
0.5185,NO
1.1543,NO
0.6777,NO
1.576,NO
2.817,YES
2.9593,YES
3.7196,YES
3.1013,YES
1.1771,NO
2.9975,YES
1.0679,NO
0.5877,NO
0.4778,NO
1.4195,YES
4.1001,YES
4.4412,YES
2.1338,YES
0.4825,NO
0.2351,NO
2.1998,YES
1.8762,NO
1.7548,YES
1.4411,NO
0.802,NO
1.2383,NO
