Similarity,Associated
0.2519,NO
0.4565,NO
0.8548,NO
0.7925,NO
1.2677,NO
1.174,NO
0.5623,NO
0.1206,NO
0.7428,NO
2.1613,YES
0.3148,NO
2.0698,YES
0.5501,NO
0.7478,NO
0.4105,NO
0.2349,NO
1.267,NO
0.4513,NO
1.0184,NO
0.3805,NO
1.27,NO
2.7683,YES
2.4634,YES
2.6607,YES
1.935,YES
0.2728,NO
2.7118,YES
0.6518,NO
2.405,YES
2.4385,YES
0.5634,NO
0.6851,NO
0.7692,NO
0.1056,NO
2.1078,YES
1.4225,YES
0.0785,NO
0.6267,NO
0.1313,NO
0.6895,NO
0.1445,NO
0.2222,NO
0.1745,NO
1.3888,YES
0.6311,NO
2.4435,YES
0.6538,NO
2.2801,YES
0.6503,NO
0.7473,NO
0.6971,NO
0.583,NO
0.5232,NO
0.0886,NO
0.6382,NO
0.1652,NO
0.2027,NO
0.458,NO
0.689,NO
1.1954,NO
1.0112,NO
1.1206,NO
0.4291,NO
0.0327,NO
0.8117,NO
3.4091,YES
0.0157,NO
3.3042,YES
0.2522,NO
0.4765,NO
0.0,NO
0.169,NO
1.3022,NO
0.6025,NO
0.6247,NO
0.1331,NO
1.3663,NO
4.0,YES
3.6617,YES
3.6983,YES
2.5082,YES
0.3514,NO
4.0007,YES
0.6245,NO
2.7992,YES
3.1593,YES
1.9819,NO
0.1699,NO
0.3601,NO
2.1556,NO
2.3278,YES
1.7419,YES
1.8453,NO
0.2041,NO
1.9133,NO
0.5588,NO
1.7677,NO
1.7426,NO
1.758,NO
1.6128,YES
0.7413,NO
2.5406,YES
0.7517,NO
3.1716,YES
0.3655,NO
0.6561,NO
0.509,NO
0.3633,NO
0.6008,NO
1.8814,NO
0.9152,NO
1.9435,NO
0.5844,NO
0.8169,NO
2.0218,YES
3.9483,YES
4.4026,YES
2.1578,YES
1.0227,NO
0.4413,NO
1.9994,YES
0.5611,NO
1.931,YES
0.7963,NO
1.3658,NO
1.376,NO
1.2471,NO
0.4372,NO
4.6859,YES
0.6431,NO
4.3481,YES
0.9337,NO
3.677,YES
1.0099,NO
1.3493,NO
1.3997,NO
1.0381,NO
2.2149,YES
0.9645,NO
2.2832,YES
0.4475,NO
0.6568,NO
1.246,NO
1.216,NO
1.1415,NO
1.7278,NO
0.6295,NO
0.3289,NO
1.1378,NO
2.9075,YES
0.7598,NO
2.8717,YES
0.2669,NO
0.4756,NO
0.0577,NO
0.2507,NO
1.1708,NO
0.685,NO
0.7372,NO
0.4668,NO
1.3379,NO
3.3673,YES
2.8701,YES
2.9979,YES
2.3421,YES
1.3051,NO
3.7896,YES
1.0846,NO
0.4651,NO
0.7209,NO
1.429,YES
4.4162,YES
4.5303,YES
1.6671,YES
0.7186,NO
0.3581,NO
1.3957,YES
1.6545,NO
1.3488,YES
1.9257,NO
1.3633,NO
1.5118,NO
1.2475,NO
0.3015,NO
4.4407,YES
0.5555,NO
4.2658,YES
0.6664,NO
3.7173,YES
1.9994,NO
2.2015,NO
1.9532,NO
1.6227,NO
1.8599,YES
1.9758,NO
1.9443,YES
0.5679,NO
0.8317,NO
1.8016,NO
1.0667,NO
1.1919,NO
2.0673,NO
0.9281,NO
0.5822,NO
1.8134,NO
2.6827,YES
1.1623,NO
2.7442,YES
0.8707,NO
0.965,NO
0.6058,NO
0.4037,NO
1.3934,NO
0.8009,NO
1.0512,NO
0.9993,NO
1.3675,NO
3.4692,YES
3.0112,YES
3.1725,YES
2.5135,YES
1.4364,NO
3.7778,YES
1.8223,NO
0.3277,NO
0.5501,NO
1.4933,NO
1.1723,NO
1.0087,NO
1.8592,NO
0.6009,NO
0.1656,NO
1.7043,NO
3.1297,YES
0.9747,NO
3.0939,YES
0.5495,NO
0.6729,NO
0.2064,NO
0.3262,NO
1.3587,NO
0.726,NO
0.5785,NO
0.4132,NO
1.5072,NO
3.6445,YES
3.2443,YES
3.6949,YES
2.6571,YES
1.3015,NO
3.9499,YES
1.4158,NO
0.6722,NO
0.9491,NO
1.4143,NO
1.2569,NO
1.2765,NO
1.9378,NO
1.0389,NO
0.4772,NO
1.4371,NO
2.9674,YES
0.7787,NO
2.8874,YES
0.3579,NO
0.5992,NO
0.1167,NO
0.3955,NO
1.3807,NO
0.9653,NO
0.8786,NO
0.5923,NO
1.3784,NO
3.6615,YES
3.209,YES
3.3448,YES
2.5833,YES
1.2327,NO
3.937,YES
1.4053,NO
0.4253,NO
0.7057,NO
0.9405,NO
1.5885,NO
1.7273,NO
1.5029,NO
0.7624,NO
0.0646,NO
0.9447,NO
3.3137,YES
0.3805,NO
3.1621,YES
0.5625,NO
0.7347,NO
0.3737,NO
0.3564,NO
1.7379,NO
0.7224,NO
1.2143,NO
0.4351,NO
1.8267,NO
3.9446,YES
3.5949,YES
3.5015,YES
2.5508,YES
0.6898,NO
3.9632,YES
0.853,NO
0.8903,NO
1.0632,NO
5.3739,YES
1.4457,YES
1.4444,YES
5.649,YES
1.7562,NO
0.6648,NO
5.061,YES
0.445,NO
5.2782,YES
0.6884,NO
1.9287,NO
1.1561,NO
1.3471,NO
0.8272,NO
2.8165,YES
0.8009,NO
2.3943,YES
1.6406,NO
1.7189,YES
1.5002,NO
1.0077,NO
2.4132,NO
1.7846,NO
5.7817,YES
2.4507,NO
5.0904,YES
0.3952,NO
0.7451,NO
3.1694,YES
1.6002,NO
1.4263,NO
3.5351,YES
1.2621,NO
0.3889,NO
3.614,YES
0.6295,NO
3.1801,YES
0.9349,NO
1.8049,NO
1.5202,NO
1.4645,NO
0.4867,NO
2.5566,NO
0.4483,NO
2.1094,NO
0.8596,NO
1.763,NO
1.4784,NO
1.2393,NO
1.9302,NO
1.6319,NO
3.3134,YES
1.6796,NO
3.6725,YES
0.3306,NO
0.2207,NO
2.9048,YES
