Requirement,Class,Similarity,Associated
13.txt,147.txt,0.0939,0.0
13.txt,153.txt,0.1091,0.0
13.txt,116.txt,0.0151,0.0
13.txt,134.txt,0.0367,0.0
13.txt,159.txt,0.1965,0.0
13.txt,145.txt,0.0175,0.0
13.txt,146.txt,0.0,0.0
13.txt,158.txt,0.0804,0.0
13.txt,132.txt,0.0159,0.0
13.txt,140.txt,1.0,1.0
13.txt,154.txt,0.1144,0.0
13.txt,141.txt,1.0,1.0
13.txt,120.txt,0.3126,0.0
13.txt,142.txt,0.3391,0.0
13.txt,152.txt,0.3391,0.0
13.txt,124.txt,0.1438,0.0
13.txt,148.txt,0.1907,0.0
13.txt,123.txt,0.0,0.0
13.txt,117.txt,0.4343,0.0
13.txt,122.txt,0.0975,0.0
13.txt,138.txt,0.1755,0.0
13.txt,155.txt,1.0,1.0
13.txt,150.txt,1.0,1.0
13.txt,118.txt,1.0,1.0
13.txt,156.txt,1.0,1.0
13.txt,136.txt,0.074,0.0
13.txt,149.txt,1.0,1.0
13.txt,114.txt,0.3939,0.0
5.txt,147.txt,1.0,1.0
5.txt,153.txt,1.0,1.0
5.txt,116.txt,0.2853,0.0
5.txt,134.txt,0.0319,0.0
5.txt,159.txt,0.0,0.0
5.txt,145.txt,0.2853,0.0
5.txt,146.txt,1.0,1.0
5.txt,158.txt,1.0,1.0
5.txt,132.txt,0.2853,0.0
5.txt,140.txt,0.0255,0.0
5.txt,154.txt,0.2853,0.0
5.txt,141.txt,0.0422,0.0
5.txt,120.txt,0.1441,0.0
5.txt,142.txt,0.0,0.0
5.txt,152.txt,0.1158,0.0
5.txt,124.txt,1.0,1.0
5.txt,148.txt,0.0869,0.0
5.txt,123.txt,1.0,1.0
5.txt,117.txt,0.0,0.0
5.txt,122.txt,0.8571,1.0
5.txt,138.txt,0.0,0.0
5.txt,155.txt,0.0,0.0
5.txt,150.txt,0.0495,0.0
5.txt,118.txt,0.1987,0.0
5.txt,156.txt,0.0055,0.0
5.txt,136.txt,0.2853,0.0
5.txt,149.txt,0.1619,0.0
5.txt,114.txt,0.2853,0.0
27.txt,147.txt,0.216,0.0
27.txt,153.txt,0.216,0.0
27.txt,116.txt,0.1679,0.0
27.txt,134.txt,0.3076,0.0
27.txt,159.txt,0.3186,0.0
27.txt,145.txt,0.2097,0.0
27.txt,146.txt,0.216,0.0
27.txt,158.txt,0.216,0.0
27.txt,132.txt,0.3063,0.0
27.txt,140.txt,1.0,1.0
27.txt,154.txt,0.3451,0.0
27.txt,141.txt,1.0,1.0
27.txt,120.txt,0.1236,0.0
27.txt,142.txt,0.2391,0.0
27.txt,152.txt,0.025,0.0
27.txt,124.txt,0.216,0.0
27.txt,148.txt,0.5752,0.0
27.txt,123.txt,0.216,0.0
27.txt,117.txt,0.4343,0.0
27.txt,122.txt,0.1851,0.0
27.txt,138.txt,0.3076,0.0
27.txt,155.txt,1.0,1.0
27.txt,150.txt,1.0,1.0
27.txt,118.txt,1.0,1.0
27.txt,156.txt,1.0,1.0
27.txt,136.txt,0.3063,0.0
27.txt,149.txt,1.0,1.0
27.txt,114.txt,0.3939,0.0
4.txt,147.txt,1.0,1.0
4.txt,153.txt,1.0,1.0
4.txt,116.txt,0.256,0.0
4.txt,134.txt,0.0,0.0
4.txt,159.txt,0.0,0.0
4.txt,145.txt,0.4748,0.0
4.txt,146.txt,1.0,1.0
4.txt,158.txt,1.0,1.0
4.txt,132.txt,0.4748,0.0
4.txt,140.txt,0.0299,0.0
4.txt,154.txt,0.4748,0.0
4.txt,141.txt,0.0422,0.0
4.txt,120.txt,0.2052,0.0
4.txt,142.txt,0.0,0.0
4.txt,152.txt,0.1411,0.0
4.txt,124.txt,1.0,1.0
4.txt,148.txt,0.0,0.0
4.txt,123.txt,1.0,1.0
4.txt,117.txt,0.1497,0.0
4.txt,122.txt,1.0,1.0
4.txt,138.txt,0.081,0.0
4.txt,155.txt,0.1096,0.0
4.txt,150.txt,0.0,0.0
4.txt,118.txt,0.1503,0.0
4.txt,156.txt,0.1587,0.0
4.txt,136.txt,0.4748,0.0
4.txt,149.txt,0.0878,0.0
4.txt,114.txt,0.4748,0.0
15.txt,147.txt,0.105,0.0
15.txt,153.txt,0.1304,0.0
15.txt,116.txt,0.5483,1.0
15.txt,134.txt,1.0,1.0
15.txt,159.txt,1.0,1.0
15.txt,145.txt,0.6847,1.0
15.txt,146.txt,0.0,0.0
15.txt,158.txt,0.0527,0.0
15.txt,132.txt,1.0,1.0
15.txt,140.txt,0.3019,0.0
