DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_MULTI_VSM_38,Associated
0.0737,0.32,NO
0.0652,0.2852,NO
0.1144,0.2809,NO
0.2164,0.2804,NO
0.0671,0.3069,NO
0.0906,0.2323,NO
0.0589,0.3056,NO
0.0679,0.2852,NO
0.1689,0.3138,NO
0.2469,1.0,YES
0.0616,0.2887,NO
0.33799999999999997,1.0,YES
0.2427,0.3555,NO
0.2231,0.3511,NO
0.2223,0.3555,NO
0.1142,0.3282,NO
0.0706,0.4327,NO
0.1109,0.318,NO
0.0747,0.2383,NO
0.2179,0.2852,NO
0.1147,0.4378,NO
0.0779,1.0,YES
0.0804,0.9096,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.314,NO
0.0716,1.0,YES
0.1205,0.2323,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.2893,NO
0.1579,0.2044,NO
0.1148,0.1473,NO
0.1112,0.3034,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.2069,NO
0.1056,0.1692,NO
0.0981,0.1581,NO
0.1058,0.1789,NO
0.1797,0.2318,NO
0.1526,0.301,NO
0.1551,0.1872,NO
0.2811,1.0,YES
0.0766,0.1162,NO
0.1126,0.8716,YES
0.0341,0.1168,NO
0.3399,1.0,YES
0.0412,0.087,NO
0.1212,0.1484,NO
0.0769,0.2456,NO
0.1235,0.1789,NO
0.0802,0.1087,NO
0.1903,0.3034,NO
0.1119,0.2142,NO
0.1008,0.2287,NO
0.0886,0.32,NO
0.1534,0.0995,NO
0.1331,0.5722,NO
0.2865,0.3822,NO
0.1512,0.31,NO
0.1666,0.6333,NO
0.1465,0.3258,NO
0.0509,0.0958,NO
0.2187,0.4753,NO
0.4574,1.0,YES
0.1603,0.4964,NO
0.2015,1.0,YES
0.205,0.3104,NO
0.2168,0.3824,NO
0.2136,0.2445,NO
0.1919,0.3282,NO
0.1533,0.4327,NO
0.1268,0.318,NO
0.1947,0.3844,NO
0.1755,0.126,NO
0.2202,0.4378,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.314,NO
0.1927,1.0,YES
0.1251,0.1493,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.2893,NO
0.1662,0.2044,NO
0.1507,0.1473,NO
0.1441,0.2862,NO
0.3435,0.5161,YES
0.1243,0.7333,YES
0.1731,0.2012,NO
0.0952,0.2069,NO
0.1364,0.1594,NO
0.0887,0.2187,NO
0.2289,0.2824,NO
0.2088,0.3667,NO
0.2075,0.2281,NO
0.1923,1.0,YES
0.0927,0.1416,NO
0.0821,0.8716,YES
0.0311,0.1102,NO
0.3081,1.0,YES
0.0406,0.1155,NO
0.1251,0.1815,NO
0.091,0.2456,NO
0.11800000000000001,0.2187,NO
0.1053,0.1087,NO
0.2201,0.2862,NO
0.1351,0.1778,NO
0.1328,0.1923,NO
0.0724,0.3011,NO
0.0244,0.2011,NO
0.1404,0.5033,YES
0.3348,0.7797,YES
0.2937,1.0,YES
0.14300000000000002,1.0,YES
0.0826,0.2067,NO
0.013000000000000001,0.2011,NO
0.2103,1.0,YES
0.1395,0.2975,NO
0.1325,1.0,YES
0.1443,0.1369,NO
0.2165,0.3553,NO
0.1934,0.3877,NO
0.1934,0.3553,NO
0.0572,0.1729,NO
0.2318,1.0,YES
0.0556,0.2254,NO
0.3609,1.0,YES
0.1417,0.304,NO
0.255,0.6089,YES
0.0522,0.3369,NO
0.0677,0.4169,NO
0.1439,0.4856,NO
0.0494,0.2229,NO
0.1715,1.0,YES
0.0964,0.109,NO
0.1343,1.0,YES
0.1544,0.32,NO
0.0732,0.0666,NO
0.1975,0.5722,NO
0.2582,0.3822,NO
0.1977,0.31,NO
0.1701,0.6333,NO
0.1684,0.3258,NO
0.1225,0.0958,NO
0.1458,0.4753,NO
0.4028,1.0,YES
0.1577,0.4964,NO
0.2904,1.0,YES
0.1987,0.3104,NO
0.1756,0.3824,NO
0.1689,0.19699999999999998,NO
0.054000000000000006,0.3282,NO
0.1469,0.4327,NO
0.0547,0.318,NO
0.1082,0.3844,NO
0.2019,0.1521,NO
0.1293,0.4378,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,1.0,YES
0.2894,1.0,YES
0.2226,0.314,NO
0.1753,1.0,YES
0.0979,0.1474,NO
0.0985,0.3011,NO
0.0774,0.1676,NO
0.1069,0.5033,YES
0.3647,0.7449,YES
0.2531,1.0,YES
0.1331,1.0,YES
0.0885,0.1676,NO
0.0604,0.1676,NO
0.2068,1.0,YES
0.2598,0.2822,NO
0.106,1.0,YES
0.1459,0.2419,NO
0.2252,0.2568,NO
0.2571,0.3522,NO
0.2375,0.2074,NO
0.1453,0.1729,NO
0.2245,1.0,YES
0.141,0.1669,NO
0.2623,1.0,YES
0.142,0.304,NO
0.2555,0.6089,YES
0.2049,0.4066,NO
0.2206,0.4291,NO
0.2228,0.4856,NO
0.1032,0.4066,NO
0.1461,1.0,YES
0.1116,0.1693,NO
0.1326,1.0,YES
0.1415,0.3096,NO
0.0745,0.3096,NO
0.2381,0.5722,NO
0.19,0.3822,NO
0.1547,0.42700000000000005,NO
0.1997,0.6333,NO
0.1653,0.3258,NO
0.1536,0.2271,NO
0.1999,0.4753,NO
0.1989,1.0,YES
0.2045,0.4964,NO
0.2447,1.0,YES
0.2519,0.3104,NO
0.2036,0.3824,NO
0.2033,0.0838,NO
0.0533,0.3096,NO
0.105,0.2361,NO
0.055999999999999994,0.2699,NO
0.1113,0.3844,NO
0.2256,0.3096,NO
0.0989,0.3438,NO
0.1879,1.0,YES
0.1445,1.0,YES
0.1901,1.0,YES
0.3108,0.7607,YES
0.2405,0.42700000000000005,NO
0.1657,0.7756,YES
0.1331,0.42700000000000005,NO
0.0949,0.2944,NO
0.1339,0.1871,NO
0.22399999999999998,0.4128,NO
0.1967,0.2757,NO
0.1436,0.2823,NO
0.2079,0.4569,NO
0.1339,0.2811,NO
0.0967,0.1871,NO
0.2198,0.3429,NO
0.3428,0.9199,YES
0.2344,0.3855,NO
0.1736,0.9199,YES
0.1331,0.22399999999999998,NO
0.0735,0.32299999999999995,NO
0.0647,0.0706,NO
0.204,0.3019,NO
0.1327,0.4156,NO
0.1655,0.2925,NO
0.31,0.4156,NO
0.1309,0.1871,NO
0.2819,0.4027,NO
0.4042,0.9199,YES
0.3296,0.8367,YES
0.4941,0.9199,YES
0.1783,0.9199,YES
0.193,0.3855,NO
0.2673,0.9199,YES
0.1726,0.3905,NO
0.1439,0.32,NO
0.0769,0.307,NO
0.1953,0.5722,NO
0.2342,0.3827,NO
0.2047,0.4809,NO
0.1823,0.6333,NO
0.1684,0.3258,NO
0.1204,0.2252,NO
0.1751,0.4809,NO
0.3579,1.0,YES
0.1828,0.4964,NO
0.2083,1.0,YES
0.2252,0.3104,NO
0.2041,0.3824,NO
0.2007,0.22699999999999998,NO
0.0498,0.3282,NO
0.1415,0.4327,NO
0.0515,0.318,NO
0.1207,0.3844,NO
0.1912,0.307,NO
0.14,0.4378,NO
0.4038,1.0,YES
0.3494,1.0,YES
0.2799,1.0,YES
0.2675,1.0,YES
0.2206,0.4809,NO
0.2003,1.0,YES
0.1168,0.4809,NO
0.0727,0.237,NO
0.0714,0.053,NO
0.10800000000000001,0.5722,NO
0.2886,0.3847,NO
0.1427,0.31,NO
0.0855,0.6333,NO
0.0605,0.3258,NO
0.0532,0.0958,NO
0.1421,0.4753,NO
0.4397,1.0,YES
0.0607,0.4964,NO
0.2347,1.0,YES
0.2118,0.3104,NO
0.2048,0.3824,NO
0.2045,0.0789,NO
0.0849,0.2431,NO
0.1035,0.3847,NO
0.0824,0.2355,NO
0.0975,0.3847,NO
0.1702,0.1211,NO
0.1518,0.3438,NO
0.3372,1.0,YES
0.3303,1.0,YES
0.314,1.0,YES
0.1257,0.7406,YES
0.1375,0.2326,NO
