DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_RAW_LSA_29,Associated
0.0737,0.1553,NO
0.0652,0.0785,NO
0.1144,0.1377,NO
0.2164,0.0789,NO
0.0671,0.1453,NO
0.0906,0.1986,NO
0.0589,0.1171,NO
0.0679,0.1687,NO
0.1689,0.1525,NO
0.2469,0.4096,YES
0.0616,0.1412,NO
0.33799999999999997,0.1738,YES
0.2427,0.0693,NO
0.2231,0.0683,NO
0.2223,0.0564,NO
0.1142,0.1171,NO
0.0706,0.1259,NO
0.1109,0.1687,NO
0.0747,0.1663,NO
0.2179,0.1687,NO
0.1147,0.2083,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,0.3527,YES
0.24,0.4096,YES
0.1573,0.1153,NO
0.0716,0.4096,YES
0.1205,0.1219,NO
0.1072,1.0,YES
0.2444,0.0724,YES
0.3362,0.1398,NO
0.1579,0.0466,NO
0.1148,0.1344,NO
0.1112,0.1194,NO
0.3947,0.1615,YES
0.0957,0.3715,YES
0.1364,0.1194,NO
0.1056,0.1474,NO
0.0981,0.0944,NO
0.1058,0.0411,NO
0.1797,0.0632,NO
0.1526,0.15,NO
0.1551,0.0514,NO
0.2811,0.1615,YES
0.0766,0.0384,NO
0.1126,1.0,YES
0.0341,0.1344,NO
0.3399,0.3715,YES
0.0412,0.0332,NO
0.1212,0.0338,NO
0.0769,0.045,NO
0.1235,0.0683,NO
0.0802,0.1474,NO
0.1903,0.0944,NO
0.1119,0.1474,NO
0.1008,0.0944,NO
0.0886,0.1686,NO
0.1534,0.0785,NO
0.1331,0.2137,NO
0.2865,0.1926,NO
0.1512,0.2143,NO
0.1666,0.2137,NO
0.1465,0.083,NO
0.0509,0.0623,NO
0.2187,0.2137,NO
0.4574,1.0,YES
0.1603,0.2347,NO
0.2015,0.27899999999999997,YES
0.205,0.1484,NO
0.2168,0.1834,NO
0.2136,0.0598,NO
0.1919,0.0988,NO
0.1533,0.2143,NO
0.1268,0.1544,NO
0.1947,0.1616,NO
0.1755,0.0858,NO
0.2202,0.2143,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,0.5256,YES
0.1771,1.0,YES
0.1659,0.1694,NO
0.1927,1.0,YES
0.1251,0.1576,NO
0.1303,1.0,YES
0.1814,0.1949,YES
0.3356,0.1531,NO
0.1662,0.1033,NO
0.1507,0.1216,NO
0.1441,0.1187,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.0692,NO
0.0952,0.084,NO
0.1364,0.0687,NO
0.0887,0.066,NO
0.2289,0.2183,NO
0.2088,0.0753,NO
0.2075,0.0634,NO
0.1923,1.0,YES
0.0927,0.1216,NO
0.0821,1.0,YES
0.0311,0.0995,NO
0.3081,1.0,YES
0.0406,0.1216,NO
0.1251,0.0909,NO
0.091,0.1218,NO
0.11800000000000001,0.0607,NO
0.1053,0.0611,NO
0.2201,0.1316,NO
0.1351,0.0913,NO
0.1328,0.0717,NO
0.0724,0.1508,NO
0.0244,0.0475,NO
0.1404,1.0,YES
0.3348,0.3672,YES
0.2937,1.0,YES
0.14300000000000002,1.0,YES
0.0826,0.1366,NO
0.013000000000000001,0.1267,NO
0.2103,1.0,YES
0.1395,0.183,NO
0.1325,0.2134,YES
0.1443,0.1023,NO
0.2165,0.2037,NO
0.1934,0.1698,NO
0.1934,0.0906,NO
0.0572,0.0891,NO
0.2318,1.0,YES
0.0556,0.1508,NO
0.3609,1.0,YES
0.1417,0.1481,NO
0.255,1.0,YES
0.0522,0.1629,NO
0.0677,0.2519,NO
0.1439,0.2125,NO
0.0494,0.0236,NO
0.1715,0.2732,YES
0.0964,0.2113,NO
0.1343,0.2078,YES
0.1544,0.1926,NO
0.0732,0.0785,NO
0.1975,0.1377,NO
0.2582,0.0934,NO
0.1977,0.0244,NO
0.1701,0.1986,NO
0.1684,0.1579,NO
0.1225,0.1621,NO
0.1458,0.1525,NO
0.4028,0.485,YES
